=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:41:59: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoCsAaO4Ces4AYkEBGAXw3DzT3AwmngIBYBmcgY13AGIB2P-8GUyUiNOBA7xubGbMHkRANjEU0CMXVwBOJEUVDVRUQrRF1Josw3hJmLgENHTlQHdcCAyMYAdAHZ+-SmpaKFwCRQAOdk4uWTlPUx9-ZJEVERQAlNNwAF00ACgwUPhkFAMiKmt6fCQeVkxbbidncjd4IlRy7JDG2LiOLvNxYrgdFH1yCqMVKaHwKasQtrgOssnEzL8K4OHqjp50Bpj+AVbcDoRD8AALd1b1dtRya4eV8khXgFoCS4MEDeSW2yeUKmngzFqV16zUcrnOkL+3WGvX6A3I-yGYJWBDwiOm6NMmJsxxOPDhJUIa0w-yISUy2yqYVqPGiUj6cXk1NMzE2vimuQKRWhMPJK0pBlYeF5NJUrCI0qRWIIUUwy2Qv3IkoVOwkMVRnPArCJeyYEtMxmRMRh9lF+yphsJ1l6pLJZtpAtBIwhKuJbOtts65EYipGRiQiiuy1WBmD+MtbJdBtji0wscYKljKA9RQATud-pgc3tVu9cJ8IZdyDh2qy7PqEumQUVqp9GJSq2XlTwEimsR1cSYs02sZ8Lldq3BvkgIhEEsphyNy+3MBOpxrMBVG4KR23KyvO9Pu+te6GkAON2gh9vF2OO-ApzOuvPry2K+OD+vwP8t56W7v3-eXaIieexnoiV6-mWt77oB06zgSz6Qfeb53pOPz2qwP7NmW-6oQ+R6YKwIHwueDoQdh97QdgB6PpqaDKEG9HZiOyAHHhBBmLWTQimcjz2sGWEjlRq7Kj6KL9KKHiMeREB5pRBYjOqAGTig4omFozGnnu1GwREBGqBEjKPKRIjUAu1ToexcEJGS5nuMuOloWpF4aXZjzaSJh5dIZISgaRUxmS+TIeTR8EXrZQUUiFsGfv8rmRWK0VOXpiI+bsJF4oFSE1ElD5hV+aARdlSlWZ+rDxdlwk0fprBpX2YF0UQWUUU5bEwcl+XBmSdFFS1U5teAaoIoxhk5DkQA
13:42:04: [INFO] Placing additional elements for SW69
13:42:04: [INFO] Placing additional elements for SW68
13:42:04: [INFO] Placing additional elements for SW67
13:42:04: [INFO] Placing additional elements for SW66
13:42:04: [INFO] Placing additional elements for SW65
13:42:04: [INFO] Placing additional elements for SW64
13:42:04: [INFO] Placing additional elements for SW63
13:42:04: [INFO] Placing additional elements for SW62
13:42:04: [INFO] Placing additional elements for SW61
13:42:04: [INFO] Placing additional elements for SW60
13:42:04: [INFO] Placing additional elements for SW59
13:42:04: [INFO] Placing additional elements for SW58
13:42:04: [INFO] Placing additional elements for SW57
13:42:04: [INFO] Placing additional elements for SW56
13:42:04: [INFO] Placing additional elements for SW55
13:42:04: [INFO] Placing additional elements for SW54
13:42:04: [INFO] Placing additional elements for SW53
13:42:04: [INFO] Placing additional elements for SW52
13:42:04: [INFO] Placing additional elements for SW51
13:42:04: [INFO] Placing additional elements for SW50
13:42:04: [INFO] Placing additional elements for SW49
13:42:04: [INFO] Placing additional elements for SW48
13:42:04: [INFO] Placing additional elements for SW47a
13:42:04: [INFO] Placing additional elements for SW47
13:42:04: [INFO] Placing additional elements for SW46a
13:42:04: [INFO] Placing additional elements for SW46
13:42:04: [INFO] Placing additional elements for SW45
13:42:04: [INFO] Placing additional elements for SW44
13:42:04: [INFO] Placing additional elements for SW43
13:42:04: [INFO] Placing additional elements for SW42
13:42:04: [INFO] Placing additional elements for SW41
13:42:04: [INFO] Placing additional elements for SW40
13:42:04: [INFO] Placing additional elements for SW39
13:42:04: [INFO] Placing additional elements for SW38
13:42:04: [INFO] Placing additional elements for SW37
13:42:04: [INFO] Placing additional elements for SW36
13:42:04: [INFO] Placing additional elements for SW35
13:42:04: [INFO] Placing additional elements for SW34
13:42:04: [INFO] Placing additional elements for SW33
13:42:04: [INFO] Placing additional elements for SW32
13:42:04: [INFO] Placing additional elements for SW31
13:42:04: [INFO] Placing additional elements for SW30
13:42:04: [INFO] Placing additional elements for SW29
13:42:04: [INFO] Placing additional elements for SW28
13:42:04: [INFO] Placing additional elements for SW27
13:42:04: [INFO] Placing additional elements for SW26
13:42:04: [INFO] Placing additional elements for SW25
13:42:04: [INFO] Placing additional elements for SW24
13:42:04: [INFO] Placing additional elements for SW23
13:42:04: [INFO] Placing additional elements for SW22
13:42:04: [INFO] Placing additional elements for SW21
13:42:04: [INFO] Placing additional elements for SW20
13:42:04: [INFO] Placing additional elements for SW19
13:42:04: [INFO] Placing additional elements for SW18
13:42:04: [INFO] Placing additional elements for SW17
13:42:04: [INFO] Placing additional elements for SW16
13:42:04: [INFO] Placing additional elements for SW15a
13:42:04: [INFO] Placing additional elements for SW15
13:42:04: [INFO] Placing additional elements for SW14
13:42:04: [INFO] Placing additional elements for SW13
13:42:04: [INFO] Placing additional elements for SW12
13:42:04: [INFO] Placing additional elements for SW11
13:42:04: [INFO] Placing additional elements for SW10
13:42:04: [INFO] Placing additional elements for SW9
13:42:04: [INFO] Placing additional elements for SW8
13:42:04: [INFO] Placing additional elements for SW7
13:42:04: [INFO] Placing additional elements for SW6
13:42:04: [INFO] Placing additional elements for SW5
13:42:04: [INFO] Placing additional elements for SW4
13:42:04: [INFO] Placing additional elements for SW3
13:42:04: [INFO] Placing additional elements for SW2
13:42:04: [INFO] Placing additional elements for SW1
13:42:04: [INFO] Routing SW70 with D70
13:42:04: [INFO] Using internal autorouter method
13:42:04: [INFO] Routing pad 'SW70:2' at (439737500, 109220000) with pad 'D70:2' at (442277500, 116900000) using coordinate system rotated by 0 degree(s)
13:42:04: [INFO] Adding track segment (B.Cu): [(439737500, 109220000), (439737500, 114360000)]
13:42:04: [INFO] Adding track segment (B.Cu): [(439737500, 114360000), (442277500, 116900000)]
13:42:04: [INFO] Routing SW69 with D69
13:42:04: [INFO] Using internal autorouter method
13:42:04: [INFO] Routing pad 'SW69:2' at (420687500, 109220000) with pad 'D69:2' at (423227500, 116900000) using coordinate system rotated by 0 degree(s)
13:42:04: [INFO] Adding track segment (B.Cu): [(420687500, 109220000), (420687500, 114360000)]
13:42:04: [INFO] Adding track segment (B.Cu): [(420687500, 114360000), (423227500, 116900000)]
13:42:04: [INFO] Routing SW68 with D68
13:42:04: [INFO] Using internal autorouter method
13:42:04: [INFO] Routing pad 'SW68:2' at (401637500, 109220000) with pad 'D68:2' at (404177500, 116900000) using coordinate system rotated by 0 degree(s)
13:42:04: [INFO] Adding track segment (B.Cu): [(401637500, 109220000), (401637500, 114360000)]
13:42:04: [INFO] Adding track segment (B.Cu): [(401637500, 114360000), (404177500, 116900000)]
13:42:04: [INFO] Routing SW67 with D67
13:42:04: [INFO] Using internal autorouter method
13:42:04: [INFO] Routing pad 'SW67:2' at (377825000, 109220000) with pad 'D67:2' at (380365000, 116900000) using coordinate system rotated by 0 degree(s)
13:42:04: [INFO] Adding track segment (B.Cu): [(377825000, 109220000), (377825000, 114360000)]
