=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:56: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0AmANHcBjW2BiAQxNPC3AHd80BfCgBgwQGYAdAO086YXAF0MAKDBR8DFEgoBPfAFoJCBBTzxwBAOxbt4etmUIALOTgRo8NOinZVhHPYe7GGNAOGjziFBuvhZ8BRQADgBOPXAmBhMI5jcRM3xWdBl5CTDnJTiPRMNk7H84QKCkcN5XLAhbdVIyUuZ2LkbI6N5DbiaMKMF4sXgJNF8CwJYANnDMIyyE+ARJFICJUIpqGclw5SiK3Hx1B0d12O7smcsQwdSUdP1mLvdpxBZL84XgkooDPnfmctNttWIakRoisvG9rqwpn4LqNwixmMYjvdZgN5oVFiFlolvGDwJhNr8qgQ9vYnNgJpDPElDKjAj5xjdohNPgSdpptFpgTQrPSIYjeogaf1fITAUDMRZuRQ4fjKqziXhYS4KYlHij8hc6VLmMzwNSIVsRYDOatNdg4Qg0O1OBtlTNBVZxaDwtTbj1KSN7T5HbMcXqEXdwAAnTwSL3YSm5Z5wEbYx2WU3gc2WxrWw4B4NctVBgqh3wR2Pq+CPHHmhrtG18wOJTDYDN9CiBnMUTyoZQ2OXE0kxFgtDDGZxIXsjW1wSM45Q-cDKHtffvXQd8zy5BOYSeYGdkvuMjALgMt9B0LUbxNbrWDrXDxf4GPC1nsjlx519q0cPEmWX-UXGrwDJ8jF9vle8BRoEGLYCCPpPq4QHRnMhZwEKKh3ve36WL+FDUm0KavrEBqsl+f4AWmPRVgEFrNvgQRwVCASWB67b-PKXZMBovZBL2IS9ggrrHHAQQHMOXysV87FfJxMFUehm6CZuwmbqJm7iXu+AaNiipySeCknpxWrcSOqlhn8hD3hpILxr6GDsTB3HUUMiy3p+RremsGEMvw-BAA
13:36:01: [INFO] Placing additional elements for SW36
13:36:01: [INFO] Placing additional elements for SW35
13:36:01: [INFO] Placing additional elements for SW34
13:36:01: [INFO] Placing additional elements for SW33
13:36:01: [INFO] Placing additional elements for SW32
13:36:01: [INFO] Placing additional elements for SW31
13:36:01: [INFO] Placing additional elements for SW30
13:36:01: [INFO] Placing additional elements for SW29
13:36:01: [INFO] Placing additional elements for SW28
13:36:01: [INFO] Placing additional elements for SW27
13:36:01: [INFO] Placing additional elements for SW26
13:36:01: [INFO] Placing additional elements for SW25
13:36:01: [INFO] Placing additional elements for SW24
13:36:01: [INFO] Placing additional elements for SW23
13:36:01: [INFO] Placing additional elements for SW22
13:36:01: [INFO] Placing additional elements for SW21
13:36:01: [INFO] Placing additional elements for SW20
13:36:01: [INFO] Placing additional elements for SW19
13:36:01: [INFO] Placing additional elements for SW18
13:36:01: [INFO] Placing additional elements for SW17
13:36:01: [INFO] Placing additional elements for SW16
13:36:01: [INFO] Placing additional elements for SW15
13:36:01: [INFO] Placing additional elements for SW14a
13:36:01: [INFO] Placing additional elements for SW14
13:36:01: [INFO] Placing additional elements for SW13
13:36:01: [INFO] Placing additional elements for SW12
13:36:01: [INFO] Placing additional elements for SW11
13:36:01: [INFO] Placing additional elements for SW10
13:36:01: [INFO] Placing additional elements for SW9
13:36:01: [INFO] Placing additional elements for SW8
13:36:01: [INFO] Placing additional elements for SW7
13:36:01: [INFO] Placing additional elements for SW6
13:36:01: [INFO] Placing additional elements for SW5
13:36:01: [INFO] Placing additional elements for SW4
13:36:01: [INFO] Placing additional elements for SW3
13:36:01: [INFO] Placing additional elements for SW2
13:36:01: [INFO] Placing additional elements for SW1
13:36:01: [INFO] Routing SW66 with D66
13:36:01: [INFO] Using internal autorouter method
13:36:01: [INFO] Routing pad 'SW66:2' at (359727500, 135128000) with pad 'D66:2' at (362267500, 142808000) using coordinate system rotated by 0 degree(s)
13:36:01: [INFO] Adding track segment (B.Cu): [(359727500, 135128000), (359727500, 140268000)]
13:36:01: [INFO] Adding track segment (B.Cu): [(359727500, 140268000), (362267500, 142808000)]
13:36:01: [INFO] Routing SW65 with D65
13:36:01: [INFO] Using internal autorouter method
13:36:01: [INFO] Routing pad 'SW65:2' at (321627500, 116078000) with pad 'D65:2' at (324167500, 123758000) using coordinate system rotated by 0 degree(s)
13:36:01: [INFO] Adding track segment (B.Cu): [(321627500, 116078000), (321627500, 121218000)]
13:36:01: [INFO] Adding track segment (B.Cu): [(321627500, 121218000), (324167500, 123758000)]
13:36:01: [INFO] Routing SW64 with D64
13:36:01: [INFO] Using internal autorouter method
13:36:01: [INFO] Routing pad 'SW64:2' at (282427590, 137138519) with pad 'D64:2' at (286508846, 144122597) using coordinate system rotated by 348.0 degree(s)
13:36:01: [INFO] Adding track segment (B.Cu): [(282427590, 137138519), (283496256, 142166198)]
13:36:01: [INFO] Adding track segment (B.Cu): [(283496256, 142166198), (286508846, 144122597)]
13:36:01: [INFO] Routing SW63 with D63
13:36:01: [INFO] Using internal autorouter method
13:36:01: [INFO] Routing pad 'SW63:2' at (242236845, 142759987) with pad 'D63:2' at (246318101, 149744065) using coordinate system rotated by 348.0 degree(s)
13:36:01: [INFO] Adding track segment (B.Cu): [(242236845, 142759987), (243305510, 147787665)]
13:36:01: [INFO] Adding track segment (B.Cu): [(243305510, 147787665), (246318101, 149744065)]
13:36:01: [INFO] Routing SW62a with D62
13:36:01: [INFO] Using internal autorouter method
13:36:01: [INFO] Routing pad 'SW62a:2' at (196179290, 146717948) with pad 'D62:2' at (194737809, 154263126) using coordinate system rotated by 12.0 degree(s)
13:36:01: [INFO] Routing SW62 with D62
13:36:01: [INFO] Using internal autorouter method
