=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:27:58: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoAsAaO4Ces4CYkBGAVg3AGNdwBiAQ3ofAF8yE0FwBdNAKDClyECAdlKYc8ALTIAnGIpVq5ZSuas0hQl179o8QklFkJcaUjllK8Gg0YtMbLRghXMSlcrUO0ecM4H6yAj24I6+6oQAzH5wLoq29F6hGijafBB6iEh4xrhmhCGE7Gm6gkjE8iZmMmQA7mV4xIUaMXHW7h5JReGxAXAySJFNZEWaMeCjPW1uwrNz4-X6hsOYo6nc6dh5yEWYrjYJSTkcG6VLkblSsnVloiE5Tr37Har3Pq19ABxInwVkD48MtskAhdgp2glaAsGitwA8enCNNF-M8PJ43oR1jogedLPFDiELoC+pofoSNAiicjMESsZsAE6CHKYTIoQaVPLEEF49poyghNjU5KpdTEcZsABsJRxcDZEuaQqKItWaDFIzQUtOMq5CFhOSFOWViLVmBymuxfQl7J5Mzms2h8Dw5JN0wOtiSF3Nm0yOo5V3M8kWcAMjXJ0S14EZUiEZEywh+l1MyBQ8lRaKSbGE4rQn2zMmzhBOFrjAeaWfVufV+fVhelfXjerQ5dNOfGOWrLdrEZLqcUdvtN0dy3Jue7gmQF3EwIse3x7vJXc4QA
13:28:03: [INFO] Routing pad 'SW43:2' at (320675000, 111125000) with pad 'D43:2' at (323215000, 118805000) using coordinate system rotated by 0 degree(s)
13:28:03: [INFO] Adding track segment (B.Cu): [(320675000, 111125000), (320675000, 116265000)]
13:28:03: [INFO] Adding track segment (B.Cu): [(320675000, 116265000), (323215000, 118805000)]
13:28:03: [INFO] Routing SW42 with D42
13:28:03: [INFO] Using internal autorouter method
13:28:03: [INFO] Routing pad 'SW42:2' at (299243750, 111125000) with pad 'D42:2' at (301783750, 118805000) using coordinate system rotated by 0 degree(s)
13:28:03: [INFO] Adding track segment (B.Cu): [(299243750, 111125000), (299243750, 116265000)]
13:28:03: [INFO] Adding track segment (B.Cu): [(299243750, 116265000), (301783750, 118805000)]
13:28:03: [INFO] Routing SW41 with D41
13:28:03: [INFO] Using internal autorouter method
13:28:03: [INFO] Routing pad 'SW41:2' at (278003000, 111125000) with pad 'D41:2' at (280543000, 118805000) using coordinate system rotated by 0 degree(s)
13:28:03: [INFO] Adding track segment (B.Cu): [(278003000, 111125000), (278003000, 116265000)]
13:28:03: [INFO] Adding track segment (B.Cu): [(278003000, 116265000), (280543000, 118805000)]
13:28:03: [INFO] Routing SW40 with D40
13:28:03: [INFO] Using internal autorouter method
13:28:03: [INFO] Routing pad 'SW40:2' at (256465409, 113610301) with pad 'D40:2' at (260546665, 120594379) using coordinate system rotated by 348.0 degree(s)
13:28:03: [INFO] Adding track segment (B.Cu): [(256465409, 113610301), (257534074, 118637979)]
13:28:03: [INFO] Adding track segment (B.Cu): [(257534074, 118637979), (260546665, 120594379)]
13:28:03: [INFO] Routing SW39 with D39
13:28:03: [INFO] Using internal autorouter method
13:28:03: [INFO] Routing pad 'SW39:2' at (237831697, 117571019) with pad 'D39:2' at (241912953, 124555097) using coordinate system rotated by 348.0 degree(s)
13:28:03: [INFO] Adding track segment (B.Cu): [(237831697, 117571019), (238900362, 122598698)]
13:28:03: [INFO] Adding track segment (B.Cu): [(238900362, 122598698), (241912953, 124555097)]
13:28:03: [INFO] Routing SW38 with D38
13:28:03: [INFO] Using internal autorouter method
13:28:03: [INFO] Routing pad 'SW38:2' at (219197985, 121531736) with pad 'D38:2' at (223279241, 128515814) using coordinate system rotated by 348.0 degree(s)
13:28:03: [INFO] Adding track segment (B.Cu): [(219197985, 121531736), (220266650, 126559415)]
13:28:03: [INFO] Adding track segment (B.Cu): [(220266650, 126559415), (223279241, 128515814)]
13:28:03: [INFO] Routing SW37 with D37
13:28:03: [INFO] Using internal autorouter method
13:28:03: [INFO] Routing pad 'SW37:2' at (200564274, 125492454) with pad 'D37:2' at (204645530, 132476532) using coordinate system rotated by 348.0 degree(s)
13:28:03: [INFO] Adding track segment (B.Cu): [(200564274, 125492454), (201632940, 130520133)]
13:28:03: [INFO] Adding track segment (B.Cu): [(201632940, 130520133), (204645530, 132476532)]
13:28:03: [INFO] Routing SW36 with D36
13:28:03: [INFO] Using internal autorouter method
13:28:03: [INFO] Routing pad 'SW36:2' at (168961230, 125017162) with pad 'D36:2' at (169848963, 133057430) using coordinate system rotated by 12.0 degree(s)
13:28:03: [INFO] Adding track segment (B.Cu): [(168961230, 125017162), (167892563, 130044839)]
13:28:03: [INFO] Adding track segment (B.Cu): [(167892563, 130044839), (169848963, 133057430)]
13:28:03: [INFO] Routing SW35 with D35
13:28:03: [INFO] Using internal autorouter method
13:28:03: [INFO] Routing pad 'SW35:2' at (150327519, 121056444) with pad 'D35:2' at (151215252, 129096712) using coordinate system rotated by 12.0 degree(s)
13:28:03: [INFO] Adding track segment (B.Cu): [(150327519, 121056444), (149258852, 126084120)]
13:28:03: [INFO] Adding track segment (B.Cu): [(149258852, 126084120), (151215252, 129096712)]
13:28:03: [INFO] Routing SW34 with D34
13:28:03: [INFO] Using internal autorouter method
13:28:03: [INFO] Routing pad 'SW34:2' at (131693807, 117095726) with pad 'D34:2' at (132581540, 125135994) using coordinate system rotated by 12.0 degree(s)
13:28:03: [INFO] Adding track segment (B.Cu): [(131693807, 117095726), (130625140, 122123403)]
13:28:03: [INFO] Adding track segment (B.Cu): [(130625140, 122123403), (132581540, 125135994)]
13:28:03: [INFO] Routing SW33 with D33
13:28:03: [INFO] Using internal autorouter method
13:28:03: [INFO] Routing pad 'SW33:2' at (113060095, 113135009) with pad 'D33:2' at (113947828, 121175277) using coordinate system rotated by 12.0 degree(s)
13:28:03: [INFO] Adding track segment (B.Cu): [(113060095, 113135009), (111991428, 118162685)]
13:28:03: [INFO] Adding track segment (B.Cu): [(111991428, 118162685), (113947828, 121175277)]
13:28:03: [INFO] Routing SW32 with D32
13:28:03: [INFO] Using internal autorouter method
