=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:27:52: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoDsBWAvgGjuADFguDhNPABxLmY75YCM9xcpscAzEmrQMZvgBiAIYjRzcAGcAtvwBOAewAuAfQCmPRuGy4C9ACwAdAHbHTJ82eOq84ALpYAUGChs8qbrgCebALRvqvPwCKCGh4tL8WrQEeMYAogDKAMLMEHzwgjxZ2VE6DKku8PT+NHn0RCTg6bjCoiLiAO5sCNp09Ox2js5kcG4e4E1FXK30WDaV1ZnZWbngo0yVPcVI7CMMC7jzFSwDbPTDtPMd9k6sRSgrtN7wfkgAnIEZtXWz83qdp4W9SAj913C3Ua4QZwfboVoIMYFSYCaYzCH5RZsO7uBGaWiQ8rQoKhMK0EHIX5o45dM6gi5-XxuB64GF1epo94nZz-QH45o-UrgdhQiZBOF8Vo87Zk5b0Lk8rF8p70oSNPao2iSkmfJYANiQeiuVPcjxquJCs0lTNJ4FZbl+esEsvlQyJtC14x2IP29twWqYzNFaE12pubnQVuCBtmHu24A9HQdDBNn1kbDVtB6nACXl8PpQQYFswIUby72iWDQ4gIao+3TYnHYXNG4dGebmWALmyL5bJnDQXMh4chDchzfAkOLXq+nDuQqwDZ5A55xaVWDLI56WtpQRt7LtXK1Iqq-LhtsQnNaWrzaTX9NDC7b4HjN0TuB6lGrfoBnEhq6e2daBBQJaw5D-O4-2Ka8egucdDivSDf0ggDIKAyCQKXNhKDdQcsBg3BITgrCsAQ3CkNNMCqAnTDuX-cQeXw8iQPnTRkPgC5yCDG1jww7FP33DdD3BaMcLPGULzYoDbFsIA
13:27:57: [INFO] Placing additional elements for SW32
13:27:57: [INFO] Placing additional elements for SW31
13:27:57: [INFO] Placing additional elements for SW30
13:27:57: [INFO] Placing additional elements for SW29
13:27:57: [INFO] Placing additional elements for SW28
13:27:57: [INFO] Placing additional elements for SW27
13:27:57: [INFO] Placing additional elements for SW26
13:27:57: [INFO] Placing additional elements for SW25
13:27:57: [INFO] Placing additional elements for SW24
13:27:57: [INFO] Placing additional elements for SW23
13:27:57: [INFO] Placing additional elements for SW22
13:27:57: [INFO] Placing additional elements for SW21
13:27:57: [INFO] Placing additional elements for SW20
13:27:57: [INFO] Placing additional elements for SW19
13:27:57: [INFO] Placing additional elements for SW18
13:27:57: [INFO] Placing additional elements for SW17
13:27:57: [INFO] Placing additional elements for SW16
13:27:57: [INFO] Placing additional elements for SW15
13:27:57: [INFO] Placing additional elements for SW14
13:27:57: [INFO] Placing additional elements for SW13
13:27:57: [INFO] Placing additional elements for SW12
13:27:57: [INFO] Placing additional elements for SW11
13:27:57: [INFO] Placing additional elements for SW10
13:27:57: [INFO] Placing additional elements for SW9
13:27:57: [INFO] Placing additional elements for SW8
13:27:57: [INFO] Placing additional elements for SW7
13:27:57: [INFO] Placing additional elements for SW6
13:27:57: [INFO] Placing additional elements for SW5
13:27:57: [INFO] Placing additional elements for SW4
13:27:57: [INFO] Placing additional elements for SW3
13:27:57: [INFO] Placing additional elements for SW2
13:27:57: [INFO] Placing additional elements for SW1
13:27:57: [INFO] Routing SW69 with D69
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW69:2' at (376872500, 116840000) with pad 'D69:2' at (379412500, 124520000) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(376872500, 116840000), (376872500, 121980000)]
13:27:57: [INFO] Adding track segment (B.Cu): [(376872500, 121980000), (379412500, 124520000)]
13:27:57: [INFO] Routing SW68 with D68
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW68:2' at (357822500, 116840000) with pad 'D68:2' at (360362500, 124520000) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(357822500, 116840000), (357822500, 121980000)]
13:27:57: [INFO] Adding track segment (B.Cu): [(357822500, 121980000), (360362500, 124520000)]
13:27:57: [INFO] Routing SW67 with D67
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW67:2' at (338772500, 116840000) with pad 'D67:2' at (341312500, 124520000) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(338772500, 116840000), (338772500, 121980000)]
13:27:57: [INFO] Adding track segment (B.Cu): [(338772500, 121980000), (341312500, 124520000)]
13:27:57: [INFO] Routing SW66 with D66
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW66:2' at (275575172, 112936409) with pad 'D66:2' at (278904036, 120308834) using coordinate system rotated by 354.0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(275575172, 112936409), (276112448, 118048250)]
13:27:57: [INFO] Adding track segment (B.Cu): [(276112448, 118048250), (278904036, 120308834)]
13:27:57: [INFO] Routing SW65 with D65
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW65:2' at (240052093, 116670035) with pad 'D65:2' at (243380957, 124042460) using coordinate system rotated by 354.0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(240052093, 116670035), (240589369, 121781876)]
13:27:57: [INFO] Adding track segment (B.Cu): [(240589369, 121781876), (243380957, 124042460)]
13:27:57: [INFO] Routing SW64 with D64
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW64:2' at (204529014, 120403661) with pad 'D64:2' at (207857878, 127776086) using coordinate system rotated by 354.0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(204529014, 120403661), (205066290, 125515502)]
13:27:57: [INFO] Adding track segment (B.Cu): [(205066290, 125515502), (207857878, 127776086)]
13:27:57: [INFO] Routing SW63 with D63
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW63:2' at (179596405, 119290166) with pad 'D63:2' at (181319712, 127193596) using coordinate system rotated by 6.0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(179596405, 119290166), (179059127, 124402007)]
13:27:57: [INFO] Adding track segment (B.Cu): [(179059127, 124402007), (181319712, 127193596)]
13:27:57: [INFO] Routing SW62 with D62
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW62:2' at (148809736, 116054356) with pad 'D62:2' at (150533043, 123957786) using coordinate system rotated by 6.0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(148809736, 116054356), (148272459, 121166197)]
13:27:57: [INFO] Adding track segment (B.Cu): [(148272459, 121166197), (150533043, 123957786)]
13:27:57: [INFO] Routing SW61 with D61
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW61:2' at (115654862, 112569639) with pad 'D61:2' at (117378169, 120473069) using coordinate system rotated by 6.0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(115654862, 112569639), (115117584, 117681480)]
13:27:57: [INFO] Adding track segment (B.Cu): [(115117584, 117681480), (117378169, 120473069)]
13:27:57: [INFO] Routing SW60 with D60
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW60:2' at (71596250, 112077500) with pad 'D60:2' at (74136250, 119757500) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(71596250, 112077500), (71596250, 117217500)]
13:27:57: [INFO] Adding track segment (B.Cu): [(71596250, 117217500), (74136250, 119757500)]
13:27:57: [INFO] Routing SW59 with D59
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW59:2' at (47783750, 112077500) with pad 'D59:2' at (50323750, 119757500) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(47783750, 112077500), (47783750, 117217500)]
13:27:57: [INFO] Adding track segment (B.Cu): [(47783750, 117217500), (50323750, 119757500)]
13:27:57: [INFO] Routing SW58 with D58
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW58:2' at (357822500, 97790000) with pad 'D58:2' at (360362500, 105470000) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(357822500, 97790000), (357822500, 102930000)]
13:27:57: [INFO] Adding track segment (B.Cu): [(357822500, 102930000), (360362500, 105470000)]
13:27:57: [INFO] Routing SW57 with D57
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW57:2' at (326866250, 93027500) with pad 'D57:2' at (329406250, 100707500) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(326866250, 93027500), (326866250, 98167500)]
13:27:57: [INFO] Adding track segment (B.Cu): [(326866250, 98167500), (329406250, 100707500)]
13:27:57: [INFO] Routing SW56 with D56
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW56:2' at (300672500, 93027500) with pad 'D56:2' at (303212500, 100707500) using coordinate system rotated by 0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(300672500, 93027500), (300672500, 98167500)]
13:27:57: [INFO] Adding track segment (B.Cu): [(300672500, 98167500), (303212500, 100707500)]
13:27:57: [INFO] Routing SW55 with D55
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW55:2' at (278320315, 93492950) with pad 'D55:2' at (281649179, 100865375) using coordinate system rotated by 354.0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(278320315, 93492950), (278857590, 98604790)]
13:27:57: [INFO] Adding track segment (B.Cu): [(278857590, 98604790), (281649179, 100865375)]
13:27:57: [INFO] Routing SW54 with D54
13:27:57: [INFO] Using internal autorouter method
13:27:57: [INFO] Routing pad 'SW54:2' at (259374673, 95484217) with pad 'D54:2' at (262703537, 102856642) using coordinate system rotated by 354.0 degree(s)
13:27:57: [INFO] Adding track segment (B.Cu): [(259374673, 95484217), (259911948, 100596058)]
13:27:57: [INFO] Adding track segment (B.Cu): [(259911948, 100596058), (262703537, 102856642)]
13:27:57: [INFO] Routing SW53 with D53
13:27:57: [INFO] Using internal autorouter method
