=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:33: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14B2VdLADnAF0UAoMKWOAJjXAE9GBaDAOjMICsJTCia44+RgEZhWACzjJ8IayyFFDeDNUoAnFVr0CcAaw7xufQbJQCNx5DoBsBuhHNxL-FaRQZxIlL20tq+Uv46UkHUbpqIZly8CNasUtjBRMJpFDFGjCzoHl4p6GlieHGh4GkKFcY+1SjqddJZeq55ygkWvN5tdi3wjqUoLrnuiVYNaREjQYNwUW3hAWlRHUrxhZPJDSw4C8SsLDmGmwXsk33HohmLwiy1EnF7TXdVLPrjL92evSXgFgDZ4OB6jDaXHpTMGzQEoeYgkJglY3dbfBy-SxMAEIW6HYS4r5ncAAJ2kuPQJIcPFMlI8ZBprGMllpkM8Ah4cgJ6W+ZPgTCcTMmrKKUh4GG5Cl5jAQuiFUJFXDFEtYuLs0osstYVJCjPQzN4iosHK5qvBGs8Avlfz1bM4yu56gt9opcRZmIdZpylCAA
13:40:36: [INFO] Adding track segment (B.Cu): [(140679617, 103149659), (138426389, 107769458)]
13:40:36: [INFO] Adding track segment (B.Cu): [(138426389, 107769458), (139595864, 111165859)]
13:40:36: [INFO] Routing SW38 with D38
13:40:36: [INFO] Using internal autorouter method
13:40:36: [INFO] Routing pad 'SW38:2' at (119865707, 95169002) with pad 'D38:2' at (120612982, 103223539) using coordinate system rotated by 13.0 degree(s)
13:40:36: [INFO] Adding track segment (B.Cu): [(119865707, 95169002), (118709458, 100177263)]
13:40:36: [INFO] Adding track segment (B.Cu): [(118709458, 100177263), (120612982, 103223539)]
13:40:36: [INFO] Routing SW37 with D37
13:40:36: [INFO] Using internal autorouter method
13:40:36: [INFO] Routing pad 'SW37:2' at (97790000, 92075000) with pad 'D37:2' at (100330000, 99755000) using coordinate system rotated by 0 degree(s)
13:40:36: [INFO] Adding track segment (B.Cu): [(97790000, 92075000), (97790000, 97215000)]
13:40:36: [INFO] Adding track segment (B.Cu): [(97790000, 97215000), (100330000, 99755000)]
13:40:36: [INFO] Routing SW36 with D36
13:40:36: [INFO] Using internal autorouter method
13:40:36: [INFO] Routing pad 'SW36:2' at (307340000, 78263750) with pad 'D36:2' at (309880000, 85943750) using coordinate system rotated by 0 degree(s)
13:40:36: [INFO] Adding track segment (B.Cu): [(307340000, 78263750), (307340000, 83403750)]
13:40:36: [INFO] Adding track segment (B.Cu): [(307340000, 83403750), (309880000, 85943750)]
13:40:36: [INFO] Routing SW35 with D35
13:40:36: [INFO] Using internal autorouter method
13:40:36: [INFO] Routing pad 'SW35:2' at (288290000, 78263750) with pad 'D35:2' at (290830000, 85943750) using coordinate system rotated by 0 degree(s)
13:40:36: [INFO] Adding track segment (B.Cu): [(288290000, 78263750), (288290000, 83403750)]
13:40:36: [INFO] Adding track segment (B.Cu): [(288290000, 83403750), (290830000, 85943750)]
13:40:36: [INFO] Routing SW34 with D34
13:40:36: [INFO] Using internal autorouter method
13:40:36: [INFO] Routing pad 'SW34:2' at (269240000, 73501250) with pad 'D34:2' at (271780000, 81181250) using coordinate system rotated by 0 degree(s)
13:40:36: [INFO] Adding track segment (B.Cu): [(269240000, 73501250), (269240000, 78641250)]
13:40:36: [INFO] Adding track segment (B.Cu): [(269240000, 78641250), (271780000, 81181250)]
13:40:36: [INFO] Routing SW33 with D33
13:40:36: [INFO] Using internal autorouter method
13:40:36: [INFO] Routing pad 'SW33:2' at (250190000, 71120000) with pad 'D33:2' at (252730000, 78800000) using coordinate system rotated by 0 degree(s)
13:40:36: [INFO] Adding track segment (B.Cu): [(250190000, 71120000), (250190000, 76260000)]
13:40:36: [INFO] Adding track segment (B.Cu): [(250190000, 76260000), (252730000, 78800000)]
13:40:36: [INFO] Routing SW32 with D32
13:40:36: [INFO] Using internal autorouter method
13:40:36: [INFO] Routing pad 'SW32:2' at (231140000, 73501250) with pad 'D32:2' at (233680000, 81181250) using coordinate system rotated by 0 degree(s)
13:40:36: [INFO] Adding track segment (B.Cu): [(231140000, 73501250), (231140000, 78641250)]
13:40:36: [INFO] Adding track segment (B.Cu): [(231140000, 78641250), (233680000, 81181250)]
13:40:36: [INFO] Routing SW31 with D31
13:40:36: [INFO] Using internal autorouter method
13:40:36: [INFO] Routing pad 'SW31:2' at (212090000, 75882500) with pad 'D31:2' at (214630000, 83562500) using coordinate system rotated by 0 degree(s)
13:40:36: [INFO] Adding track segment (B.Cu): [(212090000, 75882500), (212090000, 81022500)]
13:40:36: [INFO] Adding track segment (B.Cu): [(212090000, 81022500), (214630000, 83562500)]
13:40:36: [INFO] Routing SW30 with D30
13:40:36: [INFO] Using internal autorouter method
13:40:36: [INFO] Routing pad 'SW30:2' at (135890000, 75882500) with pad 'D30:2' at (138430000, 83562500) using coordinate system rotated by 0 degree(s)
13:40:36: [INFO] Adding track segment (B.Cu): [(135890000, 75882500), (135890000, 81022500)]
13:40:36: [INFO] Adding track segment (B.Cu): [(135890000, 81022500), (138430000, 83562500)]
13:40:36: [INFO] Routing SW29 with D29
13:40:36: [INFO] Using internal autorouter method
13:40:36: [INFO] Routing pad 'SW29:2' at (116840000, 73501250) with pad 'D29:2' at (119380000, 81181250) using coordinate system rotated by 0 degree(s)
13:40:36: [INFO] Adding track segment (B.Cu): [(116840000, 73501250), (116840000, 78641250)]
13:40:36: [INFO] Adding track segment (B.Cu): [(116840000, 78641250), (119380000, 81181250)]
13:40:36: [INFO] Routing SW28 with D28
13:40:36: [INFO] Using internal autorouter method
13:40:36: [INFO] Routing pad 'SW28:2' at (97790000, 71120000) with pad 'D28:2' at (100330000, 78800000) using coordinate system rotated by 0 degree(s)
13:40:36: [INFO] Adding track segment (B.Cu): [(97790000, 71120000), (97790000, 76260000)]
13:40:36: [INFO] Adding track segment (B.Cu): [(97790000, 76260000), (100330000, 78800000)]
13:40:36: [INFO] Routing SW27 with D27
13:40:36: [INFO] Using internal autorouter method
13:40:36: [INFO] Routing pad 'SW27:2' at (78740000, 73501250) with pad 'D27:2' at (81280000, 81181250) using coordinate system rotated by 0 degree(s)
13:40:36: [INFO] Adding track segment (B.Cu): [(78740000, 73501250), (78740000, 78641250)]
13:40:36: [INFO] Adding track segment (B.Cu): [(78740000, 78641250), (81280000, 81181250)]
13:40:36: [INFO] Routing SW26 with D26
13:40:36: [INFO] Using internal autorouter method
13:40:36: [INFO] Routing pad 'SW26:2' at (59690000, 78263750) with pad 'D26:2' at (62230000, 85943750) using coordinate system rotated by 0 degree(s)
13:40:36: [INFO] Adding track segment (B.Cu): [(59690000, 78263750), (59690000, 83403750)]
13:40:36: [INFO] Adding track segment (B.Cu): [(59690000, 83403750), (62230000, 85943750)]
13:40:36: [INFO] Routing SW25 with D25
13:40:36: [INFO] Using internal autorouter method
13:40:36: [INFO] Routing pad 'SW25:2' at (40640000, 78263750) with pad 'D25:2' at (43180000, 85943750) using coordinate system rotated by 0 degree(s)
13:40:36: [INFO] Adding track segment (B.Cu): [(40640000, 78263750), (40640000, 83403750)]
13:40:36: [INFO] Adding track segment (B.Cu): [(40640000, 83403750), (43180000, 85943750)]
13:40:36: [INFO] Routing SW24 with D24
13:40:36: [INFO] Using internal autorouter method
13:40:36: [INFO] Routing pad 'SW24:2' at (307340000, 59213750) with pad 'D24:2' at (309880000, 66893750) using coordinate system rotated by 0 degree(s)
13:40:36: [INFO] Adding track segment (B.Cu): [(307340000, 59213750), (307340000, 64353750)]
13:40:36: [INFO] Adding track segment (B.Cu): [(307340000, 64353750), (309880000, 66893750)]
13:40:36: [INFO] Routing SW23 with D23
13:40:36: [INFO] Using internal autorouter method
13:40:36: [INFO] Routing pad 'SW23:2' at (288290000, 59213750) with pad 'D23:2' at (290830000, 66893750) using coordinate system rotated by 0 degree(s)
13:40:36: [INFO] Adding track segment (B.Cu): [(288290000, 59213750), (288290000, 64353750)]
13:40:36: [INFO] Adding track segment (B.Cu): [(288290000, 64353750), (290830000, 66893750)]
13:40:36: [INFO] Routing SW22 with D22
13:40:36: [INFO] Using internal autorouter method
13:40:36: [INFO] Routing pad 'SW22:2' at (269240000, 54451250) with pad 'D22:2' at (271780000, 62131250) using coordinate system rotated by 0 degree(s)
13:40:36: [INFO] Adding track segment (B.Cu): [(269240000, 54451250), (269240000, 59591250)]
13:40:36: [INFO] Adding track segment (B.Cu): [(269240000, 59591250), (271780000, 62131250)]
13:40:36: [INFO] Routing SW21 with D21
13:40:36: [INFO] Using internal autorouter method
13:40:36: [INFO] Routing pad 'SW21:2' at (250190000, 52070000) with pad 'D21:2' at (252730000, 59750000) using coordinate system rotated by 0 degree(s)
13:40:36: [INFO] Adding track segment (B.Cu): [(250190000, 52070000), (250190000, 57210000)]
13:40:36: [INFO] Adding track segment (B.Cu): [(250190000, 57210000), (252730000, 59750000)]
13:40:36: [INFO] Routing SW20 with D20
13:40:36: [INFO] Using internal autorouter method
13:40:36: [INFO] Routing pad 'SW20:2' at (231140000, 54451250) with pad 'D20:2' at (233680000, 62131250) using coordinate system rotated by 0 degree(s)
13:40:36: [INFO] Adding track segment (B.Cu): [(231140000, 54451250), (231140000, 59591250)]
13:40:36: [INFO] Adding track segment (B.Cu): [(231140000, 59591250), (233680000, 62131250)]
13:40:36: [INFO] Routing SW19 with D19
13:40:36: [INFO] Using internal autorouter method
