=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:00: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoDsBWANHcBPWcAGJAJk2wGN9wBiAQ3ofAF8twCMCAdAOx5-YCM4LBErwa5SVOHYAJvgAuAJwCuAUxbZBfXt0EzRVOg3rNW7Yjv4Yh5jAit6bMthgAsj-XbSfnIqPhEaJquAGy+tloYKBEu7AAcsXYAnElwENDwQSGCXLrWka4CAmlFlvlOhYIOFfoAuhgAUGAB8MjoORy+BAathCTBdiW1HHEY5TrsPXY1k6N2HiPT6X1EpJ0+S2PhW3Yxu1GJBxmBA52pB0V5c8tFwzdjAhO6U72Z-etDsy-zK+9BrDE2GoUmknQEbkeaBcCBskIazRObVQZFwp0+2AEv3AWMKWOILixCEJ7hJ0NYWNCJJQJPiJOSJIEt1xeJsBP8AHd8MQQrjif5-khBpi4YzydhYQJoQiWu92qiufABEKQsRsWrCmr2dg1fydaTWGrxeA1VTDdEXGq6eaGeamZabJq2b0gTQTKZWIq4MrhSabN8eFjlkj+qjXSDQZRVaK7ca3P7wDKQ8RiELWHh4ABaNZhoyyBCyABGhchnvwytIrAAFtzPQSlWnsFX697WJAW9mzqxJQHuLjE01Zfh5en8J30ICjJHKGWGx1u9jJTDxsu9eBYaWJRhjbCzVuaQvrVvbVv7Qvii6jO7aC4vamMev-Y4gwPEX1iD7R1mc5PxNR80WJZmKezyBs4SZ9J+2AZnA44KuWXbYPG1y6BqLjxvcqF+Cs4bXre3KIeAyGOGqwbgOG07AURK6sPGa7xpu1Fxhge7UQeSEYEe1EntRZ4cRenIEfO-HaiGPohBh0qDiGI4UFe7r4Q2D6YChPCwmRXoVr6mCYWpvwQJphGYKB3Dqb0XqhEZLGOGZglKdpNiqaZ+ngIZymOjZLluQ5TyeRpCHuQIva2X8py5n+lEhDpjE6cxEKvkOyITnJf4AcWjGGQ5TlLqwOmeZEBkIQ5Jk5SsXooFF1kVKVhUNj5unOYUOkldhtXeiquVPtV4F1EAA
13:36:08: [INFO] Placing additional elements for SW41
13:36:08: [INFO] Placing additional elements for SW40
13:36:08: [INFO] Placing additional elements for SW39
13:36:08: [INFO] Placing additional elements for SW38
13:36:08: [INFO] Placing additional elements for SW37
13:36:08: [INFO] Placing additional elements for SW36
13:36:08: [INFO] Placing additional elements for SW35
13:36:08: [INFO] Placing additional elements for SW34
13:36:08: [INFO] Placing additional elements for SW33
13:36:08: [INFO] Placing additional elements for SW32
13:36:08: [INFO] Placing additional elements for SW31
13:36:08: [INFO] Placing additional elements for SW30
13:36:08: [INFO] Placing additional elements for SW29
13:36:08: [INFO] Placing additional elements for SW28
13:36:08: [INFO] Placing additional elements for SW27
13:36:08: [INFO] Placing additional elements for SW26
13:36:08: [INFO] Placing additional elements for SW25
13:36:08: [INFO] Placing additional elements for SW24
13:36:08: [INFO] Placing additional elements for SW23
13:36:08: [INFO] Placing additional elements for SW22
13:36:08: [INFO] Placing additional elements for SW21
13:36:08: [INFO] Placing additional elements for SW20
13:36:08: [INFO] Placing additional elements for SW19
13:36:08: [INFO] Placing additional elements for SW18
13:36:08: [INFO] Placing additional elements for SW17
13:36:08: [INFO] Placing additional elements for SW16
13:36:08: [INFO] Placing additional elements for SW15
13:36:08: [INFO] Placing additional elements for SW14
13:36:08: [INFO] Placing additional elements for SW13a
13:36:08: [INFO] Placing additional elements for SW13
13:36:08: [INFO] Placing additional elements for SW12a
13:36:08: [INFO] Placing additional elements for SW12
13:36:08: [INFO] Placing additional elements for SW11a
13:36:08: [INFO] Placing additional elements for SW11
13:36:08: [INFO] Placing additional elements for SW10a
13:36:08: [INFO] Placing additional elements for SW10
13:36:08: [INFO] Placing additional elements for SW9
13:36:08: [INFO] Placing additional elements for SW8
13:36:08: [INFO] Placing additional elements for SW7
13:36:08: [INFO] Placing additional elements for SW6a
13:36:08: [INFO] Placing additional elements for SW6
13:36:08: [INFO] Placing additional elements for SW5a
13:36:08: [INFO] Placing additional elements for SW5
13:36:08: [INFO] Placing additional elements for SW4a
13:36:08: [INFO] Placing additional elements for SW4
13:36:08: [INFO] Placing additional elements for SW3a
13:36:08: [INFO] Placing additional elements for SW3
13:36:08: [INFO] Placing additional elements for SW2
13:36:08: [INFO] Placing additional elements for SW1
13:36:08: [INFO] Routing SW90 with D90
13:36:08: [INFO] Using internal autorouter method
