=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:38:45: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoDsBWANHcBPWikAmTbAY33AGIUbbwBfLcTARgBZwsJp5kTxy8KqRGiGTBBgSdskljO74AHKjSNZGFtImb5XKPmQsAzE0HZKAQ2s3xGloRng5xhQd5IlKJgGcAthQATgD2AC4A+gCmpCzy6s6abAA6AHap6WmZGamR0gC6GABQYO5whEx4HsRmFJSiYr4BQnbgLFJObXpwivAAnERqTJ3a2J1drZqO+uZUNrZMAO74hPGdyVkpkiM9BPwzdfXk8eXsbjwE6Kuaxtmbmh2Jt3LgBcU7LAM1QlZzlk5L8A+g2w5W2AlqhyOTBOZ3w-Uu0M0I3AJ3GJym3XAALgQOO11ubTB5z48VMJlhgNUXwstDoi3wH2q2AAFstFo5KfxmRycUxIDyALTIYikyYE+6vErEqlkWq-P70ykI7CmMH7SEtMkUnHC4HgMnIsldCD7Wk0f7LAaihziomGT6y74a60cfTnD4IPEmcXySUmuW-C3wQhWphsKS3UFudWHFrh42lLSqeLxtUBuZBsqh7Dxwi3VUvIpShkoJD8SpwIUy8HfM0oOPXQtvUp8Cr4KtMmsWeWZxl6zBg7F9+KsbVJ9CKnHZ5gYXpuIfT1j5IvvABsZbb8CrE8dNLNLVY41YGJn5L9Xdmgcnw7Djw2MNvCEj9zdDJDyvA8ZY+ZfmIXItvG0Ni1c9AgZcNsECc4IPAQIKxDfh3U3SsQ2Mbxd2EWN4kkVxzwrKslCUbCMAxd5qUvDNiI4c9zlMbB8OQLxiLQJti0BciDnqFo2lwldcHbRiiKGEixyuai+No5CCJQK4WJohkpN1PFeObBjPCEkERNfQE8XE5tJPogTPBkxE5IkhTDK3JSmFMFSSjUwjRVIxNRT0ti4Do-irOM0UzP0iyvMraycwwOyIAcjTPy0zF3RTDA3J2TyHJMkKWKYTA-Pc1tLKCpATA4ntr0XaKIH-ftQtYxLFOMjiNUnFZ0viyrYPbdgmCghljAdUoBRDSQct6pA0OIpRmvOAUuv6wKCKUArA2I+ttKnKaYy44i53krc2CQKbkrmyidFXMb2z62qsOE0bNsrSbqsc4TFpihkdquDbzK2nbbpSiYjquwbdqMgDNMut7ro+gbBLxB73mexFXv897-u8pjER+kG-uqwH9QwYH4dBxHcrulUMChxMYaJuH3IFbb8ek0VUdx9HwencMccpm6mcJqKSfdMmoopnYBTQMHpsYr7MCO296cpkNOzU-KMJ+DMisxzBWYFoWadFs6uPq5NGvrPI8iAA
13:38:48: [INFO] Add SW41 footprint
13:38:48: [INFO] Add D41 footprint
13:38:48: [INFO] Add SW42 footprint
13:38:48: [INFO] Add D42 footprint
13:38:48: [INFO] Add SW43 footprint
13:38:48: [INFO] Add D43 footprint
13:38:48: [INFO] Add SW44 footprint
13:38:48: [INFO] Add D44 footprint
13:38:48: [INFO] Add SW44a footprint
13:38:48: [INFO] Add SW45 footprint
13:38:48: [INFO] Add D45 footprint
13:38:48: [INFO] Add SW46 footprint
13:38:49: [INFO] Add D46 footprint
13:38:49: [INFO] Add SW47 footprint
13:38:49: [INFO] Add D47 footprint
13:38:49: [INFO] Add SW48 footprint
13:38:49: [INFO] Add D48 footprint
13:38:49: [INFO] Add SW49 footprint
13:38:49: [INFO] Add D49 footprint
13:38:49: [INFO] Add SW50 footprint
13:38:49: [INFO] Add D50 footprint
13:38:49: [INFO] Add SW51 footprint
13:38:49: [INFO] Add D51 footprint
13:38:49: [INFO] Add SW52 footprint
13:38:49: [INFO] Add D52 footprint
13:38:49: [INFO] Add SW53 footprint
13:38:49: [INFO] Add D53 footprint
13:38:49: [INFO] Add SW54 footprint
13:38:49: [INFO] Add D54 footprint
13:38:49: [INFO] Add SW55 footprint
13:38:49: [INFO] Add D55 footprint
13:38:49: [INFO] Add SW56 footprint
13:38:49: [INFO] Add D56 footprint
13:38:49: [INFO] Add SW57 footprint
13:38:49: [INFO] Add D57 footprint
13:38:49: [INFO] Add SW58 footprint
13:38:49: [INFO] Add D58 footprint
13:38:49: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:38:49: [INFO] Add ST58 footprint
13:38:49: [INFO] Add SW58a footprint
13:38:49: [INFO] Add ST58a footprint
13:38:49: [INFO] Add SW59 footprint
13:38:49: [INFO] Add D59 footprint
13:38:49: [INFO] Add SW60 footprint
13:38:49: [INFO] Add D60 footprint
13:38:49: [INFO] Add SW61 footprint
13:38:49: [INFO] Add D61 footprint
13:38:49: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:38:49: [INFO] Add ST61 footprint
13:38:49: [INFO] Add SW61a footprint
13:38:49: [INFO] Add SW62 footprint
13:38:49: [INFO] Add D62 footprint
13:38:49: [INFO] Add SW63 footprint
13:38:49: [INFO] Add D63 footprint
13:38:49: [INFO] Add SW64 footprint
13:38:50: [INFO] Add D64 footprint
13:38:50: [INFO] Add SW65 footprint
13:38:50: [INFO] Add D65 footprint
13:38:50: [INFO] Add SW66 footprint
13:38:50: [INFO] Add D66 footprint
13:38:50: [INFO] Add SW67 footprint
