=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:20: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreANAgzgW1ggE4D2ALgPoCmkAjDeAL5bgAMGLAOgHbfds28eQwZRaY4EAB4EWAOgBMAVmZ4C4RszadhXLeIjR4SAIamzGhDXb6oaxJAeOLrDPWZW3CNvPHgrPzQwAZl8rEMCAFlCMKMDFaPjAgDZBbisxdwwUnXSbQwREM3NmAHcCeSYvDGRUrnlrLCkZBWUEMvgK5NqPPLtHJ0qXGp16zz9q2tHwAF0MACgwcGl4GllkVtsjQqLjX3a4VcVBoIaJTYL+h2cp5hOx+oCEE8fwevCn4N962I+f14xEh9Af9soIThkPqChODelsdrtSgRDoN6sMwacmvA5OtEStZEdmPUodw7rCLpdnCdiVxSYSJjpSbMFpiDvjmPkTDs9ki1gSEMoIQY+hTBhFXL5lGMxS9lC8xe9wMoFWK-so-mLgcpgWLqWLBedOUVuR0WoNlLqMUseWw2uVTcwdbUxZ4hVtLtAzVkneKmYtlgd2XZ4ca4PJ7QhkJaOfYRcwkuLmJGxvGXpGXvGFZGFfG-pG-vHgZHAa6CsHcaz1oN49SBWSkGh0FX6YJa40DdsjYNI2ihPH9f65Bt9mHK3GvTpJXWUA3kL5VEYSBRqHRnN3avGBDpapR6L6WVYENGyzh8EYQ6slIMABzsWqR-X7C988AATktj-D4BvLvb7pDSU-G8glqG99SPLlrwBWo3whV8oJ0GDfBvalELbaMZ1nQY3ySJDql8N9Zz3K0VhUU8iDIKhaDGD9L2YUC71cWpt0eFkww2cCjVItRz0-N95BAhMzmjP9yzDWiECAgSf2HXksJiKSp2PcAaOfG9FGgwSIBUuT1IQzTfwpctB2YAATAhSEIABXShBg03d5j9AgIl5UTZOYPiBJY9slO0ujgk8qcRNtE1xLgiIArQoMuXLJ9IN0wQ+MCwzgrgbENjM+ALOs2y9K8jjzEglCMB8Ij-WcnFD2FfoQxHZ8PJ0ICpwwucyPARdKJXGLAP8hqeqYoRKDyqqnC4s9XNCt9wt694S0NAq-PioQ3wVN9Fu4ZampnFq1Ha5d6EKjTgK3HQdxmaYgA
13:31:24: [INFO] Add SW41 footprint
13:31:24: [INFO] Add D41 footprint
13:31:24: [INFO] Add SW42 footprint
13:31:24: [INFO] Add D42 footprint
13:31:24: [INFO] Add SW43 footprint
13:31:24: [INFO] Add D43 footprint
13:31:24: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:24: [INFO] Add ST43 footprint
13:31:24: [INFO] Add SW43a footprint
13:31:24: [INFO] Add SW44 footprint
13:31:24: [INFO] Add D44 footprint
13:31:24: [INFO] Add SW45 footprint
13:31:24: [INFO] Add D45 footprint
13:31:24: [INFO] Add SW46 footprint
13:31:24: [INFO] Add D46 footprint
13:31:24: [INFO] Add SW47 footprint
13:31:24: [INFO] Add D47 footprint
13:31:24: [INFO] Add SW48 footprint
13:31:24: [INFO] Add D48 footprint
13:31:24: [INFO] Add SW49 footprint
13:31:24: [INFO] Add D49 footprint
13:31:24: [INFO] Add SW49a footprint
13:31:24: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:31:24: [INFO] Add ST49a footprint
13:31:24: [INFO] Add SW50 footprint
13:31:24: [INFO] Add D50 footprint
13:31:24: [INFO] Add SW51 footprint
13:31:24: [INFO] Add D51 footprint
13:31:24: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:24: [INFO] Add ST51 footprint
13:31:24: [INFO] Add SW52 footprint
13:31:24: [INFO] Add D52 footprint
13:31:24: [INFO] Add SW53 footprint
13:31:24: [INFO] Add D53 footprint
13:31:24: [INFO] Add SW54 footprint
13:31:24: [INFO] Add D54 footprint
13:31:24: [INFO] Add SW55 footprint
13:31:24: [INFO] Add D55 footprint
13:31:24: [INFO] Add SW56 footprint
13:31:24: [INFO] Add D56 footprint
13:31:24: [INFO] Add SW57 footprint
13:31:25: [INFO] Add D57 footprint
13:31:25: [INFO] Add SW57a footprint
13:31:25: [INFO] Add SW58 footprint
13:31:25: [INFO] Add D58 footprint
13:31:25: [INFO] Add SW58a footprint
13:31:25: [INFO] Add SW59 footprint
13:31:25: [INFO] Add D59 footprint
13:31:25: [INFO] Add SW60 footprint
13:31:25: [INFO] Add D60 footprint
13:31:25: [INFO] Add ST60 footprint
13:31:25: [INFO] Add SW60a footprint
13:31:25: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:25: [INFO] Add ST60a footprint
13:31:25: [INFO] Add SW60b footprint
13:31:25: [INFO] Add SW60c footprint
13:31:25: [INFO] Add SW61 footprint
13:31:25: [INFO] Add D61 footprint
13:31:25: [INFO] Add SW61a footprint
13:31:25: [INFO] Add SW62 footprint
13:31:25: [INFO] Add D62 footprint
13:31:25: [INFO] Add SW62a footprint
13:31:25: [INFO] Add SW63 footprint
13:31:25: [INFO] Add D63 footprint
13:31:25: [INFO] Add SW64 footprint
13:31:25: [INFO] Add D64 footprint
13:31:25: [INFO] Add SW65 footprint
13:31:25: [INFO] Add D65 footprint
13:31:25: [INFO] Add SW65a footprint
13:31:25: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:31:25: [INFO] Add ST65a footprint
13:31:25: [INFO] Add SW66 footprint
13:31:25: [INFO] Add D66 footprint
13:31:25: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
