=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:02: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsAaO4CetFIMwAcG4AxruAMQDstd4AviQIxoLgYTTwBMSP6TOXhVSY8YxII0PDnC65CSaiiaZ0sgLpoAUGCi5mywdlwBaZIWJCKlAIYPHkzNPacyt8RLXhpzOQrwzMgqPuj+7sKY9o4OcuAA7rg8YWjUADoAdllZrgEGQfyqJOgIOdmZfvHoGRW5aP7aeoF4AiQ48BZIzDwkUVR09D69bvIFcD1I0jYilF5izuAAbDLgTfrcE6jt5pbWHrOxcSRJhcWYrBFj-XPzi6yy7pvBRT4rV8ts+adb55-Ua10+g6cC6PT6tkGtEW+C+6xaRjamBBXSsEMOR3iPyMoRIvSuEBu83Iw1WT1wAE5jD5qGTMLSCQdolCASdkq8SLSAfDxqwZtEjnYseyBD5YYyiXcxXSWlTRSRiI9MMQJbZBcLeNSFWlyllWKMWsgTNitcq2LrMpd4sRauUrTznmyzj4ACwNfLPfDbTAmv4UuFAiAAJ0MvUwQc2LuMJCDIKMJhRRmmTNEUqkaHw8WkLqzaBQuaWgOa4y6f1YmZYaBzlfzlcLDt2HMwvQrzar8V6tbb9cD42Q8swsNb4Fh1cHefisJ7xee3sSIr+bq7hLVmNdaGnwMbaJ9hlQ68zPJDnXB4eebvDcaKJE2ZijCfMSfR0WJi3QhZKE8-Y-A6EPvdvP4Vg-TAVi7T4fxWf8Z3MKNcXpDd4lpcDaR-WloI2cwUCbcBiBA3CvzNH9iAwlozGwpF501eDwH9fMG06PgH06SxaX5Kh1SdX4fH9Q9NCAA
13:36:07: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:36:07: [INFO] Add ST66 footprint
13:36:07: [INFO] Detected layout convertible to matrix annotated keyboard
13:36:07: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:36:07: [INFO] Layout offset: (38100000, 21336000)
13:36:07: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:36:07: [INFO] Placing additional elements for SW66
13:36:07: [INFO] Placing additional elements for SW65
13:36:07: [INFO] Placing additional elements for SW64
13:36:07: [INFO] Placing additional elements for SW63a
13:36:07: [INFO] Placing additional elements for SW63
13:36:07: [INFO] Placing additional elements for SW62
13:36:07: [INFO] Placing additional elements for SW61
13:36:07: [INFO] Placing additional elements for SW60
13:36:07: [INFO] Placing additional elements for SW59
13:36:07: [INFO] Placing additional elements for SW58
13:36:07: [INFO] Placing additional elements for SW57
13:36:07: [INFO] Placing additional elements for SW56
13:36:07: [INFO] Placing additional elements for SW55
13:36:07: [INFO] Placing additional elements for SW54
13:36:07: [INFO] Placing additional elements for SW53
13:36:07: [INFO] Placing additional elements for SW52
13:36:07: [INFO] Placing additional elements for SW51
13:36:07: [INFO] Placing additional elements for SW50
13:36:07: [INFO] Placing additional elements for SW49
13:36:07: [INFO] Placing additional elements for SW48
13:36:07: [INFO] Placing additional elements for SW47
13:36:07: [INFO] Placing additional elements for SW46
13:36:07: [INFO] Placing additional elements for SW45
13:36:07: [INFO] Placing additional elements for SW44
13:36:07: [INFO] Placing additional elements for SW43
13:36:07: [INFO] Placing additional elements for SW42
13:36:07: [INFO] Placing additional elements for SW41
13:36:07: [INFO] Placing additional elements for SW40a
13:36:07: [INFO] Placing additional elements for SW40
13:36:07: [INFO] Placing additional elements for SW39
13:36:07: [INFO] Placing additional elements for SW38
13:36:07: [INFO] Placing additional elements for SW37
13:36:07: [INFO] Placing additional elements for SW36
13:36:07: [INFO] Placing additional elements for SW35
13:36:07: [INFO] Placing additional elements for SW34
13:36:07: [INFO] Placing additional elements for SW33
13:36:07: [INFO] Placing additional elements for SW32
13:36:07: [INFO] Placing additional elements for SW31
13:36:07: [INFO] Placing additional elements for SW30
13:36:07: [INFO] Placing additional elements for SW29
13:36:07: [INFO] Placing additional elements for SW28
13:36:07: [INFO] Placing additional elements for SW27
13:36:07: [INFO] Placing additional elements for SW26
