=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:42:29: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreAvgGgQBi7uDhAB6xy4B0ATAKw5TlKQuuYP4CMReW1P4fAGYepclTrZeAFgH5acrADZR4MvAm0pgrMkUAORQE5wAXSwAoMGvLJKyLQ066Bzw06wnzViAE9yALRUDgzQ8EgAhlHR7AjOhMSM4YisbNrO3B78HiIesh4KiWEIiNExDADu5JyUjnHKADoAds3N+ITe1lXwNXXg1AStLU3tqsXMqdDaA5xDbQQCA9RzIwsMA0Iro+tY0ltrCAO0+wlwEOOlZRGx-Y3D86diPTT0CBdo6NNYhp3nTJdlATdOA1SQMISDe5NeICCGzKEwor-SbQSrkITaCGbBEHP7JK7XTFYY44x7gYGgvoQpQrRFnGwaF6hf4fVA3CF6cHfWGeMyWazqOBKJkIfyM17k6oi8AAC3IAwQFX4zwlMuVIIYJHVQReXxpUK4fJ8SRKKKBUrBh0hQ0NO3hNqwmStywNjsWWGxDqdtz2ru9R323F+4DFFGlFwJ7OtwwyPPtMbdSOSZrR8AxXM9CadeJKkdTIN1XJJQ1jiQphYQ1Npbs64AhuGr2Xp5ctdcdjbGyMm5rTRMzzWcTZzkSuPYLrYhxYTTbb+pLfCNXQtVOjA49qhbK-ja9y9IuKcV8vsK-70PXSdzo-zlKJU53PLnCZEwc3RIbOPyzeXRO3Z8-w5Sbt83TSsPWrf8TRHQFb3Ah9YJfb8uXfedClA39nFQgCD0leBqGPPtq0wyCAXKQ9ngnYlCI3RDQMfNcFAQ8iV2QhMVESQUanwN4u1SMcQLbU9nDY+kOMoLjiLzMjxxXOizxUUxTCAA
13:42:32: [INFO] Adding track segment (B.Cu): [(207327500, 94932500), (207327500, 100072500)]
13:42:32: [INFO] Adding track segment (B.Cu): [(207327500, 100072500), (209867500, 102612500)]
13:42:32: [INFO] Routing SW34 with D34
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW34:2' at (188277500, 94932500) with pad 'D34:2' at (190817500, 102612500) using coordinate system rotated by 0 degree(s)
13:42:32: [INFO] Adding track segment (B.Cu): [(188277500, 94932500), (188277500, 100072500)]
13:42:32: [INFO] Adding track segment (B.Cu): [(188277500, 100072500), (190817500, 102612500)]
13:42:32: [INFO] Routing SW33a with D33
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW33a:2' at (164465000, 94932500) with pad 'D33:2' at (164623750, 102612500) using coordinate system rotated by 0 degree(s)
13:42:32: [INFO] Routing SW33 with D33
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW33:2' at (162083750, 94932500) with pad 'D33:2' at (164623750, 102612500) using coordinate system rotated by 0 degree(s)
13:42:32: [INFO] Routing SW32c with D32
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW32c:2' at (145415000, 94932500) with pad 'D32:2' at (143192500, 102612500) using coordinate system rotated by 0 degree(s)
13:42:32: [INFO] Routing SW32b with D32
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW32b:2' at (143033750, 94932500) with pad 'D32:2' at (143192500, 102612500) using coordinate system rotated by 0 degree(s)
13:42:32: [INFO] Routing SW32a with D32
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW32a:2' at (138271250, 94932500) with pad 'D32:2' at (143192500, 102612500) using coordinate system rotated by 0 degree(s)
13:42:32: [INFO] Routing SW32 with D32
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW32:2' at (140652500, 94932500) with pad 'D32:2' at (143192500, 102612500) using coordinate system rotated by 0 degree(s)
13:42:32: [INFO] Routing SW31d with D31
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW31d:2' at (100171250, 94932500) with pad 'D31:2' at (105092500, 102612500) using coordinate system rotated by 0 degree(s)
13:42:32: [INFO] Routing SW31c with D31
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW31c:2' at (107315000, 94932500) with pad 'D31:2' at (105092500, 102612500) using coordinate system rotated by 0 degree(s)
13:42:32: [INFO] Routing SW31b with D31
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW31b:2' at (104933750, 94932500) with pad 'D31:2' at (105092500, 102612500) using coordinate system rotated by 0 degree(s)
13:42:32: [INFO] Routing SW31a with D31
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW31a:2' at (97790000, 94932500) with pad 'D31:2' at (105092500, 102612500) using coordinate system rotated by 0 degree(s)
13:42:32: [INFO] Routing SW31 with D31
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW31:2' at (102552500, 94932500) with pad 'D31:2' at (105092500, 102612500) using coordinate system rotated by 0 degree(s)
13:42:32: [INFO] Routing SW30c with D30
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW30c:2' at (66833750, 94932500) with pad 'D30:2' at (66992500, 102612500) using coordinate system rotated by 0 degree(s)
13:42:32: [INFO] Routing SW30b with D30
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW30b:2' at (62071250, 94932500) with pad 'D30:2' at (66992500, 102612500) using coordinate system rotated by 0 degree(s)
13:42:32: [INFO] Routing SW30a with D30
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW30a:2' at (59690000, 94932500) with pad 'D30:2' at (66992500, 102612500) using coordinate system rotated by 0 degree(s)
13:42:32: [INFO] Routing SW30 with D30
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW30:2' at (64452500, 94932500) with pad 'D30:2' at (66992500, 102612500) using coordinate system rotated by 0 degree(s)
13:42:32: [INFO] Routing SW29a with D29
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW29a:2' at (40640000, 94932500) with pad 'D29:2' at (45561250, 102612500) using coordinate system rotated by 0 degree(s)
13:42:32: [INFO] Routing SW29 with D29
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW29:2' at (43021250, 94932500) with pad 'D29:2' at (45561250, 102612500) using coordinate system rotated by 0 degree(s)
13:42:32: [INFO] Routing SW28 with D28
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW28:2' at (207327500, 75882500) with pad 'D28:2' at (209867500, 83562500) using coordinate system rotated by 0 degree(s)
13:42:32: [INFO] Adding track segment (B.Cu): [(207327500, 75882500), (207327500, 81022500)]
13:42:32: [INFO] Adding track segment (B.Cu): [(207327500, 81022500), (209867500, 83562500)]
13:42:32: [INFO] Routing SW27a with D27
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW27a:2' at (162083750, 66357500) with pad 'D27:2' at (167005000, 83562500) using coordinate system rotated by 0 degree(s)
13:42:32: [INFO] Routing SW27 with D27
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW27:2' at (164465000, 75882500) with pad 'D27:2' at (167005000, 83562500) using coordinate system rotated by 0 degree(s)
13:42:32: [INFO] Routing SW26a with D26
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW26a:2' at (140652500, 75882500) with pad 'D26:2' at (147955000, 83562500) using coordinate system rotated by 0 degree(s)
13:42:32: [INFO] Routing SW26 with D26
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW26:2' at (145415000, 75882500) with pad 'D26:2' at (147955000, 83562500) using coordinate system rotated by 0 degree(s)
13:42:32: [INFO] Adding track segment (B.Cu): [(145415000, 75882500), (145415000, 81022500)]
13:42:32: [INFO] Adding track segment (B.Cu): [(145415000, 81022500), (147955000, 83562500)]
13:42:32: [INFO] Routing SW25a with D25
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW25a:2' at (121602500, 75882500) with pad 'D25:2' at (128905000, 83562500) using coordinate system rotated by 0 degree(s)
13:42:32: [INFO] Routing SW25 with D25
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW25:2' at (126365000, 75882500) with pad 'D25:2' at (128905000, 83562500) using coordinate system rotated by 0 degree(s)
13:42:32: [INFO] Adding track segment (B.Cu): [(126365000, 75882500), (126365000, 81022500)]
13:42:32: [INFO] Adding track segment (B.Cu): [(126365000, 81022500), (128905000, 83562500)]
