=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:46: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDYB0B2ArAXwDR3BjggCwA6AdhRQAxHh4FEZWXm0LgC6OAUGOAE9YcaigBMhfAGNh4AMRpFS8Lny1q9OBGjxRk8DPjypJ0yobtN4WmKu0AzHZzEnGJ0idpN24WPHYGQgAOK0IATlCiDUCiDhiEW3jHPAhDfDkAQyzsqwB3X1VGEhYaHA1uPlTZOVMzQoQy7yhhPQY0+Wychnz4BBQA-Aa4rQNq2pNzQZxEqeSplwYGt0WcDxTm+D9MQqQcLwZdkIOcCOOEaPxdhGHwK5nbojmIHsR+naIyVgoG8t5gcDEjXWOhE-Ta1U6WTywj62wYgOGVSMNXGkwB0ysgLm6IW+EByzxqyaIK2A3AaD2VgpR3wFNOtKiVNiTISTXaCiUimhm38hQpxS+5B+XD+SPS4xkhXsQJGINa0ghkO5cD8EilRBKQplYuMqPV2OluPA0oJxqJDGl+1lvl5DCCOBp4Ht9KdjLtzPdrPW7MhGWVqrJ9oQ9k1gIuOpRtTRQbcFX4IL6+h9Su6MNt+GI2vALz6aoYmcRG1eSbGevzq010vD2ZteYze0rWZJ-lTPLh+DCDs1merzZLyN9ysThU7wdDWZzbwYo+YgrDIsqRYwYPwQl0K9GyIlQ-QZMzSEbhcne4bgulhebElbr3b4E7QW7dGnJ0fF9r-fSg+vucDj3HhfZbdCiDT4WARBd4xhVA6zvP85yfDsPn-KwZ2QuMfF6e1VxaXdwWRTkuW-Ft8AAC18bpbF6DcSMoxAGEgWiAFpRBg-lZxYIYIIwxAKQVLcywZMdBU49Ci0TPDPxTfBJxg89NU471SyjdUxHkuhOE4IA
13:29:51: [INFO] Placing additional elements for SW70
13:29:51: [INFO] Placing additional elements for SW69
13:29:51: [INFO] Placing additional elements for SW68a
13:29:51: [INFO] Placing additional elements for SW68
13:29:51: [INFO] Placing additional elements for SW67
13:29:51: [INFO] Placing additional elements for SW66
13:29:51: [INFO] Placing additional elements for SW65a
13:29:51: [INFO] Placing additional elements for SW65
13:29:51: [INFO] Placing additional elements for SW64
13:29:51: [INFO] Placing additional elements for SW63
13:29:51: [INFO] Placing additional elements for SW62
13:29:51: [INFO] Placing additional elements for SW61
13:29:51: [INFO] Placing additional elements for SW60
13:29:51: [INFO] Placing additional elements for SW59
13:29:51: [INFO] Placing additional elements for SW58
13:29:51: [INFO] Placing additional elements for SW57
13:29:51: [INFO] Placing additional elements for SW56
13:29:51: [INFO] Placing additional elements for SW55
13:29:51: [INFO] Placing additional elements for SW54
13:29:51: [INFO] Placing additional elements for SW53
13:29:51: [INFO] Placing additional elements for SW52
13:29:51: [INFO] Placing additional elements for SW51
13:29:51: [INFO] Placing additional elements for SW50
13:29:51: [INFO] Placing additional elements for SW49
13:29:51: [INFO] Placing additional elements for SW48
13:29:51: [INFO] Placing additional elements for SW47
13:29:51: [INFO] Placing additional elements for SW46
13:29:51: [INFO] Placing additional elements for SW45
13:29:51: [INFO] Placing additional elements for SW44
13:29:51: [INFO] Placing additional elements for SW43
13:29:51: [INFO] Placing additional elements for SW42
13:29:51: [INFO] Placing additional elements for SW41a
13:29:51: [INFO] Placing additional elements for SW41
13:29:51: [INFO] Placing additional elements for SW40
13:29:51: [INFO] Placing additional elements for SW39
13:29:51: [INFO] Placing additional elements for SW38
13:29:51: [INFO] Placing additional elements for SW37
13:29:51: [INFO] Placing additional elements for SW36
