=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:30:34: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14B2VdAVm3AF0UAoMKWOAJjXAE9GBaDAOmNaxNccfIwCMJTCgAsw0fFKTysvA3gTW5IdTry45dB3jceADkUCUpOWsRKrVWvSNwThC+iwZhUsTYJwYhpkKH6aKN469AEIrC5ukmIUqgH86ABsFFF6LIZcvGngSUIp4oky-owe4JkqIrbBNSjaTnoG7Plm1UnWpfDIrJnW2R3GBd0RPklh9QFBkpkzEADGjOAAxIRb2+ALkyMxcZ2ErKvwG8uXV7usLDh9cIUnOAeMuaOuBZIsJbNltxUHtUTnU9I0Ti1dLZ2vFeOZvg4HgN0Cdhq0Pm52md0JttlsbugWN5VNiLldLgTwCwlg1waEfCdIujDnkxnxJLF7n8iJJTFlmW8jmzCrFfmCOYDufpeZLxaw+ZDolUhZ8uhLelLeNJWABnAC2awATgB7AAuAH0AKbLIKU7WkAA6ADtna6Xe63c7LTSArxkeAAJxWT0e0Nuy1i2x+3UG86UvloqGwvhYtbrACGmazPn1RrNVptfglGBDWDEIZDluJ9VJ63JFJja0psR94kafJptaz2cb5xNFuttplJdD0wroctXL0nDE7VzceLpcmDzE-r5I7dSSZUJZGK+rG1rZ5rCDfle8HeycK2urcvQ2sjAWqQcf-3QQe39ENb3ehqfPFidBDRcaQeGkdoAAtxB4aptRedE-0YdIwNONN61WVgoPUGDJG1WQRm-YwmF-AJTB4TJ0ACGceCwdAu27dMfCwwIcJPfkoUQ+AAz4VgqLEGjMOg58KkoSggA
13:30:36: [INFO] Add SW17 footprint
13:30:36: [INFO] Add D17 footprint
13:30:36: [INFO] Add SW18 footprint
13:30:36: [INFO] Add D18 footprint
13:30:36: [INFO] Add SW19 footprint
13:30:36: [INFO] Add D19 footprint
13:30:36: [INFO] Add SW19a footprint
13:30:36: [INFO] Add SW20 footprint
13:30:36: [INFO] Add D20 footprint
13:30:36: [INFO] Add SW21 footprint
13:30:36: [INFO] Add D21 footprint
13:30:36: [INFO] Add SW22 footprint
13:30:36: [INFO] Add D22 footprint
13:30:36: [INFO] Add SW23 footprint
13:30:36: [INFO] Add D23 footprint
13:30:36: [INFO] Add SW24 footprint
13:30:36: [INFO] Add D24 footprint
13:30:36: [INFO] Add SW25 footprint
13:30:36: [INFO] Add D25 footprint
13:30:36: [INFO] Add SW26 footprint
13:30:36: [INFO] Add D26 footprint
13:30:36: [INFO] Add SW27 footprint
13:30:36: [INFO] Add D27 footprint
13:30:36: [INFO] Add SW28 footprint
13:30:36: [INFO] Add D28 footprint
13:30:36: [INFO] Add SW29 footprint
13:30:37: [INFO] Add D29 footprint
13:30:37: [INFO] Add SW30 footprint
13:30:37: [INFO] Add D30 footprint
13:30:37: [INFO] Add SW31 footprint
13:30:37: [INFO] Add D31 footprint
13:30:37: [INFO] Add SW32 footprint
13:30:37: [INFO] Add D32 footprint
13:30:37: [INFO] Add SW33 footprint
13:30:37: [INFO] Add D33 footprint
13:30:37: [INFO] Add SW34 footprint
13:30:37: [INFO] Add D34 footprint
13:30:37: [INFO] Add SW35 footprint
13:30:37: [INFO] Add D35 footprint
13:30:37: [INFO] Add SW36 footprint
