=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:28: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0SA0dwGNZYMQCGxJ4AvpuAMzoBsAOgHZNMAM6C4lATOgOwtmjdpwC66AFBgoebmkoBPPKxTcMWXPHD4+uveUrtWXOBGjwVaypoLY79g1gTpjhjifDPOb7ibPLVdRw8bRJSCid0XzcqD2dYtwAWPxkLQOsQ-HsHCM90ZLckOPQit1oU8zhLIJtQsMJHPPLMfzS1XOc+D3YADmK+8SlWuDkgpTaazOy7Rt5XLBp58F5vBfceKI8aaKxeBLX95fyt443StfOj5tNgrSJ6jwB3WVyaBiE2FwqA9soaLo2fT+6AGkmklW4vCw4zgAFpqhk7np9JRnvAEOksAALWSo3zo+TY-GISiQYnwwK5IyCJhecCDcGyQngGEUviTO71BqovAYpC5RJfFq3WzTRoYJaC1bgDDSwU7GWbSiCw4YQ6CgpYDCa8CCy4YS6C64QNGINC5DDvQTOebDBEaTJc8X8DyCoFakH0sHDbjOaF4ClWB13aa4KkuGmMOkMn3M1kqdmIghOnkE9m5WhCm61LJi3J8LPgTPSgvSzMKgsKzOHAuHTM6gs6zOXAvnCA55G6J5M35YAtWoQ2r1DVIjP0sgP2kV1MLdtP8yg9OiRlYeACcy4+jFXMYn8DZQVNGN74CXrEjNGlG-PW8v3wmqZGlMXEdvWfbUzzL6v6ywS4VG4KkuhwbocS46huOpLpcG5ttO9yzo+cjpi+A5MHM95mkG8Gdl0uRLqCI4QsyOYplgR7mpQCBGHEQ7ChRC5OCIKQ5qGc5wHwHTxCxjoPI+fIdOw1yeM4xrgAxgkusKlRTh2naNAgnRxL0tGeqIohAA
13:32:32: [INFO] Add SW59 footprint
13:32:32: [INFO] Add D59 footprint
13:32:32: [INFO] Add SW60 footprint
13:32:32: [INFO] Add D60 footprint
13:32:32: [INFO] Add SW61 footprint
13:32:32: [INFO] Add D61 footprint
13:32:32: [INFO] Add SW62 footprint
13:32:32: [INFO] Add D62 footprint
13:32:32: [INFO] Add SW63 footprint
13:32:32: [INFO] Add D63 footprint
13:32:32: [INFO] Add SW64 footprint
13:32:32: [INFO] Add D64 footprint
13:32:32: [INFO] Add SW65 footprint
13:32:32: [INFO] Add D65 footprint
13:32:32: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:32: [INFO] Add ST65 footprint
13:32:32: [INFO] Add SW66 footprint
13:32:32: [INFO] Add D66 footprint
13:32:32: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:32: [INFO] Add ST66 footprint
13:32:32: [INFO] Add SW66a footprint
13:32:33: [INFO] Add SW67 footprint
13:32:33: [INFO] Add D67 footprint
13:32:33: [INFO] Add SW68 footprint
13:32:33: [INFO] Add D68 footprint
13:32:33: [INFO] Add SW69 footprint
13:32:33: [INFO] Add D69 footprint
13:32:33: [INFO] Add SW70 footprint
13:32:33: [INFO] Add D70 footprint
13:32:33: [INFO] Add SW71 footprint
13:32:33: [INFO] Add D71 footprint
13:32:33: [INFO] Add SW72 footprint
13:32:33: [INFO] Add D72 footprint
13:32:33: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:32:33: [INFO] Add ST72 footprint
13:32:33: [INFO] Add SW72a footprint
13:32:33: [INFO] Add SW73 footprint
13:32:33: [INFO] Add D73 footprint
13:32:33: [INFO] Add SW74 footprint
13:32:33: [INFO] Add D74 footprint
