=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:20: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoCsAaO4Ces4EYBfDcABjQXAwmngHZUjMAWc8AXTQCgwpcAmVMRzwAtCSQAOWikak0fSnGq48SErLJNFy+CgbEWCqr3ir1BtFo7cdcPekzC4YydI1oU2k4n3M0edi4eGjhxB2xcFykZYjISAB0AOySkuMU5AOMQvFUYv08LADYU5MS8NBJAm29CwUdI8UK+PLli0qS+Cq9s33AWBPbE-qrg3GRwpxc3YnKKLNx6FvQKa1H4AQmG1xbyoyVvM1lyrXndXvQ920PidCsg23shLeijj26x8-8R2zCn0XEXjMKiVUl0gZl9tlcrJ0AVMOg2iVypVVrZapt-kgmjs0IjSggwZCVJ8BiV0Cj7t5xn9nOJpphOnMiXReoVWKjvBsaVF6eBOpcDmpZJ0Tsy7Kz5O9TELiGy7tUQo96pjAQy3qcfC02QEOSFfsradthcDBmliJ0IVdobL1Zg2Xiksjvt4WAaXHhmrICUy0b1aOzKXq6hEVdJiAATXAAFwATgBXACm7lJpTIloO1MwkfgscTshYDrKX11uH14GzcFzSaBKdB6eymfL0fj1fhuJBRZ1gdw6O54g94QAzgBbXDgGMAeyjAH0EwBjHLgdyFi0djsJyoa61+WtDfxrwYJhQl+BlyYAsOYEdj9IVqvG3dpqX4Rt3luye0d8pdhU94PnpAB2Ia94HHKdZwXAJXkLAk8APEoE3rYklhNMl90GdcVm7eBewNcRmmA0dQNvZs81idtBn5Z9cgjUjWz6VDSkMZ0Qlwpsc3fIEYMlLdgzfMi213C5nRjFRwhjEImGDGMnAATkA4gQhcDFnCkiQWgJY9KVE+AEDITAJNwPRXXHOSkAJTAlNUEzJj0EhwgAC2Qr1i20yI9OIQzTFUcpLNLJAbMiOzHOc4h-U8DkdOcPBxOyToDLM3zvGU7k1Jaf0rDYIA
13:35:23: [INFO] Placing additional elements for SW25
13:35:23: [INFO] Placing additional elements for SW24a
13:35:23: [INFO] Placing additional elements for SW24
13:35:23: [INFO] Placing additional elements for SW23
13:35:23: [INFO] Placing additional elements for SW22
13:35:23: [INFO] Placing additional elements for SW21
13:35:23: [INFO] Placing additional elements for SW20
13:35:23: [INFO] Placing additional elements for SW19
13:35:23: [INFO] Placing additional elements for SW18
13:35:23: [INFO] Placing additional elements for SW17
13:35:23: [INFO] Placing additional elements for SW16
13:35:23: [INFO] Placing additional elements for SW15
13:35:23: [INFO] Placing additional elements for SW14a
13:35:23: [INFO] Placing additional elements for SW14
13:35:23: [INFO] Placing additional elements for SW13
13:35:23: [INFO] Placing additional elements for SW12
13:35:23: [INFO] Placing additional elements for SW11
13:35:23: [INFO] Placing additional elements for SW10
13:35:23: [INFO] Placing additional elements for SW9
13:35:23: [INFO] Placing additional elements for SW8
13:35:23: [INFO] Placing additional elements for SW7a
13:35:23: [INFO] Placing additional elements for SW7
13:35:23: [INFO] Placing additional elements for SW6
13:35:23: [INFO] Placing additional elements for SW5
13:35:23: [INFO] Placing additional elements for SW4
13:35:23: [INFO] Placing additional elements for SW3
13:35:23: [INFO] Placing additional elements for SW2
13:35:23: [INFO] Placing additional elements for SW1
13:35:23: [INFO] Routing SW46 with D46
13:35:23: [INFO] Using internal autorouter method
13:35:23: [INFO] Routing pad 'SW46:2' at (223105211, 120557620) with pad 'D46:2' at (229144915, 125938694) using coordinate system rotated by 330.0 degree(s)
13:35:23: [INFO] Adding track segment (B.Cu): [(223105211, 120557620), (225675209, 125008989)]
13:35:23: [INFO] Adding track segment (B.Cu): [(225675209, 125008989), (229144915, 125938694)]
13:35:23: [INFO] Routing SW45 with D45
13:35:23: [INFO] Using internal autorouter method
