=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:34:00: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14AOVdAFm3AF0UAoMKWOAJjXAE9GBaDAOkIHYSmFE1xx8jAIxCspMRPgA2IeTl4G8aa3KjqdBXACsrDvG59irLIfka4pFSht76puOYGsAxo3ABifkCg8BkUDAAdADsoqKwMWx94fy8U1JCrFElbAjhJJkcs9UT0PwBDcor0sjCY6MjJMKpaehyEEy5eBEJvXz9UtKEGnHUcy3RjHBcDFnQ3D0FWBtERqUGUNXE7ZVZjDYMtcZEm-TtjWY6LNZsV+Acdp2PXC890Yv8KyrWIutjGot7+ikquAGoVNjk8kJjGCIG8yh9SsDjN9ag14lM7G1zmZOt1XgDAcCWMNwYwxuBFBQMTkZuxngt0CxlqTNEIWHstkJKRyIVyjtTGGc6TjLqwWNcWfY+c5mhA5rwXuA4QjEWyaj9InEEgT+kTMtkpPlWJSYUreirgZSUXU0Y8DAgeEL5TxJMhWG1mQZ+DwMEJ+PzZXZSI72iKBEI2iSDIYfX6qYG4UFgqwACaMAAuACcAK4AU1C1t+poh5HxSXhHzE4DT8Czecchfq+oxNbgdfzi3VtSwxakperGZzHcOjdBdoHtaHasbPYNmn7rfbfNHzcDmcYCCw6Ezo1YOV4DWxiB4TCFiaT-GBbRlJ33Loj63H67Mm73XEkLtD7iYsdY-pvLTvvef6PpQlBAA
13:34:03: [INFO] Routing pad 'SW18:2' at (135890000, 75882500) with pad 'D18:2' at (138430000, 83562500) using coordinate system rotated by 0 degree(s)
13:34:03: [INFO] Adding track segment (B.Cu): [(135890000, 75882500), (135890000, 81022500)]
13:34:03: [INFO] Adding track segment (B.Cu): [(135890000, 81022500), (138430000, 83562500)]
13:34:03: [INFO] Routing SW17 with D17
13:34:03: [INFO] Using internal autorouter method
13:34:03: [INFO] Routing pad 'SW17:2' at (116840000, 73596500) with pad 'D17:2' at (119380000, 81276500) using coordinate system rotated by 0 degree(s)
13:34:03: [INFO] Adding track segment (B.Cu): [(116840000, 73596500), (116840000, 78736500)]
13:34:03: [INFO] Adding track segment (B.Cu): [(116840000, 78736500), (119380000, 81276500)]
13:34:03: [INFO] Routing SW16 with D16
13:34:03: [INFO] Using internal autorouter method
13:34:03: [INFO] Routing pad 'SW16:2' at (97790000, 71120000) with pad 'D16:2' at (100330000, 78800000) using coordinate system rotated by 0 degree(s)
13:34:03: [INFO] Adding track segment (B.Cu): [(97790000, 71120000), (97790000, 76260000)]
13:34:03: [INFO] Adding track segment (B.Cu): [(97790000, 76260000), (100330000, 78800000)]
13:34:03: [INFO] Routing SW15 with D15
13:34:03: [INFO] Using internal autorouter method
13:34:03: [INFO] Routing pad 'SW15:2' at (78740000, 73596500) with pad 'D15:2' at (81280000, 81276500) using coordinate system rotated by 0 degree(s)
13:34:03: [INFO] Adding track segment (B.Cu): [(78740000, 73596500), (78740000, 78736500)]
13:34:03: [INFO] Adding track segment (B.Cu): [(78740000, 78736500), (81280000, 81276500)]
13:34:03: [INFO] Routing SW14 with D14
13:34:03: [INFO] Using internal autorouter method
13:34:03: [INFO] Routing pad 'SW14:2' at (59690000, 78359000) with pad 'D14:2' at (62230000, 86039000) using coordinate system rotated by 0 degree(s)
13:34:03: [INFO] Adding track segment (B.Cu): [(59690000, 78359000), (59690000, 83499000)]
13:34:03: [INFO] Adding track segment (B.Cu): [(59690000, 83499000), (62230000, 86039000)]
