=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:46: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoDsBWANHcBjW2BiAQxNPAF8twEMEAdAO0cZoXCwj3nAJz-4pUaARmZMGrdthoAmMS1pTqGAMzyJioRgAs6yVrR7NcCNHjDUaStm3Hwt4Utsynq19qmd8PUmWv2MNHAAXQwAKDAofGF-YVojNg5cb15+PkFsONFxBUTMjDkcjTzwOLUi-XzdCrs4wxq802jLf0wSzEcqTBcut16PXqDQiKbzJBlMbC5CXxIM8Bl4hs9k7lS0+cXssUqFgoSlRfKdu0Xqk5LF+ouVszgLdH8ANjsXzuwXno++74GTVZms3mLyG4UidwsVioKiWN2hGG24l2MMKcOwMOOSLsMPOWMaAJ4aXS-hh1zxt2ajyoKGMXjWsyI8xp73ANK+rJ+HL+HNBIyi8Bk40m4AAnvhkFDpLCse86YQiXh-CIjCzZCqlDRMQpVTp1QZ1cNwfhFlMUgz5nF6DVZQT1gJYgi9flUTKlGUnaVdda3YEDWDRvdLFRpj4gf5FlaTjaQ3biVQth7Fi7tYdVImvVHU2SU4aA5Dg2aw-DI674YiU-DkxoWRiPTinXLCUT5qSDcEgA
13:28:50: [INFO] Placing additional elements for SW14a
13:28:50: [INFO] Placing additional elements for SW14
13:28:50: [INFO] Placing additional elements for SW13a
13:28:50: [INFO] Placing additional elements for SW13
13:28:50: [INFO] Placing additional elements for SW12a
13:28:50: [INFO] Placing additional elements for SW12
13:28:50: [INFO] Placing additional elements for SW11a
13:28:50: [INFO] Placing additional elements for SW11
13:28:50: [INFO] Placing additional elements for SW10a
13:28:50: [INFO] Placing additional elements for SW10
13:28:50: [INFO] Placing additional elements for SW9a
13:28:50: [INFO] Placing additional elements for SW9
13:28:50: [INFO] Placing additional elements for SW8a
13:28:50: [INFO] Placing additional elements for SW8
13:28:50: [INFO] Placing additional elements for SW7a
13:28:50: [INFO] Placing additional elements for SW7
13:28:50: [INFO] Placing additional elements for SW6a
13:28:50: [INFO] Placing additional elements for SW6
13:28:50: [INFO] Placing additional elements for SW5a
13:28:50: [INFO] Placing additional elements for SW5
13:28:50: [INFO] Placing additional elements for SW4a
13:28:50: [INFO] Placing additional elements for SW4
13:28:50: [INFO] Placing additional elements for SW3a
13:28:50: [INFO] Placing additional elements for SW3
13:28:50: [INFO] Placing additional elements for SW2a
13:28:50: [INFO] Placing additional elements for SW2
13:28:50: [INFO] Placing additional elements for SW1a
13:28:50: [INFO] Placing additional elements for SW1
13:28:50: [INFO] Routing SW48 with D48
13:28:50: [INFO] Using internal autorouter method
13:28:50: [INFO] Routing pad 'SW48:2' at (316865000, 90170000) with pad 'D48:2' at (319405000, 97850000) using coordinate system rotated by 0 degree(s)
13:28:50: [INFO] Adding track segment (B.Cu): [(316865000, 90170000), (316865000, 95310000)]
13:28:50: [INFO] Adding track segment (B.Cu): [(316865000, 95310000), (319405000, 97850000)]
13:28:50: [INFO] Routing SW47 with D47
13:28:50: [INFO] Using internal autorouter method
13:28:50: [INFO] Routing pad 'SW47:2' at (297815000, 90170000) with pad 'D47:2' at (300355000, 97850000) using coordinate system rotated by 0 degree(s)
13:28:50: [INFO] Adding track segment (B.Cu): [(297815000, 90170000), (297815000, 95310000)]
13:28:50: [INFO] Adding track segment (B.Cu): [(297815000, 95310000), (300355000, 97850000)]
13:28:50: [INFO] Routing SW46 with D46
13:28:50: [INFO] Using internal autorouter method
13:28:50: [INFO] Routing pad 'SW46:2' at (278765000, 90170000) with pad 'D46:2' at (281305000, 97850000) using coordinate system rotated by 0 degree(s)
13:28:50: [INFO] Adding track segment (B.Cu): [(278765000, 90170000), (278765000, 95310000)]
