=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:27: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0B2JAaO4Ces4AGFANm3AGMDwBiAQwcfHIHcCAmAX3IUxIB0AdkKGFMCcAF1MAKDBQCCABwoAzFhz54AWmIbK1GhWMnw3HLzRTZ86PATp9WuLtLkq8WoybnwYwsxwEB44RibGZjyYAdJyEHaIqo7kzq4AnL68SIF+fIHBht4MkRZ8IsKC-jliaOWi0dZxCvYoACwpBK68OGwtSL7sDdgFnmHhJeCqDbG2iklkmp3EGeRT2eSDJDlTW8MGo0V0Ob2IKP0bmFZ7CcTs+iG04RG+U1Yz8YptHTrE3fuhh2OnwwvnaAT2DzGpl8WBiNg+9iSSicSxQKxwWHWOHauyC-y8RSB8HYKDuoMu+WaRFJ90MTyoMIp7ypDju3xcv3chUJrA4NN8ZHBeMh9ImZAkzISCCSKJ+aN8aEwWPAZFxIwBPJ6wPOOEVapZZy5o1FCqZ8JZaENizlGCNoTQDsdYrNTSlNPZrnUdoJ3iJpzJ5CUQzxJ1ZOvAaWm5qlrXd1o58vIkeVQa2ksUJCteFRtpwkMdTt8kdx4CDVxwkbe5oATooxDhqwkpg3nLG2TgblnUkl6-ioc9yGIJFFhzgxOwcrwJ4PMKpGrN7ANxNtlxdpzgphP0y0A9jVxj9+B2uvwFgt9HtabRyrMCfFSeyHPt3BBlriXHwCwJ+-c+BBAQABdqwAVwAUyLcQ6kEXghQRal9FDfkk1vKCYPnODX0-T5dwjSCKiEXhRwgE4SXbT9vxfZIcH-eAgLAiD2FQ5dmVrHQEF7RtFBJfQEm0biPRJVpw14OcZ1aSdMHEmdsmfbQexeWcckGKSN0kpSlXQqk+McRlRL3FTTzU8h2hki8dCSHDFT0m8DMVAyyFM11Oh7Xkd3DSNVCgwZYKwlpfy-PkyJouA6PA5DWi8qMnPMlBe0Q-yKNI-RgtCiDPPwwRBiIqk9Fc-13MkyKJUkIA
13:37:31: [INFO] Add SW45 footprint
13:37:31: [INFO] Add D45 footprint
13:37:31: [INFO] Add SW46 footprint
13:37:31: [INFO] Add D46 footprint
13:37:31: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:31: [INFO] Add ST46 footprint
13:37:31: [INFO] Add SW47 footprint
13:37:31: [INFO] Add D47 footprint
13:37:31: [INFO] Add SW48 footprint
13:37:31: [INFO] Add D48 footprint
13:37:31: [INFO] Add SW49 footprint
13:37:31: [INFO] Add D49 footprint
13:37:31: [INFO] Add SW50 footprint
13:37:31: [INFO] Add D50 footprint
13:37:31: [INFO] Add SW51 footprint
13:37:31: [INFO] Add D51 footprint
13:37:31: [INFO] Add SW52 footprint
13:37:31: [INFO] Add D52 footprint
13:37:31: [INFO] Add SW53 footprint
13:37:31: [INFO] Add D53 footprint
13:37:31: [INFO] Add SW54 footprint
13:37:31: [INFO] Add D54 footprint
13:37:31: [INFO] Add SW55 footprint
13:37:31: [INFO] Add D55 footprint
13:37:31: [INFO] Add SW56 footprint
13:37:31: [INFO] Add D56 footprint
13:37:31: [INFO] Add SW57 footprint
13:37:31: [INFO] Add D57 footprint
13:37:32: [INFO] Add SW58 footprint
13:37:32: [INFO] Add D58 footprint
13:37:32: [INFO] Add SW59 footprint
13:37:32: [INFO] Add D59 footprint
13:37:32: [INFO] Add SW60 footprint
13:37:32: [INFO] Add D60 footprint
13:37:32: [INFO] Add SW61 footprint
13:37:32: [INFO] Add D61 footprint
13:37:32: [INFO] Add SW62 footprint
13:37:32: [INFO] Add D62 footprint
13:37:32: [INFO] Add SW63 footprint
13:37:32: [INFO] Add D63 footprint
13:37:32: [INFO] Add SW64 footprint
13:37:32: [INFO] Add D64 footprint
13:37:32: [INFO] Add SW65 footprint
13:37:32: [INFO] Add D65 footprint
13:37:32: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:32: [INFO] Add ST65 footprint
13:37:32: [INFO] Add SW65a footprint
