=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:38: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoCsAaO4DGtMGIB2I48AXw3AAY1LwKBGGuuCaeSpBFcza+5iDnjg8WMeLIM0-CtQTNwjebLQBmBY3UqALBrS6VKPUZUA2PeZUEB2XCICGjpwoDuuBDypoAHAB0AdgEB1LQYgnaExESSmIzeNmxwHOiYQvjiEp6MBEGB-nwK1H55wdLgALpoAFBgUO6oFGkiUdGeCEwUqh0sdeycKbbCeE7OFG7w9KhtZWGD6Rk4nl0ymO3KmF3r4O1aG2oK7QZ7R9toJnvnp5Z716fWs+Nwk9wU7cW5jKE9TZFRMeBdeKzRKTLhjXCggYAC3cY3kEwamCh8KeFEgKIAtBwuJ5tD5cgFGPxKjVWPUXpg8V9wOgvmS+mDUhERo5XBCkAQKeA8StwkMFosKOgVty0Ft0Fs8bsafsKHiTugTnjLuhLnjbuhrnz8C17phHsgcXL8SV-J8FOggT1EtiBj8Bf88TlTUSKtVaj8WfY2QijZhTNICf52iKCIHTSGErhbY0Irr-gHqWG6b0kv1Y0MvT7EP1PAH6EH2in7QsE2KFGGtgHpWHpQGTmGTgHLmHLgHbmGtXMHCzs5NOXm0Hrtc0WmWreAw-ESbVEsgud5uuAAJzdelpxnd4a98G+hfh3JdFOPSGeVcF01Hmwn3MURcIINX2YljLZ0y3zCL7SPtdbrO7p4P3ARdTB-Y92T9Fc0FAy9fxtREt3jTxFz1YCfAUVdp3dddtA5AYAE9o3TJlMx3fV2X3C9DxmTBzx-XlwBvfcH1ghiXwkACCGQ-R6JsT0yMYiiz2g3jynKIA
13:29:44: [INFO] Placing additional elements for SW4
13:29:44: [INFO] Placing additional elements for SW3
13:29:44: [INFO] Placing additional elements for SW2
13:29:44: [INFO] Placing additional elements for SW1
13:29:44: [INFO] Routing SW80 with D80
13:29:44: [INFO] Using internal autorouter method
13:29:44: [INFO] Routing pad 'SW80:2' at (426402500, 109220000) with pad 'D80:2' at (428942500, 116900000) using coordinate system rotated by 0 degree(s)
13:29:44: [INFO] Adding track segment (B.Cu): [(426402500, 109220000), (426402500, 114360000)]
13:29:44: [INFO] Adding track segment (B.Cu): [(426402500, 114360000), (428942500, 116900000)]
13:29:44: [INFO] Routing SW79a with D79
13:29:44: [INFO] Using internal autorouter method
13:29:44: [INFO] Routing pad 'SW79a:2' at (354965000, 109220000) with pad 'D79:2' at (359886250, 116900000) using coordinate system rotated by 0 degree(s)
13:29:44: [INFO] Routing SW79 with D79
13:29:44: [INFO] Using internal autorouter method
13:29:44: [INFO] Routing pad 'SW79:2' at (357346250, 109220000) with pad 'D79:2' at (359886250, 116900000) using coordinate system rotated by 0 degree(s)
13:29:44: [INFO] Routing SW78a with D78
13:29:44: [INFO] Using internal autorouter method
13:29:44: [INFO] Routing pad 'SW78a:2' at (169227500, 109220000) with pad 'D78:2' at (169386250, 116900000) using coordinate system rotated by 0 degree(s)
13:29:44: [INFO] Routing SW78 with D78
13:29:44: [INFO] Using internal autorouter method
13:29:44: [INFO] Routing pad 'SW78:2' at (166846250, 109220000) with pad 'D78:2' at (169386250, 116900000) using coordinate system rotated by 0 degree(s)
13:29:44: [INFO] Routing SW77 with D77
13:29:44: [INFO] Using internal autorouter method
