=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:57: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareAvgGgQBi7uDhAB6xy4B0ArDlOUgOzMuZ34CMRcp5VATLQTR4SNOmx4s-buHwBmWfgAsSrNW694A6pLlYAbGsZqAHGoCcm8GW2VBezoXZYOXFxxkfFxG33u6HsoAOgB2YWH4zjx+doFSHNQR4aFR1rYUNHQiCIiQ+QWyAO7k-HQAJuQALgBOAK4ApnrJka7gALpYAFBg4ACe-kL0oijiyGwIHATpg3pT7jE5SAWFc9KyUz6TWKp0Uxp7hhtYJofmh1aHHNHg8wu3rl7bHFsQS6PixaVrHLsxGVR4g9Eh1usBwGVolpMkMSvAODQ9GUFm8GHkVtAkes6GUthCdrIygcEGUjDiToSsOcSVhLjTrpS3IynviXtZ3mNxnQ4XAEUDkSEUmEplDYjCsSDfBk+dzyAjBHQABalbkyeFZBCKtW8ugkbUAWh0enkrkFyXmoJ64BNooBGvAPIRjCBJpRw1yGMxdBNLJNeJNf2t6lkJrJCBNp3DVJDtJjDO9rnurqeqJGLFYsvg-ACxtNLVCIpmcWyaM5EyDkv+swTL3zFs6VuU0ylg0zcGzDjoTY4+ch7LRnvLTZZTbxTcDTeJ4CbYenFK70YXdLn8YQ3bdHLGX3Vzr03deYr5e9cGgbvWl1EozroA3ghqvQ3e6eYQ9Nlt6t7g94VwlLW70tC2q2CCOjmdC0G6oGdggtApg6cpgTBWAHjyBiIeAtAGPmNrWKBQIQbg+ZNqKeEAYmRHTGe0K-A+N7kPe16-mmz7lhBeIQYGEGnmC1H2p+36Pn+nxtvKQLdr2bQLp4ElutK9o8h2+E7NhkkxFBSlYUKoSurhpQPmRpgqfcBEUcZ5Fad2sgQfwpnvtCl4-vB8BodBGHqCpMhUWKDmwnprm0GaKR+rp6r+e5WnBb4Cn6eBVIqYo7TtEAA
13:29:00: [INFO] Add D44 footprint
13:29:00: [INFO] Add SW45 footprint
13:29:00: [INFO] Add D45 footprint
13:29:00: [INFO] Add SW46 footprint
13:29:00: [INFO] Add D46 footprint
13:29:00: [INFO] Add SW47 footprint
13:29:00: [INFO] Add D47 footprint
13:29:00: [INFO] Add SW48 footprint
13:29:00: [INFO] Add D48 footprint
13:29:00: [INFO] Add SW49 footprint
13:29:01: [INFO] Add D49 footprint
13:29:01: [INFO] Add SW50 footprint
13:29:01: [INFO] Add D50 footprint
13:29:01: [INFO] Add SW51 footprint
13:29:01: [INFO] Add D51 footprint
13:29:01: [INFO] Add SW52 footprint
13:29:01: [INFO] Add D52 footprint
13:29:01: [INFO] Add SW53 footprint
13:29:01: [INFO] Add D53 footprint
13:29:01: [INFO] Add SW54 footprint
13:29:01: [INFO] Add D54 footprint
13:29:01: [INFO] Add SW55 footprint
13:29:01: [INFO] Add D55 footprint
13:29:01: [INFO] Add SW56 footprint
13:29:01: [INFO] Add D56 footprint
13:29:01: [INFO] Add SW57 footprint
13:29:01: [INFO] Add D57 footprint
13:29:01: [INFO] Add SW58 footprint
13:29:01: [INFO] Add D58 footprint
13:29:01: [INFO] Add SW59 footprint
13:29:01: [INFO] Add D59 footprint
13:29:01: [INFO] Add SW60 footprint
13:29:01: [INFO] Add D60 footprint
13:29:01: [INFO] Add SW61 footprint
13:29:01: [INFO] Add D61 footprint
13:29:01: [INFO] Add SW62 footprint
13:29:01: [INFO] Add D62 footprint
13:29:01: [INFO] Add SW63 footprint
13:29:01: [INFO] Add D63 footprint
13:29:01: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:01: [INFO] Add ST63 footprint
13:29:01: [INFO] Add SW63a footprint
13:29:01: [INFO] Add ST63a footprint
13:29:01: [INFO] Add SW64 footprint
13:29:02: [INFO] Add D64 footprint
13:29:02: [INFO] Add SW65 footprint
13:29:02: [INFO] Add D65 footprint
13:29:02: [INFO] Add SW66 footprint
13:29:02: [INFO] Add D66 footprint
13:29:02: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:02: [INFO] Add ST66 footprint
13:29:02: [INFO] Add SW66a footprint
13:29:02: [INFO] Add SW67 footprint
13:29:02: [INFO] Add D67 footprint
13:29:02: [INFO] Add SW68 footprint
