=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:51: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDoBMBWANHcBjW2BiAQxNPAF8twAGDa8AXQwCgwp8UlNsBPfAWmpIA7N1z5wBYdJkUqCOuCwQ88STg2a52WgiXYFeqrRT7wC08YwBmMwttWALHYzOraFx6sA2F7+XiasSkJGYA7hyUOhjCADoAdgkJtPQB0PBC6FE0MUmJ8boucfnJGHpMrBDpiKho2SiKafiZYhHwyHVU1o1wKhIEmlr1ZWbdRtgNltjdU+ANDtM2Zg1ui6tzGF6LWxv+i3t9QSGhVG01nRO5JfEK9BVs1QgAnCJifPCCXFSqhDKyp-hkOgqAALDinUztL7YEGQxBUSBwz5ZKiOK55QyMFgPQG1KjvOCfMQ-STHIjacBo1K9dgZPHYM7IUTZTDUw6EQYaClo8bgTC8tGzTCzNELPlLVGuMyYdZonaYHZog6BX5-YThDi1bJo4oYnrs0nHCmYdX3KqAgAcr3xAiEF3F3jyCUxZtpNWBvFtXGy3n1bpaAPgnBR2GEdCd8QabJV6k5FLDvN9szDs19YrDYt96zD619OzDO19ypJwRCGqhzKoYeL-TV6p9MX0BtLZGyYdN2PNUJD4AtfuqAYZuJ7T3D1260cZWqofYQEYnTfAU5HZXnfrO3mn2D71jX1PAo7Qe8XU-tfcd4-7zWhMakaopo72vcbVFHHcqbs4xP6ZPL7vto7UGu4wQMuZ6rpeIFLsOAEQXkYwnpqlbbhgKDAYh3bgbukEYXAwbgY46GvpsRE0qe2TnuhrpgW2Y55A0iZwfkDGLgO9LQVCsFAZesyzmuUygbisFzjxuHCBRNj8bhHQSRe8GoYwDBAA
13:28:55: [INFO] Add SW48 footprint
13:28:55: [INFO] Add D48 footprint
13:28:55: [INFO] Add SW49 footprint
13:28:55: [INFO] Add D49 footprint
13:28:55: [INFO] Add SW50 footprint
13:28:55: [INFO] Add D50 footprint
13:28:55: [INFO] Add SW51 footprint
13:28:55: [INFO] Add D51 footprint
13:28:55: [INFO] Add SW52 footprint
13:28:55: [INFO] Add D52 footprint
13:28:55: [INFO] Add SW53 footprint
13:28:55: [INFO] Add D53 footprint
13:28:55: [INFO] Add SW54 footprint
13:28:55: [INFO] Add D54 footprint
13:28:55: [INFO] Add SW55 footprint
13:28:55: [INFO] Add D55 footprint
13:28:55: [INFO] Add SW56 footprint
13:28:55: [INFO] Add D56 footprint
13:28:55: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:28:55: [INFO] Add ST56 footprint
13:28:56: [INFO] Add SW56a footprint
13:28:56: [INFO] Add SW57 footprint
13:28:56: [INFO] Add D57 footprint
13:28:56: [INFO] Add SW58 footprint
13:28:56: [INFO] Add D58 footprint
13:28:56: [INFO] Add SW59 footprint
13:28:56: [INFO] Add D59 footprint
13:28:56: [INFO] Add SW60 footprint
13:28:56: [INFO] Add D60 footprint
13:28:56: [INFO] Add SW61 footprint
13:28:56: [INFO] Add D61 footprint
13:28:56: [INFO] Add SW62 footprint
13:28:56: [INFO] Add D62 footprint
13:28:56: [INFO] Add SW63 footprint
13:28:56: [INFO] Add D63 footprint
13:28:56: [INFO] Add SW64 footprint
13:28:56: [INFO] Add D64 footprint
13:28:56: [INFO] Add SW65 footprint
13:28:56: [INFO] Add D65 footprint
13:28:56: [INFO] Add SW65a footprint
13:28:56: [INFO] Add SW66 footprint
13:28:56: [INFO] Add D66 footprint
13:28:56: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:28:56: [INFO] Add ST66 footprint
13:28:56: [INFO] Add SW67 footprint
13:28:56: [INFO] Add D67 footprint
13:28:56: [INFO] Add ST67 footprint
13:28:56: [INFO] Add SW67a footprint
13:28:56: [INFO] Add SW67b footprint
13:28:56: [INFO] Add ST67b footprint
13:28:56: [INFO] Add SW68 footprint
13:28:56: [INFO] Add D68 footprint
13:28:56: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:28:56: [INFO] Add ST68 footprint
13:28:56: [INFO] Add SW69 footprint
13:28:57: [INFO] Add D69 footprint
13:28:57: [INFO] Add SW70 footprint
13:28:57: [INFO] Add D70 footprint
13:28:57: [INFO] Add SW71 footprint
13:28:57: [INFO] Add D71 footprint
13:28:57: [INFO] Add SW71a footprint
13:28:57: [INFO] Add SW72 footprint
13:28:57: [INFO] Add D72 footprint
13:28:57: [INFO] Add SW72a footprint
13:28:57: [INFO] Add SW73 footprint
13:28:57: [INFO] Add D73 footprint
13:28:57: [INFO] Add SW74 footprint
13:28:57: [INFO] Add D74 footprint
13:28:57: [INFO] Add SW75 footprint
13:28:57: [INFO] Add D75 footprint
13:28:57: [INFO] Detected layout convertible to matrix annotated keyboard
13:28:57: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:28:57: [INFO] Layout offset: (23812500, 28575000)
13:28:57: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:28:57: [INFO] Placing additional elements for SW75
13:28:57: [INFO] Placing additional elements for SW74
13:28:57: [INFO] Placing additional elements for SW73
13:28:57: [INFO] Placing additional elements for SW72a
13:28:57: [INFO] Placing additional elements for SW72
13:28:57: [INFO] Placing additional elements for SW71a
13:28:57: [INFO] Placing additional elements for SW71
13:28:57: [INFO] Placing additional elements for SW70
13:28:57: [INFO] Placing additional elements for SW69
13:28:57: [INFO] Placing additional elements for SW68
13:28:57: [INFO] Placing additional elements for SW67b
13:28:57: [INFO] Placing additional elements for SW67a
13:28:57: [INFO] Placing additional elements for SW67
13:28:57: [INFO] Placing additional elements for SW66
13:28:57: [INFO] Placing additional elements for SW65a
13:28:57: [INFO] Placing additional elements for SW65
13:28:57: [INFO] Placing additional elements for SW64
13:28:57: [INFO] Placing additional elements for SW63
13:28:57: [INFO] Placing additional elements for SW62
