=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:34:25: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsBfANHcBmDDwBdDAKDClkVS3AGNLwBiAdlbfE2wX3CwmnjIATOhrcAjLzj9KwlDXrwmtFao5iMQqeG45t3ACz6MKYwDYpM+ENScdGZsYAcxgJzHxBDeMnet3vT46BhY2VnUuDHEjYjIrKhE7cR4ggQT5bAB3SnFbGmTfaWClRlU1JM1tZMDsZKN8kyqMC1TKG1FahyaXBvcGzyafS3Bs+FyO8AL-IsVsULCIyaiapeiiUmBwIRSitLkaUbhc5gntwohZ5TL6O23prYwV7frsbdMabZbdtrzXro+MD0-n0-gMAUNwdMLiEwuEDj9EuC9LFyHskCcFCEAIY43HaQ42RHYPDnYpza43Gh4e54FZ4F64RpU5rDNLtOx4RzMoGMkGMsHEqKktLjDnLdZxChjJAiTElXF4+HSongAxRYaHXIqtVQkY5GUTNU1eLIDJkpiwrlZfXajAveIoJDca3Kw0YEHQ+UKrH4m1ugUQTUGuxqiHfQTUbCXUrXRah+6hlahmIbCAAJ0oGOwabSrgNNDTAE9KI6s+Bi-AALSEs0E9Fulwok35qMw2G+6zBmhqxxN8AZqtltLV+s0CtwEfO82Mb0+pVwGwnEONPvD9pyuaWjsLrvYNUWQiEIA
13:34:29: [INFO] Add D56 footprint
13:34:29: [INFO] Add SW57 footprint
13:34:29: [INFO] Add D57 footprint
13:34:29: [INFO] Add SW58 footprint
13:34:29: [INFO] Add D58 footprint
13:34:29: [INFO] Add SW59 footprint
13:34:29: [INFO] Add D59 footprint
13:34:29: [INFO] Add SW60 footprint
13:34:29: [INFO] Add D60 footprint
13:34:29: [INFO] Add SW61 footprint
13:34:29: [INFO] Add D61 footprint
13:34:29: [INFO] Add SW62 footprint
13:34:29: [INFO] Add D62 footprint
13:34:29: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:34:29: [INFO] Add ST62 footprint
13:34:29: [INFO] Add SW63 footprint
13:34:29: [INFO] Add D63 footprint
13:34:29: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:34:29: [INFO] Add ST63 footprint
13:34:29: [INFO] Add SW64 footprint
13:34:29: [INFO] Add D64 footprint
13:34:29: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:34:29: [INFO] Add ST64 footprint
13:34:29: [INFO] Add SW65 footprint
13:34:30: [INFO] Add D65 footprint
13:34:30: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:34:30: [INFO] Add ST65 footprint
13:34:30: [INFO] Add SW66 footprint
13:34:30: [INFO] Add D66 footprint
13:34:30: [INFO] Add SW67 footprint
