=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:03: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrBEAYBp1SAIKQIywVATKxBmLUAsekArEQGxEDsRAHEQJxFIzyJIqtRKafK69JCAXUgAoMEmhZJHBJJ5zI-RYVaTSayBU3VNdTY03NpyWaBkLzfE4NAjxodFNZOzTy0+WPIqhE41+WlhOuoH6gYaBxi6mwcge1jG29mDYzghpZmmWaV5pvqBpAYVBrGmhJeElkSXRGbFl8ViZecjCYmD46aBdZl2WXV5dBV3FXdoIXRVdVV01vSyTDUvcWL1DbXYdoMTdu2a7lrteuwW7xbsTO5AVu1W7NfuL1+xY+0eJCPvtDmTdf2Y-pY-l4-gU-sU-lc-hU-lU-jUAc8AYCmqwAaDNilQJRurizLjLLivLiCrjirirriKriqriavjnviCWiEPiSVjtjRutyzNzLNyvNyCtzityrtyKtyqtyarznry+azQLyhZyHPRupqzJrLJqvJqCpripqrpqKpqqpqatrntqdcrtQb1RIoM9mMhpBgvUofQUPcUPVcPRUPVUPTUPXVzFwzFHLFGvFGfhJJO6ZNJ5JnfWpJP71Nng5JQ5Jw5JIzJ08tzBZs0gkzIU+YnO7XNJ3O2c3InP7-J3gyFO+GnJHXK3q9xlZP653ktt690F3HstJcqufOvA2lg+V1+G0pHMu7Msupy113OHIJF71pP0713zMMH4Hxg-QzMH5GFg-Xmpegm6y-sIQhAA
13:40:05: [INFO] Add Net-(D99-A) net
13:40:05: [INFO] Add ROW0 net
13:40:05: [INFO] Add ROW1 net
13:40:05: [INFO] Add ROW10 net
13:40:05: [INFO] Add ROW11 net
13:40:05: [INFO] Add ROW12 net
13:40:05: [INFO] Add ROW13 net
13:40:05: [INFO] Add ROW14 net
13:40:05: [INFO] Add ROW2 net
13:40:05: [INFO] Add ROW3 net
13:40:05: [INFO] Add ROW4 net
13:40:05: [INFO] Add ROW5 net
13:40:05: [INFO] Add ROW6 net
13:40:05: [INFO] Add ROW7 net
13:40:05: [INFO] Add ROW8 net
13:40:05: [INFO] Add ROW9 net
13:40:05: [INFO] Add SW1 footprint
13:40:05: [INFO] Add D1 footprint
13:40:05: [INFO] Add SW2 footprint
13:40:05: [INFO] Add D2 footprint
13:40:05: [INFO] Add SW3 footprint
13:40:05: [INFO] Add D3 footprint
13:40:05: [INFO] Add SW4 footprint
13:40:05: [INFO] Add D4 footprint
13:40:05: [INFO] Add SW5 footprint
13:40:05: [INFO] Add D5 footprint
13:40:05: [INFO] Add SW6 footprint
13:40:05: [INFO] Add D6 footprint
13:40:05: [INFO] Add SW7 footprint
13:40:05: [INFO] Add D7 footprint
13:40:05: [INFO] Add SW8 footprint
13:40:05: [INFO] Add D8 footprint
13:40:05: [INFO] Add SW9 footprint
13:40:05: [INFO] Add D9 footprint
13:40:05: [INFO] Add SW10 footprint
13:40:05: [INFO] Add D10 footprint
13:40:05: [INFO] Add SW11 footprint
13:40:05: [INFO] Add D11 footprint
13:40:05: [INFO] Add SW12 footprint
13:40:05: [INFO] Add D12 footprint
13:40:05: [INFO] Add SW13 footprint
13:40:05: [INFO] Add D13 footprint
13:40:05: [INFO] Add SW14 footprint
13:40:06: [INFO] Add D14 footprint
13:40:06: [INFO] Add SW15 footprint
13:40:06: [INFO] Add D15 footprint
13:40:06: [INFO] Add SW16 footprint
13:40:06: [INFO] Add D16 footprint
13:40:06: [INFO] Add SW17 footprint
13:40:06: [INFO] Add D17 footprint
13:40:06: [INFO] Add SW18 footprint
13:40:06: [INFO] Add D18 footprint
13:40:06: [INFO] Add SW19 footprint
13:40:06: [INFO] Add D19 footprint
13:40:06: [INFO] Add SW20 footprint
13:40:06: [INFO] Add D20 footprint
13:40:06: [INFO] Add SW21 footprint
13:40:06: [INFO] Add D21 footprint
13:40:06: [INFO] Add SW22 footprint
13:40:06: [INFO] Add D22 footprint
13:40:06: [INFO] Add SW23 footprint
13:40:06: [INFO] Add D23 footprint
13:40:06: [INFO] Add SW24 footprint
13:40:06: [INFO] Add D24 footprint
13:40:06: [INFO] Add SW25 footprint
13:40:06: [INFO] Add D25 footprint
13:40:06: [INFO] Add SW26 footprint
13:40:06: [INFO] Add D26 footprint
13:40:06: [INFO] Add SW27 footprint
13:40:06: [INFO] Add D27 footprint
13:40:06: [INFO] Add SW28 footprint
13:40:06: [INFO] Add D28 footprint
13:40:06: [INFO] Add SW29 footprint
13:40:06: [INFO] Add D29 footprint
13:40:06: [INFO] Add SW30 footprint
13:40:06: [INFO] Add D30 footprint
13:40:06: [INFO] Add SW31 footprint
13:40:06: [INFO] Add D31 footprint
13:40:07: [INFO] Add SW32 footprint
13:40:07: [INFO] Add D32 footprint
13:40:07: [INFO] Add SW33 footprint
13:40:07: [INFO] Add D33 footprint
13:40:07: [INFO] Add SW34 footprint
13:40:07: [INFO] Add D34 footprint
13:40:07: [INFO] Add SW35 footprint
13:40:07: [INFO] Add D35 footprint
13:40:07: [INFO] Add SW36 footprint
13:40:07: [INFO] Add D36 footprint
13:40:07: [INFO] Add SW37 footprint
13:40:07: [INFO] Add D37 footprint
13:40:07: [INFO] Add SW38 footprint
13:40:07: [INFO] Add D38 footprint
13:40:07: [INFO] Add SW39 footprint
13:40:07: [INFO] Add D39 footprint
13:40:07: [INFO] Add SW40 footprint
13:40:07: [INFO] Add D40 footprint
13:40:07: [INFO] Add SW41 footprint
13:40:07: [INFO] Add D41 footprint
13:40:07: [INFO] Add SW42 footprint
13:40:07: [INFO] Add D42 footprint
13:40:07: [INFO] Add SW43 footprint
13:40:07: [INFO] Add D43 footprint
13:40:07: [INFO] Add SW44 footprint
13:40:07: [INFO] Add D44 footprint
13:40:07: [INFO] Add SW45 footprint
13:40:07: [INFO] Add D45 footprint
13:40:07: [INFO] Add SW46 footprint
13:40:07: [INFO] Add D46 footprint
13:40:07: [INFO] Add SW47 footprint
13:40:07: [INFO] Add D47 footprint
13:40:07: [INFO] Add SW48 footprint
13:40:07: [INFO] Add D48 footprint
13:40:07: [INFO] Add SW49 footprint
13:40:07: [INFO] Add D49 footprint
13:40:07: [INFO] Add SW50 footprint
13:40:08: [INFO] Add D50 footprint
13:40:08: [INFO] Add SW51 footprint
13:40:08: [INFO] Add D51 footprint
13:40:08: [INFO] Add SW52 footprint
13:40:08: [INFO] Add D52 footprint
13:40:08: [INFO] Add SW53 footprint
13:40:08: [INFO] Add D53 footprint
13:40:08: [INFO] Add SW54 footprint
13:40:08: [INFO] Add D54 footprint
13:40:08: [INFO] Add SW55 footprint
13:40:08: [INFO] Add D55 footprint
13:40:08: [INFO] Add SW56 footprint
13:40:08: [INFO] Add D56 footprint
13:40:08: [INFO] Add SW57 footprint
13:40:08: [INFO] Add D57 footprint
13:40:08: [INFO] Add SW58 footprint
