=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:40: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrBEAYBp1SAJQEZqwVRqmQ-A3qAD1AC45EA6AJgFZ5QBjEhAYgEN7WA2ATgGZQAvnSiVU+IqQpQEjUqGb1FSwXWSi8hJt3LghCZAHZMUAByZkZ4ZG5jNknXqw2riGKuxu44puCrVH6Dj62BgAupAAUMD4AJ4+5LQyTPLsXHwqCJQodLzZmdiYuUHe9jSOWepeDMkKSooZoLmVJXDaBv45kEZ0WZZVsiypPPx0AO5MlOXWADoAdnNzUJ4tFDR0A-J19Y65zvmuhR62EnC+ZT0hh4hhkWAALNAL87NZnqC0bw-F1XJsHMOYAAWE0ctEQTzmr2OTGQCHG9g6CAezR+LC2jFBkBRJ205wQtG6SMgfXexNsGz+aRGcJhCUcDz2Kx06xq6IatD2oC+bzByzspz89MudDBNyioE4j2ekLyoAMssl3xOFHaLN+Q3SY1p7UckpRFLZjnl2K05B1dHlhIlZI0FI11NA8LglEFdEljP5d2ZSV+hrdwoQ8uuoHC4pMUqeULo3Fl4e+dv+moQwNIk2j2AhLzyLV8iUdE1dCHD+tZWwaMZNpFxiNAMat4b6+ATVMwTpd5qLM2ls2QfOVCTVaLLjjjfdpeNAcaCtcuoei+dTjlcEeeUf06Eza6ZeebAK1CKXImhki9axpB9UUA9J1zg82w9UyE5y4Oj6OGhvhaQgXMyGDc-wAAnE55QQQC4lIagBwQT8z1ACC4AAWi9cAayyfgANAYCYQMaCsIQig8xORDEFwvMEM4BIawecBNwKD8C2kVEUkTB0U2dTFwW7LIlXiOD2LTIlaO4rFj2db1mNqOp2QzETKwFODdyTUABKFYTI0gakWhdJiDQffFZI0rT+Vw3ROhMTN0HJGp7QaLJuEsgpMOI0i8L06TdRXGVeNISiJyDOj5N4L8ApEjDbhaEiyJHLysx88TdJs1igRBdMuI0+KzjzVS6HDdTV1EhjUwk9zlEcGN0oK+SsrvSk92TVLO3ymVjJOHTar9BAKro8Koki1ya2XZq4t-WKePMDcRPil0J2uMbCqqNslz-QKxNWQbex6ibDIKh05sqlqxMonckpbfcyDNGsYws7s-2s319MnLsnjuzDAJhPNsNIUD8KYKCiPicimGQ8hEBrXIHSyO5Dmhi5qBDW4uU0zBaAdB5YYM6HnL4mtJQdeUHUlDG5UgLGIv5XwOyeh0YwdcNiZjMm+optzTvqhcLsGqBjLbL9l2JuamfnL64BMPw6HAmE6AQkiOse7nzGRqwhaA4GwYl5VKNVMCEKY4jT0GyB4asThFdNqwjDe5UyIlgi8P1y7peBs4diNzAsnNhBck90Askt8niKgicHmNokfdoH2Hn95nA4cf1Q+tH35R9yVo-nWOrrd3LIB9mMffDNPIv+2rbPO9suZz2wnUIw8uhDUIgA
13:28:42: [INFO] Add D21 footprint
13:28:42: [INFO] Add SW22 footprint
13:28:42: [INFO] Add D22 footprint
13:28:42: [INFO] Add SW23 footprint
13:28:42: [INFO] Add D23 footprint
13:28:42: [INFO] Add SW24 footprint
13:28:42: [INFO] Add D24 footprint
13:28:42: [INFO] Add SW25 footprint
13:28:42: [INFO] Add D25 footprint
13:28:42: [INFO] Add SW26 footprint
13:28:42: [INFO] Add D26 footprint
13:28:42: [INFO] Add SW27 footprint
13:28:42: [INFO] Add D27 footprint
13:28:42: [INFO] Add SW28 footprint
13:28:42: [INFO] Add D28 footprint
13:28:42: [INFO] Add SW29 footprint
13:28:42: [INFO] Add D29 footprint
13:28:42: [INFO] Add SW30 footprint
13:28:42: [INFO] Add D30 footprint
13:28:42: [INFO] Add SW31 footprint
13:28:42: [INFO] Add D31 footprint
13:28:42: [INFO] Add SW32 footprint
13:28:43: [INFO] Add D32 footprint
13:28:43: [INFO] Add ST32 footprint
13:28:43: [INFO] Add SW32a footprint
13:28:43: [INFO] Add SW33 footprint
13:28:43: [INFO] Add D33 footprint
13:28:43: [INFO] Add SW34 footprint
13:28:43: [INFO] Add D34 footprint
13:28:43: [INFO] Add SW35 footprint
13:28:43: [INFO] Add D35 footprint
13:28:43: [INFO] Add SW36 footprint
13:28:43: [INFO] Add D36 footprint
13:28:43: [INFO] Add SW37 footprint
13:28:43: [INFO] Add D37 footprint
13:28:43: [INFO] Add SW38 footprint
13:28:43: [INFO] Add D38 footprint
13:28:43: [INFO] Add SW39 footprint
13:28:43: [INFO] Add D39 footprint
13:28:43: [INFO] Add SW40 footprint
13:28:43: [INFO] Add D40 footprint
13:28:43: [INFO] Add SW41 footprint
13:28:43: [INFO] Add D41 footprint
13:28:43: [INFO] Add SW42 footprint
13:28:43: [INFO] Add D42 footprint
13:28:43: [INFO] Add SW43 footprint
13:28:43: [INFO] Add D43 footprint
13:28:43: [INFO] Add SW44 footprint
13:28:43: [INFO] Add D44 footprint
13:28:43: [INFO] Add SW45 footprint
13:28:43: [INFO] Add D45 footprint
13:28:43: [INFO] Add SW46 footprint
13:28:43: [INFO] Add D46 footprint
13:28:43: [INFO] Add SW47 footprint
13:28:43: [INFO] Add D47 footprint
13:28:43: [INFO] Add SW47a footprint
13:28:43: [INFO] Add ST47a footprint
13:28:43: [INFO] Add SW48 footprint
13:28:43: [INFO] Add D48 footprint
13:28:43: [INFO] Add SW49 footprint
13:28:43: [INFO] Add D49 footprint
13:28:44: [INFO] Add SW50 footprint
13:28:44: [INFO] Add D50 footprint
13:28:44: [INFO] Add SW51 footprint
13:28:44: [INFO] Add D51 footprint
13:28:44: [INFO] Add SW52 footprint
13:28:44: [INFO] Add D52 footprint
13:28:44: [INFO] Add SW53 footprint
13:28:44: [INFO] Add D53 footprint
13:28:44: [INFO] Add SW54 footprint
13:28:44: [INFO] Add D54 footprint
13:28:44: [INFO] Add SW55 footprint
13:28:44: [INFO] Add D55 footprint
13:28:44: [INFO] Add SW56 footprint
13:28:44: [INFO] Add D56 footprint
13:28:44: [INFO] Add SW57 footprint
13:28:44: [INFO] Add D57 footprint
13:28:44: [INFO] Add SW58 footprint
13:28:44: [INFO] Add D58 footprint
13:28:44: [INFO] Add SW59 footprint
13:28:44: [INFO] Add D59 footprint
13:28:44: [INFO] Add SW60 footprint
13:28:44: [INFO] Add D60 footprint
13:28:44: [INFO] Add ST60 footprint
13:28:44: [INFO] Add SW60a footprint
13:28:44: [INFO] Add SW61 footprint
13:28:44: [INFO] Add D61 footprint
13:28:44: [INFO] Add SW62 footprint
13:28:44: [INFO] Add D62 footprint
13:28:44: [INFO] Add SW63 footprint
13:28:44: [INFO] Add D63 footprint
13:28:44: [INFO] Add SW64 footprint
13:28:44: [INFO] Add D64 footprint
13:28:44: [INFO] Add SW65 footprint
13:28:44: [INFO] Add D65 footprint
13:28:44: [INFO] Add SW66 footprint
13:28:44: [INFO] Add D66 footprint
13:28:44: [INFO] Add SW67 footprint
13:28:44: [INFO] Add D67 footprint
13:28:44: [INFO] Add SW68 footprint
13:28:45: [INFO] Add D68 footprint
13:28:45: [INFO] Add SW69 footprint
13:28:45: [INFO] Add D69 footprint
13:28:45: [INFO] Add SW70 footprint
13:28:45: [INFO] Add D70 footprint
13:28:45: [INFO] Add SW71 footprint
13:28:45: [INFO] Add D71 footprint
13:28:45: [INFO] Add SW72 footprint
13:28:45: [INFO] Add D72 footprint
13:28:45: [INFO] Add SW73 footprint
13:28:45: [INFO] Add D73 footprint
13:28:45: [INFO] Add SW74 footprint
13:28:45: [INFO] Add D74 footprint
13:28:45: [INFO] Add SW75 footprint
13:28:45: [INFO] Add D75 footprint
13:28:45: [INFO] Add SW76 footprint
