=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:39:42: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrBEAYBoEYGZUgAgjALA5VoFYMugGwYDeoAxqAFzIDEA7A46AL5IrgnlW1m98tsseKACZhkeIMjopuKUSl1xADnEBOcdA5To0ADoA7Q4ajbMMEcaMHTnAB7dwAOhHY2FaqBoBDX37wA7twirObQltYmMKAAupAAUMCkHjx8vALI0DCSmWh4WTj5MAqIydxefv5sQdTQLtihoFlmZZ40aemNBUVibFk5TdJFcrklg0p9kKqTGpNanClejEzV3HV0DXNicYmtqWkZoCLZeMfQMshnI0fFC+U+ld6Ba04bjcctXG0dFO+QvZcJKchmxjtdjmNjhNAdNAbNAfMkHsKo9nrV6n9dFZDM07m1lgxDmcIlZcUjQA5qM5XJj9JEDN1yYsHpU0Yg6jTQRZsQzojskl99vxGrBsjzRWZQKLzuLIJLpddpSVkSyqsgauyMWwJZwNRzNshpbqXpzDf9jdQRK8DVLINgeR8LYgrabbcoHXKnfqRZA1B7PsyfodpQH7gSlD7dHhpdsEgKAJ6Oerue5B1aWyOoWXQewvDYptqPJ7pxAELVmugenMxGJAA
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW35:2' at (150177500, 71120000) with pad 'D35:2' at (152717500, 78800000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(150177500, 71120000), (150177500, 76260000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(150177500, 76260000), (152717500, 78800000)]
13:39:46: [INFO] Routing SW34 with D34
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW34:2' at (123983750, 71120000) with pad 'D34:2' at (126523750, 78800000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(123983750, 71120000), (123983750, 76260000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(123983750, 76260000), (126523750, 78800000)]
13:39:46: [INFO] Routing SW33 with D33
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW33:2' at (97790000, 52070000) with pad 'D33:2' at (100330000, 59750000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(97790000, 52070000), (97790000, 57210000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(97790000, 57210000), (100330000, 59750000)]
13:39:46: [INFO] Routing SW32 with D32
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW32:2' at (78740000, 52070000) with pad 'D32:2' at (81280000, 59750000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(78740000, 52070000), (78740000, 57210000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(78740000, 57210000), (81280000, 59750000)]
13:39:46: [INFO] Routing SW31 with D31
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW31:2' at (59690000, 52070000) with pad 'D31:2' at (62230000, 59750000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(59690000, 52070000), (59690000, 57210000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(59690000, 57210000), (62230000, 59750000)]
13:39:46: [INFO] Routing SW30 with D30
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW30:2' at (40640000, 52070000) with pad 'D30:2' at (43180000, 59750000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(40640000, 52070000), (40640000, 57210000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(40640000, 57210000), (43180000, 59750000)]
13:39:46: [INFO] Routing SW29 with D29
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW29:2' at (338296250, 52070000) with pad 'D29:2' at (340836250, 59750000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(338296250, 52070000), (338296250, 57210000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(338296250, 57210000), (340836250, 59750000)]
13:39:46: [INFO] Routing SW28 with D28
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW28:2' at (312102500, 52070000) with pad 'D28:2' at (314642500, 59750000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(312102500, 52070000), (312102500, 57210000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(312102500, 57210000), (314642500, 59750000)]
13:39:46: [INFO] Routing SW27 with D27
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW27:2' at (293052500, 52070000) with pad 'D27:2' at (295592500, 59750000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(293052500, 52070000), (293052500, 57210000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(293052500, 57210000), (295592500, 59750000)]
13:39:46: [INFO] Routing SW26 with D26
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW26:2' at (274002500, 52070000) with pad 'D26:2' at (276542500, 59750000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(274002500, 52070000), (274002500, 57210000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(274002500, 57210000), (276542500, 59750000)]
13:39:46: [INFO] Routing SW25 with D25
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW25:2' at (254952500, 52070000) with pad 'D25:2' at (257492500, 59750000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(254952500, 52070000), (254952500, 57210000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(254952500, 57210000), (257492500, 59750000)]
13:39:46: [INFO] Routing SW24 with D24
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW24:2' at (235902500, 52070000) with pad 'D24:2' at (238442500, 59750000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(235902500, 52070000), (235902500, 57210000)]
13:39:47: [INFO] Adding track segment (B.Cu): [(235902500, 57210000), (238442500, 59750000)]
13:39:47: [INFO] Routing SW23 with D23
13:39:47: [INFO] Using internal autorouter method
13:39:47: [INFO] Routing pad 'SW23:2' at (216852500, 52070000) with pad 'D23:2' at (219392500, 59750000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(216852500, 52070000), (216852500, 57210000)]
13:39:47: [INFO] Adding track segment (B.Cu): [(216852500, 57210000), (219392500, 59750000)]
13:39:47: [INFO] Routing SW22 with D22
13:39:47: [INFO] Using internal autorouter method
13:39:47: [INFO] Routing pad 'SW22:2' at (197802500, 52070000) with pad 'D22:2' at (200342500, 59750000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(197802500, 52070000), (197802500, 57210000)]
13:39:47: [INFO] Adding track segment (B.Cu): [(197802500, 57210000), (200342500, 59750000)]
13:39:47: [INFO] Routing SW21 with D21
13:39:47: [INFO] Using internal autorouter method
13:39:47: [INFO] Routing pad 'SW21:2' at (178752500, 52070000) with pad 'D21:2' at (181292500, 59750000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(178752500, 52070000), (178752500, 57210000)]
13:39:47: [INFO] Adding track segment (B.Cu): [(178752500, 57210000), (181292500, 59750000)]
13:39:47: [INFO] Routing SW20 with D20
13:39:47: [INFO] Using internal autorouter method
13:39:47: [INFO] Routing pad 'SW20:2' at (159702500, 52070000) with pad 'D20:2' at (162242500, 59750000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(159702500, 52070000), (159702500, 57210000)]
13:39:47: [INFO] Adding track segment (B.Cu): [(159702500, 57210000), (162242500, 59750000)]
13:39:47: [INFO] Routing SW19 with D19
13:39:47: [INFO] Using internal autorouter method
13:39:47: [INFO] Routing pad 'SW19:2' at (140652500, 52070000) with pad 'D19:2' at (143192500, 59750000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(140652500, 52070000), (140652500, 57210000)]
13:39:47: [INFO] Adding track segment (B.Cu): [(140652500, 57210000), (143192500, 59750000)]
13:39:47: [INFO] Routing SW18 with D18
13:39:47: [INFO] Using internal autorouter method
13:39:47: [INFO] Routing pad 'SW18:2' at (119221250, 52070000) with pad 'D18:2' at (121761250, 59750000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(119221250, 52070000), (119221250, 57210000)]
13:39:47: [INFO] Adding track segment (B.Cu): [(119221250, 57210000), (121761250, 59750000)]
13:39:47: [INFO] Routing SW17 with D17
13:39:47: [INFO] Using internal autorouter method
13:39:47: [INFO] Routing pad 'SW17:2' at (97790000, 33020000) with pad 'D17:2' at (100330000, 40700000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(97790000, 33020000), (97790000, 38160000)]
13:39:47: [INFO] Adding track segment (B.Cu): [(97790000, 38160000), (100330000, 40700000)]
13:39:47: [INFO] Routing SW16 with D16
13:39:47: [INFO] Using internal autorouter method
13:39:47: [INFO] Routing pad 'SW16:2' at (78740000, 33020000) with pad 'D16:2' at (81280000, 40700000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(78740000, 33020000), (78740000, 38160000)]
13:39:47: [INFO] Adding track segment (B.Cu): [(78740000, 38160000), (81280000, 40700000)]
13:39:47: [INFO] Routing SW15 with D15
13:39:47: [INFO] Using internal autorouter method
13:39:47: [INFO] Routing pad 'SW15:2' at (59690000, 33020000) with pad 'D15:2' at (62230000, 40700000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(59690000, 33020000), (59690000, 38160000)]
13:39:47: [INFO] Adding track segment (B.Cu): [(59690000, 38160000), (62230000, 40700000)]
13:39:47: [INFO] Routing SW14 with D14
13:39:47: [INFO] Using internal autorouter method
13:39:47: [INFO] Routing pad 'SW14:2' at (40640000, 33020000) with pad 'D14:2' at (43180000, 40700000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(40640000, 33020000), (40640000, 38160000)]
13:39:47: [INFO] Adding track segment (B.Cu): [(40640000, 38160000), (43180000, 40700000)]
13:39:47: [INFO] Routing SW13a with D13
13:39:47: [INFO] Using internal autorouter method
13:39:47: [INFO] Routing pad 'SW13a:2' at (335915000, 33020000) with pad 'D13:2' at (347980000, 40700000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Routing SW13 with D13
13:39:47: [INFO] Using internal autorouter method
13:39:47: [INFO] Routing pad 'SW13:2' at (345440000, 33020000) with pad 'D13:2' at (347980000, 40700000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(345440000, 33020000), (345440000, 38160000)]
13:39:47: [INFO] Adding track segment (B.Cu): [(345440000, 38160000), (347980000, 40700000)]
13:39:47: [INFO] Routing SW12 with D12
13:39:47: [INFO] Using internal autorouter method
13:39:47: [INFO] Routing pad 'SW12:2' at (326390000, 33020000) with pad 'D12:2' at (328930000, 40700000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(326390000, 33020000), (326390000, 38160000)]
13:39:47: [INFO] Adding track segment (B.Cu): [(326390000, 38160000), (328930000, 40700000)]
13:39:47: [INFO] Routing SW11 with D11
13:39:47: [INFO] Using internal autorouter method
13:39:47: [INFO] Routing pad 'SW11:2' at (307340000, 33020000) with pad 'D11:2' at (309880000, 40700000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(307340000, 33020000), (307340000, 38160000)]
13:39:47: [INFO] Adding track segment (B.Cu): [(307340000, 38160000), (309880000, 40700000)]
13:39:47: [INFO] Routing SW10 with D10
13:39:47: [INFO] Using internal autorouter method
13:39:47: [INFO] Routing pad 'SW10:2' at (288290000, 33020000) with pad 'D10:2' at (290830000, 40700000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(288290000, 33020000), (288290000, 38160000)]
13:39:47: [INFO] Adding track segment (B.Cu): [(288290000, 38160000), (290830000, 40700000)]
13:39:47: [INFO] Routing SW9 with D9
13:39:47: [INFO] Using internal autorouter method
13:39:47: [INFO] Routing pad 'SW9:2' at (269240000, 33020000) with pad 'D9:2' at (271780000, 40700000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(269240000, 33020000), (269240000, 38160000)]
13:39:47: [INFO] Adding track segment (B.Cu): [(269240000, 38160000), (271780000, 40700000)]
13:39:47: [INFO] Routing SW8 with D8
13:39:47: [INFO] Using internal autorouter method
13:39:47: [INFO] Routing pad 'SW8:2' at (250190000, 33020000) with pad 'D8:2' at (252730000, 40700000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(250190000, 33020000), (250190000, 38160000)]
13:39:47: [INFO] Adding track segment (B.Cu): [(250190000, 38160000), (252730000, 40700000)]
13:39:47: [INFO] Routing SW7 with D7
13:39:47: [INFO] Using internal autorouter method
13:39:47: [INFO] Routing pad 'SW7:2' at (231140000, 33020000) with pad 'D7:2' at (233680000, 40700000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(231140000, 33020000), (231140000, 38160000)]
13:39:47: [INFO] Adding track segment (B.Cu): [(231140000, 38160000), (233680000, 40700000)]
13:39:47: [INFO] Routing SW6 with D6
13:39:47: [INFO] Using internal autorouter method
13:39:47: [INFO] Routing pad 'SW6:2' at (212090000, 33020000) with pad 'D6:2' at (214630000, 40700000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(212090000, 33020000), (212090000, 38160000)]
13:39:47: [INFO] Adding track segment (B.Cu): [(212090000, 38160000), (214630000, 40700000)]
13:39:47: [INFO] Routing SW5 with D5
13:39:47: [INFO] Using internal autorouter method
13:39:47: [INFO] Routing pad 'SW5:2' at (193040000, 33020000) with pad 'D5:2' at (195580000, 40700000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(193040000, 33020000), (193040000, 38160000)]
13:39:47: [INFO] Adding track segment (B.Cu): [(193040000, 38160000), (195580000, 40700000)]
13:39:47: [INFO] Routing SW4 with D4
13:39:47: [INFO] Using internal autorouter method
13:39:47: [INFO] Routing pad 'SW4:2' at (173990000, 33020000) with pad 'D4:2' at (176530000, 40700000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(173990000, 33020000), (173990000, 38160000)]
13:39:47: [INFO] Adding track segment (B.Cu): [(173990000, 38160000), (176530000, 40700000)]
13:39:47: [INFO] Routing SW3 with D3
13:39:47: [INFO] Using internal autorouter method
13:39:47: [INFO] Routing pad 'SW3:2' at (154940000, 33020000) with pad 'D3:2' at (157480000, 40700000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(154940000, 33020000), (154940000, 38160000)]
13:39:47: [INFO] Adding track segment (B.Cu): [(154940000, 38160000), (157480000, 40700000)]
13:39:47: [INFO] Routing SW2 with D2
13:39:47: [INFO] Using internal autorouter method
13:39:47: [INFO] Routing pad 'SW2:2' at (135890000, 33020000) with pad 'D2:2' at (138430000, 40700000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(135890000, 33020000), (135890000, 38160000)]
13:39:47: [INFO] Adding track segment (B.Cu): [(135890000, 38160000), (138430000, 40700000)]
13:39:47: [INFO] Routing SW1 with D1
13:39:47: [INFO] Using internal autorouter method
13:39:47: [INFO] Routing pad 'SW1:2' at (116840000, 33020000) with pad 'D1:2' at (119380000, 40700000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(116840000, 33020000), (116840000, 38160000)]
13:39:47: [INFO] Adding track segment (B.Cu): [(116840000, 38160000), (119380000, 40700000)]
13:39:47: [INFO] Routing COL8 pads
13:39:47: [INFO] Routing pad 'SW55:1' at (246221250, 92710000) with pad 'SW41:1' at (258127500, 73660000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (F.Cu): [(246221250, 92710000), (258127500, 80803750)]
13:39:47: [INFO] Adding track segment (F.Cu): [(258127500, 80803750), (258127500, 73660000)]
13:39:47: [INFO] Routing pad 'SW26:1' at (267652500, 54610000) with pad 'SW9:1' at (262890000, 35560000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (F.Cu): [(267652500, 54610000), (262890000, 49847500)]
13:39:47: [INFO] Adding track segment (F.Cu): [(262890000, 49847500), (262890000, 35560000)]
13:39:47: [INFO] Routing pad 'SW41:1' at (258127500, 73660000) with pad 'SW26:1' at (267652500, 54610000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (F.Cu): [(258127500, 73660000), (267652500, 64135000)]
13:39:47: [INFO] Adding track segment (F.Cu): [(267652500, 64135000), (267652500, 54610000)]
13:39:47: [INFO] Routing COL14 pads
13:39:47: [INFO] Routing pad 'SW31:1' at (53340000, 54610000) with pad 'SW15:1' at (53340000, 35560000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (F.Cu): [(53340000, 54610000), (53340000, 35560000)]
13:39:47: [INFO] Routing pad 'SW47:1' at (53340000, 73660000) with pad 'SW31:1' at (53340000, 54610000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (F.Cu): [(53340000, 73660000), (53340000, 54610000)]
13:39:47: [INFO] Routing pad 'SW61:1' at (53340000, 92710000) with pad 'SW47:1' at (53340000, 73660000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (F.Cu): [(53340000, 92710000), (53340000, 73660000)]
13:39:47: [INFO] Routing pad 'SW61a:1' at (43815000, 92710000) with pad 'SW61:1' at (53340000, 92710000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (F.Cu): [(43815000, 92710000), (53340000, 92710000)]
13:39:47: [INFO] Routing ROW0 pads
13:39:47: [INFO] Routing pad 'D14:1' at (43180000, 43500000) with pad 'D15:1' at (62230000, 43500000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(43180000, 43500000), (62230000, 43500000)]
13:39:47: [INFO] Routing pad 'D15:1' at (62230000, 43500000) with pad 'D16:1' at (81280000, 43500000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(62230000, 43500000), (81280000, 43500000)]
13:39:47: [INFO] Routing pad 'D16:1' at (81280000, 43500000) with pad 'D17:1' at (100330000, 43500000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(81280000, 43500000), (100330000, 43500000)]
13:39:47: [INFO] Routing pad 'D17:1' at (100330000, 43500000) with pad 'D1:1' at (119380000, 43500000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(100330000, 43500000), (119380000, 43500000)]
13:39:47: [INFO] Routing pad 'D1:1' at (119380000, 43500000) with pad 'D2:1' at (138430000, 43500000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(119380000, 43500000), (138430000, 43500000)]
13:39:47: [INFO] Routing pad 'D2:1' at (138430000, 43500000) with pad 'D3:1' at (157480000, 43500000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(138430000, 43500000), (157480000, 43500000)]
13:39:47: [INFO] Routing pad 'D3:1' at (157480000, 43500000) with pad 'D4:1' at (176530000, 43500000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(157480000, 43500000), (176530000, 43500000)]
13:39:47: [INFO] Routing pad 'D4:1' at (176530000, 43500000) with pad 'D5:1' at (195580000, 43500000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(176530000, 43500000), (195580000, 43500000)]
13:39:47: [INFO] Routing pad 'D5:1' at (195580000, 43500000) with pad 'D6:1' at (214630000, 43500000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(195580000, 43500000), (214630000, 43500000)]
13:39:47: [INFO] Routing pad 'D6:1' at (214630000, 43500000) with pad 'D7:1' at (233680000, 43500000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(214630000, 43500000), (233680000, 43500000)]
13:39:47: [INFO] Routing pad 'D7:1' at (233680000, 43500000) with pad 'D8:1' at (252730000, 43500000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(233680000, 43500000), (252730000, 43500000)]
13:39:47: [INFO] Routing pad 'D8:1' at (252730000, 43500000) with pad 'D9:1' at (271780000, 43500000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(252730000, 43500000), (271780000, 43500000)]
13:39:47: [INFO] Routing pad 'D9:1' at (271780000, 43500000) with pad 'D10:1' at (290830000, 43500000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(271780000, 43500000), (290830000, 43500000)]
13:39:47: [INFO] Routing pad 'D10:1' at (290830000, 43500000) with pad 'D11:1' at (309880000, 43500000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(290830000, 43500000), (309880000, 43500000)]
13:39:47: [INFO] Routing pad 'D11:1' at (309880000, 43500000) with pad 'D12:1' at (328930000, 43500000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(309880000, 43500000), (328930000, 43500000)]
13:39:47: [INFO] Routing pad 'D12:1' at (328930000, 43500000) with pad 'D13:1' at (347980000, 43500000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(328930000, 43500000), (347980000, 43500000)]
13:39:47: [INFO] Routing COL16 pads
13:39:47: [INFO] Routing pad 'SW17:1' at (91440000, 35560000) with pad 'SW33:1' at (91440000, 54610000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (F.Cu): [(91440000, 35560000), (91440000, 54610000)]
13:39:47: [INFO] Routing pad 'SW33:1' at (91440000, 54610000) with pad 'SW49:1' at (91440000, 73660000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (F.Cu): [(91440000, 54610000), (91440000, 73660000)]
13:39:47: [INFO] Routing pad 'SW49:1' at (91440000, 73660000) with pad 'SW63:1' at (91440000, 92710000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (F.Cu): [(91440000, 73660000), (91440000, 92710000)]
13:39:47: [INFO] Routing COL7 pads
13:39:47: [INFO] Routing pad 'SW54:1' at (231933750, 92710000) with pad 'SW40:1' at (239077500, 73660000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Routing pad 'SW25:1' at (248602500, 54610000) with pad 'SW8:1' at (243840000, 35560000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (F.Cu): [(248602500, 54610000), (243840000, 49847500)]
13:39:47: [INFO] Adding track segment (F.Cu): [(243840000, 49847500), (243840000, 35560000)]
13:39:47: [INFO] Routing pad 'SW40:1' at (239077500, 73660000) with pad 'SW25:1' at (248602500, 54610000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (F.Cu): [(239077500, 73660000), (248602500, 64135000)]
13:39:47: [INFO] Adding track segment (F.Cu): [(248602500, 64135000), (248602500, 54610000)]
13:39:47: [INFO] Routing COL4 pads
13:39:47: [INFO] Routing pad 'SW22:1' at (191452500, 54610000) with pad 'SW5:1' at (186690000, 35560000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (F.Cu): [(191452500, 54610000), (186690000, 49847500)]
13:39:47: [INFO] Adding track segment (F.Cu): [(186690000, 49847500), (186690000, 35560000)]
13:39:47: [INFO] Routing pad 'SW37:1' at (181927500, 73660000) with pad 'SW22:1' at (191452500, 54610000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (F.Cu): [(181927500, 73660000), (191452500, 64135000)]
13:39:47: [INFO] Adding track segment (F.Cu): [(191452500, 64135000), (191452500, 54610000)]
13:39:47: [INFO] Routing COL2 pads
13:39:47: [INFO] Routing pad 'SW20:1' at (153352500, 54610000) with pad 'SW3:1' at (148590000, 35560000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (F.Cu): [(153352500, 54610000), (148590000, 49847500)]
13:39:47: [INFO] Adding track segment (F.Cu): [(148590000, 49847500), (148590000, 35560000)]
13:39:47: [INFO] Routing pad 'SW35:1' at (143827500, 73660000) with pad 'SW20:1' at (153352500, 54610000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (F.Cu): [(143827500, 73660000), (153352500, 64135000)]
13:39:47: [INFO] Adding track segment (F.Cu): [(153352500, 64135000), (153352500, 54610000)]
13:39:47: [INFO] Routing pad 'SW35:1' at (143827500, 73660000) with pad 'SW52:1' at (160496250, 92710000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (F.Cu): [(143827500, 73660000), (143827500, 76041250)]
13:39:47: [INFO] Adding track segment (F.Cu): [(143827500, 76041250), (160496250, 92710000)]
13:39:47: [INFO] Routing COL9 pads
13:39:47: [INFO] Routing pad 'SW42:1' at (277177500, 73660000) with pad 'SW56:1' at (279558750, 92710000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (F.Cu): [(277177500, 73660000), (277177500, 90328750)]
13:39:47: [INFO] Adding track segment (F.Cu): [(277177500, 90328750), (279558750, 92710000)]
13:39:47: [INFO] Routing pad 'SW27:1' at (286702500, 54610000) with pad 'SW10:1' at (281940000, 35560000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (F.Cu): [(286702500, 54610000), (281940000, 49847500)]
13:39:47: [INFO] Adding track segment (F.Cu): [(281940000, 49847500), (281940000, 35560000)]
13:39:47: [INFO] Routing pad 'SW42:1' at (277177500, 73660000) with pad 'SW27:1' at (286702500, 54610000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (F.Cu): [(277177500, 73660000), (286702500, 64135000)]
13:39:47: [INFO] Adding track segment (F.Cu): [(286702500, 64135000), (286702500, 54610000)]
13:39:47: [INFO] Routing ROW1 pads
13:39:47: [INFO] Routing pad 'D30:1' at (43180000, 62550000) with pad 'D31:1' at (62230000, 62550000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(43180000, 62550000), (62230000, 62550000)]
13:39:47: [INFO] Routing pad 'D31:1' at (62230000, 62550000) with pad 'D32:1' at (81280000, 62550000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(62230000, 62550000), (81280000, 62550000)]
13:39:47: [INFO] Routing pad 'D32:1' at (81280000, 62550000) with pad 'D33:1' at (100330000, 62550000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(81280000, 62550000), (100330000, 62550000)]
13:39:47: [INFO] Routing pad 'D33:1' at (100330000, 62550000) with pad 'D18:1' at (121761250, 62550000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(100330000, 62550000), (121761250, 62550000)]
13:39:47: [INFO] Routing pad 'D18:1' at (121761250, 62550000) with pad 'D19:1' at (143192500, 62550000) using coordinate system rotated by 0 degree(s)
13:39:47: [INFO] Adding track segment (B.Cu): [(121761250, 62550000), (143192500, 62550000)]
