=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:57: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgCwF8A0dwAYUPGi14BGDVdLQgZnAF0UAoMKWOCtcAT2YFoMA6ATlKYUVPEyJCsAVlxx8zABySUhAEyz5EtuRy0GmuArad4PXgqnKA7LOELbWfg5UYN4uFwBsyz24JxvbRVCGnpGEw8+fksg1zF-QmV1eOZCZCDCGRStMhUbPUYE424o5RDsuEJA3KrQ-XdM4tM+dPRCFVE5dy41IXbdMINWdAizQTZ2zoNEiZQsrv8lWbU-VL6VAfr-TybI8xi2lF8KmcObWftZp2W4hbXlkIKIUaiD8Hbb6fXku6JW95U8y+y3ygwauzG63Kv0q1QBtSe7gQEJaQlU2FWRBIbHRlDqhWYww4JQEaJEmMqZKB7iW6FxP2BdI2+IMOxGJIsZOOMNO4HR5yZlyZ1yZxApvNxjzBLwEb3RnwaZIZDX+uOpCTJhFBW1SKNJOJU4rhuN8iP8yPZzV4-1YOBO2PQrDxZsJevGjvJJyErHVim9KmVGrYTs2BPgbOJVs5waOFLhTuhBi8-oF4FYQrTKBFmbFiJl0X9CqDHsDqRtgPF-q1LPBlr27pzRqrprB5r1-2Rdp5DvAyOdrdddchbGRU0VI7mFNpvYDlYnaRriz10fQyNTyIzyOzfdceZJBYnRfuq5Qpb+Qj7vpyM+rLqIbovhpOcL7LZ14d4qikbrYAHdUrwbzItyBgIIBf4AUBwQ0NQQA
13:37:02: [INFO] Placing additional elements for SW52
13:37:02: [INFO] Placing additional elements for SW51
13:37:02: [INFO] Placing additional elements for SW50
13:37:02: [INFO] Placing additional elements for SW49
13:37:02: [INFO] Placing additional elements for SW48
13:37:02: [INFO] Placing additional elements for SW47
13:37:02: [INFO] Placing additional elements for SW46
13:37:02: [INFO] Placing additional elements for SW45
13:37:02: [INFO] Placing additional elements for SW44
13:37:02: [INFO] Placing additional elements for SW43
13:37:02: [INFO] Placing additional elements for SW42
13:37:02: [INFO] Placing additional elements for SW41
13:37:02: [INFO] Placing additional elements for SW40
13:37:02: [INFO] Placing additional elements for SW39
13:37:02: [INFO] Placing additional elements for SW38
13:37:02: [INFO] Placing additional elements for SW37
13:37:02: [INFO] Placing additional elements for SW36
13:37:02: [INFO] Placing additional elements for SW35
13:37:02: [INFO] Placing additional elements for SW34
13:37:02: [INFO] Placing additional elements for SW33
13:37:02: [INFO] Placing additional elements for SW32
13:37:02: [INFO] Placing additional elements for SW31
13:37:02: [INFO] Placing additional elements for SW30
13:37:02: [INFO] Placing additional elements for SW29
13:37:02: [INFO] Placing additional elements for SW28
13:37:02: [INFO] Placing additional elements for SW27
13:37:02: [INFO] Placing additional elements for SW26
13:37:02: [INFO] Placing additional elements for SW25
13:37:02: [INFO] Placing additional elements for SW24
13:37:02: [INFO] Placing additional elements for SW23
13:37:02: [INFO] Placing additional elements for SW22
13:37:02: [INFO] Placing additional elements for SW21
13:37:02: [INFO] Placing additional elements for SW20
