=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:47: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDoCsAaO4DGtMGIB2I48AXw3AAY1LwBdNAKDClwBYkD1MBPXAWkpIAHN2y5weLNJlkK1AMzgMEaPGGpymaggBM9JizVxdnMX3iCkATi1U0CZdrT6VreAiEo7OpW5zwkgCGIaFO4ADuuLo+DmwAOgB2SUnUtG7GQrre8nEpyYk64boOCvmpDgbMqrjI2RQWcFbZdgg0VUa1bA0CQsIUAfgysq0OjgzV7iaoPZZC1mKDwaEh4VEemhRtjv4SUsM4o65wNR5ClKN64dt+J5G1m5jbbB2niLNNWYt7K6t2JbQJp14KZ6rxemYKOtEGZ-pVdoF9sM5JgSsc3tZHuASggdqiHOjxIjiCQodEkC0KDiXkC3iVMEs8L8gmtyZTMAp4XdGQdDhROYTjJiLvyxuFOVcEfhmayQbDRQgygUkm10ndMhSxNDkFw7BKlfltuK8srEkbaVN6fcNjlMN08W9FZDMNqsfaaYYIAAnWrUTDGFAiD78ABsSD9RKGBxR9heuRQ4WoIcTaAIrymgYUo1u4DacaeaATWzQyYtAaQbFt2LQOZK+erRfxpc9GZsVc5Oc59c5jfAnObk2MBAGexJRFl03Z4G6jYgjJlZI2U+6A+BcED5ghC0XMKr3Q9kx9lk8FCFQfBx84I8RvJj1GEKesKc8z-GLbPbFGaeLD+LT+LL5lrgmK6lSqbFGgv74v++KAe+wFIFmorfhykHGjBfYOIC8HwJi3QMqOY4TqYoF2mhQEeKYCCbnMNjXtKvwTsge5YfQdBAA
13:36:51: [INFO] Layout offset: (38100000, 28575000)
13:36:51: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:36:51: [INFO] Placing additional elements for SW66
13:36:51: [INFO] Placing additional elements for SW65
13:36:51: [INFO] Placing additional elements for SW64
13:36:51: [INFO] Placing additional elements for SW63
13:36:51: [INFO] Placing additional elements for SW62
13:36:51: [INFO] Placing additional elements for SW61
13:36:51: [INFO] Placing additional elements for SW60
13:36:51: [INFO] Placing additional elements for SW59
13:36:51: [INFO] Placing additional elements for SW58a
13:36:51: [INFO] Placing additional elements for SW58
13:36:51: [INFO] Placing additional elements for SW57
13:36:51: [INFO] Placing additional elements for SW56
13:36:51: [INFO] Placing additional elements for SW55
13:36:51: [INFO] Placing additional elements for SW54
13:36:51: [INFO] Placing additional elements for SW53
13:36:51: [INFO] Placing additional elements for SW52
13:36:51: [INFO] Placing additional elements for SW51
13:36:51: [INFO] Placing additional elements for SW50
13:36:51: [INFO] Placing additional elements for SW49
13:36:51: [INFO] Placing additional elements for SW48
13:36:51: [INFO] Placing additional elements for SW47
13:36:51: [INFO] Placing additional elements for SW46
13:36:51: [INFO] Placing additional elements for SW45
13:36:51: [INFO] Placing additional elements for SW44
13:36:51: [INFO] Placing additional elements for SW43
13:36:51: [INFO] Placing additional elements for SW42
13:36:51: [INFO] Placing additional elements for SW41
13:36:51: [INFO] Placing additional elements for SW40
13:36:51: [INFO] Placing additional elements for SW39
13:36:51: [INFO] Placing additional elements for SW38
13:36:51: [INFO] Placing additional elements for SW37
13:36:51: [INFO] Placing additional elements for SW36
13:36:51: [INFO] Placing additional elements for SW35
13:36:51: [INFO] Placing additional elements for SW34
13:36:51: [INFO] Placing additional elements for SW33
13:36:51: [INFO] Placing additional elements for SW32
13:36:51: [INFO] Placing additional elements for SW31
13:36:51: [INFO] Placing additional elements for SW30
13:36:51: [INFO] Placing additional elements for SW29
13:36:51: [INFO] Placing additional elements for SW28
13:36:51: [INFO] Placing additional elements for SW27
13:36:51: [INFO] Placing additional elements for SW26
13:36:51: [INFO] Placing additional elements for SW25
13:36:51: [INFO] Placing additional elements for SW24
13:36:51: [INFO] Placing additional elements for SW23
13:36:51: [INFO] Placing additional elements for SW22
13:36:51: [INFO] Placing additional elements for SW21
13:36:51: [INFO] Placing additional elements for SW20
13:36:51: [INFO] Placing additional elements for SW19
13:36:51: [INFO] Placing additional elements for SW18
13:36:51: [INFO] Placing additional elements for SW17
13:36:51: [INFO] Placing additional elements for SW16
13:36:51: [INFO] Placing additional elements for SW15a
13:36:51: [INFO] Placing additional elements for SW15
13:36:51: [INFO] Placing additional elements for SW14
13:36:51: [INFO] Placing additional elements for SW13
13:36:51: [INFO] Placing additional elements for SW12
13:36:51: [INFO] Placing additional elements for SW11
13:36:51: [INFO] Placing additional elements for SW10
13:36:51: [INFO] Placing additional elements for SW9
13:36:51: [INFO] Placing additional elements for SW8
13:36:51: [INFO] Placing additional elements for SW7
13:36:51: [INFO] Placing additional elements for SW6
13:36:51: [INFO] Placing additional elements for SW5
13:36:51: [INFO] Placing additional elements for SW4
13:36:51: [INFO] Placing additional elements for SW3
13:36:51: [INFO] Placing additional elements for SW2
13:36:51: [INFO] Placing additional elements for SW1
13:36:51: [INFO] Routing SW66 with D66
13:36:51: [INFO] Using internal autorouter method
13:36:51: [INFO] Routing pad 'SW66:2' at (383540000, 113982500) with pad 'D66:2' at (386080000, 121662500) using coordinate system rotated by 0 degree(s)
13:36:51: [INFO] Adding track segment (B.Cu): [(383540000, 113982500), (383540000, 119122500)]
13:36:51: [INFO] Adding track segment (B.Cu): [(383540000, 119122500), (386080000, 121662500)]
13:36:51: [INFO] Routing SW65 with D65
13:36:51: [INFO] Using internal autorouter method
13:36:51: [INFO] Routing pad 'SW65:2' at (305548444, 115534170) with pad 'D65:2' at (309383474, 122656427) using coordinate system rotated by 350.0 degree(s)
13:36:51: [INFO] Adding track segment (B.Cu): [(305548444, 115534170), (306440995, 120596081)]
13:36:51: [INFO] Adding track segment (B.Cu): [(306440995, 120596081), (309383474, 122656427)]
13:36:51: [INFO] Routing SW64 with D64
13:36:51: [INFO] Using internal autorouter method
13:36:51: [INFO] Routing pad 'SW64:2' at (265351396, 120687607) with pad 'D64:2' at (269186426, 127809864) using coordinate system rotated by 350.0 degree(s)
13:36:51: [INFO] Adding track segment (B.Cu): [(265351396, 120687607), (266243947, 125749518)]
13:36:51: [INFO] Adding track segment (B.Cu): [(266243947, 125749518), (269186426, 127809864)]
13:36:51: [INFO] Routing SW63 with D63
13:36:51: [INFO] Using internal autorouter method
13:36:51: [INFO] Routing pad 'SW63:2' at (214339356, 127031925) with pad 'D63:2' at (215507149, 135036314) using coordinate system rotated by 10.0 degree(s)
13:36:51: [INFO] Adding track segment (B.Cu): [(214339356, 127031925), (213446803, 132093835)]
13:36:51: [INFO] Adding track segment (B.Cu): [(213446803, 132093835), (215507149, 135036314)]
13:36:51: [INFO] Routing SW62 with D62
13:36:51: [INFO] Using internal autorouter method
13:36:51: [INFO] Routing pad 'SW62:2' at (181508327, 121242929) with pad 'D62:2' at (182676120, 129247318) using coordinate system rotated by 10.0 degree(s)
13:36:51: [INFO] Adding track segment (B.Cu): [(181508327, 121242929), (180615775, 126304840)]
13:36:51: [INFO] Adding track segment (B.Cu): [(180615775, 126304840), (182676120, 129247318)]
13:36:51: [INFO] Routing SW61 with D61
13:36:51: [INFO] Using internal autorouter method
13:36:51: [INFO] Routing pad 'SW61:2' at (146166826, 115978462) with pad 'D61:2' at (147334619, 123982851) using coordinate system rotated by 10.0 degree(s)
13:36:51: [INFO] Adding track segment (B.Cu): [(146166826, 115978462), (145274274, 121040373)]
13:36:52: [INFO] Adding track segment (B.Cu): [(145274274, 121040373), (147334619, 123982851)]
13:36:52: [INFO] Routing SW60 with D60
13:36:52: [INFO] Using internal autorouter method
13:36:52: [INFO] Routing pad 'SW60:2' at (93027500, 113982500) with pad 'D60:2' at (95567500, 121662500) using coordinate system rotated by 0 degree(s)
13:36:52: [INFO] Adding track segment (B.Cu): [(93027500, 113982500), (93027500, 119122500)]
13:36:52: [INFO] Adding track segment (B.Cu): [(93027500, 119122500), (95567500, 121662500)]
13:36:52: [INFO] Routing SW59 with D59
13:36:52: [INFO] Using internal autorouter method
13:36:52: [INFO] Routing pad 'SW59:2' at (393065000, 94932500) with pad 'D59:2' at (395605000, 102612500) using coordinate system rotated by 0 degree(s)
13:36:52: [INFO] Adding track segment (B.Cu): [(393065000, 94932500), (393065000, 100072500)]
