=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:30:05: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14A2VdAVm3AF0UAoMKWOAFjXAE9GBaDAOgA5irLE1xx8jJiXDkR1OuPgAmVh3jceATkKShKRaIVw+U8vrn0CcculVx1fLVKykDDJSZQvzhgIwquvFqKpE4oPq6WPhge4d7sATwIfADsIboYEYw+ih4ZcZYI-mqByKx+OHhucILohBT5EkV2vAJSfiKVljq1KLK0FozKNgla3eB++p2Mxqx1Zv2G1vHF-I5lnpnusxsN8H7DK0Fp6H7hU3vR27ELy82JKUsAxozgAMTJH5-gbSgZ53DZVjPeBvR5g8HfbZ5G4FJrqDSldDKCpiKo1cDJeowxoHO4CVgAO0YABcAE4AVwAplJlB1UV1CSSKdTWJi+vIqkNbvDtDS9JsjFJMfMOZYlrZ7GskRt-jlWTtsXs4YFCME+Wd6VlLuhMdcORLeElUkCXq8AIYWy2Q6V-TV7LnA9CvcEQoW-KiKxDKzSI8CFFGGdF8LGinHclrowp0wxjYPsgZKb2jKSFSZ2wWsYMihNWb0OSMy9Ny9DBrye-bhzSq45+sICqJSYN6+gG+7G9COt6Wq0p93-QEd02fL6N927L24+G+lgBtEmkHOl3PKQaEM5rmtviKFiDhfdi3W8AsNOGYO7p1L5esVfZ3x50h8J6m-dmw8sDW+LDn0FLw+r5sQKSjAIF+4Ckgy6CkrYSyWLw4oJO24Cdua+6iOAAAWWQ8DWLDRkhQ7DskaGYXs2FSCwZYckBaggaw4FaqwlicIo2HeohJEAmR16FhAyEvsRWE1qusiUEAA
13:30:10: [INFO] Routing pad 'SW41:2' at (193040000, 57404000) with pad 'D41:2' at (195580000, 65084000) using coordinate system rotated by 0 degree(s)
13:30:10: [INFO] Adding track segment (B.Cu): [(193040000, 57404000), (193040000, 62544000)]
13:30:10: [INFO] Adding track segment (B.Cu): [(193040000, 62544000), (195580000, 65084000)]
13:30:10: [INFO] Routing SW40 with D40
13:30:10: [INFO] Using internal autorouter method
13:30:10: [INFO] Routing pad 'SW40:2' at (212090000, 54737000) with pad 'D40:2' at (214630000, 62417000) using coordinate system rotated by 0 degree(s)
13:30:10: [INFO] Adding track segment (B.Cu): [(212090000, 54737000), (212090000, 59877000)]
13:30:10: [INFO] Adding track segment (B.Cu): [(212090000, 59877000), (214630000, 62417000)]
13:30:10: [INFO] Routing SW39 with D39
13:30:10: [INFO] Using internal autorouter method
13:30:10: [INFO] Routing pad 'SW39:2' at (231140000, 52070000) with pad 'D39:2' at (233680000, 59750000) using coordinate system rotated by 0 degree(s)
13:30:10: [INFO] Adding track segment (B.Cu): [(231140000, 52070000), (231140000, 57210000)]
13:30:10: [INFO] Adding track segment (B.Cu): [(231140000, 57210000), (233680000, 59750000)]
13:30:10: [INFO] Routing SW38 with D38
13:30:10: [INFO] Using internal autorouter method
13:30:10: [INFO] Routing pad 'SW38:2' at (250190000, 55422800) with pad 'D38:2' at (252730000, 63102800) using coordinate system rotated by 0 degree(s)
13:30:10: [INFO] Adding track segment (B.Cu): [(250190000, 55422800), (250190000, 60562800)]
13:30:10: [INFO] Adding track segment (B.Cu): [(250190000, 60562800), (252730000, 63102800)]
13:30:10: [INFO] Routing SW37 with D37
13:30:10: [INFO] Using internal autorouter method
13:30:10: [INFO] Routing pad 'SW37:2' at (269240000, 58118375) with pad 'D37:2' at (271780000, 65798375) using coordinate system rotated by 0 degree(s)
13:30:10: [INFO] Adding track segment (B.Cu): [(269240000, 58118375), (269240000, 63258375)]
13:30:10: [INFO] Adding track segment (B.Cu): [(269240000, 63258375), (271780000, 65798375)]
13:30:10: [INFO] Routing SW36 with D36
13:30:10: [INFO] Using internal autorouter method
13:30:10: [INFO] Routing pad 'SW36:2' at (288290000, 69786499) with pad 'D36:2' at (290830000, 77466499) using coordinate system rotated by 0 degree(s)
13:30:10: [INFO] Adding track segment (B.Cu): [(288290000, 69786499), (288290000, 74926499)]
13:30:10: [INFO] Adding track segment (B.Cu): [(288290000, 74926499), (290830000, 77466499)]
13:30:10: [INFO] Routing SW35 with D35
13:30:10: [INFO] Using internal autorouter method
