=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:55: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrBEAYBp1SAIKQIyzgb1AD1ALjuAOgCYBWeUAY1wQGIBDBx1UAC2qIF9yAWaAHQB2gwUWioMVPKBoVZc0FwS8U5KEWZQAzOKzVCpRaF7qekbasjcd2PPrIJJtRk3IB3akgIlDUEjsfScvKGvFamfhYAbBqQAOzMvNGm8RYAHDEAnAmQ6aZZFkgwBSrolNTSzgzM7nie3qaFwkICqWLwGDb4xPZlUjJBVCHIJYhIJghQSOalnXZDY9lTMUhhpQH0lcxseJwFJE2CZEUzet3k6wODDatGyH4AupAAUGBIbQhvJR0e3YZkI29xqA3tNvrZfuQyECyNNgZZrKdSOdyhtnNUfrF6h9IBE1ijLgpIfCibi4UlsSkEGRyaAyJS4blsfkqTlmGRmXDCv4UbFeXz0TsIdikEgDi13mCukiHPiBoSWSLmJ8gZ9QbpwQYiQstbDPqtJZ5NQqbv8Hs8wKJjqBRF91VKeutKnQtuxDJF+M1BJoJb1aAS3chmKIgaI1bMhaB3eMJDy+bz5ZGzNy+v7yKJ9Xa7Mi+k6BXAiBHRPtPQIoMcYym5QHSaIaaJ6e6ae76aJGdbIBz3W33RybeXfRVNm52ARMYYbaKS29++HpQP+kEE+7Fe153H4+PkNH56mEDaw4isYntQhl7CbRnHUOENt85ukMWmu6Z4fs36q+Rlzdl2aXqBvVa3q2p0hpHrEgarleaLDjshjekQYq8C+GoOrGcYJuBQLgbC3oZrOqE5teoA1HAdRwTiCK1AQUAICRZHkN6kRihkPoXHKMFwLE5GpMxrEormHH0QgQHgLxyGkdRgleIY4Fcqu+FvtI67xDJwzMEBQJAQeKGKaiLi0a65CyZoYrgf2bGLuRKyURJRqgLJNyyb+wCSgWc4AJ6vjKhFokMokljaNmeOA5EISWyjqWYiEQScOwFiFRlbqZMX2cgJklrJQXUT4dxiv8oCPC8rkRkcYqBfJ1CRF4Ul2UWYqTMw7rcPVMUGoQNHERiR4TmKnyNcg-lNH1FV4FVR6fI+zT5YVLl2m5R7PmKQE2RkkkGVRR6MbxtoWfIHEFmODFxNtOh0dJR08SWLG2iRB2bR2J2QfxRFnfdjRXa1dqrQle65SWy4FeaxV2WZS2fZ0326QSgk-f+OS8duENrfOuZWZNggAzNrmaGc3m0MpeZ1OQt6iLR6iCnOLDk6R5CYNTAC0hCYuQ7nU0ghifJOTStCg9z3EAA
13:36:58: [INFO] Add SW32 footprint
13:36:58: [INFO] Add D32 footprint
13:36:58: [INFO] Add SW33 footprint
13:36:58: [INFO] Add D33 footprint
13:36:58: [INFO] Add SW34 footprint
13:36:58: [INFO] Add D34 footprint
13:36:58: [INFO] Add SW35 footprint
13:36:58: [INFO] Add D35 footprint
13:36:58: [INFO] Add SW36 footprint
13:36:58: [INFO] Add D36 footprint
13:36:58: [INFO] Add SW37 footprint
13:36:58: [INFO] Add D37 footprint
13:36:58: [INFO] Add SW38 footprint
13:36:58: [INFO] Add D38 footprint
13:36:58: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:58: [INFO] Add ST38 footprint
13:36:58: [INFO] Add SW38a footprint
13:36:58: [INFO] Add SW39 footprint
13:36:58: [INFO] Add D39 footprint
13:36:58: [INFO] Add SW40 footprint
13:36:58: [INFO] Add D40 footprint
13:36:58: [INFO] Add SW41 footprint
13:36:59: [INFO] Add D41 footprint
13:36:59: [INFO] Add SW42 footprint
13:36:59: [INFO] Add D42 footprint
13:36:59: [INFO] Add SW43 footprint
13:36:59: [INFO] Add D43 footprint
13:36:59: [INFO] Add SW44 footprint
13:36:59: [INFO] Add D44 footprint
13:36:59: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:36:59: [INFO] Add ST44 footprint
13:36:59: [INFO] Add SW44a footprint
13:36:59: [INFO] Add SW45 footprint
13:36:59: [INFO] Add D45 footprint
13:36:59: [INFO] Add SW46 footprint
13:36:59: [INFO] Add D46 footprint
13:36:59: [INFO] Add SW47 footprint
13:36:59: [INFO] Add D47 footprint
13:36:59: [INFO] Add SW48 footprint
13:36:59: [INFO] Add D48 footprint
13:36:59: [INFO] Add ST48 footprint
13:36:59: [INFO] Add SW48a footprint
13:36:59: [INFO] Add SW49 footprint
13:36:59: [INFO] Add D49 footprint
13:36:59: [INFO] Add SW50 footprint
13:36:59: [INFO] Add D50 footprint
13:36:59: [INFO] Add SW51 footprint
13:36:59: [INFO] Add D51 footprint
13:36:59: [INFO] Add ST51 footprint
13:36:59: [INFO] Add SW51a footprint
13:36:59: [INFO] Add SW52 footprint
13:36:59: [INFO] Add D52 footprint
13:36:59: [INFO] Add SW53 footprint
13:36:59: [INFO] Add D53 footprint
13:36:59: [INFO] Add SW54 footprint
13:36:59: [INFO] Add D54 footprint
13:36:59: [INFO] Add SW55 footprint
13:36:59: [INFO] Add D55 footprint
