=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:51: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0SA0dwE9ZwAwoBMSAvpuPuggMwA6Ado41QuBawCzNMOvgBddACgwUPAgDsKSWQ7UkgkWOjwiaCrngBaQrIoBjPOADEk8xfDksVfOzgQj8Uwddur8tvKL3K6Gr5UnIHoivIAbCGSIQAcIQCcIQh2nl421D6YjsYmAIb5Bb4A7nhE1n60PCzoKQ7i8AgaWE5YJm7u5ayRntGecZ6JQqIQqnDqGM05BYUUJQ1o5Qg19tnObe1Gi9S+S5lYSwEUS8FHoTvo3fvovVf9V4mnyecIaeBLCHsQc4gLj-S8jCWtRGeEIJC2yBW9QIxDkVwQlze1BuSIQdwgAAtShD4lUGDRllloYQ4ajcQD8dsiaNGhNwC1TBZLLMJLCKFi1LMfPM6RjuYgKJB+bpYeUiNR-jx3kphtDxoYptNcsVWbIxYS6gz1u0PFhxa9xXtwOLDnr0CczWEzYjxSjxXdjegHmanhR9WlVq0meYVWpRW6JXigVDRmC6VqNpsA5DqaD-S6bcjfPr0dDaeqEOSeASPcTfi6iEHtkMxFqlcqWfNwRQCfg8fqoRGNrrwDn61S6qG2ZM1uXfWN462au3gfScpGWwSjQTTUOLUOrUPEQSUQSHQTnUPXVgc7my0r++o1TWMiHWeHx83yjnl0mT2ioRyxtfqFneJwNSD4CSX5m8R+2BLL9EGkfQsC0OARTAsc1m9aJf0UIC5SaHA8BFEgFV7A9Kx+UkPzrCkMFqcAALxIioW+dMKA-QtCM-GDWgnHDwkHD9wjI+j92mftGmrLAAIInhyKJSjWOoBAONHUS+JIjJJLPeAaBQpsdXKACUQA1MaXzWS-wpACZRUCQWOgiCoIvWDvRbADZwAxcAMiJDRnlcC0LDTDWj7HCqP44c6NeUj-Io881PQWihI7T0XGbHDJFC9igqJLiZiwUS8PEjjczS0KPkywzgJc8BpPSwTeAwI1Aoiz4itZGSaI46qVPcWL4oaxtFW47yxOSNrqIyujquKnLwrKsLBAEIA
13:40:54: [INFO] Add D46 footprint
13:40:55: [INFO] Add SW47 footprint
13:40:55: [INFO] Add D47 footprint
13:40:55: [INFO] Add SW48 footprint
13:40:55: [INFO] Add D48 footprint
13:40:55: [INFO] Add SW49 footprint
13:40:55: [INFO] Add D49 footprint
13:40:55: [INFO] Add SW50 footprint
13:40:55: [INFO] Add D50 footprint
13:40:55: [INFO] Add SW51 footprint
13:40:55: [INFO] Add D51 footprint
13:40:55: [INFO] Add SW52 footprint
13:40:55: [INFO] Add D52 footprint
13:40:55: [INFO] Add SW53 footprint
13:40:55: [INFO] Add D53 footprint
13:40:55: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:40:55: [INFO] Add ST53 footprint
13:40:55: [INFO] Add SW53a footprint
13:40:55: [INFO] Add ST53a footprint
13:40:55: [INFO] Add SW54 footprint
13:40:55: [INFO] Add D54 footprint
13:40:55: [INFO] Add SW55 footprint
13:40:55: [INFO] Add D55 footprint
13:40:55: [INFO] Add SW56 footprint
13:40:55: [INFO] Add D56 footprint
13:40:55: [INFO] Add SW57 footprint
13:40:55: [INFO] Add D57 footprint
13:40:55: [INFO] Add SW58 footprint
13:40:55: [INFO] Add D58 footprint
13:40:55: [INFO] Add SW59 footprint
13:40:55: [INFO] Add D59 footprint
13:40:55: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:40:55: [INFO] Add ST59 footprint
13:40:55: [INFO] Add SW59a footprint
13:40:55: [INFO] Add SW60 footprint
13:40:55: [INFO] Add D60 footprint
13:40:55: [INFO] Add SW61 footprint
13:40:55: [INFO] Add D61 footprint
13:40:55: [INFO] Add SW62 footprint
13:40:55: [INFO] Add D62 footprint
13:40:56: [INFO] Add SW63 footprint
13:40:56: [INFO] Add D63 footprint
13:40:56: [INFO] Add SW64 footprint
13:40:56: [INFO] Add D64 footprint
13:40:56: [INFO] Add SW65 footprint
13:40:56: [INFO] Add D65 footprint
13:40:56: [INFO] Add SW66 footprint
13:40:56: [INFO] Add D66 footprint
13:40:56: [INFO] Add SW67 footprint
13:40:56: [INFO] Add D67 footprint
13:40:56: [INFO] Add SW68 footprint
13:40:56: [INFO] Add D68 footprint
13:40:56: [INFO] Add SW69 footprint
13:40:56: [INFO] Add D69 footprint
13:40:56: [INFO] Add SW70 footprint
13:40:56: [INFO] Add D70 footprint
13:40:56: [INFO] Add SW71 footprint
13:40:56: [INFO] Add D71 footprint
13:40:56: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:40:56: [INFO] Add ST71 footprint
13:40:56: [INFO] Add SW72 footprint
13:40:56: [INFO] Add D72 footprint
13:40:56: [INFO] Add SW73 footprint
13:40:56: [INFO] Add D73 footprint
13:40:56: [INFO] Add SW74 footprint
13:40:56: [INFO] Add D74 footprint
13:40:56: [INFO] Add SW75 footprint
13:40:56: [INFO] Add D75 footprint
13:40:56: [INFO] Add SW76 footprint
13:40:56: [INFO] Add D76 footprint
13:40:56: [INFO] Add ST76 footprint
13:40:56: [INFO] Add SW76a footprint
13:40:56: [INFO] Add SW77 footprint
13:40:56: [INFO] Add D77 footprint
13:40:56: [INFO] Add SW77a footprint
13:40:57: [INFO] Add SW78 footprint
13:40:57: [INFO] Add D78 footprint
13:40:57: [INFO] Add SW78a footprint
13:40:57: [INFO] Add SW79 footprint
13:40:57: [INFO] Add D79 footprint
13:40:57: [INFO] Add SW79a footprint
13:40:57: [INFO] Add SW80 footprint
13:40:57: [INFO] Add D80 footprint
13:40:57: [INFO] Add ST80 footprint
13:40:57: [INFO] Add SW80a footprint
13:40:57: [INFO] Add ST80a footprint
13:40:57: [INFO] Add SW80b footprint
13:40:57: [INFO] Add ST80b footprint
13:40:57: [INFO] Add SW81 footprint
13:40:57: [INFO] Add D81 footprint
13:40:57: [INFO] Add SW81a footprint
13:40:57: [INFO] Add SW82 footprint
13:40:57: [INFO] Add D82 footprint
13:40:57: [INFO] Add SW82a footprint
13:40:57: [INFO] Add SW82b footprint
13:40:57: [INFO] Add SW83 footprint
13:40:57: [INFO] Add D83 footprint
13:40:57: [INFO] Add SW83a footprint
13:40:57: [INFO] Add SW84 footprint
13:40:57: [INFO] Add D84 footprint
13:40:57: [INFO] Add SW85 footprint
13:40:57: [INFO] Add D85 footprint
13:40:57: [INFO] Add SW86 footprint
13:40:57: [INFO] Add D86 footprint
13:40:57: [INFO] Add SW87 footprint
13:40:57: [INFO] Add D87 footprint
13:40:57: [INFO] Add SW88 footprint
