=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:39:20: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoCsAaO4DGtMGIB2I48AXw3AAY1LwMId5w8BDN9uzAd1wEZVymar04NczLJKlkK1BJypoAzAuoAWVWhSaAbJoKaAHJoCcm3rVlpeIq73n1s41uzYKe8fikGLeSgDoAdkFB1JZwENCeSAjomIz4xCQUHnD8sRQAFrgIKfLRceCZ+WkUkCUAtJQx3nYBwQ3ColB8SNTxzq5uKa21Qtb1IYFy4AC6aABQYC3wyH3gvDTNqfwE84u2EU5MeFLSPosOmIsqFIsaZ1oKi3qXBpfGl2aXFtfWm2I7SUTuOTUHAyGoSWjiicGqGQ6Oz2khkx2sCCBw2szTBXgB9iRI0cCWY33u3FasQxg0aaHk4ymn3wXRYv2ixIouV4SI2zVxuxhcPAuURDSCbNBuAhhQ5tO5uXCEFSyEZmGZrJBWw5MJwPlyp3laAuWu0TLQty1BJ5aEeWueWte+psCmZR2pzHFPWia3VAzGk2mYLmPiUNCRkuWRPmfpZ-MCgYofr5Q0jWxW-yjygDSodnL29LgBF9aAIKal2xpXUz6RD1ko+YUoZjDTj0uDOb8lcpXr+hQAnsKBEmK+HmUGCo2Ux9wAm5eBo8OB2lu5g-aSgv2cc5VZmEDmUFPHDLE3Pc1vlZ1i86Z2WTAf6wyyxYL6OG0nMX2Udveo2FxGUaNRkA
13:39:23: [INFO] Placing additional elements for SW39
13:39:23: [INFO] Placing additional elements for SW38
13:39:23: [INFO] Placing additional elements for SW37
13:39:23: [INFO] Placing additional elements for SW36
13:39:23: [INFO] Placing additional elements for SW35
13:39:23: [INFO] Placing additional elements for SW34
13:39:23: [INFO] Placing additional elements for SW33
13:39:23: [INFO] Placing additional elements for SW32
13:39:23: [INFO] Placing additional elements for SW31
13:39:23: [INFO] Placing additional elements for SW30a
13:39:23: [INFO] Placing additional elements for SW30
13:39:23: [INFO] Placing additional elements for SW29
13:39:23: [INFO] Placing additional elements for SW28a
13:39:23: [INFO] Placing additional elements for SW28
13:39:23: [INFO] Placing additional elements for SW27
13:39:23: [INFO] Placing additional elements for SW26
13:39:23: [INFO] Placing additional elements for SW25
13:39:23: [INFO] Placing additional elements for SW24
13:39:23: [INFO] Placing additional elements for SW23
13:39:23: [INFO] Placing additional elements for SW22
13:39:23: [INFO] Placing additional elements for SW21
13:39:23: [INFO] Placing additional elements for SW20
13:39:23: [INFO] Placing additional elements for SW19
13:39:23: [INFO] Placing additional elements for SW18
13:39:23: [INFO] Placing additional elements for SW17
13:39:23: [INFO] Placing additional elements for SW16
13:39:23: [INFO] Placing additional elements for SW15
13:39:23: [INFO] Placing additional elements for SW14a
13:39:23: [INFO] Placing additional elements for SW14
13:39:23: [INFO] Placing additional elements for SW13
13:39:23: [INFO] Placing additional elements for SW12
13:39:23: [INFO] Placing additional elements for SW11
13:39:23: [INFO] Placing additional elements for SW10
13:39:23: [INFO] Placing additional elements for SW9
13:39:23: [INFO] Placing additional elements for SW8
13:39:23: [INFO] Placing additional elements for SW7
13:39:23: [INFO] Placing additional elements for SW6
13:39:23: [INFO] Placing additional elements for SW5
13:39:23: [INFO] Placing additional elements for SW4
13:39:23: [INFO] Placing additional elements for SW3
13:39:23: [INFO] Placing additional elements for SW2
13:39:23: [INFO] Placing additional elements for SW1
13:39:23: [INFO] Routing SW52a with D52
13:39:23: [INFO] Using internal autorouter method
13:39:23: [INFO] Routing pad 'SW52a:2' at (359727500, 90170000) with pad 'D52:2' at (364648750, 97850000) using coordinate system rotated by 0 degree(s)
13:39:23: [INFO] Routing SW52 with D52
13:39:23: [INFO] Using internal autorouter method
13:39:23: [INFO] Routing pad 'SW52:2' at (362108750, 90170000) with pad 'D52:2' at (364648750, 97850000) using coordinate system rotated by 0 degree(s)
13:39:23: [INFO] Routing SW51a with D51
13:39:23: [INFO] Using internal autorouter method
13:39:23: [INFO] Routing pad 'SW51a:2' at (333533750, 90170000) with pad 'D51:2' at (343217500, 97850000) using coordinate system rotated by 0 degree(s)
13:39:23: [INFO] Routing SW51 with D51
13:39:23: [INFO] Using internal autorouter method
13:39:23: [INFO] Routing pad 'SW51:2' at (340677500, 90170000) with pad 'D51:2' at (343217500, 97850000) using coordinate system rotated by 0 degree(s)
13:39:23: [INFO] Adding track segment (B.Cu): [(340677500, 90170000), (340677500, 95310000)]
13:39:23: [INFO] Adding track segment (B.Cu): [(340677500, 95310000), (343217500, 97850000)]
13:39:23: [INFO] Routing SW50a with D50
13:39:23: [INFO] Using internal autorouter method
13:39:23: [INFO] Routing pad 'SW50a:2' at (309721250, 90170000) with pad 'D50:2' at (321786250, 97850000) using coordinate system rotated by 0 degree(s)
13:39:23: [INFO] Routing SW50 with D50
13:39:23: [INFO] Using internal autorouter method
13:39:23: [INFO] Routing pad 'SW50:2' at (319246250, 90170000) with pad 'D50:2' at (321786250, 97850000) using coordinate system rotated by 0 degree(s)
13:39:23: [INFO] Adding track segment (B.Cu): [(319246250, 90170000), (319246250, 95310000)]
13:39:23: [INFO] Adding track segment (B.Cu): [(319246250, 95310000), (321786250, 97850000)]
13:39:23: [INFO] Routing SW49 with D49
13:39:23: [INFO] Using internal autorouter method
13:39:23: [INFO] Routing pad 'SW49:2' at (283527500, 90170000) with pad 'D49:2' at (286067500, 97850000) using coordinate system rotated by 0 degree(s)
13:39:23: [INFO] Adding track segment (B.Cu): [(283527500, 90170000), (283527500, 95310000)]
13:39:23: [INFO] Adding track segment (B.Cu): [(283527500, 95310000), (286067500, 97850000)]
13:39:23: [INFO] Routing SW48a with D48
13:39:23: [INFO] Using internal autorouter method
13:39:23: [INFO] Routing pad 'SW48a:2' at (247808750, 90170000) with pad 'D48:2' at (243205000, 97850000) using coordinate system rotated by 0 degree(s)
13:39:23: [INFO] Routing SW48 with D48
13:39:23: [INFO] Using internal autorouter method
13:39:23: [INFO] Routing pad 'SW48:2' at (240665000, 90170000) with pad 'D48:2' at (243205000, 97850000) using coordinate system rotated by 0 degree(s)
13:39:23: [INFO] Routing SW47 with D47
13:39:23: [INFO] Using internal autorouter method
13:39:23: [INFO] Routing pad 'SW47:2' at (207327500, 90170000) with pad 'D47:2' at (209867500, 97850000) using coordinate system rotated by 0 degree(s)
13:39:23: [INFO] Adding track segment (B.Cu): [(207327500, 90170000), (207327500, 95310000)]
13:39:23: [INFO] Adding track segment (B.Cu): [(207327500, 95310000), (209867500, 97850000)]
13:39:23: [INFO] Routing SW46a with D46
13:39:23: [INFO] Using internal autorouter method
13:39:23: [INFO] Routing pad 'SW46a:2' at (173990000, 90170000) with pad 'D46:2' at (164623750, 97850000) using coordinate system rotated by 0 degree(s)
13:39:23: [INFO] Routing SW46 with D46
13:39:23: [INFO] Using internal autorouter method
13:39:23: [INFO] Routing pad 'SW46:2' at (162083750, 90170000) with pad 'D46:2' at (164623750, 97850000) using coordinate system rotated by 0 degree(s)
13:39:23: [INFO] Adding track segment (B.Cu): [(162083750, 90170000), (162083750, 95310000)]
13:39:23: [INFO] Adding track segment (B.Cu): [(162083750, 95310000), (164623750, 97850000)]
13:39:23: [INFO] Routing SW45a with D45
13:39:23: [INFO] Using internal autorouter method
13:39:23: [INFO] Routing pad 'SW45a:2' at (147796250, 90170000) with pad 'D45:2' at (143192500, 97850000) using coordinate system rotated by 0 degree(s)
13:39:23: [INFO] Routing SW45 with D45
13:39:23: [INFO] Using internal autorouter method
13:39:23: [INFO] Routing pad 'SW45:2' at (140652500, 90170000) with pad 'D45:2' at (143192500, 97850000) using coordinate system rotated by 0 degree(s)
13:39:23: [INFO] Routing SW44a with D44
13:39:23: [INFO] Using internal autorouter method
