=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:21: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDYB0B2ArAXwDR3AAw4IAsAOgHaWVELh4QDGs+AxAIadfi760bUqFWuAC6OAFBgoLAEwoMecAE8WBFLOxKiBenAjR46zb0LE9Z2XqYtwrRg8c9tOAMwWiJDzgzek3tG8ADm8ATm8EXRcEOmiraPcGcGZ4Oy5uJQB3OVN+QRocKP0ZIw0tfARiX3EpAzkFU0qiutLNLJYEBqVK2OKUtkcnRpx4ircLSq9unwmcf2nA6ZDp8OnI2ZiN0fAexOLs+E7yneJyIUpXQusSuGNFfH609PZnfFkq-IoSK6TDRHR7uADv82vgABZyLJWQ4KJRg6GIJSQBEAWjupnepE+l16LVuZThOSUOIE5y+5hq0j+8mO72aNzu7RhmAx5iSj3sg2YrO27z24HeUzeMyU73mwsWwuWwtWwvWouIvQFxFGNlSHGeFmB8hMCqxZMu9L+6OJHzJ3yNagBSg5XO5etc2IpkmkHOeLyZIOOOM+PWutq5r3Al1kvrZxWNBIetg16SDhuukdBQPquvwPrJTX9Mbt8fGpqFwZF6bmFkukqL0qLsqL8pLm1NCFVyRj7q19RZjcdZLpiatafA331gkUltagOBnU79e7gkxZdOn3nv37gIh8FkpiHpJHztqNxpW5+EdXnqOR4QnyQx8HIyvx4gk66+G+s6E1-pAcG7fgaCPQXvT9W01M9n1vGJAIsIdQzJD9rifY4hzfSg4JXccLx3IRRzEF08Vca18FUcdQMQ4h71xcAABMWAAFwAJwAVwAUyPGDBGvCiEKPZCKA47N1VzT0-yUb4ANg8M1TYNsSIvS9xIo6j4Ho5iLzY98JJTGFSIQHi+MpPCCJUU98AQpRFLgZSWJEsjxO2b41JQkZ4I6MDX3vZsvycIT-3c-ipJAkyXO0uT2Kc6ym18pJTPwczLIvXSnNEUQgA
13:32:26: [INFO] Add D74 footprint
13:32:26: [INFO] Add SW74a footprint
13:32:26: [INFO] Add ST74a footprint
13:32:26: [INFO] Detected layout convertible to matrix annotated keyboard
13:32:26: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:32:26: [INFO] Layout offset: (38100000, 23812500)
13:32:26: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:32:26: [INFO] Placing additional elements for SW74a
13:32:26: [INFO] Placing additional elements for SW74
13:32:26: [INFO] Placing additional elements for SW73
13:32:26: [INFO] Placing additional elements for SW72
13:32:26: [INFO] Placing additional elements for SW71
13:32:26: [INFO] Placing additional elements for SW70
13:32:26: [INFO] Placing additional elements for SW69
13:32:26: [INFO] Placing additional elements for SW68
13:32:26: [INFO] Placing additional elements for SW67
13:32:26: [INFO] Placing additional elements for SW66
13:32:26: [INFO] Placing additional elements for SW65
13:32:26: [INFO] Placing additional elements for SW64a
13:32:26: [INFO] Placing additional elements for SW64
13:32:26: [INFO] Placing additional elements for SW63
13:32:26: [INFO] Placing additional elements for SW62a
13:32:26: [INFO] Placing additional elements for SW62
13:32:26: [INFO] Placing additional elements for SW61
13:32:26: [INFO] Placing additional elements for SW60
13:32:26: [INFO] Placing additional elements for SW59
13:32:26: [INFO] Placing additional elements for SW58
13:32:26: [INFO] Placing additional elements for SW57
13:32:26: [INFO] Placing additional elements for SW56
13:32:26: [INFO] Placing additional elements for SW55
13:32:26: [INFO] Placing additional elements for SW54
13:32:26: [INFO] Placing additional elements for SW53
13:32:26: [INFO] Placing additional elements for SW52
13:32:26: [INFO] Placing additional elements for SW51
13:32:26: [INFO] Placing additional elements for SW50a
13:32:26: [INFO] Placing additional elements for SW50
13:32:26: [INFO] Placing additional elements for SW49
13:32:26: [INFO] Placing additional elements for SW48
13:32:26: [INFO] Placing additional elements for SW47a
13:32:26: [INFO] Placing additional elements for SW47
13:32:26: [INFO] Placing additional elements for SW46
13:32:26: [INFO] Placing additional elements for SW45
13:32:26: [INFO] Placing additional elements for SW44
13:32:26: [INFO] Placing additional elements for SW43
13:32:26: [INFO] Placing additional elements for SW42
13:32:26: [INFO] Placing additional elements for SW41
13:32:26: [INFO] Placing additional elements for SW40
13:32:26: [INFO] Placing additional elements for SW39
13:32:26: [INFO] Placing additional elements for SW38
13:32:26: [INFO] Placing additional elements for SW37
13:32:26: [INFO] Placing additional elements for SW36
13:32:26: [INFO] Placing additional elements for SW35
13:32:26: [INFO] Placing additional elements for SW34
13:32:26: [INFO] Placing additional elements for SW33
13:32:26: [INFO] Placing additional elements for SW32
13:32:26: [INFO] Placing additional elements for SW31
13:32:26: [INFO] Placing additional elements for SW30
13:32:26: [INFO] Placing additional elements for SW29
13:32:26: [INFO] Placing additional elements for SW28
13:32:26: [INFO] Placing additional elements for SW27
13:32:26: [INFO] Placing additional elements for SW26
13:32:26: [INFO] Placing additional elements for SW25
13:32:26: [INFO] Placing additional elements for SW24
13:32:26: [INFO] Placing additional elements for SW23
13:32:26: [INFO] Placing additional elements for SW22
13:32:26: [INFO] Placing additional elements for SW21
13:32:26: [INFO] Placing additional elements for SW20
13:32:26: [INFO] Placing additional elements for SW19
13:32:26: [INFO] Placing additional elements for SW18
13:32:26: [INFO] Placing additional elements for SW17
13:32:26: [INFO] Placing additional elements for SW16a
13:32:26: [INFO] Placing additional elements for SW16
13:32:26: [INFO] Placing additional elements for SW15
13:32:26: [INFO] Placing additional elements for SW14
13:32:26: [INFO] Placing additional elements for SW13
13:32:26: [INFO] Placing additional elements for SW12
13:32:26: [INFO] Placing additional elements for SW11
13:32:26: [INFO] Placing additional elements for SW10
