=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:15: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwF8A0dwAYUPGzKBmXOCaeANgDoEBWVdG7Y8RogXRQCgwpY4BGPAE8+AWgyUAnPXz9ipPsjxYALMyw15veAmp08jDM0Zy0CnZQwzGajtwgj44ygA596LEbPaBu2tZRNOx4yRGExCX88QRxowi1Qqij0ciY8VPYuEL5BdEc4Z2k40xIfJXRBNTjNb1C-d3BUrxSUEvNESxlU2yyHCNcGwWb2-nquwPBg9oRwp0iGmdj0GaJaviSGgHY09G3M+x9c8HzCmRm2srOUKuWJtYtk8G3mp9bJ3uP+tyvhw7G8bZBD51WYFeYyAg7cCQ1alRJ6GQuKFI-Y8ABO+RUejwoVG2LyYl0-C213eBzRfAIWHQaPhjBp+XmOJyllBBEom3p4AAxnxwABiTZC4XMAAWLIakKBBxOEi54vg-EoktJU3AFPgnLwGMpzIsWoJirwvPgAoAhhbLeAZCo7uhbajphyGrabuBbTg1RqCgb1bjIQy+DR8T5RLbDQUsZyZJIobGjGrQmGY-E8LG5F6xFTtYy9QUqL78kraMa+YLhUKxRLESgE8CxMHC-15dW8EiM2wgA
13:40:19: [INFO] Routing pad 'SW35:2' at (235902500, 52070000) with pad 'D35:2' at (238442500, 59750000) using coordinate system rotated by 0 degree(s)
13:40:19: [INFO] Adding track segment (B.Cu): [(235902500, 52070000), (235902500, 57210000)]
13:40:19: [INFO] Adding track segment (B.Cu): [(235902500, 57210000), (238442500, 59750000)]
13:40:19: [INFO] Routing SW34 with D34
13:40:19: [INFO] Using internal autorouter method
13:40:19: [INFO] Routing pad 'SW34:2' at (216852500, 53975000) with pad 'D34:2' at (219392500, 61655000) using coordinate system rotated by 0 degree(s)
13:40:19: [INFO] Adding track segment (B.Cu): [(216852500, 53975000), (216852500, 59115000)]
13:40:19: [INFO] Adding track segment (B.Cu): [(216852500, 59115000), (219392500, 61655000)]
13:40:19: [INFO] Routing SW33 with D33
13:40:19: [INFO] Using internal autorouter method
13:40:19: [INFO] Routing pad 'SW33:2' at (197802500, 53975000) with pad 'D33:2' at (200342500, 61655000) using coordinate system rotated by 0 degree(s)
13:40:19: [INFO] Adding track segment (B.Cu): [(197802500, 53975000), (197802500, 59115000)]
13:40:19: [INFO] Adding track segment (B.Cu): [(197802500, 59115000), (200342500, 61655000)]
13:40:19: [INFO] Routing SW32 with D32
13:40:19: [INFO] Using internal autorouter method
13:40:19: [INFO] Routing pad 'SW32:2' at (293052500, 37782500) with pad 'D32:2' at (295592500, 45462500) using coordinate system rotated by 0 degree(s)
13:40:19: [INFO] Adding track segment (B.Cu): [(293052500, 37782500), (293052500, 42922500)]
13:40:19: [INFO] Adding track segment (B.Cu): [(293052500, 42922500), (295592500, 45462500)]
13:40:19: [INFO] Routing SW31 with D31
13:40:19: [INFO] Using internal autorouter method
13:40:19: [INFO] Routing pad 'SW31:2' at (274002500, 34925000) with pad 'D31:2' at (276542500, 42605000) using coordinate system rotated by 0 degree(s)
13:40:19: [INFO] Adding track segment (B.Cu): [(274002500, 34925000), (274002500, 40065000)]
13:40:19: [INFO] Adding track segment (B.Cu): [(274002500, 40065000), (276542500, 42605000)]
13:40:19: [INFO] Routing SW30 with D30
13:40:19: [INFO] Using internal autorouter method
13:40:19: [INFO] Routing pad 'SW30:2' at (254952500, 33020000) with pad 'D30:2' at (257492500, 40700000) using coordinate system rotated by 0 degree(s)
13:40:19: [INFO] Adding track segment (B.Cu): [(254952500, 33020000), (254952500, 38160000)]
13:40:19: [INFO] Adding track segment (B.Cu): [(254952500, 38160000), (257492500, 40700000)]
13:40:19: [INFO] Routing SW29 with D29
13:40:19: [INFO] Using internal autorouter method
13:40:19: [INFO] Routing pad 'SW29:2' at (235902500, 33020000) with pad 'D29:2' at (238442500, 40700000) using coordinate system rotated by 0 degree(s)
13:40:19: [INFO] Adding track segment (B.Cu): [(235902500, 33020000), (235902500, 38160000)]
13:40:19: [INFO] Adding track segment (B.Cu): [(235902500, 38160000), (238442500, 40700000)]
13:40:19: [INFO] Routing SW28 with D28
13:40:19: [INFO] Using internal autorouter method
