=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:38:56: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrBEAYBp1SAIDeoAeoBcdwDoBMBWAX3gkgEZY4ScKSBmGqAFgcjxYDYWB2FgDhYCcLUjGJRS5MWWpTS9eEgDG6SgGIAhpq00A7ipxFK4xgB0AdufNRRiFCux5iyjKFWL3H0IZKk2CuxjY+E4qrlra3saWFmbiNDhktNFWZKAAupAAUMBKoW4e7l7EpNAUSKiBuI6UzmrhmroqpFiExan+ta4Fhd4lMpQl8gOQzG1+w5xtPG38bUJtIjQlEkvSq3JloHoYza3DpKO2FZgtvWRsGdmgCTbl9lUhLhr1jTtYXHvX7bad+QVFlAS-S+Qy+hy+4y+k0BkGmMNmMPmMMWxASK1Raw6eS4ONxrzgOCq3jRhzulWqoF+3WUxPO6SyYFopX8xyCFN+9XU+MJ+G8TMkPzy1IBoCZoKZ4KZkKZ0NFsJoTIRcqRcpRlH5AtV-VyT05+OaHz5iU2x12jzUwqNvnp2TJcF8LWIAE8VABabAfc2uXF4q3MS45UAujDuh41IXdEWMZlHe7BcO6l7Ebb2onEaOkZJmEq3LZNNOUaM4LM5zYp5q89OQJIxcylrFPYXJlTsAugaNcEsxnV1JOUcttjPgLu5geVwtkTO17OlAN2g6OyjBuChz0JtQ+nFR41Vg40DMXBnzsOUvJ65tvT4Zruaos3sv5q-V+8Ni2Ri9wLjeDsvwWJ8L6qcu5TtEyzpGkQA
13:39:02: [INFO] Adding track segment (B.Cu): [(335915000, 119122500), (338455000, 121662500)]
13:39:02: [INFO] Routing SW71 with D71
13:39:02: [INFO] Using internal autorouter method
13:39:02: [INFO] Routing pad 'SW71:2' at (316865000, 113982500) with pad 'D71:2' at (319405000, 121662500) using coordinate system rotated by 0 degree(s)
13:39:02: [INFO] Adding track segment (B.Cu): [(316865000, 113982500), (316865000, 119122500)]
13:39:02: [INFO] Adding track segment (B.Cu): [(316865000, 119122500), (319405000, 121662500)]
13:39:02: [INFO] Routing SW70a with D70
13:39:02: [INFO] Using internal autorouter method
13:39:02: [INFO] Routing pad 'SW70a:2' at (278765000, 109220000) with pad 'D70:2' at (283686250, 116900000) using coordinate system rotated by 0 degree(s)
13:39:02: [INFO] Routing SW70 with D70
13:39:02: [INFO] Using internal autorouter method
13:39:02: [INFO] Routing pad 'SW70:2' at (281146250, 109220000) with pad 'D70:2' at (283686250, 116900000) using coordinate system rotated by 0 degree(s)
13:39:02: [INFO] Routing SW69 with D69
13:39:02: [INFO] Using internal autorouter method
13:39:02: [INFO] Routing pad 'SW69:2' at (257333750, 109220000) with pad 'D69:2' at (259873750, 116900000) using coordinate system rotated by 0 degree(s)
13:39:02: [INFO] Adding track segment (B.Cu): [(257333750, 109220000), (257333750, 114360000)]
13:39:02: [INFO] Adding track segment (B.Cu): [(257333750, 114360000), (259873750, 116900000)]
13:39:02: [INFO] Routing SW68a with D68
13:39:02: [INFO] Using internal autorouter method
13:39:02: [INFO] Routing pad 'SW68a:2' at (197802500, 109220000) with pad 'D68:2' at (188436250, 116900000) using coordinate system rotated by 0 degree(s)
13:39:02: [INFO] Routing SW68 with D68
13:39:02: [INFO] Using internal autorouter method
13:39:02: [INFO] Routing pad 'SW68:2' at (185896250, 109220000) with pad 'D68:2' at (188436250, 116900000) using coordinate system rotated by 0 degree(s)
13:39:02: [INFO] Adding track segment (B.Cu): [(185896250, 109220000), (185896250, 114360000)]
13:39:02: [INFO] Adding track segment (B.Cu): [(185896250, 114360000), (188436250, 116900000)]
13:39:02: [INFO] Routing SW67a with D67
13:39:02: [INFO] Using internal autorouter method
13:39:02: [INFO] Routing pad 'SW67a:2' at (116840000, 109220000) with pad 'D67:2' at (116998750, 116900000) using coordinate system rotated by 0 degree(s)
13:39:02: [INFO] Routing SW67 with D67
13:39:02: [INFO] Using internal autorouter method
13:39:02: [INFO] Routing pad 'SW67:2' at (114458750, 109220000) with pad 'D67:2' at (116998750, 116900000) using coordinate system rotated by 0 degree(s)
13:39:02: [INFO] Routing SW66a with D66
13:39:02: [INFO] Using internal autorouter method
13:39:02: [INFO] Routing pad 'SW66a:2' at (93027500, 109220000) with pad 'D66:2' at (93186250, 116900000) using coordinate system rotated by 0 degree(s)
13:39:02: [INFO] Routing SW66 with D66
13:39:02: [INFO] Using internal autorouter method
13:39:02: [INFO] Routing pad 'SW66:2' at (90646250, 109220000) with pad 'D66:2' at (93186250, 116900000) using coordinate system rotated by 0 degree(s)
13:39:02: [INFO] Routing SW65a with D65
13:39:02: [INFO] Using internal autorouter method
13:39:02: [INFO] Routing pad 'SW65a:2' at (69215000, 109220000) with pad 'D65:2' at (69373750, 116900000) using coordinate system rotated by 0 degree(s)
13:39:02: [INFO] Routing SW65 with D65
13:39:02: [INFO] Using internal autorouter method
13:39:02: [INFO] Routing pad 'SW65:2' at (66833750, 109220000) with pad 'D65:2' at (69373750, 116900000) using coordinate system rotated by 0 degree(s)
13:39:02: [INFO] Routing SW64 with D64
13:39:02: [INFO] Using internal autorouter method
13:39:02: [INFO] Routing pad 'SW64:2' at (40640000, 109220000) with pad 'D64:2' at (43180000, 116900000) using coordinate system rotated by 0 degree(s)
13:39:02: [INFO] Adding track segment (B.Cu): [(40640000, 109220000), (40640000, 114360000)]
13:39:02: [INFO] Adding track segment (B.Cu): [(40640000, 114360000), (43180000, 116900000)]
13:39:02: [INFO] Routing SW63 with D63
13:39:02: [INFO] Using internal autorouter method
13:39:02: [INFO] Routing pad 'SW63:2' at (359727500, 90170000) with pad 'D63:2' at (362267500, 97850000) using coordinate system rotated by 0 degree(s)
13:39:02: [INFO] Adding track segment (B.Cu): [(359727500, 90170000), (359727500, 95310000)]
13:39:02: [INFO] Adding track segment (B.Cu): [(359727500, 95310000), (362267500, 97850000)]
13:39:02: [INFO] Routing SW62 with D62
13:39:02: [INFO] Using internal autorouter method
13:39:02: [INFO] Routing pad 'SW62:2' at (335915000, 94932500) with pad 'D62:2' at (338455000, 102612500) using coordinate system rotated by 0 degree(s)
13:39:02: [INFO] Adding track segment (B.Cu): [(335915000, 94932500), (335915000, 100072500)]
13:39:02: [INFO] Adding track segment (B.Cu): [(335915000, 100072500), (338455000, 102612500)]
13:39:02: [INFO] Routing SW61 with D61
13:39:02: [INFO] Using internal autorouter method
13:39:02: [INFO] Routing pad 'SW61:2' at (304958750, 90170000) with pad 'D61:2' at (307498750, 97850000) using coordinate system rotated by 0 degree(s)
13:39:02: [INFO] Adding track segment (B.Cu): [(304958750, 90170000), (304958750, 95310000)]
13:39:02: [INFO] Adding track segment (B.Cu): [(304958750, 95310000), (307498750, 97850000)]
13:39:02: [INFO] Routing SW60 with D60
13:39:02: [INFO] Using internal autorouter method
13:39:02: [INFO] Routing pad 'SW60:2' at (278765000, 90170000) with pad 'D60:2' at (281305000, 97850000) using coordinate system rotated by 0 degree(s)
13:39:02: [INFO] Adding track segment (B.Cu): [(278765000, 90170000), (278765000, 95310000)]
13:39:02: [INFO] Adding track segment (B.Cu): [(278765000, 95310000), (281305000, 97850000)]
13:39:02: [INFO] Routing SW59 with D59
13:39:02: [INFO] Using internal autorouter method
13:39:02: [INFO] Routing pad 'SW59:2' at (259715000, 90170000) with pad 'D59:2' at (262255000, 97850000) using coordinate system rotated by 0 degree(s)
