=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:58: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgGwDoCsBfANHcAGDBGcLCaeAJiR023wPAF0MAoMKWOAZi3AE92BaHEgDs6bngAsROCXYBOauAkYpjFrPLc+8QSLHY8KaRrj5FeDsbbxhi5ZeLXTdjEbWtScFFoFCAHKLmGGRWnvpKwQzMrNpwughk3tgAxuzgAMQAhtk54EHCVqnwGcmlZXniGAih7BKoQTg15JSKtI2OnnXhytWORdhZOdkV2MoF7iZc2LG6otz9JWWlI+C0Uh3yit6q0SZkPjpCgdy0RhvwZicYDjJOttzeNyaX2N5uu05JvL5IAeG0IXOXi2kQm30OSASXwWgyGK1oBT6aXSS2WrSqTVMHBBvVuMKGwxB4w+nim4LiR2hyNRqUU+3Wt08Cm4CBUUXUTn20x+x2w+zOjPYL3A+yed0UrLFnmFrPeHLCBwpv15IsiQPCrJCYJmQih82RBMyK32iLx1NRxoxQPw2JZVrNxVhuQlGGJ8vYFC+Ovq3C4DOeQio3GEbLBACdOtww7E-Eh8HNsJ5dF6BHUECquJZw9KyUmhCmdGmVSGsx8w0KvhHatw86hFfwi+EuFqy+wOHhEz8C3EKEG+QQADoAO2Hw7wjTBtabg5Hs-H7I8Alo3Pg+e4AAsPYouPhR3O6OHal8p-WOD7+zg98O2guTMntxhL7Pr4-b+ShIkN1vfY+r0PaIQh6FpWOY1l29YoJCKqsk+e77BOJJdooIawbO8Fvkmy7vkgn7YJu5DIb+z5DvsgGtjo7ZgRC3b8GeiQuruxFcAh7rUYRjF7sxb6xGueHftgIYcbOO5vuWOj4Me4Erj257gCGWr0EAA
13:36:02: [INFO] Detected layout convertible to matrix annotated keyboard
13:36:02: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:36:02: [INFO] Layout offset: (38100000, 28575000)
13:36:02: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:36:02: [INFO] Placing additional elements for SW54
13:36:02: [INFO] Placing additional elements for SW53
13:36:02: [INFO] Placing additional elements for SW52
13:36:02: [INFO] Placing additional elements for SW51a
13:36:02: [INFO] Placing additional elements for SW51
13:36:02: [INFO] Placing additional elements for SW50a
13:36:02: [INFO] Placing additional elements for SW50
13:36:02: [INFO] Placing additional elements for SW49
13:36:02: [INFO] Placing additional elements for SW48
13:36:02: [INFO] Placing additional elements for SW47
13:36:02: [INFO] Placing additional elements for SW46
13:36:02: [INFO] Placing additional elements for SW45
13:36:02: [INFO] Placing additional elements for SW44
13:36:02: [INFO] Placing additional elements for SW43
13:36:02: [INFO] Placing additional elements for SW42
13:36:02: [INFO] Placing additional elements for SW41
13:36:02: [INFO] Placing additional elements for SW40
13:36:02: [INFO] Placing additional elements for SW39
13:36:02: [INFO] Placing additional elements for SW38
13:36:02: [INFO] Placing additional elements for SW37
13:36:02: [INFO] Placing additional elements for SW36
13:36:02: [INFO] Placing additional elements for SW35
13:36:02: [INFO] Placing additional elements for SW34
13:36:02: [INFO] Placing additional elements for SW33
13:36:02: [INFO] Placing additional elements for SW32
13:36:02: [INFO] Placing additional elements for SW31
13:36:02: [INFO] Placing additional elements for SW30
13:36:02: [INFO] Placing additional elements for SW29
