=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:01: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0SC+AaO4DsmAGAHQDtTSDMFxs8ryyTLqBdTAKDCljgCY1aATx4EUvJLQDGPcAGJcCxeCw5KBGnAjR4o8VJmzJR48trMN4SrwuUAzDcwAWDVpFiJOafDkBDP-9McADZCCxDqWhDrSMx7bFcdd31vQ2MjQMtMJAcgh1wHAA4XbkTxFTpozRK4UQ9wLxxZfwDyygBOBwR1MyoI1SprNk4EvgEcYUS6hrk09PKEUNoFvvAFytXYiwXnGJ3grLDMXJj8pYOz45wF06vMIvj6g2a-CwB3Hl5y-AQGCkWq7Q1NDzTAdM5dLa9SEIQYcLiA-h1d7wBDA2i8f4QaapNIZDErDHrDFxHAYvbgEL3fZg-YQmIIAnnUlHCwYm7gDFUiDIxBonD4Wy-EgLboAtwYdGg1lUUUcqEPbHPHwWAAWH3K+N4QtsmOquglzJh2qo4CG8I+Y3APNRuAN4B1oqxBlm0nKOpWOvWOpJ9qchxhFnw2Vo+EudHZOuDOB1YZ1NydKUUSloPP4ZVoOoKQpFxUBtWSjRdGR1NN9dOj8rFKKSniez2LA2NrDh3J4qPTOEchCF+OK2KL5S7P0YpF7DzzNceKSVbwtHfAXeII5IGMdU8LswyXfWXZ9XfJ+CpdFL31l3xWXajC5ZtC78fXvnrKbbKFtg7uuZfU2dm-fpaHspDn0CaNEmCiquqt6Nsui6fqUdpDlqMEmmaIwIEEr51BMcAALSiLaBaPs0GT4M4qHVIiQg8Hhk7Wu45QSEuDCMRYEjDsxup0fOEhIRxa79puz7wBh3GgkKLEKnWxEMVk4n-OAEhBHJa5cXaEi4MpcFwLYloCbiMnlgplZoZO2JgfkBm8YwQ6mi21TIJhVHwDRBG1tO9YyUeEg+hIZF2QilqqTJTGMGxrH0MuYUPEFtA8XJwEPjiJhCXAQQyW08V9lJAQpe2amyZFJqxUcmXRS+okaYVzbDBRgVfsFcmVK21b5VZpA8VlKRFiluDpY1nWNDOuV8kZSD9WVLUyZVHGwjVgLoZO2Eud+iZgbO1Z6DgarwBiOCvNYLW0CqB2ILQkAnTR86ZtmKH+W2qCbYlA4hrEN2sCwQA
13:32:04: [INFO] Add D32 footprint
13:32:04: [INFO] Add SW33 footprint
13:32:04: [INFO] Add D33 footprint
13:32:04: [INFO] Add SW34 footprint
13:32:04: [INFO] Add D34 footprint
13:32:04: [INFO] Add SW35 footprint
13:32:04: [INFO] Add D35 footprint
13:32:04: [INFO] Add SW36 footprint
13:32:04: [INFO] Add D36 footprint
13:32:04: [INFO] Add SW37 footprint
13:32:04: [INFO] Add D37 footprint
13:32:04: [INFO] Add SW38 footprint
13:32:04: [INFO] Add D38 footprint
13:32:04: [INFO] Add SW39 footprint
13:32:04: [INFO] Add D39 footprint
13:32:04: [INFO] Add ST39 footprint
13:32:04: [INFO] Add SW39a footprint
13:32:04: [INFO] Add SW40 footprint
13:32:04: [INFO] Add D40 footprint
13:32:04: [INFO] Add SW41 footprint
13:32:04: [INFO] Add D41 footprint
13:32:04: [INFO] Add SW42 footprint
13:32:04: [INFO] Add D42 footprint
13:32:04: [INFO] Add SW43 footprint
13:32:04: [INFO] Add D43 footprint
13:32:04: [INFO] Add SW44 footprint
13:32:04: [INFO] Add D44 footprint
13:32:05: [INFO] Add SW45 footprint
13:32:05: [INFO] Add D45 footprint
13:32:05: [INFO] Add SW46 footprint
13:32:05: [INFO] Add D46 footprint
13:32:05: [INFO] Add SW47 footprint
13:32:05: [INFO] Add D47 footprint
13:32:05: [INFO] Add SW48 footprint
13:32:05: [INFO] Add D48 footprint
13:32:05: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:05: [INFO] Add ST48 footprint
13:32:05: [INFO] Add SW48a footprint
13:32:05: [INFO] Add ST48a footprint
13:32:05: [INFO] Add SW49 footprint
13:32:05: [INFO] Add D49 footprint
13:32:05: [INFO] Add SW50 footprint
13:32:05: [INFO] Add D50 footprint
13:32:05: [INFO] Add SW51 footprint
13:32:05: [INFO] Add D51 footprint
13:32:05: [INFO] Add SW52 footprint
13:32:05: [INFO] Add D52 footprint
13:32:05: [INFO] Add SW53 footprint
13:32:05: [INFO] Add D53 footprint
13:32:05: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:05: [INFO] Add ST53 footprint
13:32:05: [INFO] Add SW53a footprint
13:32:05: [INFO] Add SW54 footprint
13:32:05: [INFO] Add D54 footprint
13:32:05: [INFO] Add SW55 footprint
13:32:05: [INFO] Add D55 footprint
13:32:05: [INFO] Add SW56 footprint
13:32:05: [INFO] Add D56 footprint
13:32:05: [INFO] Add SW57 footprint
13:32:05: [INFO] Add D57 footprint
13:32:05: [INFO] Add SW58 footprint
13:32:05: [INFO] Add D58 footprint
13:32:05: [INFO] Add SW59 footprint
13:32:05: [INFO] Add D59 footprint
13:32:05: [INFO] Add SW60 footprint
13:32:05: [INFO] Add D60 footprint
13:32:06: [INFO] Add SW61 footprint
13:32:06: [INFO] Add D61 footprint
13:32:06: [INFO] Add SW62 footprint
13:32:06: [INFO] Add D62 footprint
13:32:06: [INFO] Add SW63 footprint
13:32:06: [INFO] Add D63 footprint
13:32:06: [INFO] Add SW64 footprint
13:32:06: [INFO] Add D64 footprint
13:32:06: [INFO] Add SW65 footprint
13:32:06: [INFO] Add D65 footprint
13:32:06: [INFO] Add ST65 footprint
13:32:06: [INFO] Add SW65a footprint
13:32:06: [INFO] Add SW66 footprint
13:32:06: [INFO] Add D66 footprint
13:32:06: [INFO] Add SW66a footprint
13:32:06: [INFO] Add SW67 footprint
13:32:06: [INFO] Add D67 footprint
13:32:06: [INFO] Add SW68 footprint
13:32:06: [INFO] Add D68 footprint
13:32:06: [INFO] Add SW68a footprint
13:32:06: [INFO] Add SW69 footprint
13:32:06: [INFO] Add D69 footprint
13:32:06: [INFO] Add SW70 footprint
13:32:06: [INFO] Add D70 footprint
13:32:06: [INFO] Add SW71 footprint
13:32:06: [INFO] Add D71 footprint
13:32:06: [INFO] Add SW71a footprint
13:32:06: [INFO] Add SW71b footprint
13:32:06: [INFO] Add SW72 footprint
13:32:06: [INFO] Add D72 footprint
13:32:06: [INFO] Add SW73 footprint
13:32:06: [INFO] Add D73 footprint
13:32:06: [INFO] Add SW73a footprint
13:32:07: [INFO] Add SW74 footprint
13:32:07: [INFO] Add D74 footprint
13:32:07: [INFO] Add SW75 footprint
13:32:07: [INFO] Add D75 footprint
13:32:07: [INFO] Add ST75 footprint
13:32:07: [INFO] Add SW75a footprint
13:32:07: [INFO] Add ST75a footprint
13:32:07: [INFO] Add SW76 footprint
13:32:07: [INFO] Add D76 footprint
13:32:07: [INFO] Add SW77 footprint
13:32:07: [INFO] Add D77 footprint
13:32:07: [INFO] Add SW78 footprint
13:32:07: [INFO] Add D78 footprint
13:32:07: [INFO] Add SW79 footprint
13:32:07: [INFO] Add D79 footprint
13:32:07: [INFO] Add SW80 footprint
13:32:07: [INFO] Add D80 footprint
13:32:07: [INFO] Add SW81 footprint
13:32:07: [INFO] Add D81 footprint
13:32:07: [INFO] Add SW82 footprint
13:32:07: [INFO] Add D82 footprint
13:32:07: [INFO] Add SW83 footprint
13:32:07: [INFO] Add D83 footprint
13:32:07: [INFO] Add SW84 footprint
13:32:07: [INFO] Add D84 footprint
13:32:07: [INFO] Add SW85 footprint
13:32:07: [INFO] Add D85 footprint
13:32:07: [INFO] Add SW86 footprint
13:32:07: [INFO] Add D86 footprint
13:32:07: [INFO] Add SW87 footprint
13:32:07: [INFO] Add D87 footprint
13:32:07: [INFO] Add SW88 footprint
13:32:07: [INFO] Add D88 footprint
13:32:07: [INFO] Add SW89 footprint
13:32:07: [INFO] Add D89 footprint
13:32:07: [INFO] Add SW90 footprint
13:32:08: [INFO] Add D90 footprint
13:32:08: [INFO] Add SW91 footprint
13:32:08: [INFO] Add D91 footprint
13:32:08: [INFO] Add SW92 footprint
13:32:08: [INFO] Add D92 footprint
13:32:08: [INFO] Add SW93 footprint
13:32:08: [INFO] Add D93 footprint
13:32:08: [INFO] Add ST93 footprint
13:32:08: [INFO] Add SW93a footprint
13:32:08: [INFO] Add SW94 footprint
13:32:08: [INFO] Add D94 footprint
13:32:08: [INFO] Add SW95 footprint
13:32:08: [INFO] Add D95 footprint
13:32:08: [INFO] Add SW95a footprint
13:32:08: [INFO] Add SW96 footprint
13:32:08: [INFO] Add D96 footprint
13:32:08: [INFO] Add SW97 footprint
13:32:08: [INFO] Add D97 footprint
13:32:08: [INFO] Add SW98 footprint
13:32:08: [INFO] Add D98 footprint
13:32:08: [INFO] Add SW99 footprint
13:32:08: [INFO] Add D99 footprint
13:32:08: [INFO] Add SW100 footprint
13:32:08: [INFO] Add D100 footprint
13:32:08: [INFO] Add SW101 footprint
13:32:08: [INFO] Add D101 footprint
13:32:08: [INFO] Add SW102 footprint
13:32:08: [INFO] Add D102 footprint
13:32:08: [INFO] Add SW103 footprint
13:32:08: [INFO] Add D103 footprint
13:32:08: [INFO] Detected layout convertible to matrix annotated keyboard
13:32:08: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:32:08: [INFO] Layout offset: (38100000, 23812500)
13:32:08: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:32:09: [INFO] Placing additional elements for SW103
13:32:09: [INFO] Placing additional elements for SW102
13:32:09: [INFO] Placing additional elements for SW101
13:32:09: [INFO] Placing additional elements for SW100
13:32:09: [INFO] Placing additional elements for SW99
13:32:09: [INFO] Placing additional elements for SW98
13:32:09: [INFO] Placing additional elements for SW97
13:32:09: [INFO] Placing additional elements for SW96
13:32:09: [INFO] Placing additional elements for SW95a
13:32:09: [INFO] Placing additional elements for SW95
13:32:09: [INFO] Placing additional elements for SW94
13:32:09: [INFO] Placing additional elements for SW93a
13:32:09: [INFO] Placing additional elements for SW93
13:32:09: [INFO] Placing additional elements for SW92
13:32:09: [INFO] Placing additional elements for SW91
13:32:09: [INFO] Placing additional elements for SW90
13:32:09: [INFO] Placing additional elements for SW89
13:32:09: [INFO] Placing additional elements for SW88
13:32:09: [INFO] Placing additional elements for SW87
13:32:09: [INFO] Placing additional elements for SW86
13:32:09: [INFO] Placing additional elements for SW85
13:32:09: [INFO] Placing additional elements for SW84
13:32:09: [INFO] Placing additional elements for SW83
13:32:09: [INFO] Placing additional elements for SW82
13:32:09: [INFO] Placing additional elements for SW81
13:32:09: [INFO] Placing additional elements for SW80
13:32:09: [INFO] Placing additional elements for SW79
13:32:09: [INFO] Placing additional elements for SW78
13:32:09: [INFO] Placing additional elements for SW77
13:32:09: [INFO] Placing additional elements for SW76
13:32:09: [INFO] Placing additional elements for SW75a
13:32:09: [INFO] Placing additional elements for SW75
13:32:09: [INFO] Placing additional elements for SW74
13:32:09: [INFO] Placing additional elements for SW73a
13:32:09: [INFO] Placing additional elements for SW73
13:32:09: [INFO] Placing additional elements for SW72
13:32:09: [INFO] Placing additional elements for SW71b
13:32:09: [INFO] Placing additional elements for SW71a
13:32:09: [INFO] Placing additional elements for SW71
13:32:09: [INFO] Placing additional elements for SW70
13:32:09: [INFO] Placing additional elements for SW69
13:32:09: [INFO] Placing additional elements for SW68a
13:32:09: [INFO] Placing additional elements for SW68
13:32:09: [INFO] Placing additional elements for SW67
13:32:09: [INFO] Placing additional elements for SW66a
13:32:09: [INFO] Placing additional elements for SW66
13:32:09: [INFO] Placing additional elements for SW65a
13:32:09: [INFO] Placing additional elements for SW65
13:32:09: [INFO] Placing additional elements for SW64
13:32:09: [INFO] Placing additional elements for SW63
13:32:09: [INFO] Placing additional elements for SW62
13:32:09: [INFO] Placing additional elements for SW61
13:32:09: [INFO] Placing additional elements for SW60
13:32:09: [INFO] Placing additional elements for SW59
13:32:09: [INFO] Placing additional elements for SW58
13:32:09: [INFO] Placing additional elements for SW57
13:32:09: [INFO] Placing additional elements for SW56
13:32:09: [INFO] Placing additional elements for SW55
13:32:09: [INFO] Placing additional elements for SW54
13:32:09: [INFO] Placing additional elements for SW53a
13:32:09: [INFO] Placing additional elements for SW53
13:32:09: [INFO] Placing additional elements for SW52
