=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:19: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwHYB0AmArAXwDR3AAw4IDMAOgHaWVELh6HEAs1VFt4AujgFBhSw4aFEgwMAnoIIox+AMaDwAYgCGa9eFz5aGenAjR402eAXxlSS1c0MiBPRDP4lc125vbiexmm9ESfjhMgbq2OABsgUiBAByBAJyBCPZhCHSpvniOiqrqat4A7oJoWowILGw0OCn4TMxcvPyGQiLYDAjEofoCRjIMRfAIMqUdNdnmLm6uHuAd6fgdmQs4Ae1B3h1dsxEbONFrcWuJa8m7aWdLEAOIwwxoxGislKMOpjl5+SP1WT03Jk4WKyWQqCIaYBgAC2K-V8gz6+AhsMQDEgSIAtNJMF9SE8KHMGnwDMVWgwAbk8jN7ggukTeiZrkNRKV7mM3hMptNmV47jgluB7qt8PdgjytvdIjz9kKcIdpcdpaceecfmSgcD+sSsSdyJU8dVXmSPipKd9us1jKSchyFFyEI9dfjuIS2c4jSC4Vr8CRqriqQarRyZt6EL7uWapPCXco3aVgzTfhb8NdhJ7wN6CKHWWTrUHed5vYK0+sGN6tt6JV69vmZdX5UXFZXld1DR93TcmSWHtXSN3gk6msSO7VOq9zZGGeg2sOM7r068J6m6iHZ-qfgup+A6vbWHOVQGpm3wpPSnVwrjd833q2TzLz6vh-E7zVN8QZzv7y+m5++UuAv3aXATCThIEaiBqHobnUb5sMG86gseDBLne8xXPBi68sh-rsoG4FwEe6FniuKFRuSGi4WCkG3kRcEQTej7Uf+vxAeCSZoZR0GUN6lzgOuN7Lu+3G8YhGErtx2Y4ax8D4ZRhECVhrqtuRtzDjEd6CfBlH0XJjHNMx9IaTeHEUAWNF-Hxd6CuMzg5rhSA3rJMErPJ0aKZJZnCapK6WTxBnCVpjl-o0AF6Up7F3iK3QTpR-GORFVnKDZbl2cJDmccWl4TDGHnhaZQyaTlnCcEAA
13:36:25: [INFO] Placing additional elements for SW1
13:36:25: [INFO] Routing SW75 with D75
13:36:25: [INFO] Using internal autorouter method
13:36:25: [INFO] Routing pad 'SW75:2' at (97790000, 147320000) with pad 'D75:2' at (100330000, 155000000) using coordinate system rotated by 0 degree(s)
13:36:25: [INFO] Adding track segment (B.Cu): [(97790000, 147320000), (97790000, 152460000)]
13:36:25: [INFO] Adding track segment (B.Cu): [(97790000, 152460000), (100330000, 155000000)]
13:36:25: [INFO] Routing SW74 with D74
13:36:25: [INFO] Using internal autorouter method
13:36:25: [INFO] Routing pad 'SW74:2' at (412115000, 71120000) with pad 'D74:2' at (414655000, 78800000) using coordinate system rotated by 0 degree(s)
13:36:25: [INFO] Adding track segment (B.Cu): [(412115000, 71120000), (412115000, 76260000)]
13:36:25: [INFO] Adding track segment (B.Cu): [(412115000, 76260000), (414655000, 78800000)]
13:36:25: [INFO] Routing SW73 with D73
13:36:25: [INFO] Using internal autorouter method
13:36:25: [INFO] Routing pad 'SW73:2' at (412115000, 147320000) with pad 'D73:2' at (414655000, 155000000) using coordinate system rotated by 0 degree(s)
13:36:25: [INFO] Adding track segment (B.Cu): [(412115000, 147320000), (412115000, 152460000)]
13:36:25: [INFO] Adding track segment (B.Cu): [(412115000, 152460000), (414655000, 155000000)]
13:36:25: [INFO] Routing SW72 with D72
13:36:25: [INFO] Using internal autorouter method
13:36:25: [INFO] Routing pad 'SW72:2' at (393065000, 147320000) with pad 'D72:2' at (395605000, 155000000) using coordinate system rotated by 0 degree(s)
13:36:25: [INFO] Adding track segment (B.Cu): [(393065000, 147320000), (393065000, 152460000)]
13:36:25: [INFO] Adding track segment (B.Cu): [(393065000, 152460000), (395605000, 155000000)]
13:36:25: [INFO] Routing SW71 with D71
13:36:25: [INFO] Using internal autorouter method
13:36:25: [INFO] Routing pad 'SW71:2' at (374015000, 147320000) with pad 'D71:2' at (376555000, 155000000) using coordinate system rotated by 0 degree(s)
13:36:25: [INFO] Adding track segment (B.Cu): [(374015000, 147320000), (374015000, 152460000)]
13:36:25: [INFO] Adding track segment (B.Cu): [(374015000, 152460000), (376555000, 155000000)]
13:36:25: [INFO] Routing SW70 with D70
13:36:25: [INFO] Using internal autorouter method
13:36:25: [INFO] Routing pad 'SW70:2' at (354965000, 147320000) with pad 'D70:2' at (357505000, 155000000) using coordinate system rotated by 0 degree(s)
13:36:25: [INFO] Adding track segment (B.Cu): [(354965000, 147320000), (354965000, 152460000)]
13:36:25: [INFO] Adding track segment (B.Cu): [(354965000, 152460000), (357505000, 155000000)]
13:36:25: [INFO] Routing SW69c with D69
13:36:25: [INFO] Using internal autorouter method
13:36:25: [INFO] Routing pad 'SW69c:2' at (340677500, 147320000) with pad 'D69:2' at (338455000, 155000000) using coordinate system rotated by 0 degree(s)
13:36:25: [INFO] Routing SW69b with D69
13:36:25: [INFO] Using internal autorouter method
13:36:25: [INFO] Routing pad 'SW69b:2' at (350202500, 147320000) with pad 'D69:2' at (338455000, 155000000) using coordinate system rotated by 0 degree(s)
13:36:25: [INFO] Routing SW69a with D69
13:36:25: [INFO] Using internal autorouter method
13:36:25: [INFO] Routing pad 'SW69a:2' at (343058750, 147320000) with pad 'D69:2' at (338455000, 155000000) using coordinate system rotated by 0 degree(s)
13:36:25: [INFO] Routing SW69 with D69
13:36:25: [INFO] Using internal autorouter method
13:36:25: [INFO] Routing pad 'SW69:2' at (335915000, 147320000) with pad 'D69:2' at (338455000, 155000000) using coordinate system rotated by 0 degree(s)
13:36:25: [INFO] Routing SW68b with D68
13:36:25: [INFO] Using internal autorouter method
13:36:25: [INFO] Routing pad 'SW68b:2' at (321627500, 147320000) with pad 'D68:2' at (319405000, 155000000) using coordinate system rotated by 0 degree(s)
13:36:25: [INFO] Routing SW68a with D68
13:36:25: [INFO] Using internal autorouter method
