=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:41:19: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDYB0AGA7AGjuAnrHGigEwC+O4ArFkgDoB2jjJWC4OEAxoeAMQBDIcPAVcNDMyYNW7ALpYAUGCiESKACwJKBeMRI1cPePwxnzoymixoOcbrz5dnLy7mvtOq+AE4USJDFqLA07YKo7BxNBYSEwgHc1IIkpFhtI7yIUKiRKY1wnF2c3cGwMcAVlCGh4dRIADjzHWLjKRPgEbKDtWy98-iLi7rYMmrh6lB8NINzQylyI+doM9sQupclpRmte+0ziLSDG8q8xzvrsI0dzCzbCToNKAAs1NpJ77Of3jspIb7gALT6KhBbD0LYMDwVJQqMbEQzgfqFIolDRYRZ7OH+NFXaItAQJD4YEGUVi7KIFQY8IKyUaEPzkSjYOa4bAYimmG4nXCrOok1m0VKQ9KnQgHbS4ymDEo+LDc6pilDEmZyoVQyqwxX88BopB0vSfSX8fGE2qkbUAZhsQp6GSRVJKVs8mMIEw0GCOWAtYUaLI5MViprWysojQiGoVHQwSoRukBxGJTWiXPKnr1Ef2hvwhCB5qTUpRQTR8szCKRJruHXNRZFe1WD21aPeot8mkaPI+BiCsudEHr1cosveGbOqETuDjufHiOuXJlXrCspZ4Fl4ZhkbgrAnWvzxpaQYbQStaBtIz6jgdNYQp-k6-AACdXZR72cY781JNLtmDT4LUFrM27gLlYIRhNYGLgNY6Z3mMFqaB6lDaIB4DaN6iGgeha5VJkcEYIyuCsMhrBoXsDCEAALveACuACmNIYQR6LQthYwaKQ+HgFayFWiRnEMXxWGavAbF4buAYiJWaxdpQaIWkKx52he0qSXyNYaPJ6QjoQIlbt+WTTryA64Gi6kQk6il4vukmHjJXoabe2GPvAALtpk0YXDoOZsVQrn2tKyS1sEzrBMhNDelp8DRhaCG4LkuzgLkwW5MhuThTBhDRkgHHYOS4BkfAlG0aCZ4Csh2BpSxGUoAgunlvu3bLOe0SXqGgWNMFjTDulkXVbphkhrgsq2HIchAA
13:41:22: [INFO] Add SW40 footprint
13:41:22: [INFO] Add D40 footprint
13:41:22: [INFO] Add SW41 footprint
13:41:22: [INFO] Add D41 footprint
13:41:22: [INFO] Add ST41 footprint
13:41:22: [INFO] Add SW41a footprint
13:41:22: [INFO] Add SW42 footprint
13:41:22: [INFO] Add D42 footprint
13:41:23: [INFO] Add SW43 footprint
13:41:23: [INFO] Add D43 footprint
13:41:23: [INFO] Add SW44 footprint
13:41:23: [INFO] Add D44 footprint
13:41:23: [INFO] Add SW45 footprint
13:41:23: [INFO] Add D45 footprint
13:41:23: [INFO] Add SW46 footprint
13:41:23: [INFO] Add D46 footprint
13:41:23: [INFO] Add SW47 footprint
13:41:23: [INFO] Add D47 footprint
13:41:23: [INFO] Add SW48 footprint
13:41:23: [INFO] Add D48 footprint
13:41:23: [INFO] Add SW49 footprint
13:41:23: [INFO] Add D49 footprint
13:41:23: [INFO] Add SW49a footprint
13:41:23: [INFO] Add SW50 footprint
13:41:23: [INFO] Add D50 footprint
13:41:23: [INFO] Add SW51 footprint
13:41:23: [INFO] Add D51 footprint
13:41:23: [INFO] Add SW52 footprint
13:41:23: [INFO] Add D52 footprint
13:41:23: [INFO] Add SW53 footprint
13:41:23: [INFO] Add D53 footprint
13:41:23: [INFO] Add SW54 footprint
13:41:23: [INFO] Add D54 footprint
13:41:23: [INFO] Add SW55 footprint
13:41:23: [INFO] Add D55 footprint
13:41:23: [INFO] Add SW56 footprint
13:41:23: [INFO] Add D56 footprint
13:41:23: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:41:23: [INFO] Add ST56 footprint
13:41:23: [INFO] Add SW56a footprint
13:41:23: [INFO] Add ST56a footprint
13:41:23: [INFO] Add SW57 footprint
13:41:23: [INFO] Add D57 footprint
13:41:23: [INFO] Add SW58 footprint
13:41:23: [INFO] Add D58 footprint
13:41:24: [INFO] Add SW59 footprint
13:41:24: [INFO] Add D59 footprint
13:41:24: [INFO] Add SW60 footprint
13:41:24: [INFO] Add D60 footprint
