=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:41:25: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGcFtwLgATgE4HsAuB9ApgYwIz7gC+ANEgAykUA6AdvYw80-dheALqkBQY4AD3gJ8AOgCs5cAE9hAWgqiA7JKS5h4AMRKdu8FJgaSUqvnoBRAMoBhfQgjrEW3C9fHKpAEx3wVAMw+VAAsgaTioQBsoUqhAByhAJyh+BwmpITJ3mn4AeQOGpoAhsUlPgDuwp5kHvgheYLCiuLVvunh3Hz5Tpqubi341HYQQohNUo5IRSXF5cJizVIDRPUTzr3q-V4+A7lIA3V7YdukUYukMWfxZ0lnKccZt1mHOUPgFYjzm7WvIwhjagVpjMvu1ePxVj11u5wJ5BvVfv9wBCgYVZh9lAskLDlvYkQV1hspLCnjDSLtSQdSeEiScfLCLljSFdGTdGXcaQ82U8upNdHopO8EJ5RJ5MaTvvDGhJxoCgdDsaDOnjugToX44biEdKAd0UWihSKxeqcTy1r01WSfOrKerqUh1ad7ecrUyXazwMbUk7OR70tzlZM9QK5hiWsbdsMQ0a2lwwZGPuIMVJZIgFEmdby+TEw+kQh1+CmEGnRTKVVCWkENfG-tqA1og0hBWJRRX0q8m4bW-6Oy2pJWI3XIebg4gIp2+86VrLptDK+ykHOceA59589XaumZPJFCpS5m+bP0uS55S5+1OEA
13:41:28: [INFO] Add D49 footprint
13:41:28: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:41:28: [INFO] Add ST49 footprint
13:41:28: [INFO] Add SW50 footprint
13:41:28: [INFO] Add D50 footprint
13:41:28: [INFO] Add SW51 footprint
13:41:29: [INFO] Add D51 footprint
13:41:29: [INFO] Add SW52 footprint
13:41:29: [INFO] Add D52 footprint
13:41:29: [INFO] Add SW53 footprint
13:41:29: [INFO] Add D53 footprint
13:41:29: [INFO] Add SW54 footprint
13:41:29: [INFO] Add D54 footprint
13:41:29: [INFO] Add SW55 footprint
13:41:29: [INFO] Add D55 footprint
13:41:29: [INFO] Add SW56 footprint
13:41:29: [INFO] Add D56 footprint
13:41:29: [INFO] Add SW57 footprint
13:41:29: [INFO] Add D57 footprint
13:41:29: [INFO] Add SW58 footprint
13:41:29: [INFO] Add D58 footprint
13:41:29: [INFO] Add SW59 footprint
13:41:29: [INFO] Add D59 footprint
13:41:29: [INFO] Add SW60 footprint
13:41:29: [INFO] Add D60 footprint
13:41:29: [INFO] Add SW61 footprint
13:41:29: [INFO] Add D61 footprint
13:41:29: [INFO] Add SW62 footprint
13:41:29: [INFO] Add D62 footprint
13:41:29: [INFO] Add SW63 footprint
13:41:29: [INFO] Add D63 footprint
13:41:29: [INFO] Add SW64 footprint
13:41:29: [INFO] Add D64 footprint
13:41:29: [INFO] Add SW65 footprint
13:41:29: [INFO] Add D65 footprint
13:41:29: [INFO] Add SW66 footprint
13:41:29: [INFO] Add D66 footprint
13:41:29: [INFO] Add SW67 footprint
13:41:29: [INFO] Add D67 footprint
13:41:29: [INFO] Add ST67 footprint
13:41:29: [INFO] Add SW68 footprint
13:41:29: [INFO] Add D68 footprint
13:41:29: [INFO] Add SW69 footprint
13:41:30: [INFO] Add D69 footprint
13:41:30: [INFO] Add SW70 footprint
13:41:30: [INFO] Add D70 footprint
13:41:30: [INFO] Add SW71 footprint
13:41:30: [INFO] Add D71 footprint
13:41:30: [INFO] Add SW72 footprint
13:41:30: [INFO] Add D72 footprint
13:41:30: [INFO] Add SW73 footprint
13:41:30: [INFO] Add D73 footprint
13:41:30: [INFO] Detected layout convertible to matrix annotated keyboard
13:41:30: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:41:30: [INFO] Layout offset: (28575000, 28575000)
13:41:30: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:41:30: [INFO] Placing additional elements for SW73
13:41:30: [INFO] Placing additional elements for SW72
13:41:30: [INFO] Placing additional elements for SW71
13:41:30: [INFO] Placing additional elements for SW70
13:41:30: [INFO] Placing additional elements for SW69
13:41:30: [INFO] Placing additional elements for SW68
13:41:30: [INFO] Placing additional elements for SW67
13:41:30: [INFO] Placing additional elements for SW66
13:41:30: [INFO] Placing additional elements for SW65
13:41:30: [INFO] Placing additional elements for SW64
13:41:30: [INFO] Placing additional elements for SW63
13:41:30: [INFO] Placing additional elements for SW62
13:41:30: [INFO] Placing additional elements for SW61
13:41:30: [INFO] Placing additional elements for SW60
13:41:30: [INFO] Placing additional elements for SW59
13:41:30: [INFO] Placing additional elements for SW58
13:41:30: [INFO] Placing additional elements for SW57
13:41:30: [INFO] Placing additional elements for SW56
13:41:30: [INFO] Placing additional elements for SW55
13:41:30: [INFO] Placing additional elements for SW54
13:41:30: [INFO] Placing additional elements for SW53
13:41:30: [INFO] Placing additional elements for SW52
13:41:30: [INFO] Placing additional elements for SW51
13:41:30: [INFO] Placing additional elements for SW50
13:41:30: [INFO] Placing additional elements for SW49
13:41:30: [INFO] Placing additional elements for SW48
13:41:30: [INFO] Placing additional elements for SW47
13:41:30: [INFO] Placing additional elements for SW46
13:41:30: [INFO] Placing additional elements for SW45
13:41:30: [INFO] Placing additional elements for SW44
13:41:30: [INFO] Placing additional elements for SW43
13:41:30: [INFO] Placing additional elements for SW42
13:41:30: [INFO] Placing additional elements for SW41
13:41:30: [INFO] Placing additional elements for SW40
13:41:30: [INFO] Placing additional elements for SW39
13:41:30: [INFO] Placing additional elements for SW38
13:41:30: [INFO] Placing additional elements for SW37
13:41:30: [INFO] Placing additional elements for SW36
13:41:30: [INFO] Placing additional elements for SW35
13:41:30: [INFO] Placing additional elements for SW34
13:41:30: [INFO] Placing additional elements for SW33
13:41:30: [INFO] Placing additional elements for SW32
13:41:30: [INFO] Placing additional elements for SW31
13:41:30: [INFO] Placing additional elements for SW30
13:41:30: [INFO] Placing additional elements for SW29
13:41:30: [INFO] Placing additional elements for SW28
13:41:30: [INFO] Placing additional elements for SW27
13:41:30: [INFO] Placing additional elements for SW26
13:41:30: [INFO] Placing additional elements for SW25
13:41:30: [INFO] Placing additional elements for SW24
13:41:30: [INFO] Placing additional elements for SW23
13:41:30: [INFO] Placing additional elements for SW22
13:41:30: [INFO] Placing additional elements for SW21
13:41:30: [INFO] Placing additional elements for SW20
13:41:30: [INFO] Placing additional elements for SW19
13:41:30: [INFO] Placing additional elements for SW18
13:41:30: [INFO] Placing additional elements for SW17
13:41:30: [INFO] Placing additional elements for SW16
13:41:30: [INFO] Placing additional elements for SW15
13:41:30: [INFO] Placing additional elements for SW14
13:41:30: [INFO] Placing additional elements for SW13
13:41:30: [INFO] Placing additional elements for SW12
13:41:30: [INFO] Placing additional elements for SW11
13:41:30: [INFO] Placing additional elements for SW10
13:41:30: [INFO] Placing additional elements for SW9
13:41:30: [INFO] Placing additional elements for SW8
13:41:30: [INFO] Placing additional elements for SW7
13:41:30: [INFO] Placing additional elements for SW6
13:41:30: [INFO] Placing additional elements for SW5
13:41:30: [INFO] Placing additional elements for SW4
13:41:30: [INFO] Placing additional elements for SW3
13:41:30: [INFO] Placing additional elements for SW2
13:41:30: [INFO] Placing additional elements for SW1
13:41:30: [INFO] Routing SW73 with D73
13:41:30: [INFO] Using internal autorouter method
13:41:30: [INFO] Routing pad 'SW73:2' at (359727500, 118745000) with pad 'D73:2' at (362267500, 126425000) using coordinate system rotated by 0 degree(s)
13:41:30: [INFO] Adding track segment (B.Cu): [(359727500, 118745000), (359727500, 123885000)]
13:41:30: [INFO] Adding track segment (B.Cu): [(359727500, 123885000), (362267500, 126425000)]
13:41:30: [INFO] Routing SW72 with D72
13:41:30: [INFO] Using internal autorouter method
13:41:30: [INFO] Routing pad 'SW72:2' at (340677500, 118745000) with pad 'D72:2' at (343217500, 126425000) using coordinate system rotated by 0 degree(s)
13:41:30: [INFO] Adding track segment (B.Cu): [(340677500, 118745000), (340677500, 123885000)]
13:41:30: [INFO] Adding track segment (B.Cu): [(340677500, 123885000), (343217500, 126425000)]
13:41:30: [INFO] Routing SW71 with D71
13:41:30: [INFO] Using internal autorouter method
13:41:30: [INFO] Routing pad 'SW71:2' at (321627500, 118745000) with pad 'D71:2' at (324167500, 126425000) using coordinate system rotated by 0 degree(s)
13:41:30: [INFO] Adding track segment (B.Cu): [(321627500, 118745000), (321627500, 123885000)]
13:41:30: [INFO] Adding track segment (B.Cu): [(321627500, 123885000), (324167500, 126425000)]
13:41:30: [INFO] Routing SW70 with D70
13:41:30: [INFO] Using internal autorouter method
13:41:30: [INFO] Routing pad 'SW70:2' at (297815000, 113982500) with pad 'D70:2' at (300355000, 121662500) using coordinate system rotated by 0 degree(s)
13:41:30: [INFO] Adding track segment (B.Cu): [(297815000, 113982500), (297815000, 119122500)]
13:41:30: [INFO] Adding track segment (B.Cu): [(297815000, 119122500), (300355000, 121662500)]
13:41:30: [INFO] Routing SW69 with D69
13:41:30: [INFO] Using internal autorouter method
13:41:30: [INFO] Routing pad 'SW69:2' at (278765000, 113982500) with pad 'D69:2' at (281305000, 121662500) using coordinate system rotated by 0 degree(s)
13:41:30: [INFO] Adding track segment (B.Cu): [(278765000, 113982500), (278765000, 119122500)]
13:41:30: [INFO] Adding track segment (B.Cu): [(278765000, 119122500), (281305000, 121662500)]
13:41:30: [INFO] Routing SW68 with D68
13:41:30: [INFO] Using internal autorouter method
13:41:30: [INFO] Routing pad 'SW68:2' at (259715000, 113982500) with pad 'D68:2' at (262255000, 121662500) using coordinate system rotated by 0 degree(s)
13:41:30: [INFO] Adding track segment (B.Cu): [(259715000, 113982500), (259715000, 119122500)]
13:41:30: [INFO] Adding track segment (B.Cu): [(259715000, 119122500), (262255000, 121662500)]
13:41:30: [INFO] Routing SW67 with D67
13:41:30: [INFO] Using internal autorouter method
13:41:30: [INFO] Routing pad 'SW67:2' at (190658750, 113982500) with pad 'D67:2' at (193198750, 121662500) using coordinate system rotated by 0 degree(s)
13:41:30: [INFO] Adding track segment (B.Cu): [(190658750, 113982500), (190658750, 119122500)]
13:41:30: [INFO] Adding track segment (B.Cu): [(190658750, 119122500), (193198750, 121662500)]
13:41:30: [INFO] Routing SW66 with D66
13:41:30: [INFO] Using internal autorouter method
13:41:30: [INFO] Routing pad 'SW66:2' at (119221250, 113982500) with pad 'D66:2' at (121761250, 121662500) using coordinate system rotated by 0 degree(s)
13:41:30: [INFO] Adding track segment (B.Cu): [(119221250, 113982500), (119221250, 119122500)]
13:41:30: [INFO] Adding track segment (B.Cu): [(119221250, 119122500), (121761250, 121662500)]
13:41:30: [INFO] Routing SW65 with D65
13:41:30: [INFO] Using internal autorouter method
13:41:30: [INFO] Routing pad 'SW65:2' at (95408750, 113982500) with pad 'D65:2' at (97948750, 121662500) using coordinate system rotated by 0 degree(s)
13:41:30: [INFO] Adding track segment (B.Cu): [(95408750, 113982500), (95408750, 119122500)]
13:41:30: [INFO] Adding track segment (B.Cu): [(95408750, 119122500), (97948750, 121662500)]
13:41:30: [INFO] Routing SW64 with D64
13:41:30: [INFO] Using internal autorouter method
13:41:30: [INFO] Routing pad 'SW64:2' at (71596250, 113982500) with pad 'D64:2' at (74136250, 121662500) using coordinate system rotated by 0 degree(s)
13:41:30: [INFO] Adding track segment (B.Cu): [(71596250, 113982500), (71596250, 119122500)]
13:41:30: [INFO] Adding track segment (B.Cu): [(71596250, 119122500), (74136250, 121662500)]
13:41:30: [INFO] Routing SW63 with D63
13:41:30: [INFO] Using internal autorouter method
13:41:30: [INFO] Routing pad 'SW63:2' at (40640000, 113982500) with pad 'D63:2' at (43180000, 121662500) using coordinate system rotated by 0 degree(s)
13:41:30: [INFO] Adding track segment (B.Cu): [(40640000, 113982500), (40640000, 119122500)]
13:41:30: [INFO] Adding track segment (B.Cu): [(40640000, 119122500), (43180000, 121662500)]
13:41:30: [INFO] Routing SW62 with D62
13:41:30: [INFO] Using internal autorouter method
13:41:30: [INFO] Routing pad 'SW62:2' at (364490000, 94932500) with pad 'D62:2' at (367030000, 102612500) using coordinate system rotated by 0 degree(s)
13:41:30: [INFO] Adding track segment (B.Cu): [(364490000, 94932500), (364490000, 100072500)]
13:41:30: [INFO] Adding track segment (B.Cu): [(364490000, 100072500), (367030000, 102612500)]
13:41:30: [INFO] Routing SW61 with D61
13:41:30: [INFO] Using internal autorouter method
