=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:17: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoAsaCsAaO4CetEkEBGADixwGMDwBiAQ0afAF9twFMFxsJp4ATEjIIAbO2rw6lGbNbtOAZh5w+BUqnQoAnGxydiA8AF1MAKDBQCxdEVLt88ALTJSbiuEk4GTRivAA7gQCehyYxCgm5pb8cBF2AooOBC5I2uniVDS0snKhBsqmFmqCSKIopCjJzsjp2qT5mEZFMdZl6GLVcKl12hLZAOxDw-L64VHFVvDIAgKiAl2pxBFJWVI+vqPgxFwTrfCGSPY4jt21KOX967kyWzvLeyVxikckHqc9KBGh90a8U4QMgscEEDkh0D9wpEWk94gN0sc8ClanVIcRCtEnkJtAIcYsUelIc1MQDiKhFMQBvi0ukqWtvL4-OxQXFwWjHkiasIIihQgtuDDSbYBAMyNS3KQdvS6MMRszgkgBBD2AsIhzYmSBGRVpyzjT6lcGYz-CyyQNlThVSpYchFAhSHTPNkbtQ+eFiOqFdpROg+idkfrdCqmtbSbaENpFG7DJ74C8BBdgbrUggECF2EliZMNdjvY6PgSgzgkg9-rEU2mLeAS39VACK0rDXRGfQTQrzaES9CSbECZlk335aUlZ3xoKNURU+8A6nGyC2lWqh7x9ZREQLoiCzSBjrTWz2Evu5MAE7WJPH2IvSOkfvH04oYQRoesxeYDEn2IP0TpKXgO8EGYlURXtuR0akIx1LxpBuLZOEiBRMHQfxOFEZDMAGWM9TQbRfy3WcGnYHZlEIzB4JwHYkJI1CVy5YgfzdYjLVI-wFkopjqJ7ACkDtCNR0Y6tmIzRD-CSDiPwIWwUEURQqhwf94AfGS8XnYdXyQwULwIAYyhk897yOSkmw2ZhQiqMTLFPZxDHYTT4G0IhiDTGzTlcX1HSgnIYMaUg0O0NDHP85dOK5DonP9aZJwQKMSIwkifJIvySICmi9SVNM3Vipj4qYxKmOS4K9XNdKhMygTsoE3KBPy8S7MfchnIIB8cUSZ8hA7A9MB8jSNTJUhFFEW99JQAQn2lYymRUl9TPCAVjCAA
13:37:21: [INFO] Placing additional elements for SW30
13:37:21: [INFO] Placing additional elements for SW29
13:37:21: [INFO] Placing additional elements for SW28
13:37:21: [INFO] Placing additional elements for SW27
13:37:21: [INFO] Placing additional elements for SW26
13:37:21: [INFO] Placing additional elements for SW25
13:37:21: [INFO] Placing additional elements for SW24
13:37:21: [INFO] Placing additional elements for SW23
13:37:21: [INFO] Placing additional elements for SW22
13:37:21: [INFO] Placing additional elements for SW21
13:37:21: [INFO] Placing additional elements for SW20
13:37:21: [INFO] Placing additional elements for SW19
13:37:21: [INFO] Placing additional elements for SW18
13:37:21: [INFO] Placing additional elements for SW17
13:37:21: [INFO] Placing additional elements for SW16
13:37:21: [INFO] Placing additional elements for SW15
13:37:21: [INFO] Placing additional elements for SW14
13:37:21: [INFO] Placing additional elements for SW13
13:37:21: [INFO] Placing additional elements for SW12
13:37:21: [INFO] Placing additional elements for SW11
13:37:21: [INFO] Placing additional elements for SW10
13:37:21: [INFO] Placing additional elements for SW9
13:37:21: [INFO] Placing additional elements for SW8
13:37:21: [INFO] Placing additional elements for SW7
13:37:21: [INFO] Placing additional elements for SW6
13:37:21: [INFO] Placing additional elements for SW5
13:37:21: [INFO] Placing additional elements for SW4
13:37:21: [INFO] Placing additional elements for SW3
13:37:21: [INFO] Placing additional elements for SW2
13:37:21: [INFO] Placing additional elements for SW1
13:37:21: [INFO] Routing SW64 with D64
13:37:21: [INFO] Using internal autorouter method
13:37:21: [INFO] Routing pad 'SW64:2' at (342626315, 111260255) with pad 'D64:2' at (345166315, 118940255) using coordinate system rotated by 0 degree(s)
13:37:21: [INFO] Adding track segment (B.Cu): [(342626315, 111260255), (342626315, 116400255)]
13:37:21: [INFO] Adding track segment (B.Cu): [(342626315, 116400255), (345166315, 118940255)]
13:37:21: [INFO] Routing SW63 with D63
13:37:21: [INFO] Using internal autorouter method
13:37:21: [INFO] Routing pad 'SW63:2' at (262978452, 113289951) with pad 'D63:2' at (267059708, 120274029) using coordinate system rotated by 348.0 degree(s)
13:37:21: [INFO] Adding track segment (B.Cu): [(262978452, 113289951), (264047117, 118317630)]
13:37:21: [INFO] Adding track segment (B.Cu): [(264047117, 118317630), (267059708, 120274029)]
13:37:21: [INFO] Routing SW62 with D62
13:37:21: [INFO] Using internal autorouter method
13:37:21: [INFO] Routing pad 'SW62:2' at (222654217, 120366173) with pad 'D62:2' at (226735473, 127350251) using coordinate system rotated by 348.0 degree(s)
13:37:21: [INFO] Adding track segment (B.Cu): [(222654217, 120366173), (223722882, 125393852)]
13:37:21: [INFO] Adding track segment (B.Cu): [(223722882, 125393852), (226735473, 127350251)]
13:37:21: [INFO] Routing SW61 with D61
13:37:21: [INFO] Using internal autorouter method
13:37:21: [INFO] Routing pad 'SW61:2' at (176415968, 126842746) with pad 'D61:2' at (177303701, 134883014) using coordinate system rotated by 12.0 degree(s)
13:37:21: [INFO] Adding track segment (B.Cu): [(176415968, 126842746), (175347301, 131870423)]
13:37:21: [INFO] Adding track segment (B.Cu): [(175347301, 131870423), (177303701, 134883014)]
13:37:21: [INFO] Routing SW60 with D60
13:37:21: [INFO] Using internal autorouter method
13:37:21: [INFO] Routing pad 'SW60:2' at (146136798, 120406604) with pad 'D60:2' at (147024531, 128446872) using coordinate system rotated by 12.0 degree(s)
13:37:21: [INFO] Adding track segment (B.Cu): [(146136798, 120406604), (145068131, 125434280)]
13:37:21: [INFO] Adding track segment (B.Cu): [(145068131, 125434280), (147024531, 128446872)]
13:37:21: [INFO] Routing SW59 with D59
13:37:21: [INFO] Using internal autorouter method
13:37:21: [INFO] Routing pad 'SW59:2' at (110673216, 114345525) with pad 'D59:2' at (111560949, 122385793) using coordinate system rotated by 12.0 degree(s)
13:37:21: [INFO] Adding track segment (B.Cu): [(110673216, 114345525), (109604549, 119373203)]
13:37:21: [INFO] Adding track segment (B.Cu): [(109604549, 119373203), (111560949, 122385793)]
13:37:21: [INFO] Routing SW58 with D58
13:37:21: [INFO] Using internal autorouter method
13:37:21: [INFO] Routing pad 'SW58:2' at (55994300, 111208819) with pad 'D58:2' at (58534300, 118888819) using coordinate system rotated by 0 degree(s)
13:37:21: [INFO] Adding track segment (B.Cu): [(55994300, 111208819), (55994300, 116348819)]
13:37:21: [INFO] Adding track segment (B.Cu): [(55994300, 116348819), (58534300, 118888819)]
13:37:21: [INFO] Routing SW57 with D57
13:37:21: [INFO] Using internal autorouter method
13:37:21: [INFO] Routing pad 'SW57:2' at (334432910, 92198825) with pad 'D57:2' at (336972910, 99878825) using coordinate system rotated by 0 degree(s)
13:37:21: [INFO] Adding track segment (B.Cu): [(334432910, 92198825), (334432910, 97338825)]
13:37:21: [INFO] Adding track segment (B.Cu): [(334432910, 97338825), (336972910, 99878825)]
13:37:21: [INFO] Routing SW56 with D56
13:37:21: [INFO] Using internal autorouter method
13:37:21: [INFO] Routing pad 'SW56:2' at (298761785, 92198825) with pad 'D56:2' at (301301785, 99878825) using coordinate system rotated by 0 degree(s)
13:37:21: [INFO] Adding track segment (B.Cu): [(298761785, 92198825), (298761785, 97338825)]
13:37:21: [INFO] Adding track segment (B.Cu): [(298761785, 97338825), (301301785, 99878825)]
13:37:21: [INFO] Routing SW55 with D55
13:37:21: [INFO] Using internal autorouter method
13:37:21: [INFO] Routing pad 'SW55:2' at (279759410, 92198825) with pad 'D55:2' at (282299410, 99878825) using coordinate system rotated by 0 degree(s)
13:37:21: [INFO] Adding track segment (B.Cu): [(279759410, 92198825), (279759410, 97338825)]
13:37:22: [INFO] Adding track segment (B.Cu): [(279759410, 97338825), (282299410, 99878825)]
13:37:22: [INFO] Routing SW54 with D54
13:37:22: [INFO] Using internal autorouter method
