=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:51: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NobwRAdghgtgpmAXAAjAQQKIHECSBlMAXwBoAoUMADyWQEYAmAOgHYBWY1AYxrAGIoBgsBzAAXHgAYp0oiInEJw1LQVKw82mpWaO4aigmN2XHrwAcFy7NTz6SvTVqN5JlH04fP1sCrtziAMxagWryACz2VDSGxmDcbvyCAt4qEf6swRn+AGyR+sgxIvGovJ5eJMrEuf7MwbX+ZmAAumQU+QwssQCe0Yz0scV8SckVYPSqIgETqOM6qFNzDgZGRaZlHt7jfvPE22MhkwczxGk7p-tZO5f71Tu3+-U7j-uNunGmw1BqAO409KNTMwAHQgIJB8kUb3yhn6qwS624AOIwNBqI0wRRYIg6Ja5DAYQUWJB4yCInYEiJEBJagJtEp1LJxDpqOJRyWBT6rFGBIpLKpuzU5PpApEtOF23Ag0SSW87GZWK2eV6sNQAAs-qNsoS+bNIlKEbLtQqmTSmcK5mA5ealcsVe8Ep9vDzhZDkJK1utDbzja78WaddNLf6fTaOQMPsMfo4jNyRW77SUDaN2HsCaTUOx037zuxzgTruxrgT7ux7gTnuxngTXvGpY6RL8UE4uYzGriKPrPZqjaiGahmD3WVmtfLe0cwAPR0PQzCW6gtd6x3sB4vWXsR+K9RGZSJ1Sh-iIAJzBpehpx2ztlbwr60iDcBi2T2-x6GcuElR3d1f813u+FdkQbwDX17xDQCT1ZX8omWcMHUjBtozYbsJQTdwAP7OMwC1LMB2HE41AHc4tWuAdri1e4B3uLVngHR4-w-eDUEbZAmH6bs21aei0KvUYzEHfks2Pb8+zAPipwEtRj3Evt2VnXj+MVI8FMwsTNyhaML23IRdw1EQ+OEk03kvcolIMi1VIfSSIP5RZoI5TS4J3NVdNQfSXS3f8eNM9y9Os8ZfSknyX2jWCGKcsBmPPOcwGPFDjI2eTBPHPjzmPc4+OuY9rj4+5j3uPjnmPOjUOlbSmL+Tp5MxVEVCg187UiyrfOqkFtCslqIDa9t2VoAdUB6FAAFpDDYd8+EsKx5LsbqwAG5BhrfVxE3QnwIWFLNaFq9atA0bb1KbRaIpc1blL2WhdoDFD8lY2JmIPZQLuNWzrs5UZNuU31zr86Z2QCFYlqGSM3vkDaVHTLjSk9BCUGYN6VEuCH63Kg7ove54vprcBGtRlQOPIHqtX6mgFtGgHzAmxo4cMh7MPe6amiAA
13:32:54: [INFO] Add D35 footprint
13:32:54: [INFO] Add SW36 footprint
13:32:54: [INFO] Add D36 footprint
13:32:54: [INFO] Add ST36 footprint
13:32:54: [INFO] Add SW36a footprint
13:32:54: [INFO] Add SW37 footprint
13:32:54: [INFO] Add D37 footprint
13:32:54: [INFO] Add SW38 footprint
13:32:54: [INFO] Add D38 footprint
13:32:54: [INFO] Add SW39 footprint
13:32:55: [INFO] Add D39 footprint
13:32:55: [INFO] Add SW40 footprint
13:32:55: [INFO] Add D40 footprint
13:32:55: [INFO] Add SW41 footprint
13:32:55: [INFO] Add D41 footprint
13:32:55: [INFO] Add SW42 footprint
13:32:55: [INFO] Add D42 footprint
13:32:55: [INFO] Add SW43 footprint
13:32:55: [INFO] Add D43 footprint
13:32:55: [INFO] Add SW44 footprint
13:32:55: [INFO] Add D44 footprint
13:32:55: [INFO] Add SW45 footprint
13:32:55: [INFO] Add D45 footprint
13:32:55: [INFO] Add SW46 footprint
13:32:55: [INFO] Add D46 footprint
13:32:55: [INFO] Add SW47 footprint
13:32:55: [INFO] Add D47 footprint
13:32:55: [INFO] Add SW48 footprint
13:32:55: [INFO] Add D48 footprint
13:32:55: [INFO] Add SW49 footprint
13:32:55: [INFO] Add D49 footprint
13:32:55: [INFO] Add SW50 footprint
13:32:55: [INFO] Add D50 footprint
13:32:55: [INFO] Add SW51 footprint
13:32:55: [INFO] Add D51 footprint
13:32:55: [INFO] Add SW52 footprint
13:32:55: [INFO] Add D52 footprint
13:32:55: [INFO] Add SW53 footprint
13:32:55: [INFO] Add D53 footprint
13:32:55: [INFO] Add SW54 footprint
13:32:55: [INFO] Add D54 footprint
13:32:55: [INFO] Add SW55 footprint
13:32:55: [INFO] Add D55 footprint
13:32:56: [INFO] Add SW55a footprint
13:32:56: [INFO] Add ST55a footprint
13:32:56: [INFO] Add SW56 footprint
13:32:56: [INFO] Add D56 footprint
13:32:56: [INFO] Add SW57 footprint
13:32:56: [INFO] Add D57 footprint
13:32:56: [INFO] Add SW58 footprint
13:32:56: [INFO] Add D58 footprint
13:32:56: [INFO] Add SW59 footprint
13:32:56: [INFO] Add D59 footprint
13:32:56: [INFO] Add SW60 footprint
13:32:56: [INFO] Add D60 footprint
13:32:56: [INFO] Add SW61 footprint
13:32:56: [INFO] Add D61 footprint
13:32:56: [INFO] Add SW62 footprint
13:32:56: [INFO] Add D62 footprint
13:32:56: [INFO] Add SW63 footprint
13:32:56: [INFO] Add D63 footprint
13:32:56: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:56: [INFO] Add ST63 footprint
13:32:56: [INFO] Add SW64 footprint
