=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:42:57: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0B2JBfANHcDsEBmAHQDtzyCFxd9CAWSis68AXWwCgwpY4ATOiR0AnvwAMKASLwBjfuADEaVWvA48E7BNpwI0eFNngF8ZXMtWNdbTVvYBe8NqLPtDPQckosDgGzu2GhBABxBAJxefEa+mi6Eug4I9lqETsluuN6xfmnIHNy8hoLCYj559El4bHQEGTXYWY2eddhIzgSBbSFt4W1RbQjV9Cmd6dFmeEoAhnPzzgDu-ALx1KQsVDqTikpW1muEHZw8OaUYdFPK8wt0y-AIcXQC29mmu-uWNngvqeAvDX+TWcL1aP3aIOw3XBvXB-XBg3Bw0hY2eEzeV1mNxmS34j0qvyYmzIL2qEExnwU8V+HTeJXxl12anUdzx0hMAAsVncnA9fHQObzEHRIEKALRSGTxIiMZjkX6FU4xc4mTHYnGsvkYaWvfTvcx7T7fcAyv4ywEy5om7Bg620vAy6HW2HW+HWxHW5F0U2pclM5ku+6lKXe2XE0k7A2U42m+1nYw64hykmERW8NXY3F8kN4Bg6ZOmyPTaPxPMIAupukVRkG9VZ4OVPMSCtk-XFo2lxzOPNWvO2vP28B5p15l15t15j1lkZl31t66ZzWIYSdhANP0GgMhVdgjft-bGsvHIpnIQXeS7OtLx458AiZvE7StoM3yoicuP3UQF-s+IiATJk+RYWEaS7+L+dD+FCgFfvOWI3PWr7xFBwwwc+bK3ihH7MEBVa5DW0xbsaKFWihtooceSolGeqqXoueA-m++afn874wXOjF-o47HAYaB5LmgyHQSxvFXgxbKVFhPHsOwQA
13:43:03: [INFO] Routing pad 'SW82:2' at (345440000, 156845000) with pad 'D82:2' at (347980000, 164525000) using coordinate system rotated by 0 degree(s)
13:43:03: [INFO] Adding track segment (B.Cu): [(345440000, 156845000), (345440000, 161985000)]
13:43:03: [INFO] Adding track segment (B.Cu): [(345440000, 161985000), (347980000, 164525000)]
13:43:03: [INFO] Routing SW81a with D81
13:43:03: [INFO] Using internal autorouter method
13:43:03: [INFO] Routing pad 'SW81a:2' at (312102500, 156845000) with pad 'D81:2' at (317023750, 164525000) using coordinate system rotated by 0 degree(s)
13:43:03: [INFO] Routing SW81 with D81
13:43:03: [INFO] Using internal autorouter method
13:43:03: [INFO] Routing pad 'SW81:2' at (314483750, 156845000) with pad 'D81:2' at (317023750, 164525000) using coordinate system rotated by 0 degree(s)
13:43:03: [INFO] Routing SW80 with D80
13:43:03: [INFO] Using internal autorouter method
13:43:03: [INFO] Routing pad 'SW80:2' at (290671250, 156845000) with pad 'D80:2' at (293211250, 164525000) using coordinate system rotated by 0 degree(s)
13:43:03: [INFO] Adding track segment (B.Cu): [(290671250, 156845000), (290671250, 161985000)]
13:43:03: [INFO] Adding track segment (B.Cu): [(290671250, 161985000), (293211250, 164525000)]
13:43:03: [INFO] Routing SW79a with D79
13:43:03: [INFO] Using internal autorouter method
13:43:03: [INFO] Routing pad 'SW79a:2' at (231140000, 156845000) with pad 'D79:2' at (221773750, 164525000) using coordinate system rotated by 0 degree(s)
13:43:03: [INFO] Routing SW79 with D79
13:43:03: [INFO] Using internal autorouter method
