=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:43: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwF8A0dwAYUfGzKFd0sAmI-AZnKwBZqUBWegNnoHZ6AOegTnoRx4sCQkIJkAuigBQYKLDgYAdGwZ4A7goRKSDVOgTZyh0QZRk8hqpZR0bTG6xscb3G3xsCiETfG2r9cBNCKVkIaHhlXQ0tFT08EiMEgnJEi3RE6wzbVMZcp2yXbLdsj2yvNB9Y3UDEkXBQuV9EHXj0CiS4Kr9WwI7TbpaavA70we1h9pQswZI+vMrwZrmRlALwDpKNlDLtiqn6iQkgA
13:33:47: [INFO] Adding track segment (B.Cu): [(231140000, 76260000), (233680000, 78800000)]
13:33:47: [INFO] Routing SW34 with D34
13:33:47: [INFO] Using internal autorouter method
13:33:47: [INFO] Routing pad 'SW34:2' at (212090000, 71120000) with pad 'D34:2' at (214630000, 78800000) using coordinate system rotated by 0 degree(s)
13:33:47: [INFO] Adding track segment (B.Cu): [(212090000, 71120000), (212090000, 76260000)]
13:33:47: [INFO] Adding track segment (B.Cu): [(212090000, 76260000), (214630000, 78800000)]
13:33:47: [INFO] Routing SW33 with D33
13:33:47: [INFO] Using internal autorouter method
13:33:47: [INFO] Routing pad 'SW33:2' at (193040000, 71120000) with pad 'D33:2' at (195580000, 78800000) using coordinate system rotated by 0 degree(s)
13:33:47: [INFO] Adding track segment (B.Cu): [(193040000, 71120000), (193040000, 76260000)]
13:33:47: [INFO] Adding track segment (B.Cu): [(193040000, 76260000), (195580000, 78800000)]
13:33:47: [INFO] Routing SW32 with D32
13:33:47: [INFO] Using internal autorouter method
13:33:47: [INFO] Routing pad 'SW32:2' at (173990000, 71120000) with pad 'D32:2' at (176530000, 78800000) using coordinate system rotated by 0 degree(s)
13:33:47: [INFO] Adding track segment (B.Cu): [(173990000, 71120000), (173990000, 76260000)]
13:33:47: [INFO] Adding track segment (B.Cu): [(173990000, 76260000), (176530000, 78800000)]
13:33:47: [INFO] Routing SW31 with D31
13:33:47: [INFO] Using internal autorouter method
13:33:47: [INFO] Routing pad 'SW31:2' at (154940000, 71120000) with pad 'D31:2' at (157480000, 78800000) using coordinate system rotated by 0 degree(s)
13:33:47: [INFO] Adding track segment (B.Cu): [(154940000, 71120000), (154940000, 76260000)]
13:33:47: [INFO] Adding track segment (B.Cu): [(154940000, 76260000), (157480000, 78800000)]
