=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:18: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0AmJBfANHcDsEBmAHQDtzyAGQ8XcIw0ilmhcAXWwCgwpY4adFno0qdOBGjwqwnHjYTwNNEppE12ACwSpA2RnnLsSTQDZNAdk0AOXfxlzR2AJyaE45wnZfVuPY6GXhr+DnAGInhI2CFRJpw8fNKIliiRxgg6XLwBgsL0AJ4CALSylukEnngEPtXYfnWx+NpKBKb0BBYd2Nbddt1u3R6thLXNCA0QAO4CaEY1zJRkYgk5YUIY9DPwCGlGaNhV4AdjBw3HMUoHOvQH7XgHXQ89V9j9z4PPw7ejrxP220Qex+xHsyQi+0INy+pmySVm+TwgN25SMjCOjDGjHOjCajGhDHi9EYT0JvTwjHehM+hO+FN+oUBG3SmMmYQhxKhSkxsMS0wEuyCeC0hyW5BqShFCDFZAljIRQvAIqoMsqkvq6qaIoJIvuSuwpJF5P1VJFNKlRyltX58CEqPoUrQMoO4jhuQQqWieCK8FKKHtwq5bvWiPAPrgfs2SIFTjiVRtQMV0Wt4GRsfA0TZgLM6eiZhl6IBMaThHjqeL6WTKbTJf+weSCBzXrDJTKlaYSmTBOTvLWyTMhVboaZue0Bdo8p2o-zLHImKLtv97Zs45T4KXWxjAf1E2dE8DxD37A4HCAA
13:35:22: [INFO] Add SW62 footprint
13:35:22: [INFO] Add D62 footprint
13:35:22: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:22: [INFO] Add ST62 footprint
13:35:22: [INFO] Add SW62a footprint
13:35:22: [INFO] Add SW63 footprint
13:35:22: [INFO] Add D63 footprint
13:35:22: [INFO] Add SW64 footprint
13:35:23: [INFO] Add D64 footprint
13:35:23: [INFO] Add SW65 footprint
13:35:23: [INFO] Add D65 footprint
13:35:23: [INFO] Add SW66 footprint
13:35:23: [INFO] Add D66 footprint
13:35:23: [INFO] Add SW67 footprint
13:35:23: [INFO] Add D67 footprint
13:35:23: [INFO] Add SW68 footprint
13:35:23: [INFO] Add D68 footprint
13:35:23: [INFO] Add SW69 footprint
13:35:23: [INFO] Add D69 footprint
13:35:23: [INFO] Add SW70 footprint
13:35:23: [INFO] Add D70 footprint
13:35:23: [INFO] Add SW71 footprint
13:35:23: [INFO] Add D71 footprint
13:35:23: [INFO] Add SW72 footprint
13:35:23: [INFO] Add D72 footprint
13:35:23: [INFO] Add SW73 footprint
13:35:23: [INFO] Add D73 footprint
13:35:23: [INFO] Add SW74 footprint
13:35:23: [INFO] Add D74 footprint
13:35:23: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:35:23: [INFO] Add ST74 footprint
13:35:23: [INFO] Add SW74a footprint
