=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:12: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwAYB0BWANHcATWcAXAJwFcBTAXy3AEYEMaAdAOxZaQyXCwgGN9wAYgCGoseCrY6DNq2Yca4ALoYAUGHABPfAFpUaSeA5dqNTt2wKLtBhYjR4qBJmz94QgOxfvE6hwR2UPj61G7YImKivlIYAX4YAMzWZknxACyBDnD6hhxoyRj58QBsBaU8QY7ohmYe1hwAHAVN8QCcmcHVphjtKur2+Mjo1NrwesOuAoK8M7PWePDE5DX0SLLs5hVhQpFRK5zr8rZ9GqNw486Gq9YJm9j0itS3j3ADVc6hU7NzV7E3f9R6KlsLdgeB6BknhhIfdCv8irDyiCMEjwRg6lCMbCWq9wNsIpFrAB3QaGW4NQ7XKG9NQafHfGbRcBpA5yFhmEzYTBrNnMDnWFlMXn8rZTXbCawAC1J1EwQtkItxWScLnAJPgNC62BZcVx9IZTMwuuZiWsmDBLJh4EwVpZCOtcOoLNRmFRLKxDo9LJxEHVcE1BidPUOLM5fDFu0NPWUtPD7mmBsMxVZCru4A8KbkivAyflWbub39KA+k3j4uJ+E1HkD2GTurj4QZ-EMGeNybBGbByatGatyftGftydRGdRyY9GaxDc83i8FfgCGLNfTGApvNDgXx5Zb0ZO04T3yZDUz7LTrRPfLTx7zp7DeIjhOo0oXhnPN8vd+VS+ofsXl2ox4IIctx3vqh6GMeYLnmCx5WueVrHva572seqLnqix4eueU73mWkY-pWKDVq+q6blMs5zhB0ainhhIkTS-S4Y2BoES+pjGIc2Y0AonEFpURYlkxOz4dgfqav+Uj+Ic3KBGJS41GYQG8jJFRyRJtAcAk0l8WBcysXAxTyexhTaaBD7iPp4nLtx6KmbJhHqTQtR2RUX6qviFF1AppHGe0phmAxpydIJW4ieAz6IIYoa8S8+5NlGPKpi8JrvmYyVyjFHQagk36luE25QmusgPNY9CtJSxyxvxZh5UI8U7ol+bJbmmXUBmqW2K5lYsrVgiefOAmqhF9CiQEGoTOFY3+tQkBTRcy4suV66VYxoWPtgw1UY1p6xUJB4-NQ57bZeyXXq12BvudhY0AkO5FXIgoxoxWRpLlWi6Kg1afLRFmiQ5y6AcBnV6l8iaHbEQOKHu1UjB9RlSByV1qjKCMyMKK0aC9b1nOMX29eWlnwxpEPKcDvr-d5SmyHK9njY5mnabtumMvphn0yZpNM+ZezGR4jPJM5nPJI0-PQ8zzZBsdilmhe0tBh1xoZej9b8Sq335WFanWVJpMq1rlPaXrFPGVputkfG8Ws0TNloIb5sa+tyPjdrtlm6phEu-dLBGk9dKg+B1DJlLALYBmwdtmjqbGu1vEq1+IXcxKhMu1TcjmgLJPU6a7vOzUDOk8CcUsX98AeHnHNZ4Xe0EyXRbWYLle+0XAfYMe4fWEdsfWGdysd5H+Zx8F7mJwNAbl6n3vQhnE-MDatN1+XptZzCzd6bXZfGbbpMr9XkbeXz2-C6u2kZGL-sHZJssh7QiO98ZCsZw-ShKEAA
13:31:17: [INFO] Add D64 footprint
13:31:17: [INFO] Add SW65 footprint
13:31:17: [INFO] Add D65 footprint
13:31:17: [INFO] Add SW66 footprint
13:31:17: [INFO] Add D66 footprint
13:31:17: [INFO] Add SW67 footprint
13:31:17: [INFO] Add D67 footprint
13:31:17: [INFO] Add SW68 footprint
13:31:17: [INFO] Add D68 footprint
13:31:17: [INFO] Add SW69 footprint
13:31:17: [INFO] Add D69 footprint
13:31:17: [INFO] Add SW70 footprint
13:31:17: [INFO] Add D70 footprint
13:31:17: [INFO] Add SW71 footprint
13:31:17: [INFO] Add D71 footprint
13:31:17: [INFO] Add SW72 footprint
13:31:17: [INFO] Add D72 footprint
13:31:17: [INFO] Add SW73 footprint
13:31:17: [INFO] Add D73 footprint
13:31:17: [INFO] Add SW74 footprint
13:31:17: [INFO] Add D74 footprint
13:31:17: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:17: [INFO] Add ST74 footprint
13:31:17: [INFO] Add SW74a footprint
13:31:17: [INFO] Add SW75 footprint
13:31:17: [INFO] Add D75 footprint
13:31:17: [INFO] Add SW76 footprint
13:31:17: [INFO] Add D76 footprint
13:31:17: [INFO] Add SW76a footprint
13:31:17: [INFO] Add ST76a footprint
13:31:17: [INFO] Add SW77 footprint
13:31:17: [INFO] Add D77 footprint
13:31:17: [INFO] Add SW78 footprint
13:31:17: [INFO] Add D78 footprint
13:31:17: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:17: [INFO] Add ST78 footprint
13:31:17: [INFO] Add SW78a footprint
13:31:17: [INFO] Add SW79 footprint
13:31:17: [INFO] Add D79 footprint
13:31:17: [INFO] Add SW80 footprint
13:31:17: [INFO] Add D80 footprint
13:31:18: [INFO] Add SW81 footprint
13:31:18: [INFO] Add D81 footprint
13:31:18: [INFO] Add SW82 footprint
13:31:18: [INFO] Add D82 footprint
13:31:18: [INFO] Add SW83 footprint
13:31:18: [INFO] Add D83 footprint
13:31:18: [INFO] Add SW84 footprint
13:31:18: [INFO] Add D84 footprint
13:31:18: [INFO] Add SW85 footprint
13:31:18: [INFO] Add D85 footprint
13:31:18: [INFO] Add SW86 footprint
13:31:18: [INFO] Add D86 footprint
13:31:18: [INFO] Add ST86 footprint
13:31:18: [INFO] Add SW86a footprint
13:31:18: [INFO] Add SW87 footprint
13:31:18: [INFO] Add D87 footprint
13:31:18: [INFO] Add SW88 footprint
13:31:18: [INFO] Add D88 footprint
13:31:18: [INFO] Add SW89 footprint
13:31:18: [INFO] Add D89 footprint
13:31:18: [INFO] Add SW90 footprint
13:31:18: [INFO] Add D90 footprint
13:31:18: [INFO] Add SW91 footprint
13:31:18: [INFO] Add D91 footprint
13:31:18: [INFO] Add SW92 footprint
13:31:18: [INFO] Add D92 footprint
13:31:18: [INFO] Add SW93 footprint
13:31:18: [INFO] Add D93 footprint
13:31:18: [INFO] Add SW94 footprint
13:31:18: [INFO] Add D94 footprint
13:31:18: [INFO] Add SW95 footprint
13:31:18: [INFO] Add D95 footprint
13:31:18: [INFO] Add ST95 footprint
13:31:18: [INFO] Add SW95a footprint
13:31:18: [INFO] Add SW96 footprint
13:31:18: [INFO] Add D96 footprint
13:31:18: [INFO] Add SW97 footprint
13:31:18: [INFO] Add D97 footprint
