=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:34:34: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0AmJBfANHcAGbBAZgB0A7CiwhcXAogFisvJvAF1sAoMKWOPhRIk9AJ4ChyegGMB4AMQBDFavA48xInTgRo8NCml458RTIuX19Qmh16BADmFYbRWl14P4CFAHZxAQBaIQBOWXkFP2iY6zxCfHtwUzwFSysNBlpcb0QhEUyaOxzkyNU1egB3ATRCojJWamxEkv1BFAA2TMYmTh4+NqFiUTwJeBCjTIRe1oEEXw6IszT0uSmiRM8BueFA8bCR0uXylR1wap9hdZbdI9TVtfpp7Nu20JRQ1zxnl-Bn4tuKUUJyUZwuiCuT3qfS8-HgUkOYzgEwQmTQvS2uV8WlGwTCVR2fi+4HRNwgQJW6TiJO0s3g72GaI2Z3R8ySFJBYJq6GJrOIMO2l2meHBhgwmS0ZLu5lW1K0ANyziJEvcZy0CAV0uUJy5l2V9HV-JKFJisRVCEYAqxRiWqU5BMuxJ6UraJB5tsUpui1J6bPovoB4F9-Mx4AATnN0Xg2ojgh0UIQTJEHtTCEb4thLW4kGdCB0rXC4IxId9sIHpum-pmztMc6G2sXHEzA+jK+is3h0XX+rlUMQVZWtB3wFocwbsPn6wJ44xDqKed1sGPAWUdYvJz3C8XPntkQcHRCndgQ5uI+MNfQ2s4RLugr5Zx7KRk3H5c9hHG-Qm+EJtN1eE8S0z5lCr5Qh+UJflO8DOLU9DosBnbYKBiHgYhkF-gIfj+MSWjISO75qtgX7jj+BZtFhRIHoY+p4D0H5QXkuy4vsHyHByOoHr4R6kRwHBAA
13:34:39: [INFO] Using internal autorouter method
13:34:39: [INFO] Routing pad 'SW64:2' at (241482381, 138738673) with pad 'D64:2' at (245563637, 145722751) using coordinate system rotated by 348.0 degree(s)
13:34:39: [INFO] Adding track segment (B.Cu): [(241482381, 138738673), (242551046, 143766352)]
13:34:39: [INFO] Adding track segment (B.Cu): [(242551046, 143766352), (245563637, 145722751)]
13:34:39: [INFO] Routing SW63 with D63
13:34:39: [INFO] Using internal autorouter method
13:34:39: [INFO] Routing pad 'SW63:2' at (193502961, 145293654) with pad 'D63:2' at (194390694, 153333922) using coordinate system rotated by 12.0 degree(s)
13:34:39: [INFO] Adding track segment (B.Cu): [(193502961, 145293654), (192434294, 150321332)]
13:34:39: [INFO] Adding track segment (B.Cu): [(192434294, 150321332), (194390694, 153333922)]
13:34:39: [INFO] Routing SW62 with D62
13:34:39: [INFO] Using internal autorouter method
13:34:39: [INFO] Routing pad 'SW62:2' at (163223180, 138857488) with pad 'D62:2' at (164110913, 146897756) using coordinate system rotated by 12.0 degree(s)
13:34:39: [INFO] Adding track segment (B.Cu): [(163223180, 138857488), (162154513, 143885166)]
13:34:39: [INFO] Adding track segment (B.Cu): [(162154513, 143885166), (164110913, 146897756)]
13:34:39: [INFO] Routing SW61 with D61
13:34:39: [INFO] Using internal autorouter method
13:34:39: [INFO] Routing pad 'SW61:2' at (128086934, 132362828) with pad 'D61:2' at (128974667, 140403096) using coordinate system rotated by 12.0 degree(s)
13:34:39: [INFO] Adding track segment (B.Cu): [(128086934, 132362828), (127018267, 137390504)]
13:34:39: [INFO] Adding track segment (B.Cu): [(127018267, 137390504), (128974667, 140403096)]
13:34:39: [INFO] Routing SW60 with D60
13:34:39: [INFO] Using internal autorouter method
13:34:39: [INFO] Routing pad 'SW60:2' at (74930000, 129222500) with pad 'D60:2' at (77470000, 136902500) using coordinate system rotated by 0 degree(s)
13:34:39: [INFO] Adding track segment (B.Cu): [(74930000, 129222500), (74930000, 134362500)]
13:34:39: [INFO] Adding track segment (B.Cu): [(74930000, 134362500), (77470000, 136902500)]
13:34:39: [INFO] Routing SW59 with D59
13:34:39: [INFO] Using internal autorouter method
13:34:39: [INFO] Routing pad 'SW59:2' at (370205000, 110172500) with pad 'D59:2' at (372745000, 117852500) using coordinate system rotated by 0 degree(s)
13:34:39: [INFO] Adding track segment (B.Cu): [(370205000, 110172500), (370205000, 115312500)]
13:34:39: [INFO] Adding track segment (B.Cu): [(370205000, 115312500), (372745000, 117852500)]
13:34:39: [INFO] Routing SW58 with D58
13:34:39: [INFO] Using internal autorouter method
13:34:39: [INFO] Routing pad 'SW58:2' at (344011250, 110172500) with pad 'D58:2' at (346551250, 117852500) using coordinate system rotated by 0 degree(s)
13:34:39: [INFO] Adding track segment (B.Cu): [(344011250, 110172500), (344011250, 115312500)]
13:34:39: [INFO] Adding track segment (B.Cu): [(344011250, 115312500), (346551250, 117852500)]
13:34:39: [INFO] Routing SW57 with D57
13:34:39: [INFO] Using internal autorouter method
13:34:39: [INFO] Routing pad 'SW57:2' at (317817500, 110172500) with pad 'D57:2' at (320357500, 117852500) using coordinate system rotated by 0 degree(s)
13:34:39: [INFO] Adding track segment (B.Cu): [(317817500, 110172500), (317817500, 115312500)]
13:34:39: [INFO] Adding track segment (B.Cu): [(317817500, 115312500), (320357500, 117852500)]
13:34:39: [INFO] Routing SW56 with D56
13:34:39: [INFO] Using internal autorouter method
13:34:39: [INFO] Routing pad 'SW56:2' at (298767500, 110172500) with pad 'D56:2' at (301307500, 117852500) using coordinate system rotated by 0 degree(s)
13:34:39: [INFO] Adding track segment (B.Cu): [(298767500, 110172500), (298767500, 115312500)]
13:34:39: [INFO] Adding track segment (B.Cu): [(298767500, 115312500), (301307500, 117852500)]
13:34:39: [INFO] Routing SW55 with D55
13:34:39: [INFO] Using internal autorouter method
13:34:39: [INFO] Routing pad 'SW55:2' at (277118301, 111688436) with pad 'D55:2' at (281199557, 118672514) using coordinate system rotated by 348.0 degree(s)
13:34:39: [INFO] Adding track segment (B.Cu): [(277118301, 111688436), (278186966, 116716115)]
13:34:39: [INFO] Adding track segment (B.Cu): [(278186966, 116716115), (281199557, 118672514)]
13:34:39: [INFO] Routing SW54 with D54
13:34:39: [INFO] Using internal autorouter method
13:34:39: [INFO] Routing pad 'SW54:2' at (258484589, 115649154) with pad 'D54:2' at (262565845, 122633232) using coordinate system rotated by 348.0 degree(s)
13:34:39: [INFO] Adding track segment (B.Cu): [(258484589, 115649154), (259553254, 120676833)]
13:34:39: [INFO] Adding track segment (B.Cu): [(259553254, 120676833), (262565845, 122633232)]
13:34:39: [INFO] Routing SW53 with D53
13:34:39: [INFO] Using internal autorouter method
