=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:19: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDoBMBWANHcB3WcAGJAdk2wBN8AXAJwFcBTAXy3AB0A7TzgjBcVrwTcuHIQOy8UInnwnheAZhli5gjABYV4rBADG+cAGIAhmfPy88ImXCV4tRi0kY02tS4Bs7-uuI-5XgAOAPUATlC4CGhrJFsDeGM9ZJTwZwU+AkiMhGFRWV8XBGl81UL9QyNiapr5AGcAW0MaAHsqAH0GPVy09QRlUoQ+FRUGAnAAXQwAKDBwRsNel3HdKHwidFYE7CMU1PShdxWXEpFeY4yBs4wL3i1S84lo9dR4yvMLA9cjwIxvB5uv38ANuGBCIKea1im2w2ySewMXwiEL6WRRRTy11BxR+qxihFeW0qNVqX36KiGx2e0LeiVMHxMSxyGl+CDQrM8kxmcwAni8Ybh8Mg0OlKZC4bsEUyhoVwEMUPIhopFZoVezWENORqMMQVUEVWEVQgLjLZTKFasJQzGawrIg4qK+Mq8fyRdqECz3ersDLOVNZhA7cL0ihAZbKgjEaxQ7LQxbsKHnQnVdHXOL3gz5AALIUO1P-EShqngHPwYOp4GFsNRcASyNM0P61OG1PG+Qx2N8eMVOnWyy5t3J-qQ-EbQfgGOeofeid8LU10evEN-FQx9s61dyf1zIN57CKas9nb19IH2UH+PgA9JiAcaj0ZisA9Tq9pl3wFBIAinsGQu8OB8fxbfdMnkM9zy7dNe0zW0Bx-Yd3zgRQ91fAtRDXJ8N1KNdt2pOBPDiVg+XgABaGxWFLe1xw0FdsMPEs4NYGjK3QwFcPAYi4DIwjsF3aj6LrKV0ho2UaMvGik3AGiXxo708M-b8mN-JTgKk0ClJ6DTu1rDMPn7MsUJEm8oXtAUJRJaomREuSTOQMzdM+JS0M4DDsGYzd+HYvj0kwC5MFlTBTlEA8-IwK5gvo-FuNsO1yIoe8nFYFQaNC+4RBS+RMDcUoMvDOl61gj8fNo9KBIcswmUwcFStC5EasyzIVF8kd8BI5BeF4l5bHsOBHEfbBksirrityJrq3AfztO81h-OMxd7LpCzdRGl9-Jnfy-W5eSeI410iWgvTCqo4qgs4M9IVinaer64rwrOjw8IIjrBVibqEv6ibGtKfyLsY7B-MxUQfvY-EaNhCMpSOxRirS0QRIa5yOHh1Y7WhmaMDquGty2kywZeuBiGKxGxK5ANcf2nY+yOuK7He9JBuMwS9n0pDiuy0rjNR4rqqxxnyptTrXtYa7AKSnKwtJuZQepq66bF0qpyPeFmaOzwicGxWdIOiwZbegDEoG8WWRB-A8cuvXetFw3SpspnUiOlAYcGmy7Ud9HibfGtXeKzHOFkqDKZgwWCQtm75ax9kTfgM2uuFuXrax+dPthv2-gD5X7eDt3-u+cX50DfBs8+nnU-zrXA70p289+oX4v1j7Br9CYgA
13:31:22: [INFO] Add SW40 footprint
13:31:22: [INFO] Add D40 footprint
13:31:22: [INFO] Add SW41 footprint
13:31:22: [INFO] Add D41 footprint
13:31:22: [INFO] Add SW41a footprint
13:31:22: [INFO] Add SW42 footprint
13:31:22: [INFO] Add D42 footprint
13:31:23: [INFO] Add SW42a footprint
13:31:23: [INFO] Add SW43 footprint
13:31:23: [INFO] Add D43 footprint
13:31:23: [INFO] Add SW44 footprint
13:31:23: [INFO] Add D44 footprint
13:31:23: [INFO] Add SW45 footprint
13:31:23: [INFO] Add D45 footprint
13:31:23: [INFO] Add SW46 footprint
13:31:23: [INFO] Add D46 footprint
13:31:23: [INFO] Add SW47 footprint
13:31:23: [INFO] Add D47 footprint
13:31:23: [INFO] Add SW48 footprint
13:31:23: [INFO] Add D48 footprint
13:31:23: [INFO] Add SW49 footprint
13:31:23: [INFO] Add D49 footprint
13:31:23: [INFO] Add SW50 footprint
13:31:23: [INFO] Add D50 footprint
13:31:23: [INFO] Add SW51 footprint
13:31:23: [INFO] Add D51 footprint
13:31:23: [INFO] Add SW52 footprint
13:31:23: [INFO] Add D52 footprint
13:31:23: [INFO] Add SW53 footprint
13:31:23: [INFO] Add D53 footprint
13:31:23: [INFO] Add SW54 footprint
13:31:23: [INFO] Add D54 footprint
13:31:23: [INFO] Add SW55 footprint
13:31:23: [INFO] Add D55 footprint
13:31:23: [INFO] Add SW56 footprint
13:31:23: [INFO] Add D56 footprint
13:31:23: [INFO] Add SW57 footprint
13:31:23: [INFO] Add D57 footprint
13:31:23: [INFO] Add SW58 footprint
13:31:23: [INFO] Add D58 footprint
13:31:23: [INFO] Add SW59 footprint
13:31:24: [INFO] Add D59 footprint
13:31:24: [INFO] Add SW60 footprint
13:31:24: [INFO] Add D60 footprint
13:31:24: [INFO] Add SW61 footprint
13:31:24: [INFO] Add D61 footprint
13:31:24: [INFO] Add SW62 footprint
13:31:24: [INFO] Add D62 footprint
13:31:24: [INFO] Add SW63 footprint
13:31:24: [INFO] Add D63 footprint
13:31:24: [INFO] Add SW64 footprint
13:31:24: [INFO] Add D64 footprint
13:31:24: [INFO] Add SW65 footprint
13:31:24: [INFO] Add D65 footprint
13:31:24: [INFO] Add SW66 footprint
13:31:24: [INFO] Add D66 footprint
13:31:24: [INFO] Add SW67 footprint
13:31:24: [INFO] Add D67 footprint
13:31:24: [INFO] Add SW68 footprint
13:31:24: [INFO] Add D68 footprint
13:31:24: [INFO] Add SW69 footprint
13:31:24: [INFO] Add D69 footprint
13:31:24: [INFO] Add SW70 footprint
13:31:24: [INFO] Add D70 footprint
13:31:24: [INFO] Add SW71 footprint
13:31:24: [INFO] Add D71 footprint
13:31:24: [INFO] Add SW72 footprint
13:31:24: [INFO] Add D72 footprint
13:31:24: [INFO] Add SW72a footprint
