=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:00: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwF8A0dwAYUIDoDt98BWFDcNTFAJkILxLIqwGZbjTy4Jp4MA6EugDGsdAGIA7FOnhU6LABZOEEfHBihmrbKYoinSgDYDWCSZQAOcwE5zCRvOwI7VO8ztLdCfV+NoVouoAhiGhBgDuolRylAgSbHhYDtyi-BKC4KriWtoxWHEJ+QZU2PF0+EUAuigAUGDgABZRMQikCQwGrbjl9BwUrTQ9Hf0orEN9XFCpAhRZwaEhEaIIAi0onpNzGjkiaz7orX4HKGYjViO2I-adTjcIrlfuVxvgXfuv2EcQkfArRGsFHrMCYpX4zYSBSTSKRLMFUDJNeAldDhVxghFoxAUSCYgC0-HhMRKCEMCWBzmqdVBWIham2OR06GJ7Qm4BKg1owyZoxZySmvHBmUhC0WFB+iD46SJ62UQrpO12FBK7xKRzZJ2Klk1l251yVt31901CCeupexP2ATp0JhYqifEJhtJQJB-Lg-AyWwVjPA5LKtHJ4Ep9URcGiFGBGF5BnJ0Yj1Dj6GBY05rp47sFWxFQVhYYd-3jCgSCldXp2PuBauBpyTWvjOt92AcjYQznjRvbppbL3JRASJT5WZFuaokoLtZJ-bT0wy4pWUvbfZ6xNlZYZMXJztoK4oJEB2+wsvTaXHLaXB4em2Fw7tYIXE63dHZq8h3pie-9T+oQdq9XTrRRZoKBLDk6C5cASxTMDpwFT1rwWXMVkddASw2b5lnzGISy+cA50w4CNX8OVsnLW84EMfD0D3Zs91A-BWkHSEbTMd9sCg+jWT3IsegYgw93POheN3T4El44NqQA8AAE9pnhWZX3LPJsBZNtHDo3pVModiNKPGd5LpbNEMoxtuNoEtVKtEj13jAT8HM3T4AkMd9PEQyyKQ09aNEw8iLw5DwD3bSullPzPOwWy8GC3yMP8vdHw4ilf0s9Q3xGKNxk0roVJudS91lUNw25bS8uDdV0tTTTmQyzVcsPUrI2y9tGtrWqLMaIDa2KuqktwjqIOU6qCNaoNKiAA
13:29:03: [INFO] Add SW37 footprint
13:29:03: [INFO] Add D37 footprint
13:29:03: [INFO] Add SW38 footprint
13:29:03: [INFO] Add D38 footprint
13:29:03: [INFO] Add SW39 footprint
13:29:03: [INFO] Add D39 footprint
13:29:03: [INFO] Add SW39a footprint
13:29:03: [INFO] Add ST39a footprint
13:29:03: [INFO] Add SW40 footprint
13:29:03: [INFO] Add D40 footprint
13:29:03: [INFO] Add SW41 footprint
13:29:03: [INFO] Add D41 footprint
13:29:03: [INFO] Add SW42 footprint
13:29:03: [INFO] Add D42 footprint
13:29:03: [INFO] Add SW43 footprint
13:29:03: [INFO] Add D43 footprint
13:29:04: [INFO] Add SW44 footprint
13:29:04: [INFO] Add D44 footprint
13:29:04: [INFO] Add SW45 footprint
13:29:04: [INFO] Add D45 footprint
13:29:04: [INFO] Add SW46 footprint
13:29:04: [INFO] Add D46 footprint
13:29:04: [INFO] Add SW47 footprint
13:29:04: [INFO] Add D47 footprint
13:29:04: [INFO] Add SW48 footprint
13:29:04: [INFO] Add D48 footprint
13:29:04: [INFO] Add SW49 footprint
13:29:04: [INFO] Add D49 footprint
13:29:04: [INFO] Add SW50 footprint
13:29:04: [INFO] Add D50 footprint
13:29:04: [INFO] Add SW51 footprint
13:29:04: [INFO] Add D51 footprint
13:29:04: [INFO] Add SW52 footprint
13:29:04: [INFO] Add D52 footprint
13:29:04: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:04: [INFO] Add ST52 footprint
13:29:04: [INFO] Add SW52a footprint
13:29:04: [INFO] Add ST52a footprint
13:29:04: [INFO] Add SW53 footprint
13:29:04: [INFO] Add D53 footprint
13:29:04: [INFO] Add SW54 footprint
13:29:04: [INFO] Add D54 footprint
13:29:04: [INFO] Add ST54 footprint
13:29:04: [INFO] Add SW54a footprint
13:29:04: [INFO] Add SW55 footprint
13:29:04: [INFO] Add D55 footprint
13:29:04: [INFO] Add SW56 footprint
13:29:04: [INFO] Add D56 footprint
13:29:04: [INFO] Add SW57 footprint
13:29:04: [INFO] Add D57 footprint
13:29:04: [INFO] Add SW57a footprint
13:29:04: [INFO] Add ST57a footprint
13:29:04: [INFO] Add SW58 footprint
13:29:04: [INFO] Add D58 footprint
13:29:04: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:05: [INFO] Add ST58 footprint
13:29:05: [INFO] Add SW58a footprint
13:29:05: [INFO] Add SW59 footprint
