=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:20: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIHdwLgAgIwDoCsBfANHcAGDPwtcMFDs8AmM4gZmrwBZ6MVmA2MiAD1jgdUzY2+asNJFhVCRjrSm01lgjR4ydNI4BdDACgwUXmsHgEIoqfHZTUqzOqn5txbY5LwPeP3XYA7Gd8k1H424H6yAY6hLJwGqgJEflq6+iqI8dgU-uCZltkYIZnheZGZznmucNy8XsYAHFn1ufUh9UX1kfXOyobp4PVJet1x3uA0WWO5YyFjRWORY13uvGy9AJyBROsh60XrkeuLqUabGAP6HnA4vQxZN7k3ITfhVapXIwh4RR8Ykd9l32cIAAnXg0PDYIEXFYoIhAgCe1SQFBh2AuyHB4AR8AAtFdkUQABY9EY3VjaQaY3i41CE4nGG5Mcn6EHwHwopbwCg07BYuDYrkjGFlGF0JkvOAC4wwyIwqhi8Asvls2FosaoqleIi87HIZHGBCmL4WcDyi7YmrmBz2awm5LAqlgohmzI8qno2nDfV4Uimt1aqlvD1pd6UE2aIA
13:40:26: [INFO] Routing pad 'SW72:2' at (257021710, 162204535) with pad 'D72:2' at (265097421, 161738813) using coordinate system rotated by 285.0 degree(s)
13:40:26: [INFO] Adding track segment (B.Cu): [(257021710, 162204535), (261986568, 163534863)]
13:40:26: [INFO] Adding track segment (B.Cu): [(261986568, 163534863), (265097421, 161738813)]
13:40:26: [INFO] Routing SW71 with D71
13:40:26: [INFO] Using internal autorouter method
13:40:26: [INFO] Routing pad 'SW71:2' at (238620823, 157274032) with pad 'D71:2' at (246696534, 156808310) using coordinate system rotated by 285.0 degree(s)
13:40:26: [INFO] Adding track segment (B.Cu): [(238620823, 157274032), (243585681, 158604361)]
13:40:26: [INFO] Adding track segment (B.Cu): [(243585681, 158604361), (246696534, 156808310)]
13:40:26: [INFO] Routing SW70 with D70
13:40:26: [INFO] Using internal autorouter method
13:40:26: [INFO] Routing pad 'SW70:2' at (378777500, 109220000) with pad 'D70:2' at (381317500, 116900000) using coordinate system rotated by 0 degree(s)
13:40:26: [INFO] Adding track segment (B.Cu): [(378777500, 109220000), (378777500, 114360000)]
13:40:26: [INFO] Adding track segment (B.Cu): [(378777500, 114360000), (381317500, 116900000)]
13:40:26: [INFO] Routing SW69 with D69
13:40:26: [INFO] Using internal autorouter method
13:40:26: [INFO] Routing pad 'SW69:2' at (359727500, 109220000) with pad 'D69:2' at (362267500, 116900000) using coordinate system rotated by 0 degree(s)
13:40:26: [INFO] Adding track segment (B.Cu): [(359727500, 109220000), (359727500, 114360000)]
13:40:26: [INFO] Adding track segment (B.Cu): [(359727500, 114360000), (362267500, 116900000)]
13:40:26: [INFO] Routing SW68 with D68
13:40:26: [INFO] Using internal autorouter method
13:40:26: [INFO] Routing pad 'SW68:2' at (340677500, 109220000) with pad 'D68:2' at (343217500, 116900000) using coordinate system rotated by 0 degree(s)
13:40:26: [INFO] Adding track segment (B.Cu): [(340677500, 109220000), (340677500, 114360000)]
13:40:26: [INFO] Adding track segment (B.Cu): [(340677500, 114360000), (343217500, 116900000)]
13:40:26: [INFO] Routing SW67 with D67
13:40:26: [INFO] Using internal autorouter method
13:40:26: [INFO] Routing pad 'SW67:2' at (321627500, 109220000) with pad 'D67:2' at (324167500, 116900000) using coordinate system rotated by 0 degree(s)
13:40:26: [INFO] Adding track segment (B.Cu): [(321627500, 109220000), (321627500, 114360000)]
13:40:26: [INFO] Adding track segment (B.Cu): [(321627500, 114360000), (324167500, 116900000)]
13:40:26: [INFO] Routing SW66 with D66
13:40:26: [INFO] Using internal autorouter method
13:40:26: [INFO] Routing pad 'SW66:2' at (272398313, 125128375) with pad 'D66:2' at (278438017, 130509449) using coordinate system rotated by 330.0 degree(s)
13:40:26: [INFO] Adding track segment (B.Cu): [(272398313, 125128375), (274968311, 129579744)]
13:40:26: [INFO] Adding track segment (B.Cu): [(274968311, 129579744), (278438017, 130509449)]
13:40:26: [INFO] Routing SW65 with D65
13:40:26: [INFO] Using internal autorouter method
13:40:26: [INFO] Routing pad 'SW65:2' at (251138029, 126404483) with pad 'D65:2' at (257177733, 131785557) using coordinate system rotated by 330.0 degree(s)
13:40:26: [INFO] Adding track segment (B.Cu): [(251138029, 126404483), (253708027, 130855852)]
13:40:26: [INFO] Adding track segment (B.Cu): [(253708027, 130855852), (257177733, 131785557)]
13:40:26: [INFO] Routing SW64 with D64
13:40:26: [INFO] Using internal autorouter method
13:40:26: [INFO] Routing pad 'SW64:2' at (383540000, 90170000) with pad 'D64:2' at (386080000, 97850000) using coordinate system rotated by 0 degree(s)
13:40:26: [INFO] Adding track segment (B.Cu): [(383540000, 90170000), (383540000, 95310000)]
13:40:26: [INFO] Adding track segment (B.Cu): [(383540000, 95310000), (386080000, 97850000)]
13:40:26: [INFO] Routing SW63 with D63
13:40:26: [INFO] Using internal autorouter method
13:40:26: [INFO] Routing pad 'SW63:2' at (359727500, 90170000) with pad 'D63:2' at (362267500, 97850000) using coordinate system rotated by 0 degree(s)
13:40:26: [INFO] Adding track segment (B.Cu): [(359727500, 90170000), (359727500, 95310000)]
13:40:26: [INFO] Adding track segment (B.Cu): [(359727500, 95310000), (362267500, 97850000)]
13:40:26: [INFO] Routing SW62 with D62
13:40:26: [INFO] Using internal autorouter method
13:40:26: [INFO] Routing pad 'SW62:2' at (340677500, 90170000) with pad 'D62:2' at (343217500, 97850000) using coordinate system rotated by 0 degree(s)
13:40:26: [INFO] Adding track segment (B.Cu): [(340677500, 90170000), (340677500, 95310000)]
13:40:26: [INFO] Adding track segment (B.Cu): [(340677500, 95310000), (343217500, 97850000)]
13:40:26: [INFO] Routing SW61 with D61
13:40:26: [INFO] Using internal autorouter method
13:40:26: [INFO] Routing pad 'SW61:2' at (321627500, 90170000) with pad 'D61:2' at (324167500, 97850000) using coordinate system rotated by 0 degree(s)
13:40:26: [INFO] Adding track segment (B.Cu): [(321627500, 90170000), (321627500, 95310000)]
13:40:26: [INFO] Adding track segment (B.Cu): [(321627500, 95310000), (324167500, 97850000)]
13:40:26: [INFO] Routing SW60 with D60
13:40:26: [INFO] Using internal autorouter method
13:40:26: [INFO] Routing pad 'SW60:2' at (302577500, 90170000) with pad 'D60:2' at (305117500, 97850000) using coordinate system rotated by 0 degree(s)
13:40:26: [INFO] Adding track segment (B.Cu): [(302577500, 90170000), (302577500, 95310000)]
13:40:26: [INFO] Adding track segment (B.Cu): [(302577500, 95310000), (305117500, 97850000)]
13:40:26: [INFO] Routing SW59 with D59
13:40:26: [INFO] Using internal autorouter method
13:40:26: [INFO] Routing pad 'SW59:2' at (283527500, 90170000) with pad 'D59:2' at (286067500, 97850000) using coordinate system rotated by 0 degree(s)
13:40:26: [INFO] Adding track segment (B.Cu): [(283527500, 90170000), (283527500, 95310000)]
13:40:26: [INFO] Adding track segment (B.Cu): [(283527500, 95310000), (286067500, 97850000)]
13:40:26: [INFO] Routing SW58 with D58
13:40:26: [INFO] Using internal autorouter method
13:40:26: [INFO] Routing pad 'SW58:2' at (383540000, 71120000) with pad 'D58:2' at (386080000, 78800000) using coordinate system rotated by 0 degree(s)
13:40:26: [INFO] Adding track segment (B.Cu): [(383540000, 71120000), (383540000, 76260000)]
13:40:26: [INFO] Adding track segment (B.Cu): [(383540000, 76260000), (386080000, 78800000)]
13:40:26: [INFO] Routing SW57 with D57
13:40:26: [INFO] Using internal autorouter method
13:40:26: [INFO] Routing pad 'SW57:2' at (359727500, 71120000) with pad 'D57:2' at (362267500, 78800000) using coordinate system rotated by 0 degree(s)
13:40:26: [INFO] Adding track segment (B.Cu): [(359727500, 71120000), (359727500, 76260000)]
13:40:26: [INFO] Adding track segment (B.Cu): [(359727500, 76260000), (362267500, 78800000)]
13:40:26: [INFO] Routing SW56 with D56
13:40:26: [INFO] Using internal autorouter method
13:40:26: [INFO] Routing pad 'SW56:2' at (340677500, 71120000) with pad 'D56:2' at (343217500, 78800000) using coordinate system rotated by 0 degree(s)
13:40:26: [INFO] Adding track segment (B.Cu): [(340677500, 71120000), (340677500, 76260000)]
13:40:26: [INFO] Adding track segment (B.Cu): [(340677500, 76260000), (343217500, 78800000)]
13:40:26: [INFO] Routing SW55 with D55
13:40:26: [INFO] Using internal autorouter method
13:40:26: [INFO] Routing pad 'SW55:2' at (321627500, 71120000) with pad 'D55:2' at (324167500, 78800000) using coordinate system rotated by 0 degree(s)
13:40:26: [INFO] Adding track segment (B.Cu): [(321627500, 71120000), (321627500, 76260000)]
13:40:26: [INFO] Adding track segment (B.Cu): [(321627500, 76260000), (324167500, 78800000)]
13:40:26: [INFO] Routing SW54 with D54
13:40:26: [INFO] Using internal autorouter method
13:40:26: [INFO] Routing pad 'SW54:2' at (302577500, 71120000) with pad 'D54:2' at (305117500, 78800000) using coordinate system rotated by 0 degree(s)
13:40:26: [INFO] Adding track segment (B.Cu): [(302577500, 71120000), (302577500, 76260000)]
13:40:26: [INFO] Adding track segment (B.Cu): [(302577500, 76260000), (305117500, 78800000)]
13:40:26: [INFO] Routing SW53 with D53
13:40:26: [INFO] Using internal autorouter method
13:40:26: [INFO] Routing pad 'SW53:2' at (283527500, 71120000) with pad 'D53:2' at (286067500, 78800000) using coordinate system rotated by 0 degree(s)
