=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:48: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreAvgGgQBi7uDhNPEpBZZjuPgIxFwmwIpqrV5YBMjtWAZj74ALMKwBWcQDZxycQA5GEAB4sJ2BNIJ9tDGtt4HBurGONTjs4-ONKAulgBQwcHR3EoLcpQqc3WPoI7kbBJjTu5mGWYdZhtmFKnmrwGjTIHggZQeAZobnhWWZ8GTEFcQUJzGRs7P4ZDs6u3JnVrACGnV3+LTktoW0+vj2F4C1RY5J8LRUtCZNJTOApcGkICpngGzkb+RtCNBsTG2UbFRvzG40ug7XomuACrV41Xd0PTzlPAy+svn4fUZPCZPMpPCpPeZPRaqdQPACcm0ROUR+URBwQiImiLKiLit3YHARWHmiOurhEm0pQVub06-kpP1If3+DNGlImlLKlIqlPmlJhyzhEXwhBFgT4dHw+Slo1lE1lMVpdP8svxvyQhPkD1lVQ1iH+0B1+HJBMJ-gkm0tNP1hotPGU+rp7XtGPAlomlqVttZD0tFUteuZmvNfqwgpWazc7jFS2DBt9EXcOToIUd8edqvcbtTxSTU088a1WawFVz81zDnsQA
13:33:56: [INFO] Using internal autorouter method
13:33:56: [INFO] Routing pad 'SW107:2' at (440690000, 128270000) with pad 'D107:2' at (443230000, 135950000) using coordinate system rotated by 0 degree(s)
13:33:56: [INFO] Adding track segment (B.Cu): [(440690000, 128270000), (440690000, 133410000)]
13:33:56: [INFO] Adding track segment (B.Cu): [(440690000, 133410000), (443230000, 135950000)]
13:33:56: [INFO] Routing SW106 with D106
13:33:56: [INFO] Using internal autorouter method
13:33:56: [INFO] Routing pad 'SW106:2' at (421640000, 128270000) with pad 'D106:2' at (424180000, 135950000) using coordinate system rotated by 0 degree(s)
13:33:56: [INFO] Adding track segment (B.Cu): [(421640000, 128270000), (421640000, 133410000)]
13:33:56: [INFO] Adding track segment (B.Cu): [(421640000, 133410000), (424180000, 135950000)]
13:33:56: [INFO] Routing SW105 with D105
13:33:56: [INFO] Using internal autorouter method
13:33:56: [INFO] Routing pad 'SW105:2' at (402590000, 128270000) with pad 'D105:2' at (405130000, 135950000) using coordinate system rotated by 0 degree(s)
13:33:56: [INFO] Adding track segment (B.Cu): [(402590000, 128270000), (402590000, 133410000)]
13:33:56: [INFO] Adding track segment (B.Cu): [(402590000, 133410000), (405130000, 135950000)]
13:33:56: [INFO] Routing SW104 with D104
13:33:56: [INFO] Using internal autorouter method
13:33:56: [INFO] Routing pad 'SW104:2' at (383540000, 128270000) with pad 'D104:2' at (386080000, 135950000) using coordinate system rotated by 0 degree(s)
13:33:56: [INFO] Adding track segment (B.Cu): [(383540000, 128270000), (383540000, 133410000)]
13:33:56: [INFO] Adding track segment (B.Cu): [(383540000, 133410000), (386080000, 135950000)]
13:33:56: [INFO] Routing SW103 with D103
13:33:56: [INFO] Using internal autorouter method
13:33:56: [INFO] Routing pad 'SW103:2' at (364490000, 128270000) with pad 'D103:2' at (367030000, 135950000) using coordinate system rotated by 0 degree(s)
13:33:56: [INFO] Adding track segment (B.Cu): [(364490000, 128270000), (364490000, 133410000)]
13:33:56: [INFO] Adding track segment (B.Cu): [(364490000, 133410000), (367030000, 135950000)]
13:33:56: [INFO] Routing SW102 with D102
13:33:56: [INFO] Using internal autorouter method
