=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:27: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareANAg7rOBGAOgFYBfLcABg0szgmniUhdfHIWvzqowCYe1AMyCMAFlHFRANlEB2UQA5RATlH5aFLty0Z8ArAzxI06CrnhEyu-CIC6GAFBhwFgiQ7h8NOkaaJWNk9vHQRvAzCMEQpvCRiMKUMoYxRTZB4ACzwrYIxpAB0AOyKi6k16cCzLD3i5EuLCst9k-0CWdnjleLV4jR4Q0K89CL8EVNMeNxze6IrGMbboXIKG0r1+jDrVxvWHZ1GTNMnsmoQ+HyT55jaOs-WKc4jwc9nn8R5zxIqADzw+QkonnOXTuPTufQeekG530zSu4zMOBO1nBswOARuQLy9TW0M2OJ23D2Ll+8GkJAoAE88ABaSgUhDwtLpChVdwo8BCbHbJpJNnTBBcrb1JrEiDU+B0hmuZGeLnldGLW6c+6C-g8LmvLlxNVfCCkuD-QEULkglVglUQtX4QZc2GXFLM47VDl2tEtBaYk3ckWqlXChpccBij2HCbmWUUMQXBDRwbRvgE7zlcDRoRJmOKm4R+BCTzR4gZhUy3P5jCKItwx1HMsaStRqH12PDZpTU6pvT2Jwkv7thMZ+NRAdV1rZpFkssreohEdjJ21yjDhs24chg3-Dn97bhHhpjNPaNifez66BZ2GsuF7fqpJuPhlivXkahhGoZXRlTH5eLp+7xu-tde03fgM1ePdrzA8RQL-K9pyiE8MTPHMLwbKcGm8d0mRrBtHzgyDPwgv860I5d8GgwD4A3ZCBQ7RNrx1LMkPHOA5EnDMGJfJ1qL7f84IkOw7CAA
13:31:32: [INFO] Placing additional elements for SW59a
13:31:32: [INFO] Placing additional elements for SW59
13:31:32: [INFO] Placing additional elements for SW58
13:31:32: [INFO] Placing additional elements for SW57
13:31:32: [INFO] Placing additional elements for SW56
13:31:32: [INFO] Placing additional elements for SW55
13:31:32: [INFO] Placing additional elements for SW54
13:31:32: [INFO] Placing additional elements for SW53
13:31:32: [INFO] Placing additional elements for SW52
13:31:32: [INFO] Placing additional elements for SW51
13:31:32: [INFO] Placing additional elements for SW50a
13:31:32: [INFO] Placing additional elements for SW50
13:31:32: [INFO] Placing additional elements for SW49a
13:31:32: [INFO] Placing additional elements for SW49
13:31:32: [INFO] Placing additional elements for SW48
13:31:32: [INFO] Placing additional elements for SW47
13:31:32: [INFO] Placing additional elements for SW46
13:31:32: [INFO] Placing additional elements for SW45
13:31:32: [INFO] Placing additional elements for SW44
13:31:32: [INFO] Placing additional elements for SW43
13:31:32: [INFO] Placing additional elements for SW42
13:31:32: [INFO] Placing additional elements for SW41
13:31:32: [INFO] Placing additional elements for SW40
13:31:32: [INFO] Placing additional elements for SW39
13:31:32: [INFO] Placing additional elements for SW38
13:31:32: [INFO] Placing additional elements for SW37
13:31:32: [INFO] Placing additional elements for SW36
13:31:32: [INFO] Placing additional elements for SW35
13:31:32: [INFO] Placing additional elements for SW34
13:31:32: [INFO] Placing additional elements for SW33
13:31:32: [INFO] Placing additional elements for SW32
13:31:32: [INFO] Placing additional elements for SW31
13:31:32: [INFO] Placing additional elements for SW30
13:31:32: [INFO] Placing additional elements for SW29
13:31:32: [INFO] Placing additional elements for SW28
13:31:32: [INFO] Placing additional elements for SW27
13:31:32: [INFO] Placing additional elements for SW26
13:31:32: [INFO] Placing additional elements for SW25
13:31:32: [INFO] Placing additional elements for SW24
13:31:32: [INFO] Placing additional elements for SW23
13:31:32: [INFO] Placing additional elements for SW22a
13:31:32: [INFO] Placing additional elements for SW22
13:31:32: [INFO] Placing additional elements for SW21a
13:31:32: [INFO] Placing additional elements for SW21
13:31:32: [INFO] Placing additional elements for SW20
13:31:32: [INFO] Placing additional elements for SW19
