=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:09: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsKA0dwE9aKQOybgDGe4AxAdTeAL7ECM6C4mE08jAbEgsWXiUAhqLH1i-RgBZwAXXQAoMFDwBmQsVzwAtMgCcGLIKwUS5ixKz8ATGzgc8ADiTcG19I0bylKznEZNLG04PSRDd3B+VklPe0cuZDdYxjt2UnIKMXFiAHc8G0ipNQAdADty8uj41XgNAiLPUoqWqXtwaU9GSta4hWUE-DUjHDwwxkibFhr-HiRpSc9Zfr88RjUtMYMRk0oLS0jmLx8B2oDUTd1tgUzs0Xb8rlRDuPTds32yF7SHM8ZkBAvVLtI5qGrvO7CB5rZ5MJYnVbwZCMEYhcaRDasFaDQIbYJbcJ5GEEFCLbxvTKfL7EKY-Qb6JDDMnkrBTYEUoRUGjUaHwGxIGykmlNBE4vg7W53XlwfmCjGvX7vKlWcAbOlnFxOeXHYgbdmKyXZaWBEnasHYv4EJDMfFXQgSzncnna5a+MUIVEEwU3TmQ42wrCdbwW2a8G2jO0kn2mJ0EFVBn4dEXEIOu04AJzW-Cw-mkhNtoV4Huje0+Kv4YNisliKHa-G4orOeYWcMrWGY1fb6FrcIbIbwee4QtZ6Db4CmnfH3faUz7brOKGt8rHG0nGx7WA2c9O-l4wyJfIFw6TG4gEKlkU628RcDzTk9dsMB-Ox865vnmd0-2I-k1l1C-LFsYlJlo0caxE4dboPoUH-I2v6Mi84FdpBcIwXCcH9vALhoIsyFTqhI7oSOmHzghEy6ug+EbIRqrQe0epYmRzjWs+-Kmim6CQVhATIE43D-mET7Ab6UrPoEr6eFichAA
13:33:14: [INFO] Placing additional elements for SW17
13:33:14: [INFO] Placing additional elements for SW16
13:33:14: [INFO] Placing additional elements for SW15
13:33:14: [INFO] Placing additional elements for SW14a
13:33:14: [INFO] Placing additional elements for SW14
13:33:14: [INFO] Placing additional elements for SW13
13:33:14: [INFO] Placing additional elements for SW12
13:33:14: [INFO] Placing additional elements for SW11
13:33:14: [INFO] Placing additional elements for SW10
13:33:14: [INFO] Placing additional elements for SW9
13:33:14: [INFO] Placing additional elements for SW8
13:33:14: [INFO] Placing additional elements for SW7
13:33:14: [INFO] Placing additional elements for SW6
13:33:14: [INFO] Placing additional elements for SW5
13:33:14: [INFO] Placing additional elements for SW4
13:33:14: [INFO] Placing additional elements for SW3
13:33:14: [INFO] Placing additional elements for SW2
13:33:14: [INFO] Placing additional elements for SW1
13:33:14: [INFO] Routing SW70 with D70
13:33:14: [INFO] Using internal autorouter method
13:33:14: [INFO] Routing pad 'SW70:2' at (394017500, 134937500) with pad 'D70:2' at (396557500, 142617500) using coordinate system rotated by 0 degree(s)
13:33:14: [INFO] Adding track segment (B.Cu): [(394017500, 134937500), (394017500, 140077500)]
13:33:14: [INFO] Adding track segment (B.Cu): [(394017500, 140077500), (396557500, 142617500)]
13:33:14: [INFO] Routing SW69 with D69
13:33:14: [INFO] Using internal autorouter method
13:33:14: [INFO] Routing pad 'SW69:2' at (374967500, 134937500) with pad 'D69:2' at (377507500, 142617500) using coordinate system rotated by 0 degree(s)
13:33:14: [INFO] Adding track segment (B.Cu): [(374967500, 134937500), (374967500, 140077500)]
13:33:14: [INFO] Adding track segment (B.Cu): [(374967500, 140077500), (377507500, 142617500)]
13:33:14: [INFO] Routing SW68 with D68
13:33:14: [INFO] Using internal autorouter method
13:33:14: [INFO] Routing pad 'SW68:2' at (355917500, 134937500) with pad 'D68:2' at (358457500, 142617500) using coordinate system rotated by 0 degree(s)
13:33:14: [INFO] Adding track segment (B.Cu): [(355917500, 134937500), (355917500, 140077500)]
13:33:14: [INFO] Adding track segment (B.Cu): [(355917500, 140077500), (358457500, 142617500)]
13:33:14: [INFO] Routing SW67 with D67
13:33:14: [INFO] Using internal autorouter method
13:33:14: [INFO] Routing pad 'SW67:2' at (359727500, 53975000) with pad 'D67:2' at (362267500, 61655000) using coordinate system rotated by 0 degree(s)
13:33:14: [INFO] Adding track segment (B.Cu): [(359727500, 53975000), (359727500, 59115000)]
13:33:14: [INFO] Adding track segment (B.Cu): [(359727500, 59115000), (362267500, 61655000)]
13:33:14: [INFO] Routing SW66 with D66
13:33:14: [INFO] Using internal autorouter method
13:33:14: [INFO] Routing pad 'SW66:2' at (281552585, 132082693) with pad 'D66:2' at (285387615, 139204950) using coordinate system rotated by 350.0 degree(s)
13:33:14: [INFO] Adding track segment (B.Cu): [(281552585, 132082693), (282445135, 137144604)]
13:33:14: [INFO] Adding track segment (B.Cu): [(282445135, 137144604), (285387615, 139204950)]
13:33:14: [INFO] Routing SW65 with D65
13:33:14: [INFO] Using internal autorouter method
13:33:14: [INFO] Routing pad 'SW65:2' at (241333331, 138207239) with pad 'D65:2' at (245168361, 145329496) using coordinate system rotated by 350.0 degree(s)
13:33:14: [INFO] Adding track segment (B.Cu): [(241333331, 138207239), (242225882, 143269150)]
13:33:14: [INFO] Adding track segment (B.Cu): [(242225882, 143269150), (245168361, 145329496)]
13:33:15: [INFO] Routing SW64 with D64
13:33:15: [INFO] Using internal autorouter method
13:33:15: [INFO] Routing pad 'SW64:2' at (196366402, 144253667) with pad 'D64:2' at (197534195, 152258056) using coordinate system rotated by 10.0 degree(s)
13:33:15: [INFO] Adding track segment (B.Cu): [(196366402, 144253667), (195473849, 149315578)]
13:33:15: [INFO] Adding track segment (B.Cu): [(195473849, 149315578), (197534195, 152258056)]
