=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:29: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgCYCM3OgXwDQIAw77h7gCMRJBOZVEAHrHPgHQBMArLghbaYWyrkcg-jgDMQipLEAWKTnliOClWIBsCzWIDsQtjj0BdHAChg4A8VLjKpA3zgMmrTqQDuTMuy42a+kSFbUQQDGQRbcMtFIJj7HDUIhIDtJNSIT3hvHV8EWUNwE3NwfOsEDjs8-zxneFcKhEy4bNzwCscSwNIKkM6oiqj8pXK4qsS25NJ81In08CbvTm5wdQKisCgmJDZxAE4ADl3d8GXV-AAdADsrq8Iy8B0iG+vLu7pN+CQMdGxSVcdaswfB4vD5lo8yM8rhQyhlQUs-iIoZcYe8FmDSI82MjUTUPghEDsDkchE02BiEKtxDjKnD4OScuDFDTYfN4a1VhwWe9oJ8UOgfidMQluYj1KKEI9xS9oZR1hAAJ4uYEIXkEomHY4g+mnJ4y17VJzgRhZFX4r4CzCk9lMyH63hom2I7H2w105oUh5I10A82Evaa63wdSex6yGm+tUWjC-SUin1CVbS54O4XJl4O+XGpjiM3o1oQmm9VYulNdI35pmljPliBR-3ErWNJjkhGUiRFx30liM4Xh10hOtbfkxoMejnxsu9R5cgdd8e69OywRGIxAA
13:33:31: [INFO] Add D19 footprint
13:33:31: [INFO] Add SW20 footprint
13:33:31: [INFO] Add D20 footprint
13:33:31: [INFO] Add SW21 footprint
13:33:31: [INFO] Add D21 footprint
13:33:31: [INFO] Add SW22 footprint
13:33:31: [INFO] Add D22 footprint
13:33:31: [INFO] Add SW23 footprint
13:33:32: [INFO] Add D23 footprint
13:33:32: [INFO] Add SW24 footprint
13:33:32: [INFO] Add D24 footprint
13:33:32: [INFO] Add SW25 footprint
13:33:32: [INFO] Add D25 footprint
13:33:32: [INFO] Add SW26 footprint
13:33:32: [INFO] Add D26 footprint
13:33:32: [INFO] Add SW27 footprint
13:33:32: [INFO] Add D27 footprint
13:33:32: [INFO] Add SW28 footprint
13:33:32: [INFO] Add D28 footprint
13:33:32: [INFO] Add SW29 footprint
13:33:32: [INFO] Add D29 footprint
13:33:32: [INFO] Add SW30 footprint
13:33:32: [INFO] Add D30 footprint
13:33:32: [INFO] Add SW31 footprint
13:33:32: [INFO] Add D31 footprint
13:33:32: [INFO] Add SW32 footprint
13:33:32: [INFO] Add D32 footprint
13:33:32: [INFO] Add SW33 footprint
13:33:32: [INFO] Add D33 footprint
13:33:32: [INFO] Add SW34 footprint
13:33:32: [INFO] Add D34 footprint
13:33:32: [INFO] Add SW35 footprint
13:33:32: [INFO] Add D35 footprint
13:33:32: [INFO] Add SW36 footprint
13:33:32: [INFO] Add D36 footprint
13:33:32: [INFO] Add SW37 footprint
13:33:32: [INFO] Add D37 footprint
13:33:32: [INFO] Add SW38 footprint
13:33:32: [INFO] Add D38 footprint
13:33:32: [INFO] Add SW39 footprint
13:33:32: [INFO] Add D39 footprint
13:33:33: [INFO] Add SW40 footprint
13:33:33: [INFO] Add D40 footprint
13:33:33: [INFO] Add SW41 footprint
13:33:33: [INFO] Add D41 footprint
13:33:33: [INFO] Add SW42 footprint
13:33:33: [INFO] Add D42 footprint
13:33:33: [INFO] Add SW43 footprint
13:33:33: [INFO] Add D43 footprint
13:33:33: [INFO] Add SW44 footprint
13:33:33: [INFO] Add D44 footprint
13:33:33: [INFO] Add SW45 footprint
13:33:33: [INFO] Add D45 footprint
13:33:33: [INFO] Add SW46 footprint
13:33:33: [INFO] Add D46 footprint
13:33:33: [INFO] Add SW46a footprint
13:33:33: [INFO] Add ST46a footprint
13:33:33: [INFO] Add SW47 footprint
13:33:33: [INFO] Add D47 footprint
13:33:33: [INFO] Add SW48 footprint
13:33:33: [INFO] Add D48 footprint
13:33:33: [INFO] Add SW48a footprint
13:33:33: [INFO] Add SW49 footprint
13:33:33: [INFO] Add D49 footprint
13:33:33: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:33:33: [INFO] Add ST49 footprint
13:33:33: [INFO] Add SW49a footprint
13:33:33: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:33:33: [INFO] Add ST49a footprint
13:33:33: [INFO] Add SW50 footprint
13:33:33: [INFO] Add D50 footprint
13:33:33: [INFO] Add SW50a footprint
13:33:33: [INFO] Add SW51 footprint
13:33:33: [INFO] Add D51 footprint
13:33:33: [INFO] Add SW51a footprint
13:33:33: [INFO] Add SW52 footprint
13:33:33: [INFO] Add D52 footprint
13:33:33: [INFO] Add SW53 footprint
13:33:33: [INFO] Add D53 footprint
13:33:33: [INFO] Add SW54 footprint
13:33:33: [INFO] Add D54 footprint
13:33:33: [INFO] Add SW54a footprint
13:33:34: [INFO] Add SW55 footprint
13:33:34: [INFO] Add D55 footprint
13:33:34: [INFO] Add SW55a footprint
13:33:34: [INFO] Add SW56 footprint
13:33:34: [INFO] Add D56 footprint
13:33:34: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:33:34: [INFO] Add ST56 footprint
13:33:34: [INFO] Add SW56a footprint
13:33:34: [INFO] Add ST56a footprint
13:33:34: [INFO] Add SW56b footprint
13:33:34: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:33:34: [INFO] Add ST56b footprint
13:33:34: [INFO] Add SW57 footprint
13:33:34: [INFO] Add D57 footprint
13:33:34: [INFO] Add SW57a footprint
13:33:34: [INFO] Add SW58 footprint
13:33:34: [INFO] Add D58 footprint
13:33:34: [INFO] Detected layout convertible to matrix annotated keyboard
13:33:34: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:33:34: [INFO] Layout offset: (28575000, 28575000)
13:33:34: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:33:34: [INFO] Placing additional elements for SW58
13:33:34: [INFO] Placing additional elements for SW57a
13:33:34: [INFO] Placing additional elements for SW57
13:33:34: [INFO] Placing additional elements for SW56b
13:33:34: [INFO] Placing additional elements for SW56a
13:33:34: [INFO] Placing additional elements for SW56
13:33:34: [INFO] Placing additional elements for SW55a
13:33:34: [INFO] Placing additional elements for SW55
13:33:34: [INFO] Placing additional elements for SW54a
13:33:34: [INFO] Placing additional elements for SW54
13:33:34: [INFO] Placing additional elements for SW53
13:33:34: [INFO] Placing additional elements for SW52
13:33:34: [INFO] Placing additional elements for SW51a
13:33:34: [INFO] Placing additional elements for SW51
13:33:34: [INFO] Placing additional elements for SW50a
13:33:34: [INFO] Placing additional elements for SW50
13:33:34: [INFO] Placing additional elements for SW49a
13:33:34: [INFO] Placing additional elements for SW49
13:33:34: [INFO] Placing additional elements for SW48a
13:33:34: [INFO] Placing additional elements for SW48
13:33:34: [INFO] Placing additional elements for SW47
13:33:34: [INFO] Placing additional elements for SW46a
13:33:34: [INFO] Placing additional elements for SW46
13:33:34: [INFO] Placing additional elements for SW45
13:33:34: [INFO] Placing additional elements for SW44
13:33:34: [INFO] Placing additional elements for SW43
13:33:34: [INFO] Placing additional elements for SW42
13:33:34: [INFO] Placing additional elements for SW41
13:33:34: [INFO] Placing additional elements for SW40
13:33:34: [INFO] Placing additional elements for SW39
13:33:34: [INFO] Placing additional elements for SW38
13:33:34: [INFO] Placing additional elements for SW37
13:33:34: [INFO] Placing additional elements for SW36
13:33:34: [INFO] Placing additional elements for SW35
13:33:34: [INFO] Placing additional elements for SW34
13:33:34: [INFO] Placing additional elements for SW33
13:33:34: [INFO] Placing additional elements for SW32
13:33:34: [INFO] Placing additional elements for SW31
13:33:34: [INFO] Placing additional elements for SW30
13:33:34: [INFO] Placing additional elements for SW29
13:33:34: [INFO] Placing additional elements for SW28
13:33:34: [INFO] Placing additional elements for SW27
13:33:34: [INFO] Placing additional elements for SW26
13:33:34: [INFO] Placing additional elements for SW25
13:33:34: [INFO] Placing additional elements for SW24
13:33:34: [INFO] Placing additional elements for SW23
13:33:34: [INFO] Placing additional elements for SW22
13:33:34: [INFO] Placing additional elements for SW21
13:33:34: [INFO] Placing additional elements for SW20
13:33:34: [INFO] Placing additional elements for SW19
13:33:34: [INFO] Placing additional elements for SW18
13:33:34: [INFO] Placing additional elements for SW17
13:33:34: [INFO] Placing additional elements for SW16
13:33:34: [INFO] Placing additional elements for SW15
13:33:34: [INFO] Placing additional elements for SW14
13:33:34: [INFO] Placing additional elements for SW13
13:33:34: [INFO] Placing additional elements for SW12
13:33:34: [INFO] Placing additional elements for SW11
13:33:34: [INFO] Placing additional elements for SW10
13:33:34: [INFO] Placing additional elements for SW9
