=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:32: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGcFtwLgATgE4HsAuB9ApgYwIz7gC+ANEgAykUA6AdvYw80-dheORDPEieeCpEBVAEydKpAMwTBpACwSIAD14UAdKICsZSVtlUAbAdIB2EwA4TAThP4OAraWOOzsp1de3X92adLCSP7iAv4yoQrgALqkAFDA4PgBskkhSEnh6ZECSfox8Sq8WppOSACevAC0Gqal4Li84ADEpq1t-FkuCBANiM24A4MdiW45pJ5Z3lm+AobOsnPms+MLpFPgczNIFskCO2ngO5k9jU0AhheXwzvyrHRUDkGkWncPSuCqiBp1AO68orpwP4Xix7sl8glRLtuvVToMhoCoQcoZlwFDFFxYX1zpcLsMofpMZ8EBptAI-oh8OodAIoV0Ttj4QN8aMkFCJmi1rIoVsgfMIksnhz-Ot-LzrNDwBKDhLjh81CUBL0kC02q1ZBSEFSyUgABb-cniSnUgS6o1agTKc3VEqAiW3UFJR6FY1UJDK-pMjW8Kk09JUKR3JJECEMlW4vGAqTQsOe+HDaMHaOo6MYmEenG4hPPd7E0m-H3qWpR-npuFekuC8DRjnR9bR3k7LqHVktjk7dY7Xn2SU9g49wOO6i5wt1DNq9Xk-62gT2oPguJgLHhiPDeQx5dxhECdcHdeo9dp2OZq6A9eEmF5xVITWiGdIdeGO5Q52bppMhpnlY7rk-8WlqVWwlDkJXWCVuyoNNEioC9AJBJho1fDMIzOb1jWLPZnjuRDokXcAnECY8P2GJwDicOVxwnEjsjLbEUOoi8XRJe8NklOYDjmVE5iPN8JyrTVDEBOZGLfejAR7ZseyrHsOR7dYe18UN5UQYodXACovmvcBNW1P1wEfZ8NwzYiv1MQzCOUrUNDdUTVynRA7ww7YsNBBtoiiIA
13:28:37: [INFO] Add SW57 footprint
13:28:37: [INFO] Add D57 footprint
13:28:37: [INFO] Add SW58 footprint
13:28:37: [INFO] Add D58 footprint
13:28:37: [INFO] Add SW59 footprint
13:28:37: [INFO] Add D59 footprint
13:28:37: [INFO] Add SW60 footprint
13:28:37: [INFO] Add D60 footprint
13:28:37: [INFO] Add SW61 footprint
13:28:37: [INFO] Add D61 footprint
13:28:37: [INFO] Add SW62 footprint
13:28:37: [INFO] Add D62 footprint
13:28:37: [INFO] Add SW63 footprint
13:28:37: [INFO] Add D63 footprint
13:28:37: [INFO] Add SW64 footprint
13:28:37: [INFO] Add D64 footprint
13:28:37: [INFO] Add SW65 footprint
13:28:37: [INFO] Add D65 footprint
13:28:37: [INFO] Add SW66 footprint
13:28:37: [INFO] Add D66 footprint
13:28:37: [INFO] Add ST66 footprint
13:28:37: [INFO] Add SW67 footprint
13:28:38: [INFO] Add D67 footprint
13:28:38: [INFO] Add SW68 footprint
13:28:38: [INFO] Add D68 footprint
13:28:38: [INFO] Add SW69 footprint
13:28:38: [INFO] Add D69 footprint
13:28:38: [INFO] Add SW70 footprint
13:28:38: [INFO] Add D70 footprint
13:28:38: [INFO] Add SW71 footprint
13:28:38: [INFO] Add D71 footprint
13:28:38: [INFO] Add SW72 footprint
13:28:38: [INFO] Add D72 footprint
13:28:38: [INFO] Add SW73 footprint
13:28:38: [INFO] Add D73 footprint
13:28:38: [INFO] Add SW74 footprint
13:28:38: [INFO] Add D74 footprint
13:28:38: [INFO] Add SW75 footprint
13:28:38: [INFO] Add D75 footprint
13:28:38: [INFO] Add SW76 footprint
13:28:38: [INFO] Add D76 footprint
13:28:38: [INFO] Add SW76a footprint
13:28:38: [INFO] Add ST76a footprint
13:28:38: [INFO] Add SW77 footprint
