=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:39:54: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgJwDoDsBWANHcBjW2BiFYk8AXy3AA4MAGcAXQwCgwp9l0LsaBGRlm2jxOabtQwAmAawjC4VJJMzYAnvl6U88cARz6D4SgGcAtvnAAnAPYAXAPoBTHL37iaaADoA7Hz8kYvH6+IcGO-FgQACb4tpYAro7uGF6h3gG0wVkhjtJMsrgWRCTERthmFuSUAMx02bSBZRAVOjYOzq5V2LWZaQ292WH0kezwvNVKYpQoKdmaA2lh0iMt2F3gM6nBmvz5Qvgok5Tq8LRH2NqEBobitQAsZRt1aT2PM7uCcviKyibmrXYnC43NNnsFakFFmlHNUZGxLBoGth5BMVOATnAALSKXgBcr-NbiBqwvZfeCSJBojGYs5UKhEqRNUZwXhIWgMh6UBpoOFkuBnKn4GmoNGXXQlUoM4ZwCBivTXPAMj4FFGU45Cs7VFDiTQkz7MimC+DCuk6xkjeSs9mUTSc7CaHmk5kC9XGs7oLRFACGPt963mTLlCsVNsaTtVRqxmu1lACepV+ENrqjSFNsfNMuZVvEATt4ACjv18hdag1Is9OgIvr9ObogaKwfWAWV+3gADZzuj8CXCpXqz7HgALDSU24YeOtuB3TvU91o4djUc1RojBcspfdRlOhHG3hIqyW6do+SYo-Js-YNesqbYGZ5ItC1HJ4Uey8jm9PWGr9-iGYPbeWmg5bIo+bLJpqNAXA2CrrHcW4PsaQH7rOqb0pQcHSuAcERJmlpsuIcETnymJWs+c4ERgdqyt6-awSkvLMpiEzIWWWoVlcMHiJg94JohYGlm6qFcXWlCYDhfLZqJ44MSepECSmXBSVRvaEBKKDrJgha8VizFkUgbFQZWjbiG28HaZiSF6Wm2CmZhpniVm+GUKZRGMXJXaCYpNmUfWfa0SZ9EMAwQA
13:39:57: [INFO] Placing additional elements for SW28
13:39:57: [INFO] Placing additional elements for SW27
13:39:57: [INFO] Placing additional elements for SW26
13:39:57: [INFO] Placing additional elements for SW25
13:39:57: [INFO] Placing additional elements for SW24
13:39:57: [INFO] Placing additional elements for SW23
13:39:57: [INFO] Placing additional elements for SW22
13:39:57: [INFO] Placing additional elements for SW21
13:39:57: [INFO] Placing additional elements for SW20
13:39:57: [INFO] Placing additional elements for SW19a
13:39:57: [INFO] Placing additional elements for SW19
13:39:57: [INFO] Placing additional elements for SW18
13:39:57: [INFO] Placing additional elements for SW17
13:39:57: [INFO] Placing additional elements for SW16
13:39:57: [INFO] Placing additional elements for SW15
13:39:57: [INFO] Placing additional elements for SW14
13:39:57: [INFO] Placing additional elements for SW13
13:39:57: [INFO] Placing additional elements for SW12
13:39:57: [INFO] Placing additional elements for SW11
13:39:57: [INFO] Placing additional elements for SW10
13:39:57: [INFO] Placing additional elements for SW9
13:39:57: [INFO] Placing additional elements for SW8
13:39:57: [INFO] Placing additional elements for SW7
13:39:57: [INFO] Placing additional elements for SW6
13:39:57: [INFO] Placing additional elements for SW5
13:39:57: [INFO] Placing additional elements for SW4
13:39:57: [INFO] Placing additional elements for SW3
13:39:57: [INFO] Placing additional elements for SW2
13:39:57: [INFO] Placing additional elements for SW1
13:39:57: [INFO] Routing SW51 with D51
13:39:57: [INFO] Using internal autorouter method
13:39:57: [INFO] Routing pad 'SW51:S2' at (226075000, 111800000) with pad 'D51:2' at (216655000, 114400000) using coordinate system rotated by 0 degree(s)
13:39:57: [INFO] Adding track segment (B.Cu): [(226075000, 111800000), (219255000, 111800000)]
13:39:57: [INFO] Adding track segment (B.Cu): [(219255000, 111800000), (216655000, 114400000)]
13:39:57: [INFO] Routing SW50 with D50
13:39:57: [INFO] Using internal autorouter method
13:39:57: [INFO] Routing pad 'SW50:2' at (231140000, 71120000) with pad 'D50:2' at (233680000, 78800000) using coordinate system rotated by 0 degree(s)
13:39:57: [INFO] Adding track segment (B.Cu): [(231140000, 71120000), (231140000, 76260000)]
13:39:57: [INFO] Adding track segment (B.Cu): [(231140000, 76260000), (233680000, 78800000)]
13:39:57: [INFO] Routing SW49 with D49
13:39:57: [INFO] Using internal autorouter method
13:39:57: [INFO] Routing pad 'SW49:2' at (231140000, 52070000) with pad 'D49:2' at (233680000, 59750000) using coordinate system rotated by 0 degree(s)
13:39:57: [INFO] Adding track segment (B.Cu): [(231140000, 52070000), (231140000, 57210000)]
13:39:57: [INFO] Adding track segment (B.Cu): [(231140000, 57210000), (233680000, 59750000)]
13:39:57: [INFO] Routing SW48 with D48
13:39:57: [INFO] Using internal autorouter method
13:39:57: [INFO] Routing pad 'SW48:2' at (231140000, 33020000) with pad 'D48:2' at (233680000, 40700000) using coordinate system rotated by 0 degree(s)
13:39:57: [INFO] Adding track segment (B.Cu): [(231140000, 33020000), (231140000, 38160000)]
13:39:57: [INFO] Adding track segment (B.Cu): [(231140000, 38160000), (233680000, 40700000)]
13:39:58: [INFO] Routing SW47a with D47
13:39:58: [INFO] Using internal autorouter method
13:39:58: [INFO] Routing pad 'SW47a:2' at (335915000, 128270000) with pad 'D47:2' at (330955000, 133450000) using coordinate system rotated by 0 degree(s)
13:39:58: [INFO] Routing SW47 with D47
13:39:58: [INFO] Using internal autorouter method
13:39:58: [INFO] Routing pad 'SW47:S2' at (340375000, 130850000) with pad 'D47:2' at (330955000, 133450000) using coordinate system rotated by 0 degree(s)
13:39:58: [INFO] Routing SW46 with D46
13:39:58: [INFO] Using internal autorouter method
13:39:58: [INFO] Routing pad 'SW46:2' at (291854591, 132930338) with pad 'D46:2' at (295689621, 140052595) using coordinate system rotated by 350.0 degree(s)
13:39:58: [INFO] Adding track segment (B.Cu): [(291854591, 132930338), (292747142, 137992249)]
13:39:58: [INFO] Adding track segment (B.Cu): [(292747142, 137992249), (295689621, 140052595)]
13:39:58: [INFO] Routing SW45 with D45
13:39:58: [INFO] Using internal autorouter method
13:39:58: [INFO] Routing pad 'SW45:2' at (273094004, 136238336) with pad 'D45:2' at (276929034, 143360593) using coordinate system rotated by 350.0 degree(s)
13:39:58: [INFO] Adding track segment (B.Cu): [(273094004, 136238336), (273986554, 141300247)]
13:39:58: [INFO] Adding track segment (B.Cu): [(273986554, 141300247), (276929034, 143360593)]
13:39:58: [INFO] Routing SW44 with D44
13:39:58: [INFO] Using internal autorouter method
13:39:58: [INFO] Routing pad 'SW44:2' at (253506417, 134856187) with pad 'D44:2' at (257341447, 141978444) using coordinate system rotated by 350.0 degree(s)
13:39:58: [INFO] Adding track segment (B.Cu): [(253506417, 134856187), (254398967, 139918097)]
13:39:58: [INFO] Adding track segment (B.Cu): [(254398967, 139918097), (257341447, 141978444)]
13:39:58: [INFO] Routing SW43 with D43
13:39:58: [INFO] Using internal autorouter method
13:39:58: [INFO] Routing pad 'SW43:2' at (221615000, 152082500) with pad 'D43:2' at (224155000, 159762500) using coordinate system rotated by 0 degree(s)
13:39:58: [INFO] Adding track segment (B.Cu): [(221615000, 152082500), (221615000, 157222500)]
13:39:58: [INFO] Adding track segment (B.Cu): [(221615000, 157222500), (224155000, 159762500)]
13:39:58: [INFO] Routing SW42a with D42
13:39:58: [INFO] Using internal autorouter method
13:39:58: [INFO] Routing pad 'SW42a:S2' at (207025000, 154662500) with pad 'D42:2' at (205105000, 159762500) using coordinate system rotated by 0 degree(s)
13:39:58: [INFO] Adding track segment (B.Cu): [(207025000, 154662500), (207025000, 157842500)]
13:39:58: [INFO] Adding track segment (B.Cu): [(207025000, 157842500), (205105000, 159762500)]
13:39:58: [INFO] Routing SW42 with D42
13:39:58: [INFO] Using internal autorouter method
13:39:58: [INFO] Routing pad 'SW42:2' at (202565000, 152082500) with pad 'D42:2' at (205105000, 159762500) using coordinate system rotated by 0 degree(s)
13:39:58: [INFO] Adding track segment (B.Cu): [(202565000, 152082500), (202565000, 157222500)]
13:39:58: [INFO] Adding track segment (B.Cu): [(202565000, 157222500), (205105000, 159762500)]
13:39:58: [INFO] Routing SW41 with D41
13:39:58: [INFO] Using internal autorouter method
13:39:58: [INFO] Routing pad 'SW41:2' at (355125566, 82449021) with pad 'D41:2' at (358960596, 89571278) using coordinate system rotated by 350.0 degree(s)
13:39:58: [INFO] Adding track segment (B.Cu): [(355125566, 82449021), (356018117, 87510932)]
13:39:58: [INFO] Adding track segment (B.Cu): [(356018117, 87510932), (358960596, 89571278)]
13:39:58: [INFO] Routing SW40 with D40
13:39:58: [INFO] Using internal autorouter method
13:39:58: [INFO] Routing pad 'SW40:2' at (336364978, 85757019) with pad 'D40:2' at (340200008, 92879276) using coordinate system rotated by 350.0 degree(s)
