=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:29: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgGwDoBMBWAvgGjuADFiuDhNPAOxLmY7hqHgC6WAUGFLHGqvbgJ6cAtHiQAOatlwEAzMTilOARiR5J+LIrkL43CbXqaSHeMtX6ss5m21xRPWgPjCxeqVjxbjcaVRq56HlbsjnDO4n7qonLq5NEECJ5kcCLoagRocVgALIlKyq502dH0GUE2yOgOQiLSBYoMRkmUBQgMZV7clfzVLhH1so1KKmr1hvIdvmqtYzamUxZMrOxJdl3gIWF17rnwPi3b7Rsi4SNYUbT1sRdYCYPwKX1YGdc5d3CK+RGtr7itpUvlezdJw1AooBrjJqTWjkNoAiZrI69NTggaQoZmXDgmYTAqwnFJOYwhbtFZA9Y9E60cEeN57CKwwLwwlVEHI6lYK7okw8FFPaLgn6zT5qWE-cCw-7WLwVXgUtm1CLSCE2ZoRURw6VJTpypFU3DKtGzYa0ZUEzi6dUaHbvE24DWWZmcVa6ykFZW07neaH2g7wvXus7RZVc8DK25eh5qZXPA1FN4fH3gDXijVS5YW3ys0IiRRrADGnHAAGIAIblivgNRZBa0GtEN7IAoATgh4Fbjq1nDV2ecBRr5vgWSTrc07QATpxpARcOOks2s7OQsO1klnIienLC-AS+Q9-vogALTgoat+6WTpzT2hzpTcOXj5dIOVrnwbpwocnH+Cn2itwKMEAA
13:33:34: [INFO] Using internal autorouter method
13:33:34: [INFO] Routing pad 'SW56:2' at (378777500, 78263750) with pad 'D56:2' at (381317500, 85943750) using coordinate system rotated by 0 degree(s)
13:33:34: [INFO] Adding track segment (B.Cu): [(378777500, 78263750), (378777500, 83403750)]
13:33:34: [INFO] Adding track segment (B.Cu): [(378777500, 83403750), (381317500, 85943750)]
13:33:34: [INFO] Routing SW55 with D55
13:33:34: [INFO] Using internal autorouter method
13:33:34: [INFO] Routing pad 'SW55:2' at (359727500, 78263750) with pad 'D55:2' at (362267500, 85943750) using coordinate system rotated by 0 degree(s)
13:33:34: [INFO] Adding track segment (B.Cu): [(359727500, 78263750), (359727500, 83403750)]
13:33:34: [INFO] Adding track segment (B.Cu): [(359727500, 83403750), (362267500, 85943750)]
13:33:34: [INFO] Routing SW54 with D54
13:33:34: [INFO] Using internal autorouter method
13:33:34: [INFO] Routing pad 'SW54:2' at (340677500, 73501250) with pad 'D54:2' at (343217500, 81181250) using coordinate system rotated by 0 degree(s)
13:33:34: [INFO] Adding track segment (B.Cu): [(340677500, 73501250), (340677500, 78641250)]
13:33:34: [INFO] Adding track segment (B.Cu): [(340677500, 78641250), (343217500, 81181250)]
13:33:34: [INFO] Routing SW53 with D53
13:33:34: [INFO] Using internal autorouter method
13:33:34: [INFO] Routing pad 'SW53:2' at (321627500, 71120000) with pad 'D53:2' at (324167500, 78800000) using coordinate system rotated by 0 degree(s)
13:33:34: [INFO] Adding track segment (B.Cu): [(321627500, 71120000), (321627500, 76260000)]
13:33:34: [INFO] Adding track segment (B.Cu): [(321627500, 76260000), (324167500, 78800000)]
13:33:34: [INFO] Routing SW52 with D52
13:33:34: [INFO] Using internal autorouter method
13:33:34: [INFO] Routing pad 'SW52:2' at (302577500, 73501250) with pad 'D52:2' at (305117500, 81181250) using coordinate system rotated by 0 degree(s)
13:33:34: [INFO] Adding track segment (B.Cu): [(302577500, 73501250), (302577500, 78641250)]
13:33:34: [INFO] Adding track segment (B.Cu): [(302577500, 78641250), (305117500, 81181250)]
13:33:34: [INFO] Routing SW51 with D51
