=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:59: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoCsBfANHcAGDDwsJp4BGHVTbPc8AXQwCgwpY4AmVLcATzYFoKADgDs6bnnaE4xNqSQ4quDABZps+EMoSMATnWsyCpTVL0mLEnBRdsfeIKSjx1DCgNWAbNtdDzzCHs4R2duAGM2cABiEVi46XAAdzkfZRwDCPhosJzc8BMMMyJDOFIVVJopYszsKIBDBsaE5KMXZVICBgCS7xRuIMdPdj7sGuzcnPydTw82cra8EX9LNmQR3gEKMSVSfFmyCjbd2i6V+E51geFt7l2qmRL5RVvVfbgtI703p53Cs1ONNZbBsHNdPu5il5Urs-ACQcEweFIvVGg1milPulqsiJpNfkUHlYytDCvcIGMUaj0a18Z0LIDev1NkghusKbiItwABYY34zSFzYE8mkvJZwqxrJmgpA3bDsPYCg6peUneklC5ShFOWXgeVkx7GbjytSK97Kr6mn5Gv7LQE2S7M5xKeUQwlsXrOjCwtVXbVs5GotHcFqlc1Yh7s3FTOWFb7zT2kfUUwN1amhtoqundCXA30IMRIrJRDnR8AIBVupVtcuq7NsDV2R068v6omG7Dlk2Vs3Vi3dq0dm3itj2zUhZtuN4e7jl73dX2hUYBwNp+S98PknFRpQ1uOpGtJ5dU4O8meFLNnRC55n5toqCuA8ipe+1y8N+Hju8YVtyC5KF--GqViHGOWxfuG4AvnuX6JgkL4Xo+kqNtKIgqF++jDvANjDKBMpfmocIAE6rHg2CEVC6yEUE5Q4dgbakR+A66hg-KDjMmGhgxFJxPE3L1v+k7YkWKYJMKHACexarEQ4CAMeRcjlnRAiKYx7ZlhgSzWmKQHKXx5wCZpEbIjxsSifx3D3rCdBAA
13:30:03: [INFO] Add D48 footprint
13:30:03: [INFO] Add SW49 footprint
13:30:03: [INFO] Add D49 footprint
13:30:03: [INFO] Add SW50 footprint
13:30:03: [INFO] Add D50 footprint
13:30:03: [INFO] Add SW51 footprint
13:30:03: [INFO] Add D51 footprint
13:30:03: [INFO] Add SW52 footprint
13:30:03: [INFO] Add D52 footprint
13:30:03: [INFO] Add SW53 footprint
13:30:03: [INFO] Add D53 footprint
13:30:03: [INFO] Add SW54 footprint
13:30:03: [INFO] Add D54 footprint
13:30:03: [INFO] Add SW55 footprint
13:30:03: [INFO] Add D55 footprint
13:30:03: [INFO] Add SW56 footprint
13:30:03: [INFO] Add D56 footprint
13:30:03: [INFO] Add SW57 footprint
13:30:03: [INFO] Add D57 footprint
13:30:03: [INFO] Add SW58 footprint
13:30:03: [INFO] Add D58 footprint
13:30:03: [INFO] Add SW59 footprint
13:30:03: [INFO] Add D59 footprint
13:30:03: [INFO] Add SW60 footprint
13:30:03: [INFO] Add D60 footprint
13:30:03: [INFO] Add SW61 footprint
13:30:03: [INFO] Add D61 footprint
13:30:03: [INFO] Add SW62 footprint
13:30:03: [INFO] Add D62 footprint
13:30:03: [INFO] Add ST62 footprint
13:30:03: [INFO] Add SW63 footprint
13:30:03: [INFO] Add D63 footprint
13:30:03: [INFO] Add ST63 footprint
13:30:04: [INFO] Add SW64 footprint
13:30:04: [INFO] Add D64 footprint
13:30:04: [INFO] Add ST64 footprint
13:30:04: [INFO] Add SW65 footprint
13:30:04: [INFO] Add D65 footprint
13:30:04: [INFO] Add ST65 footprint
13:30:04: [INFO] Add SW66 footprint
13:30:04: [INFO] Add D66 footprint
13:30:04: [INFO] Add SW67 footprint
13:30:04: [INFO] Add D67 footprint
