=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:12: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14BGQ1dAFhQCZwBdFAKDCljkrXAE8WBaDAOgAcANlKYquOPhYl2WMhKnwAnKIqEFzIquy0GTAnACs7LvF6CRslIY0GA7Noy7GEU3HPD2AYxbgAxACGQcHgolhOeOA+8P5ecfGhVuqRBoSG2vKR0eiBwUGJ5NbO+iwIJjz8ZGzo2bHxcQXghDop0jLoxtR0Lpqs5Wb8wqLN1K1a7M2Zkr0q7MbJ06mixjjdJfDG6G4elujNNmNwDnMoTmuuFRbevrl5jc0R07V+9Q3DKAuKcGnLKFMQzzy+V+NnOvTKW0uVWuMRer0abBwh2IoiE4jBBmqnEuQ3YbFGi2kojY-xmqI+tiJ7DRqz0X022IGFmJRUOx3QaLOdMZ7kGaJqNyBAQRpw0z1ePhZn16P2pfzFgqBjTRoO5BgQfAZ234hAEojKjy+hH4GFEdnR3IATtIGZaDIY+JRbW4NUp2AZzFrLul2GV1GDrfAEFh0HaWEI+HZnSwyHwEPzeuYo-1eZGGQALaSa-UWnqB9zB9hhohY7Vp9iZojZ9jmrl5nhpIupDXJ0Muvhu9Ae-hepk+9Dm-00IA
13:37:15: [INFO] Adding track segment (B.Cu): [(345440000, 78927000), (347980000, 81467000)]
13:37:15: [INFO] Routing SW36 with D36
13:37:15: [INFO] Using internal autorouter method
13:37:15: [INFO] Routing pad 'SW36:2' at (326390000, 71120000) with pad 'D36:2' at (328930000, 78800000) using coordinate system rotated by 0 degree(s)
13:37:15: [INFO] Adding track segment (B.Cu): [(326390000, 71120000), (326390000, 76260000)]
13:37:15: [INFO] Adding track segment (B.Cu): [(326390000, 76260000), (328930000, 78800000)]
13:37:15: [INFO] Routing SW35 with D35
13:37:15: [INFO] Using internal autorouter method
13:37:15: [INFO] Routing pad 'SW35:2' at (307340000, 73787000) with pad 'D35:2' at (309880000, 81467000) using coordinate system rotated by 0 degree(s)
13:37:15: [INFO] Adding track segment (B.Cu): [(307340000, 73787000), (307340000, 78927000)]
13:37:15: [INFO] Adding track segment (B.Cu): [(307340000, 78927000), (309880000, 81467000)]
13:37:15: [INFO] Routing SW34 with D34
13:37:15: [INFO] Using internal autorouter method
13:37:15: [INFO] Routing pad 'SW34:2' at (288290000, 76454000) with pad 'D34:2' at (290830000, 84134000) using coordinate system rotated by 0 degree(s)
13:37:15: [INFO] Adding track segment (B.Cu): [(288290000, 76454000), (288290000, 81594000)]
13:37:15: [INFO] Adding track segment (B.Cu): [(288290000, 81594000), (290830000, 84134000)]
13:37:15: [INFO] Routing SW33 with D33
13:37:15: [INFO] Using internal autorouter method
13:37:15: [INFO] Routing pad 'SW33:2' at (383540000, 60071000) with pad 'D33:2' at (386080000, 67751000) using coordinate system rotated by 0 degree(s)
13:37:15: [INFO] Adding track segment (B.Cu): [(383540000, 60071000), (383540000, 65211000)]
13:37:15: [INFO] Adding track segment (B.Cu): [(383540000, 65211000), (386080000, 67751000)]
13:37:15: [INFO] Routing SW32 with D32
13:37:15: [INFO] Using internal autorouter method
13:37:15: [INFO] Routing pad 'SW32:2' at (364490000, 60071000) with pad 'D32:2' at (367030000, 67751000) using coordinate system rotated by 0 degree(s)
13:37:15: [INFO] Adding track segment (B.Cu): [(364490000, 60071000), (364490000, 65211000)]
13:37:15: [INFO] Adding track segment (B.Cu): [(364490000, 65211000), (367030000, 67751000)]
13:37:15: [INFO] Routing SW31 with D31
13:37:15: [INFO] Using internal autorouter method
13:37:15: [INFO] Routing pad 'SW31:2' at (345440000, 54737000) with pad 'D31:2' at (347980000, 62417000) using coordinate system rotated by 0 degree(s)
13:37:15: [INFO] Adding track segment (B.Cu): [(345440000, 54737000), (345440000, 59877000)]
13:37:15: [INFO] Adding track segment (B.Cu): [(345440000, 59877000), (347980000, 62417000)]
13:37:15: [INFO] Routing SW30 with D30
13:37:15: [INFO] Using internal autorouter method
13:37:15: [INFO] Routing pad 'SW30:2' at (326390000, 52070000) with pad 'D30:2' at (328930000, 59750000) using coordinate system rotated by 0 degree(s)
13:37:15: [INFO] Adding track segment (B.Cu): [(326390000, 52070000), (326390000, 57210000)]
13:37:15: [INFO] Adding track segment (B.Cu): [(326390000, 57210000), (328930000, 59750000)]
13:37:15: [INFO] Routing SW29 with D29
13:37:15: [INFO] Using internal autorouter method
13:37:15: [INFO] Routing pad 'SW29:2' at (307340000, 54737000) with pad 'D29:2' at (309880000, 62417000) using coordinate system rotated by 0 degree(s)
13:37:15: [INFO] Adding track segment (B.Cu): [(307340000, 54737000), (307340000, 59877000)]
13:37:15: [INFO] Adding track segment (B.Cu): [(307340000, 59877000), (309880000, 62417000)]
13:37:15: [INFO] Routing SW28 with D28
13:37:15: [INFO] Using internal autorouter method
13:37:15: [INFO] Routing pad 'SW28:2' at (288290000, 57404000) with pad 'D28:2' at (290830000, 65084000) using coordinate system rotated by 0 degree(s)
13:37:15: [INFO] Adding track segment (B.Cu): [(288290000, 57404000), (288290000, 62544000)]
13:37:15: [INFO] Adding track segment (B.Cu): [(288290000, 62544000), (290830000, 65084000)]
13:37:15: [INFO] Routing SW27 with D27
13:37:15: [INFO] Using internal autorouter method
13:37:15: [INFO] Routing pad 'SW27:2' at (383540000, 41021000) with pad 'D27:2' at (386080000, 48701000) using coordinate system rotated by 0 degree(s)
13:37:15: [INFO] Adding track segment (B.Cu): [(383540000, 41021000), (383540000, 46161000)]
13:37:15: [INFO] Adding track segment (B.Cu): [(383540000, 46161000), (386080000, 48701000)]
13:37:15: [INFO] Routing SW26 with D26
13:37:15: [INFO] Using internal autorouter method
13:37:15: [INFO] Routing pad 'SW26:2' at (364490000, 41021000) with pad 'D26:2' at (367030000, 48701000) using coordinate system rotated by 0 degree(s)
13:37:15: [INFO] Adding track segment (B.Cu): [(364490000, 41021000), (364490000, 46161000)]
13:37:15: [INFO] Adding track segment (B.Cu): [(364490000, 46161000), (367030000, 48701000)]
13:37:15: [INFO] Routing SW25 with D25
13:37:15: [INFO] Using internal autorouter method
13:37:15: [INFO] Routing pad 'SW25:2' at (345440000, 35687000) with pad 'D25:2' at (347980000, 43367000) using coordinate system rotated by 0 degree(s)
13:37:15: [INFO] Adding track segment (B.Cu): [(345440000, 35687000), (345440000, 40827000)]
13:37:15: [INFO] Adding track segment (B.Cu): [(345440000, 40827000), (347980000, 43367000)]
13:37:15: [INFO] Routing SW24 with D24
13:37:15: [INFO] Using internal autorouter method
13:37:15: [INFO] Routing pad 'SW24:2' at (326390000, 33020000) with pad 'D24:2' at (328930000, 40700000) using coordinate system rotated by 0 degree(s)
13:37:15: [INFO] Adding track segment (B.Cu): [(326390000, 33020000), (326390000, 38160000)]
13:37:15: [INFO] Adding track segment (B.Cu): [(326390000, 38160000), (328930000, 40700000)]
13:37:15: [INFO] Routing SW23 with D23
13:37:15: [INFO] Using internal autorouter method
13:37:15: [INFO] Routing pad 'SW23:2' at (307340000, 35687000) with pad 'D23:2' at (309880000, 43367000) using coordinate system rotated by 0 degree(s)
13:37:15: [INFO] Adding track segment (B.Cu): [(307340000, 35687000), (307340000, 40827000)]
13:37:15: [INFO] Adding track segment (B.Cu): [(307340000, 40827000), (309880000, 43367000)]
13:37:15: [INFO] Routing SW22 with D22
13:37:15: [INFO] Using internal autorouter method
13:37:15: [INFO] Routing pad 'SW22:2' at (288290000, 38354000) with pad 'D22:2' at (290830000, 46034000) using coordinate system rotated by 0 degree(s)
13:37:15: [INFO] Adding track segment (B.Cu): [(288290000, 38354000), (288290000, 43494000)]
13:37:15: [INFO] Adding track segment (B.Cu): [(288290000, 43494000), (290830000, 46034000)]
13:37:15: [INFO] Routing SW21 with D21
13:37:15: [INFO] Using internal autorouter method
13:37:15: [INFO] Routing pad 'SW21:2' at (157777760, 106122340) with pad 'D21:2' at (156137464, 114043414) using coordinate system rotated by 30.0 degree(s)
13:37:15: [INFO] Adding track segment (B.Cu): [(157777760, 106122340), (155207759, 110573710)]
13:37:15: [INFO] Adding track segment (B.Cu): [(155207759, 110573710), (156137464, 114043414)]
13:37:15: [INFO] Routing SW20 with D20
13:37:15: [INFO] Using internal autorouter method
13:37:15: [INFO] Routing pad 'SW20:2' at (132355752, 98620497) with pad 'D20:2' at (132821474, 106696208) using coordinate system rotated by 15.0 degree(s)
13:37:15: [INFO] Adding track segment (B.Cu): [(132355752, 98620497), (131025421, 103585353)]
13:37:15: [INFO] Adding track segment (B.Cu): [(131025421, 103585353), (132821474, 106696208)]
13:37:15: [INFO] Routing SW19 with D19
13:37:15: [INFO] Using internal autorouter method
13:37:15: [INFO] Routing pad 'SW19:2' at (107315000, 94742000) with pad 'D19:2' at (109855000, 102422000) using coordinate system rotated by 0 degree(s)
13:37:15: [INFO] Adding track segment (B.Cu): [(107315000, 94742000), (107315000, 99882000)]
13:37:15: [INFO] Adding track segment (B.Cu): [(107315000, 99882000), (109855000, 102422000)]
13:37:15: [INFO] Routing SW18 with D18
13:37:15: [INFO] Using internal autorouter method
13:37:15: [INFO] Routing pad 'SW18:2' at (135890000, 76454000) with pad 'D18:2' at (138430000, 84134000) using coordinate system rotated by 0 degree(s)
13:37:15: [INFO] Adding track segment (B.Cu): [(135890000, 76454000), (135890000, 81594000)]
13:37:15: [INFO] Adding track segment (B.Cu): [(135890000, 81594000), (138430000, 84134000)]
13:37:15: [INFO] Routing SW17 with D17
13:37:15: [INFO] Using internal autorouter method
13:37:15: [INFO] Routing pad 'SW17:2' at (116840000, 73787000) with pad 'D17:2' at (119380000, 81467000) using coordinate system rotated by 0 degree(s)
13:37:15: [INFO] Adding track segment (B.Cu): [(116840000, 73787000), (116840000, 78927000)]
13:37:15: [INFO] Adding track segment (B.Cu): [(116840000, 78927000), (119380000, 81467000)]
13:37:15: [INFO] Routing SW16 with D16
13:37:15: [INFO] Using internal autorouter method
13:37:15: [INFO] Routing pad 'SW16:2' at (97790000, 71120000) with pad 'D16:2' at (100330000, 78800000) using coordinate system rotated by 0 degree(s)
13:37:15: [INFO] Adding track segment (B.Cu): [(97790000, 71120000), (97790000, 76260000)]
13:37:15: [INFO] Adding track segment (B.Cu): [(97790000, 76260000), (100330000, 78800000)]
13:37:15: [INFO] Routing SW15 with D15
13:37:15: [INFO] Using internal autorouter method
13:37:15: [INFO] Routing pad 'SW15:2' at (78740000, 73787000) with pad 'D15:2' at (81280000, 81467000) using coordinate system rotated by 0 degree(s)
13:37:15: [INFO] Adding track segment (B.Cu): [(78740000, 73787000), (78740000, 78927000)]
13:37:15: [INFO] Adding track segment (B.Cu): [(78740000, 78927000), (81280000, 81467000)]
13:37:15: [INFO] Routing SW14 with D14
13:37:15: [INFO] Using internal autorouter method
