=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:39:01: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgCwBo7gMa1QYgOx-+AL4rgAMSAjAEzgoTTykB0VArCRvOFmr30SXIUKtVENKiySCYMqj6mZmw6ZuAQw2aBYpDVkBmSeQRGkreVEUt2qTtj79iOgGymcpgBymAnBYZxmG3RVLE0tJykKEwBdJAAoMEt4KiYcIIBPK2VbEIdebXAKShMSIopDUso9VDKRSooZGulJMpbdNoqmkqbzStdK9zpgrlCwtUkAd0wqCKKPAB0AOyWl8kaIO248jAj2XxJ2LwOkQbgFRiZWWaQF5buhNu8V+7lYhPO4FLSVEbHxkim8AolwiVGKFk2PDyBTB5UksOq4FhdVQsMaSOaJFh8PaWKQnQx3QxvVRSH6pNOEEBcGBVzxt2eRXRYP2qHY5PA7BJH2B2WG2HwBABmF5QQAFtMATQgZcSGLpTSSJAFQBaJR01D6E7PJatN6JfxfIKQv6TEWpDXgLVRCG5aERa0E62I60oq2UdFaz1yEhal34yRaolaknu8kbEKCvBm5LWB3au66zFnflbe2+pCs8A4MmSHPcpIBOP0nWLPXxRImsYxmnF1DIKKl7FDSHbAoN-RNn0p-yBH7YU3C2NsCINhBd9apqEOdtVSQNt0N9HIZfd8DIRHIAnIInIUPIcNTweoalG0cJ55e20jNtDz7np6JxYrvMnPxZY0hY-ganAtLnnBS2ta97HTesbiA7sPnVB9SwbV8GTueD9Q+ZAcl+as71FCJnEoToqXNEcSFw6gQLTGc72cFhnBwqDCzVJhSCKdCB0wk9CMtXDxyfdhJ1-OtwFw1hS14sjp34O8+1QAATTAABcACcAFcAFMIhE5MIwwsJJFk+BFNU9SeM08A9LgAy1JIDTJzMiyjOeUShls5TLNQazwBQwtqAtEhMguIJ+KI1AuI0lECJlILBLMUKxNvdj-JIZzDKs4ywqPataMA1LJFwxClnYN1cMfBy1xzYq7gKjyKx5M9iKQbiSsRISNKaskWpyi8KtxYKIOM1ryvy7rs0zdromiIA
13:39:07: [WARNING] Requested width 6.26u not available for SW_Cherry_MX_PCB, using 1.0u fallback
13:39:07: [INFO] Add SW79 footprint
13:39:07: [INFO] Add D79 footprint
13:39:07: [WARNING] Unexpected stabilizer width 6.26u, no footprint will be set
13:39:07: [INFO] Add SW80 footprint
13:39:07: [INFO] Add D80 footprint
13:39:07: [INFO] Add SW80a footprint
13:39:07: [INFO] Add SW81 footprint
13:39:07: [INFO] Add D81 footprint
13:39:07: [INFO] Add SW81a footprint
13:39:07: [INFO] Add SW82 footprint
13:39:07: [INFO] Add D82 footprint
13:39:07: [INFO] Add SW83 footprint
13:39:07: [INFO] Add D83 footprint
13:39:07: [INFO] Add SW84 footprint
13:39:07: [INFO] Add D84 footprint
13:39:07: [INFO] Add SW85 footprint
13:39:08: [INFO] Add D85 footprint
13:39:08: [INFO] Add SW86 footprint
13:39:08: [INFO] Add D86 footprint
13:39:08: [INFO] Add SW87 footprint
13:39:08: [INFO] Add D87 footprint
13:39:08: [INFO] Add SW88 footprint
13:39:08: [INFO] Add D88 footprint
13:39:08: [INFO] Add SW89 footprint
13:39:08: [INFO] Add D89 footprint
13:39:08: [INFO] Add SW90 footprint
13:39:08: [INFO] Add D90 footprint
13:39:08: [INFO] Add SW91 footprint
13:39:08: [INFO] Add D91 footprint
13:39:08: [INFO] Add SW92 footprint
13:39:08: [INFO] Add D92 footprint
13:39:08: [INFO] Detected layout convertible to matrix annotated keyboard
13:39:08: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:39:08: [INFO] Layout offset: (28575000, 28575000)
13:39:08: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:39:08: [INFO] Placing additional elements for SW92
13:39:08: [INFO] Placing additional elements for SW91
13:39:08: [INFO] Placing additional elements for SW90
13:39:08: [INFO] Placing additional elements for SW89
13:39:08: [INFO] Placing additional elements for SW88
13:39:08: [INFO] Placing additional elements for SW87
13:39:08: [INFO] Placing additional elements for SW86
13:39:08: [INFO] Placing additional elements for SW85
13:39:08: [INFO] Placing additional elements for SW84
13:39:08: [INFO] Placing additional elements for SW83
13:39:08: [INFO] Placing additional elements for SW82
13:39:08: [INFO] Placing additional elements for SW81a
13:39:08: [INFO] Placing additional elements for SW81
13:39:08: [INFO] Placing additional elements for SW80a
13:39:08: [INFO] Placing additional elements for SW80
13:39:08: [INFO] Placing additional elements for SW79
13:39:08: [INFO] Placing additional elements for SW78
13:39:08: [INFO] Placing additional elements for SW77
13:39:08: [INFO] Placing additional elements for SW76
13:39:08: [INFO] Placing additional elements for SW75
13:39:08: [INFO] Placing additional elements for SW74
13:39:08: [INFO] Placing additional elements for SW73a
13:39:08: [INFO] Placing additional elements for SW73
13:39:08: [INFO] Placing additional elements for SW72
13:39:08: [INFO] Placing additional elements for SW71
13:39:08: [INFO] Placing additional elements for SW70
13:39:08: [INFO] Placing additional elements for SW69
13:39:08: [INFO] Placing additional elements for SW68a
13:39:08: [INFO] Placing additional elements for SW68
13:39:08: [INFO] Placing additional elements for SW67
13:39:08: [INFO] Placing additional elements for SW66a
13:39:08: [INFO] Placing additional elements for SW66
13:39:08: [INFO] Placing additional elements for SW65
13:39:08: [INFO] Placing additional elements for SW64
13:39:08: [INFO] Placing additional elements for SW63
13:39:08: [INFO] Placing additional elements for SW62
13:39:08: [INFO] Placing additional elements for SW61
13:39:08: [INFO] Placing additional elements for SW60
13:39:08: [INFO] Placing additional elements for SW59
13:39:08: [INFO] Placing additional elements for SW58
13:39:08: [INFO] Placing additional elements for SW57
13:39:08: [INFO] Placing additional elements for SW56
13:39:08: [INFO] Placing additional elements for SW55
13:39:08: [INFO] Placing additional elements for SW54
13:39:08: [INFO] Placing additional elements for SW53
13:39:08: [INFO] Placing additional elements for SW52a
13:39:08: [INFO] Placing additional elements for SW52
13:39:08: [INFO] Placing additional elements for SW51
13:39:08: [INFO] Placing additional elements for SW50
13:39:08: [INFO] Placing additional elements for SW49
13:39:08: [INFO] Placing additional elements for SW48
13:39:08: [INFO] Placing additional elements for SW47
13:39:08: [INFO] Placing additional elements for SW46
13:39:08: [INFO] Placing additional elements for SW45
13:39:08: [INFO] Placing additional elements for SW44
13:39:08: [INFO] Placing additional elements for SW43
13:39:08: [INFO] Placing additional elements for SW42
13:39:08: [INFO] Placing additional elements for SW41
13:39:08: [INFO] Placing additional elements for SW40
13:39:08: [INFO] Placing additional elements for SW39
13:39:08: [INFO] Placing additional elements for SW38a
13:39:08: [INFO] Placing additional elements for SW38
13:39:08: [INFO] Placing additional elements for SW37
13:39:08: [INFO] Placing additional elements for SW36
13:39:08: [INFO] Placing additional elements for SW35
13:39:08: [INFO] Placing additional elements for SW34
13:39:08: [INFO] Placing additional elements for SW33
13:39:08: [INFO] Placing additional elements for SW32
13:39:08: [INFO] Placing additional elements for SW31
13:39:08: [INFO] Placing additional elements for SW30
13:39:08: [INFO] Placing additional elements for SW29
13:39:08: [INFO] Placing additional elements for SW28
13:39:08: [INFO] Placing additional elements for SW27
13:39:08: [INFO] Placing additional elements for SW26
13:39:08: [INFO] Placing additional elements for SW25
13:39:08: [INFO] Placing additional elements for SW24
13:39:08: [INFO] Placing additional elements for SW23a
13:39:08: [INFO] Placing additional elements for SW23
13:39:08: [INFO] Placing additional elements for SW22
13:39:08: [INFO] Placing additional elements for SW21
13:39:08: [INFO] Placing additional elements for SW20
13:39:08: [INFO] Placing additional elements for SW19
13:39:08: [INFO] Placing additional elements for SW18
13:39:08: [INFO] Placing additional elements for SW17
13:39:08: [INFO] Placing additional elements for SW16
13:39:08: [INFO] Placing additional elements for SW15
13:39:08: [INFO] Placing additional elements for SW14
13:39:08: [INFO] Placing additional elements for SW13
13:39:08: [INFO] Placing additional elements for SW12
13:39:08: [INFO] Placing additional elements for SW11
13:39:08: [INFO] Placing additional elements for SW10
13:39:08: [INFO] Placing additional elements for SW9
13:39:08: [INFO] Placing additional elements for SW8
13:39:08: [INFO] Placing additional elements for SW7
13:39:08: [INFO] Placing additional elements for SW6
13:39:08: [INFO] Placing additional elements for SW5
13:39:08: [INFO] Placing additional elements for SW4
13:39:08: [INFO] Placing additional elements for SW3
13:39:08: [INFO] Placing additional elements for SW2
13:39:08: [INFO] Placing additional elements for SW1
13:39:08: [INFO] Routing SW92 with D92
13:39:08: [INFO] Using internal autorouter method
13:39:08: [INFO] Routing pad 'SW92:2' at (397827500, 133032500) with pad 'D92:2' at (400367500, 140712500) using coordinate system rotated by 0 degree(s)
13:39:08: [INFO] Adding track segment (B.Cu): [(397827500, 133032500), (397827500, 138172500)]
