=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:34:12: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDYB0BWANHcBPWcAGFAdi3AGN9wBiAQ3ofAF8yCME0AdAOx57YLgsEAM4BbKgCcA9gBcA+gFNyCBM1bsuvbWwR9t+nosEBdDACgwUfACYSmbHngBaIgE4yleDXK+-Q7HEqdWw2GwCIaHgADhQAFhZQ9jUzS0j8ImIHXHxXFGjsr2xqYlKykPABCIoqaj9-RMr2aqjEIgSNBHDhGu86BnoA8AB3W0bdAGZwVKtW5HsyJzg8mzRGhE1pi1mM9EXczOzR+AR0dYxBHqKfespztR7WtxQ3e+7sDYQpq9qBwbJjogzmRPnEtmlrCdSI4DihVo0bJsZul4ERVvsXIcAfhTlkERdqtc6rcKoiHnAUXBnmsyGTyeAye8IES-rQhoC7PDaewpsiRrY4TTsBMCT8+rc7mQReTKQgsdgWX92Tj7I1pUzIcs7FlPLUJRVpSltrKkBjlvLesUyuU1ewwXylitCr8ldiTsDsHECXy5tlHRaidbShUvV8hqGwWRQ2hwVZJDi7NlJEs0dlWl6YZiUBsFXqSeMMN8kpGkjGNEhY5SJh7wBt3rXC0MNiWGzGffhq3jufXEUWGRgW4i28bNXFBbb6yK+yKWyLhxD07q+qzle6heAvRqifq3XBOeuvUXmS6BiGMBW+fGXF09thWsRbzlr+hneL8xpiEM2NEvxg3L+5UrTViHOT8QQwH9wP-cDAJgo0F3wB8uWwREwJQiChkRaD0MA9t4AfdcRTQ8ARUg4U-yGaVTBHe9BV3bUDwwNDj2XV1sEBU5GNwkwgA
13:34:17: [INFO] Adding track segment (B.Cu): [(175861958, 155510157), (177791993, 158539705)]
13:34:17: [INFO] Routing SW60 with D60
13:34:17: [INFO] Using internal autorouter method
13:34:17: [INFO] Routing pad 'SW60:2' at (146751995, 143791836) with pad 'D60:2' at (147569530, 151839546) using coordinate system rotated by 12.5 degree(s)
13:34:17: [INFO] Adding track segment (B.Cu): [(146751995, 143791836), (145639494, 148809998)]
13:34:17: [INFO] Adding track segment (B.Cu): [(145639494, 148809998), (147569530, 151839546)]
13:34:17: [INFO] Routing SW59 with D59
13:34:17: [INFO] Using internal autorouter method
13:34:17: [INFO] Routing pad 'SW59:2' at (111879922, 136060884) with pad 'D59:2' at (112697457, 144108594) using coordinate system rotated by 12.5 degree(s)
13:34:17: [INFO] Adding track segment (B.Cu): [(111879922, 136060884), (110767421, 141079045)]
13:34:17: [INFO] Adding track segment (B.Cu): [(110767421, 141079045), (112697457, 144108594)]
13:34:17: [INFO] Routing SW58 with D58
13:34:17: [INFO] Using internal autorouter method
13:34:17: [INFO] Routing pad 'SW58:2' at (54927500, 133032500) with pad 'D58:2' at (57467500, 140712500) using coordinate system rotated by 0 degree(s)
13:34:17: [INFO] Adding track segment (B.Cu): [(54927500, 133032500), (54927500, 138172500)]
13:34:17: [INFO] Adding track segment (B.Cu): [(54927500, 138172500), (57467500, 140712500)]
13:34:17: [INFO] Routing SW57 with D57
13:34:17: [INFO] Using internal autorouter method
13:34:17: [INFO] Routing pad 'SW57:2' at (354965000, 118745000) with pad 'D57:2' at (357505000, 126425000) using coordinate system rotated by 0 degree(s)
13:34:17: [INFO] Adding track segment (B.Cu): [(354965000, 118745000), (354965000, 123885000)]
13:34:17: [INFO] Adding track segment (B.Cu): [(354965000, 123885000), (357505000, 126425000)]
13:34:17: [INFO] Routing SW56 with D56
13:34:17: [INFO] Using internal autorouter method
13:34:17: [INFO] Routing pad 'SW56:2' at (324008750, 113982500) with pad 'D56:2' at (326548750, 121662500) using coordinate system rotated by 0 degree(s)
13:34:17: [INFO] Adding track segment (B.Cu): [(324008750, 113982500), (324008750, 119122500)]
13:34:17: [INFO] Adding track segment (B.Cu): [(324008750, 119122500), (326548750, 121662500)]
13:34:17: [INFO] Routing SW55 with D55
13:34:17: [INFO] Using internal autorouter method
13:34:17: [INFO] Routing pad 'SW55:2' at (297815000, 113982500) with pad 'D55:2' at (300355000, 121662500) using coordinate system rotated by 0 degree(s)
13:34:17: [INFO] Adding track segment (B.Cu): [(297815000, 113982500), (297815000, 119122500)]
13:34:17: [INFO] Adding track segment (B.Cu): [(297815000, 119122500), (300355000, 121662500)]
13:34:17: [INFO] Routing SW54 with D54
13:34:17: [INFO] Using internal autorouter method
13:34:17: [INFO] Routing pad 'SW54:2' at (272306854, 115587546) with pad 'D54:2' at (276448902, 122535742) using coordinate system rotated by 347.5 degree(s)
13:34:17: [INFO] Adding track segment (B.Cu): [(272306854, 115587546), (273419352, 120605706)]
13:34:17: [INFO] Adding track segment (B.Cu): [(273419352, 120605706), (276448902, 122535742)]
13:34:17: [INFO] Routing SW53 with D53
13:34:17: [INFO] Using internal autorouter method
13:34:17: [INFO] Routing pad 'SW53:2' at (253708415, 119710720) with pad 'D53:2' at (257850463, 126658916) using coordinate system rotated by 347.5 degree(s)
13:34:17: [INFO] Adding track segment (B.Cu): [(253708415, 119710720), (254820913, 124728880)]
13:34:17: [INFO] Adding track segment (B.Cu): [(254820913, 124728880), (257850463, 126658916)]
13:34:17: [INFO] Routing SW52 with D52
13:34:17: [INFO] Using internal autorouter method
13:34:17: [INFO] Routing pad 'SW52:2' at (235109976, 123833895) with pad 'D52:2' at (239252024, 130782091) using coordinate system rotated by 347.5 degree(s)
13:34:17: [INFO] Adding track segment (B.Cu): [(235109976, 123833895), (236222474, 128852054)]
13:34:17: [INFO] Adding track segment (B.Cu): [(236222474, 128852054), (239252024, 130782091)]
13:34:17: [INFO] Routing SW51 with D51
13:34:17: [INFO] Using internal autorouter method
13:34:17: [INFO] Routing pad 'SW51:2' at (216511537, 127957070) with pad 'D51:2' at (220653585, 134905266) using coordinate system rotated by 347.5 degree(s)
13:34:17: [INFO] Adding track segment (B.Cu): [(216511537, 127957070), (217624036, 132975230)]
13:34:17: [INFO] Adding track segment (B.Cu): [(217624036, 132975230), (220653585, 134905266)]
13:34:17: [INFO] Routing SW50 with D50
13:34:17: [INFO] Using internal autorouter method
13:34:17: [INFO] Routing pad 'SW50:2' at (171798413, 129831969) with pad 'D50:2' at (172615948, 137879679) using coordinate system rotated by 12.5 degree(s)
13:34:17: [INFO] Adding track segment (B.Cu): [(171798413, 129831969), (170685912, 134850129)]
13:34:17: [INFO] Adding track segment (B.Cu): [(170685912, 134850129), (172615948, 137879679)]
13:34:17: [INFO] Routing SW49 with D49
13:34:17: [INFO] Using internal autorouter method
