=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:00: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoCsBfANHcAGDDwsJp4AOVTbFfcAXQwCgwpY4AmVLcAT1YFocSUgHZ0XPG0JxirAIxIclXBgAsUmfABsFLtTVEW8eYt0ZJ9JhrgpO2XvAFDRSvCnWG4KnVQxuLzEjh5ajt+QRExbDxZd0DZDkjwahj-K0EQnjCnDIBjVnAAYmFikvAXDBxYuS9c-IKchsay00rUj2QM+zhHRNkaA0DyRM0aNsCEri7HCKU+yQG5BVnVKq1vcBH9aQ9jJRHzRgDWG06sma4+twX4Gr3fOkOrYMmz5wuMGOughLuUx490i8HOFRFw8vBCgBDaEw5rYPqVL6yGpguqNJp3Vr-QIdIHddJKNj9baDdbCUbY1gTULA7KEsyrIJLLhErZWbSJclsnbM7Dkg6WDwnPHTN7YIlXEmsW5ccl+SlGWyZWnncUfRnxMnqsasQE0-HZVEQgow2H0xFSowo7Dg7D1dF5JTkrGCwIckWCMXgFT3L4-LgATnuOvguP1ji9CGJViGSlIFNdVKVUxBiSj80tTJM2Cj3Ld63jecW2fA8YFR3gwvDqaUUclVhl2Hj8sTitOKsj6qR-qb2oVcD1yoNESNdtN0Lh4CjFqejdLFQercQHqQCC9Pr+S591aQAfXDK+wnWQYz4CDm4r1hXAaUPoIX0HtsKJVKXAAFotEj6i-BqeAP22ShBj+A5Kk+JrjpOQYELQtBAA
13:33:04: [INFO] Placing additional elements for SW29
13:33:04: [INFO] Placing additional elements for SW28
13:33:04: [INFO] Placing additional elements for SW27
13:33:04: [INFO] Placing additional elements for SW26
13:33:04: [INFO] Placing additional elements for SW25
13:33:04: [INFO] Placing additional elements for SW24
13:33:04: [INFO] Placing additional elements for SW23
13:33:04: [INFO] Placing additional elements for SW22
13:33:04: [INFO] Placing additional elements for SW21
13:33:04: [INFO] Placing additional elements for SW20
13:33:04: [INFO] Placing additional elements for SW19
13:33:04: [INFO] Placing additional elements for SW18
13:33:04: [INFO] Placing additional elements for SW17
13:33:04: [INFO] Placing additional elements for SW16
13:33:04: [INFO] Placing additional elements for SW15
13:33:04: [INFO] Placing additional elements for SW14
13:33:04: [INFO] Placing additional elements for SW13
13:33:04: [INFO] Placing additional elements for SW12
13:33:04: [INFO] Placing additional elements for SW11
13:33:04: [INFO] Placing additional elements for SW10
13:33:04: [INFO] Placing additional elements for SW9
13:33:04: [INFO] Placing additional elements for SW8
13:33:04: [INFO] Placing additional elements for SW7
13:33:04: [INFO] Placing additional elements for SW6
13:33:04: [INFO] Placing additional elements for SW5
13:33:04: [INFO] Placing additional elements for SW4
13:33:04: [INFO] Placing additional elements for SW3
13:33:04: [INFO] Placing additional elements for SW2
13:33:04: [INFO] Placing additional elements for SW1
13:33:04: [INFO] Routing SW58 with D58
13:33:04: [INFO] Using internal autorouter method
13:33:04: [INFO] Routing pad 'SW58:2' at (240665000, 85407500) with pad 'D58:2' at (243205000, 93087500) using coordinate system rotated by 0 degree(s)
13:33:04: [INFO] Adding track segment (B.Cu): [(240665000, 85407500), (240665000, 90547500)]
13:33:04: [INFO] Adding track segment (B.Cu): [(240665000, 90547500), (243205000, 93087500)]
13:33:04: [INFO] Routing SW57 with D57
13:33:04: [INFO] Using internal autorouter method
13:33:04: [INFO] Routing pad 'SW57:2' at (240665000, 118745000) with pad 'D57:2' at (243205000, 126425000) using coordinate system rotated by 0 degree(s)
13:33:04: [INFO] Adding track segment (B.Cu): [(240665000, 118745000), (240665000, 123885000)]
13:33:04: [INFO] Adding track segment (B.Cu): [(240665000, 123885000), (243205000, 126425000)]
13:33:04: [INFO] Routing SW56 with D56
13:33:04: [INFO] Using internal autorouter method
13:33:04: [INFO] Routing pad 'SW56:2' at (269240000, 113982500) with pad 'D56:2' at (271780000, 121662500) using coordinate system rotated by 0 degree(s)
13:33:04: [INFO] Adding track segment (B.Cu): [(269240000, 113982500), (269240000, 119122500)]
13:33:04: [INFO] Adding track segment (B.Cu): [(269240000, 119122500), (271780000, 121662500)]
13:33:04: [INFO] Routing SW55 with D55
13:33:04: [INFO] Using internal autorouter method
13:33:04: [INFO] Routing pad 'SW55:2' at (288290000, 112077500) with pad 'D55:2' at (290830000, 119757500) using coordinate system rotated by 0 degree(s)
13:33:04: [INFO] Adding track segment (B.Cu): [(288290000, 112077500), (288290000, 117217500)]
13:33:04: [INFO] Adding track segment (B.Cu): [(288290000, 117217500), (290830000, 119757500)]
