=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:41: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwGYB0CCsAaO4Ces4AGFARm3AGcBbA8AJwHsAXAfQFMBjEk8AX3MKYAnAB0AduMkTpU8W0LgAupgBQYKAQQosOfPAC0xMjg60AxAHYr18OWq0+AzAuwRo8YhnKn44MxwDAxxxBHnIyMLg3AiEUC3R+EMwANlscMlTXDQ80BPDBTKSLJVV1d0RPHTwCQxRkvPTMYqcADjTwEkE28OEStWj4EnRc8j04WqHEjsF0PrKCVGNqg2IhBo7nds7N5X7suBJkkd0a1amEFLSIHxwzAEMHx-aAd00poUus8pIUQRNzQJBc5NLaYbo4D7giAACze5BaYLmA0QKBaVTGE285keT3Ir0G2mBLii4BufkBAWC4A+xORCCMVTJlmsVheBB+XhwsPgFxwzwQ7O05GhAsG5EgovGlSmFhSsjEoSR+0Oo1OKA+-18-gpVKQnxwCMKEHxB0J5FlFnlglp+2I8SmeuaOAu4PAsrau3mPLi6LVSyZOIebIJ9vIeptTIppimCJt31ihCmyTlMgVmB4nuRQ2Oyyl6pjmFm5AALPrruYWay8ZpcjKU1JrVdbT6sVqo1TS07wHrXcmoeBuYgplgPaUIBijK3boG7sHTRgpqXCPKIk3Izq68vU6uvgRKlO-DO51oFyXnCvNll14CqVgM2Plb6Vvmz0WcLK3+WtUfq97QzgsCNZUhU1W52ymbYu1LUc9nKelVWfCxS1AvxK2KYcQUzfYtCfPMkGTFD7kDOcOXWLAbRNUikx2B9vmGeIELzDVwEo2tyCwT8WMFU8cGTWYsPjRjagYwi0KpZMuwRLsPmKLC6HZP56HKPUcDoMZixzOCQNzfRUBE0kAQ3JwBR6EySXKaUnCQUFrIEzRGMs510y2RVyAuMzpkwDyLls2ia3WPVImpZywy89oPgFOy-3WUsgoRILSw8hFIr8+BUB4t0QoAsLzRynA9V82CFm0gNiN-ed1mTSIvzAnVyq0f9wGTFK9nkgxtlU74cPINSCGQ-Z9B+RSMRw95MGs-JxqbCy2KSYt2hmJVevgDTOQG0ihJ+dYEQmxp5sm-bGn41Lxh+RrZV28ALkO4KbouN9guOor2rNXiptCm6ERuvUnq9cYtETdj3pwUsbqwG7ZXmqLTpbPkawy0tdpqw8yrhgkMuTKHFCAA
13:32:44: [INFO] Add D31 footprint
13:32:44: [INFO] Add SW32 footprint
13:32:44: [INFO] Add D32 footprint
13:32:44: [INFO] Add SW33 footprint
13:32:44: [INFO] Add D33 footprint
13:32:44: [INFO] Add SW34 footprint
13:32:44: [INFO] Add D34 footprint
13:32:44: [INFO] Add SW35 footprint
13:32:44: [INFO] Add D35 footprint
13:32:44: [INFO] Add SW36 footprint
13:32:44: [INFO] Add D36 footprint
13:32:44: [INFO] Add SW37 footprint
13:32:44: [INFO] Add D37 footprint
13:32:44: [INFO] Add SW38 footprint
13:32:44: [INFO] Add D38 footprint
13:32:44: [INFO] Add SW39 footprint
13:32:44: [INFO] Add D39 footprint
13:32:44: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:44: [INFO] Add ST39 footprint
13:32:44: [INFO] Add SW39a footprint
13:32:44: [INFO] Add SW40 footprint
13:32:44: [INFO] Add D40 footprint
13:32:44: [INFO] Add SW41 footprint
13:32:44: [INFO] Add D41 footprint
13:32:44: [INFO] Add SW42 footprint
13:32:44: [INFO] Add D42 footprint
13:32:44: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:44: [INFO] Add ST42 footprint
13:32:44: [INFO] Add SW43 footprint
13:32:44: [INFO] Add D43 footprint
13:32:44: [INFO] Add SW44 footprint
13:32:44: [INFO] Add D44 footprint
13:32:44: [INFO] Add SW45 footprint
13:32:44: [INFO] Add D45 footprint
13:32:44: [INFO] Add SW46 footprint
13:32:44: [INFO] Add D46 footprint
13:32:44: [INFO] Add SW47 footprint
13:32:44: [INFO] Add D47 footprint
13:32:45: [INFO] Add SW48 footprint
13:32:45: [INFO] Add D48 footprint
13:32:45: [INFO] Add SW49 footprint
13:32:45: [INFO] Add D49 footprint
13:32:45: [INFO] Add SW50 footprint
13:32:45: [INFO] Add D50 footprint
13:32:45: [INFO] Add SW51 footprint
13:32:45: [INFO] Add D51 footprint
13:32:45: [INFO] Add SW52 footprint
13:32:45: [INFO] Add D52 footprint
13:32:45: [INFO] Add SW53 footprint
13:32:45: [INFO] Add D53 footprint
13:32:45: [INFO] Add SW54 footprint
13:32:45: [INFO] Add D54 footprint
13:32:45: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:32:45: [INFO] Add ST54 footprint
13:32:45: [INFO] Add SW55 footprint
13:32:45: [INFO] Add D55 footprint
13:32:45: [INFO] Add SW56 footprint
13:32:45: [INFO] Add D56 footprint
13:32:45: [INFO] Add ST56 footprint
13:32:45: [INFO] Add SW57 footprint
13:32:45: [INFO] Add D57 footprint
13:32:45: [INFO] Add SW58 footprint
13:32:45: [INFO] Add D58 footprint
13:32:45: [INFO] Add SW59 footprint
13:32:45: [INFO] Add D59 footprint
13:32:45: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:32:45: [INFO] Add ST59 footprint
13:32:45: [INFO] Add SW60 footprint
13:32:45: [INFO] Add D60 footprint
13:32:45: [INFO] Add SW61 footprint
13:32:45: [INFO] Add D61 footprint
13:32:45: [INFO] Add SW62 footprint
13:32:45: [INFO] Add D62 footprint
13:32:45: [INFO] Add SW63 footprint
13:32:45: [INFO] Add D63 footprint
13:32:46: [INFO] Add SW64 footprint
13:32:46: [INFO] Add D64 footprint
13:32:46: [INFO] Add SW65 footprint
13:32:46: [INFO] Add D65 footprint
13:32:46: [INFO] Add SW66 footprint
13:32:46: [INFO] Add D66 footprint
13:32:46: [INFO] Add SW67 footprint
13:32:46: [INFO] Add D67 footprint
13:32:46: [INFO] Add SW68 footprint
13:32:46: [INFO] Add D68 footprint
13:32:46: [INFO] Add SW69 footprint
13:32:46: [INFO] Add D69 footprint
13:32:46: [INFO] Add SW70 footprint
13:32:46: [INFO] Add D70 footprint
13:32:46: [INFO] Add SW71 footprint
13:32:46: [INFO] Add D71 footprint
13:32:46: [INFO] Add SW72 footprint
13:32:46: [INFO] Add D72 footprint
13:32:46: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:46: [INFO] Add ST72 footprint
13:32:46: [INFO] Add SW72a footprint
13:32:46: [INFO] Add ST72a footprint
13:32:46: [INFO] Add SW73 footprint
13:32:46: [INFO] Add D73 footprint
13:32:46: [INFO] Add SW74 footprint
13:32:46: [INFO] Add D74 footprint
13:32:46: [INFO] Add SW75 footprint
13:32:46: [INFO] Add D75 footprint
13:32:46: [INFO] Add SW76 footprint
13:32:46: [INFO] Add D76 footprint
13:32:46: [INFO] Add SW77 footprint
13:32:46: [INFO] Add D77 footprint
13:32:46: [INFO] Add SW78 footprint
13:32:46: [INFO] Add D78 footprint
13:32:46: [INFO] Add SW79 footprint
13:32:46: [INFO] Add D79 footprint
13:32:46: [INFO] Add SW80 footprint
13:32:47: [INFO] Add D80 footprint
13:32:47: [INFO] Add SW81 footprint
13:32:47: [INFO] Add D81 footprint
13:32:47: [INFO] Add SW82 footprint
13:32:47: [INFO] Add D82 footprint
13:32:47: [INFO] Add SW83 footprint
13:32:47: [INFO] Add D83 footprint
13:32:47: [INFO] Add ST83 footprint
13:32:47: [INFO] Add SW84 footprint
13:32:47: [INFO] Add D84 footprint
13:32:47: [INFO] Add SW85 footprint
13:32:47: [INFO] Add D85 footprint
13:32:47: [INFO] Add SW86 footprint
13:32:47: [INFO] Add D86 footprint
13:32:47: [INFO] Add SW87 footprint
13:32:47: [INFO] Add D87 footprint
13:32:47: [INFO] Add SW88 footprint
13:32:47: [INFO] Add D88 footprint
13:32:47: [INFO] Add SW89 footprint
13:32:47: [INFO] Add D89 footprint
13:32:47: [INFO] Add SW90 footprint
13:32:47: [INFO] Add D90 footprint
13:32:47: [INFO] Add ST90 footprint
13:32:47: [INFO] Add SW91 footprint
13:32:47: [INFO] Add D91 footprint
13:32:47: [INFO] Add SW92 footprint
13:32:47: [INFO] Add D92 footprint
13:32:47: [INFO] Add SW93 footprint
13:32:47: [INFO] Add D93 footprint
13:32:47: [INFO] Add SW94 footprint
13:32:47: [INFO] Add D94 footprint
13:32:47: [INFO] Add SW95 footprint
13:32:47: [INFO] Add D95 footprint
13:32:47: [INFO] Add SW96 footprint
13:32:48: [INFO] Add D96 footprint
13:32:48: [INFO] Add SW97 footprint
13:32:48: [INFO] Add D97 footprint
13:32:48: [INFO] Add SW98 footprint
13:32:48: [INFO] Add D98 footprint
13:32:48: [INFO] Add SW99 footprint
13:32:48: [INFO] Add D99 footprint
13:32:48: [INFO] Add SW100 footprint
13:32:48: [INFO] Add D100 footprint
13:32:48: [INFO] Add SW101 footprint
13:32:48: [INFO] Add D101 footprint
13:32:48: [INFO] Detected layout convertible to matrix annotated keyboard
13:32:48: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:32:48: [INFO] Layout offset: (23812500, 26670000)
13:32:48: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:32:48: [INFO] Placing additional elements for SW101
13:32:48: [INFO] Placing additional elements for SW100
13:32:48: [INFO] Placing additional elements for SW99
13:32:48: [INFO] Placing additional elements for SW98
13:32:48: [INFO] Placing additional elements for SW97
13:32:48: [INFO] Placing additional elements for SW96
