=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:06: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsAaO4CetFIJwbgDGu4AxAOzU3gC+RCaC4AumgFBhS4DMSldJhzwAtMnxCSZcsTnz6RAIxol4DBGjwAHEgAsDTEwBsbTty1wlAqSLjiCKQ+BUtGq9XE24lyA8rRTDWl4CgBDCMjPcAB3XAAmZz1AgB0AO3T0pjcvHnhkXiciZONMjLSmNSJtVTKsj3Yub3ykeNtcBxVMUlDZeTlFTHjmMya8q14iOwdJZ0mUUYsfVCmOiSkezHJIqKI4+GsizEmciE2KfoHnYarcy18kBGvA6Mmg3P2rVGd0U0buabIJRJEb-ZpfNqrMQSIjnbY7MLRT7WQQ-EbBOGXUgg27g-D6NELIjGF4YmQ0Wh7BKtI7gSgvMHjLohLYIxFU+DxGnOEmnFkXS6DOnou64XTaWkkomYenSs4yNlI5ao6qkzCEP7mcHM5HfVV8+7WCUcr60mp6aKEC3Be6PZyEBaMgBOdmQkMw92MSGNwlwehszhqjq14CdPmGmBduCYHtwKCQzMxgucTHi0RUafcvHTaGzjMs-uMcw8RGGmeOaHL4GGeZDBe9tPQt3AySr6CryVrY0s8d4PJLMoH4BJVfpafzuC9KCkn0SqvL4OQCA2CoRSoO3KIhHHdbjUPsyG0hEwutphDUzo6Sgj410enaYkOiZkWKFTGtmBUH-ATGlLjQwbdmKjy0pM2almg36TN+wyAUsOitGi4GYMk37oN+yRweClABsSubRPSyHDpBBEkRO8A4YIJpciqmA1F28FWMg077jMsKrjs66mva+GsKwQA
13:31:10: [INFO] Routing pad 'SW67:2' at (352107500, 130175000) with pad 'D67:2' at (354647500, 137855000) using coordinate system rotated by 0 degree(s)
13:31:10: [INFO] Adding track segment (B.Cu): [(352107500, 130175000), (352107500, 135315000)]
13:31:10: [INFO] Adding track segment (B.Cu): [(352107500, 135315000), (354647500, 137855000)]
13:31:10: [INFO] Routing SW66 with D66
13:31:10: [INFO] Using internal autorouter method
13:31:10: [INFO] Routing pad 'SW66:2' at (282567132, 133023241) with pad 'D66:2' at (286648388, 140007319) using coordinate system rotated by 348.0 degree(s)
13:31:10: [INFO] Adding track segment (B.Cu): [(282567132, 133023241), (283635798, 138050920)]
13:31:10: [INFO] Adding track segment (B.Cu): [(283635798, 138050920), (286648388, 140007319)]
13:31:10: [INFO] Routing SW65 with D65
13:31:10: [INFO] Using internal autorouter method
13:31:10: [INFO] Routing pad 'SW65:2' at (195713448, 146428430) with pad 'D65:2' at (196601181, 154468698) using coordinate system rotated by 12.0 degree(s)
13:31:10: [INFO] Adding track segment (B.Cu): [(195713448, 146428430), (194644781, 151456108)]
13:31:10: [INFO] Adding track segment (B.Cu): [(194644781, 151456108), (196601181, 154468698)]
13:31:10: [INFO] Routing SW64 with D64
13:31:10: [INFO] Using internal autorouter method
13:31:10: [INFO] Routing pad 'SW64:2' at (130525620, 134714644) with pad 'D64:2' at (131413353, 142754912) using coordinate system rotated by 12.0 degree(s)
13:31:10: [INFO] Adding track segment (B.Cu): [(130525620, 134714644), (129456953, 139742321)]
13:31:10: [INFO] Adding track segment (B.Cu): [(129456953, 139742321), (131413353, 142754912)]
13:31:10: [INFO] Routing SW63 with D63
13:31:10: [INFO] Using internal autorouter method
13:31:10: [INFO] Routing pad 'SW63:2' at (344963750, 111125000) with pad 'D63:2' at (347503750, 118805000) using coordinate system rotated by 0 degree(s)
13:31:10: [INFO] Adding track segment (B.Cu): [(344963750, 111125000), (344963750, 116265000)]
13:31:10: [INFO] Adding track segment (B.Cu): [(344963750, 116265000), (347503750, 118805000)]
13:31:10: [INFO] Routing SW62 with D62
13:31:10: [INFO] Using internal autorouter method
13:31:10: [INFO] Routing pad 'SW62:2' at (371157500, 130175000) with pad 'D62:2' at (373697500, 137855000) using coordinate system rotated by 0 degree(s)
13:31:10: [INFO] Adding track segment (B.Cu): [(371157500, 130175000), (371157500, 135315000)]
13:31:10: [INFO] Adding track segment (B.Cu): [(371157500, 135315000), (373697500, 137855000)]
13:31:10: [INFO] Routing SW61 with D61
13:31:10: [INFO] Using internal autorouter method
13:31:10: [INFO] Routing pad 'SW61:2' at (328295000, 130175000) with pad 'D61:2' at (330835000, 137855000) using coordinate system rotated by 0 degree(s)
13:31:10: [INFO] Adding track segment (B.Cu): [(328295000, 130175000), (328295000, 135315000)]
13:31:10: [INFO] Adding track segment (B.Cu): [(328295000, 135315000), (330835000, 137855000)]
13:31:10: [INFO] Routing SW60 with D60
13:31:10: [INFO] Using internal autorouter method
13:31:10: [INFO] Routing pad 'SW60:2' at (241642738, 139774430) with pad 'D60:2' at (245723994, 146758508) using coordinate system rotated by 348.0 degree(s)
13:31:10: [INFO] Adding track segment (B.Cu): [(241642738, 139774430), (242711403, 144802109)]
13:31:10: [INFO] Adding track segment (B.Cu): [(242711403, 144802109), (245723994, 146758508)]
13:31:10: [INFO] Routing SW59 with D59
13:31:10: [INFO] Using internal autorouter method
13:31:10: [INFO] Routing pad 'SW59:2' at (164501980, 139794228) with pad 'D59:2' at (165389713, 147834496) using coordinate system rotated by 12.0 degree(s)
13:31:10: [INFO] Adding track segment (B.Cu): [(164501980, 139794228), (163433313, 144821905)]
13:31:10: [INFO] Adding track segment (B.Cu): [(163433313, 144821905), (165389713, 147834496)]
13:31:10: [INFO] Routing SW58 with D58
13:31:10: [INFO] Using internal autorouter method
13:31:10: [INFO] Routing pad 'SW58:2' at (357822500, 53975000) with pad 'D58:2' at (360362500, 61655000) using coordinate system rotated by 0 degree(s)
13:31:10: [INFO] Adding track segment (B.Cu): [(357822500, 53975000), (357822500, 59115000)]
13:31:10: [INFO] Adding track segment (B.Cu): [(357822500, 59115000), (360362500, 61655000)]
13:31:10: [INFO] Routing SW57 with D57
13:31:10: [INFO] Using internal autorouter method
13:31:10: [INFO] Routing pad 'SW57:2' at (73977500, 130175000) with pad 'D57:2' at (76517500, 137855000) using coordinate system rotated by 0 degree(s)
13:31:10: [INFO] Adding track segment (B.Cu): [(73977500, 130175000), (73977500, 135315000)]
13:31:10: [INFO] Adding track segment (B.Cu): [(73977500, 135315000), (76517500, 137855000)]
13:31:10: [INFO] Routing SW56 with D56
13:31:10: [INFO] Using internal autorouter method
