=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:38:15: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14B2AOgFZV1TtwBdFAKDCljgBY1wBPFgWg2IAcFTCla44+FqTLCqYuo0nwATB27w+xAJzCsy8UrjLdKUgebwEMjlTN4LR4hlkp9CpuribWJjOJEAjOYEcAEB1pQoQTYofu6GCGq8-DocAdT2ISTkHABs1PEO7OiemkJposFSEeD58gxMIaolydrC6fqZLMYVdhIOVjno+X2Gyk7C+W4NEKX8PhV+FdH9IWE1+Su1sbQzA0kaKcKqOF1ENYQFeyHFXK3l6KpiZ3DSQ+CX9YoOzXeHbRxVJ1Vt1jqYqpYLuCXuNnBxLtNvnNiAtHjtAVEIaFwu9LltLnFrixEi1-ql0IlTiDzu8BFdvjcDl5+A9wIlntTXjU6V9Gt0mZpyWzXFiehToZzBsI6aMfhMOHTER5WqjhUtxStDOtaZiFTtCiErCS-nB+FR0ABnAC2LHAACcAPYAFwA+gBTADGYXAwnYCAAOgA7INBrABEPByMRt3qwy5AHoLTYCNB9LhqMZoNuoKFO2G7QcO2eLTEAKEc0OTT5UleViCcsca22n0cP0pwNYQnfPMsdbVyvzAV1gTl4RJgMZ9Jdph23sVnuQpPoEJVof197sHN7WeWLDL1r90rhOHodhKiA7tgVlf8Q+8Y++yq53isedrcL9m8otcj95J3kXrwCB7gO341jwD4cEm572ve14qgKkGJpiNA0EAA
13:38:19: [INFO] Using internal autorouter method
13:38:19: [INFO] Routing pad 'SW56:2' at (190173057, 137690627) with pad 'D56:2' at (197399688, 141325157) using coordinate system rotated by 315.0 degree(s)
13:38:19: [INFO] Adding track segment (B.Cu): [(190173057, 137690627), (193807586, 141325156)]
13:38:19: [INFO] Adding track segment (B.Cu): [(193807586, 141325156), (197399688, 141325157)]
13:38:19: [INFO] Routing SW55a with D55
13:38:19: [INFO] Using internal autorouter method
13:38:19: [INFO] Routing pad 'SW55a:S2' at (258460000, 117515000) with pad 'D55:2' at (256540000, 122615000) using coordinate system rotated by 0 degree(s)
13:38:19: [INFO] Adding track segment (B.Cu): [(258460000, 117515000), (258460000, 120695000)]
13:38:19: [INFO] Adding track segment (B.Cu): [(258460000, 120695000), (256540000, 122615000)]
13:38:19: [INFO] Routing SW55 with D55
13:38:19: [INFO] Using internal autorouter method
13:38:19: [INFO] Routing pad 'SW55:2' at (254000000, 114935000) with pad 'D55:2' at (256540000, 122615000) using coordinate system rotated by 0 degree(s)
13:38:19: [INFO] Adding track segment (B.Cu): [(254000000, 114935000), (254000000, 120075000)]
13:38:19: [INFO] Adding track segment (B.Cu): [(254000000, 120075000), (256540000, 122615000)]
13:38:19: [INFO] Routing SW54 with D54
13:38:19: [INFO] Using internal autorouter method
13:38:19: [INFO] Routing pad 'SW54:2' at (209192608, 124559036) with pad 'D54:2' at (215232312, 129940110) using coordinate system rotated by 330.0 degree(s)
13:38:19: [INFO] Adding track segment (B.Cu): [(209192608, 124559036), (211762606, 129010405)]
13:38:19: [INFO] Adding track segment (B.Cu): [(211762606, 129010405), (215232312, 129940110)]
13:38:19: [INFO] Routing SW53 with D53
13:38:19: [INFO] Using internal autorouter method
13:38:19: [INFO] Routing pad 'SW53:2' at (230962790, 116797515) with pad 'D53:2' at (235403971, 123558425) using coordinate system rotated by 345.0 degree(s)
13:38:19: [INFO] Adding track segment (B.Cu): [(230962790, 116797515), (232293119, 121762373)]
13:38:19: [INFO] Adding track segment (B.Cu): [(232293119, 121762373), (235403971, 123558425)]
13:38:19: [INFO] Routing SW52 with D52
13:38:19: [INFO] Using internal autorouter method
13:38:19: [INFO] Routing pad 'SW52:2' at (221615000, 95885000) with pad 'D52:2' at (224155000, 103565000) using coordinate system rotated by 0 degree(s)
13:38:19: [INFO] Adding track segment (B.Cu): [(221615000, 95885000), (221615000, 101025000)]
13:38:19: [INFO] Adding track segment (B.Cu): [(221615000, 101025000), (224155000, 103565000)]
13:38:19: [INFO] Routing SW51 with D51
13:38:19: [INFO] Using internal autorouter method
13:38:19: [INFO] Routing pad 'SW51:2' at (240665000, 93980000) with pad 'D51:2' at (243205000, 101660000) using coordinate system rotated by 0 degree(s)
13:38:19: [INFO] Adding track segment (B.Cu): [(240665000, 93980000), (240665000, 99120000)]
13:38:19: [INFO] Adding track segment (B.Cu): [(240665000, 99120000), (243205000, 101660000)]
13:38:19: [INFO] Routing SW50 with D50
13:38:19: [INFO] Using internal autorouter method
13:38:19: [INFO] Routing pad 'SW50:2' at (259715000, 90170000) with pad 'D50:2' at (262255000, 97850000) using coordinate system rotated by 0 degree(s)
13:38:19: [INFO] Adding track segment (B.Cu): [(259715000, 90170000), (259715000, 95310000)]
13:38:19: [INFO] Adding track segment (B.Cu): [(259715000, 95310000), (262255000, 97850000)]
13:38:19: [INFO] Routing SW49 with D49
13:38:19: [INFO] Using internal autorouter method
13:38:19: [INFO] Routing pad 'SW49:2' at (278765000, 95885000) with pad 'D49:2' at (281305000, 103565000) using coordinate system rotated by 0 degree(s)
13:38:19: [INFO] Adding track segment (B.Cu): [(278765000, 95885000), (278765000, 101025000)]
13:38:19: [INFO] Adding track segment (B.Cu): [(278765000, 101025000), (281305000, 103565000)]
13:38:19: [INFO] Routing SW48 with D48
13:38:19: [INFO] Using internal autorouter method
13:38:19: [INFO] Routing pad 'SW48:2' at (297815000, 107315000) with pad 'D48:2' at (300355000, 114995000) using coordinate system rotated by 0 degree(s)
13:38:19: [INFO] Adding track segment (B.Cu): [(297815000, 107315000), (297815000, 112455000)]
13:38:19: [INFO] Adding track segment (B.Cu): [(297815000, 112455000), (300355000, 114995000)]
13:38:19: [INFO] Routing SW47 with D47
13:38:19: [INFO] Using internal autorouter method
13:38:19: [INFO] Routing pad 'SW47:2' at (316865000, 107315000) with pad 'D47:2' at (319405000, 114995000) using coordinate system rotated by 0 degree(s)
13:38:19: [INFO] Adding track segment (B.Cu): [(316865000, 107315000), (316865000, 112455000)]
13:38:19: [INFO] Adding track segment (B.Cu): [(316865000, 112455000), (319405000, 114995000)]
13:38:19: [INFO] Routing SW46 with D46
13:38:19: [INFO] Using internal autorouter method
13:38:19: [INFO] Routing pad 'SW46:2' at (221615000, 76835000) with pad 'D46:2' at (224155000, 84515000) using coordinate system rotated by 0 degree(s)
13:38:19: [INFO] Adding track segment (B.Cu): [(221615000, 76835000), (221615000, 81975000)]
13:38:19: [INFO] Adding track segment (B.Cu): [(221615000, 81975000), (224155000, 84515000)]
13:38:19: [INFO] Routing SW45 with D45
13:38:19: [INFO] Using internal autorouter method
13:38:19: [INFO] Routing pad 'SW45:2' at (240665000, 74930000) with pad 'D45:2' at (243205000, 82610000) using coordinate system rotated by 0 degree(s)
13:38:19: [INFO] Adding track segment (B.Cu): [(240665000, 74930000), (240665000, 80070000)]
13:38:19: [INFO] Adding track segment (B.Cu): [(240665000, 80070000), (243205000, 82610000)]
13:38:19: [INFO] Routing SW44 with D44
13:38:19: [INFO] Using internal autorouter method
13:38:19: [INFO] Routing pad 'SW44:2' at (259715000, 71120000) with pad 'D44:2' at (262255000, 78800000) using coordinate system rotated by 0 degree(s)
13:38:19: [INFO] Adding track segment (B.Cu): [(259715000, 71120000), (259715000, 76260000)]
13:38:19: [INFO] Adding track segment (B.Cu): [(259715000, 76260000), (262255000, 78800000)]
13:38:19: [INFO] Routing SW43 with D43
13:38:19: [INFO] Using internal autorouter method
13:38:19: [INFO] Routing pad 'SW43:2' at (278765000, 76835000) with pad 'D43:2' at (281305000, 84515000) using coordinate system rotated by 0 degree(s)
13:38:19: [INFO] Adding track segment (B.Cu): [(278765000, 76835000), (278765000, 81975000)]
13:38:19: [INFO] Adding track segment (B.Cu): [(278765000, 81975000), (281305000, 84515000)]
13:38:19: [INFO] Routing SW42 with D42
13:38:19: [INFO] Using internal autorouter method
13:38:19: [INFO] Routing pad 'SW42:2' at (297815000, 88265000) with pad 'D42:2' at (300355000, 95945000) using coordinate system rotated by 0 degree(s)
13:38:19: [INFO] Adding track segment (B.Cu): [(297815000, 88265000), (297815000, 93405000)]
13:38:19: [INFO] Adding track segment (B.Cu): [(297815000, 93405000), (300355000, 95945000)]
13:38:19: [INFO] Routing SW41 with D41
13:38:19: [INFO] Using internal autorouter method
13:38:19: [INFO] Routing pad 'SW41:2' at (316865000, 88265000) with pad 'D41:2' at (319405000, 95945000) using coordinate system rotated by 0 degree(s)
13:38:19: [INFO] Adding track segment (B.Cu): [(316865000, 88265000), (316865000, 93405000)]
13:38:19: [INFO] Adding track segment (B.Cu): [(316865000, 93405000), (319405000, 95945000)]
13:38:19: [INFO] Routing SW40 with D40
13:38:19: [INFO] Using internal autorouter method
13:38:19: [INFO] Routing pad 'SW40:2' at (221615000, 57785000) with pad 'D40:2' at (224155000, 65465000) using coordinate system rotated by 0 degree(s)
13:38:19: [INFO] Adding track segment (B.Cu): [(221615000, 57785000), (221615000, 62925000)]
13:38:19: [INFO] Adding track segment (B.Cu): [(221615000, 62925000), (224155000, 65465000)]
13:38:19: [INFO] Routing SW39 with D39
13:38:19: [INFO] Using internal autorouter method
13:38:19: [INFO] Routing pad 'SW39:2' at (240665000, 55880000) with pad 'D39:2' at (243205000, 63560000) using coordinate system rotated by 0 degree(s)
13:38:19: [INFO] Adding track segment (B.Cu): [(240665000, 55880000), (240665000, 61020000)]
13:38:19: [INFO] Adding track segment (B.Cu): [(240665000, 61020000), (243205000, 63560000)]
13:38:19: [INFO] Routing SW38 with D38
13:38:19: [INFO] Using internal autorouter method
13:38:19: [INFO] Routing pad 'SW38:2' at (259715000, 52070000) with pad 'D38:2' at (262255000, 59750000) using coordinate system rotated by 0 degree(s)
13:38:19: [INFO] Adding track segment (B.Cu): [(259715000, 52070000), (259715000, 57210000)]
13:38:19: [INFO] Adding track segment (B.Cu): [(259715000, 57210000), (262255000, 59750000)]
13:38:19: [INFO] Routing SW37 with D37
13:38:19: [INFO] Using internal autorouter method
13:38:19: [INFO] Routing pad 'SW37:2' at (278765000, 57785000) with pad 'D37:2' at (281305000, 65465000) using coordinate system rotated by 0 degree(s)
13:38:19: [INFO] Adding track segment (B.Cu): [(278765000, 57785000), (278765000, 62925000)]
13:38:19: [INFO] Adding track segment (B.Cu): [(278765000, 62925000), (281305000, 65465000)]
13:38:19: [INFO] Routing SW36 with D36
13:38:19: [INFO] Using internal autorouter method
13:38:19: [INFO] Routing pad 'SW36:2' at (297815000, 69215000) with pad 'D36:2' at (300355000, 76895000) using coordinate system rotated by 0 degree(s)
13:38:19: [INFO] Adding track segment (B.Cu): [(297815000, 69215000), (297815000, 74355000)]
13:38:19: [INFO] Adding track segment (B.Cu): [(297815000, 74355000), (300355000, 76895000)]
13:38:19: [INFO] Routing SW35 with D35
13:38:19: [INFO] Using internal autorouter method
13:38:19: [INFO] Routing pad 'SW35:2' at (316865000, 69215000) with pad 'D35:2' at (319405000, 76895000) using coordinate system rotated by 0 degree(s)
13:38:19: [INFO] Adding track segment (B.Cu): [(316865000, 69215000), (316865000, 74355000)]
13:38:19: [INFO] Adding track segment (B.Cu): [(316865000, 74355000), (319405000, 76895000)]
13:38:19: [INFO] Routing SW34 with D34
13:38:19: [INFO] Using internal autorouter method
13:38:19: [INFO] Routing pad 'SW34:2' at (221615000, 38735000) with pad 'D34:2' at (224155000, 46415000) using coordinate system rotated by 0 degree(s)
13:38:19: [INFO] Adding track segment (B.Cu): [(221615000, 38735000), (221615000, 43875000)]
13:38:19: [INFO] Adding track segment (B.Cu): [(221615000, 43875000), (224155000, 46415000)]
13:38:19: [INFO] Routing SW33 with D33
13:38:19: [INFO] Using internal autorouter method
13:38:19: [INFO] Routing pad 'SW33:2' at (240665000, 36830000) with pad 'D33:2' at (243205000, 44510000) using coordinate system rotated by 0 degree(s)
13:38:19: [INFO] Adding track segment (B.Cu): [(240665000, 36830000), (240665000, 41970000)]
13:38:19: [INFO] Adding track segment (B.Cu): [(240665000, 41970000), (243205000, 44510000)]
13:38:19: [INFO] Routing SW32 with D32
13:38:19: [INFO] Using internal autorouter method
