=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:14: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDoCsAaO4Ces4AYkAmDcAY13AGIBDWu8AXxLzQXAwmngWRScxYJC4ALpoAUGCi4CxTDngBaAgE50mcvCoB2XXsbM0ednE64EAFiQIAbOrIUadWgYGsAzCbPwC7930NLUQkpLkQbJDV+cHdWC2DJb3wkbXsFOGUU+01MSlJ8gtdwYmMSYjYOaW5VAMxy4TKPLwctJ2ci8vixRKrEbSISdMzCWvALOITQmVRB3EzUkgB3c1Ro2NLTFtyCwrXWZrCEAgtR2J4TGNYGzZyqZxclldOm7qnufpPZpVlR9CDXpI-L4ZAgLTDLbhZaLjDYQW55HbkaH7SphFSRUbjI4XLEVG6OPT6R7wQhETFXSZwxz3agXCFwUkjaLoWFbKiIpEkP4HcyyZmsVnwml0lapfnnAG9WxIT7yOag7IEwnaIp-TySoZAjTU+4iyGjGxGSlSlAytLyrIkeHKlXRQ1CC72zwke1dEIQABOhxYmDCin65p8A21rWF0RY1yS6NGgjYkr9-RGwIICEVrQ5HTQkd6AA4MdFynH3eAPeY5CWwnn7B70u4Zr65qb-MDFIy07kw4ZnW54qjpkzDCgLiwbMa-VYc4HkkmQ9tEZnu8U0L26mgh41R-HG0h-HtrpdF7EV5ch1ulKaEMj9+NF+Nj+NT8Xx0gbPz9+hF+hj+hHz1n4bZzuXViUQVYXSzZp4QzEgAAcKAAZQABQAQQAYQAUT1Bk7WXSCdXaHDfykUslCEEga1wOsZ16OscxbUk8BjAUeSUKwBzcFVDBzFjpyYlQx2mWI5SDaioPnAs0E41duMafjGmxM8QSIPZRxIWIpMuGTMFiOTtOYxSCEY5FVMwcYNPGLSxjQfiDJ3fkTPAdANPQSz0Bsp8LXLelSTFcCpKpUNgPBJ4cJskQgA
13:36:20: [INFO] Add D81 footprint
13:36:20: [INFO] Add SW82 footprint
13:36:21: [INFO] Add D82 footprint
13:36:21: [INFO] Detected layout convertible to matrix annotated keyboard
13:36:21: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:36:21: [INFO] Layout offset: (38100000, 24765000)
13:36:21: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:36:21: [INFO] Placing additional elements for SW82
13:36:21: [INFO] Placing additional elements for SW81
13:36:21: [INFO] Placing additional elements for SW80
13:36:21: [INFO] Placing additional elements for SW79
13:36:21: [INFO] Placing additional elements for SW78
13:36:21: [INFO] Placing additional elements for SW77
13:36:21: [INFO] Placing additional elements for SW76
13:36:21: [INFO] Placing additional elements for SW75
13:36:21: [INFO] Placing additional elements for SW74
13:36:21: [INFO] Placing additional elements for SW73
13:36:21: [INFO] Placing additional elements for SW72
13:36:21: [INFO] Placing additional elements for SW71
13:36:21: [INFO] Placing additional elements for SW70
13:36:21: [INFO] Placing additional elements for SW69
13:36:21: [INFO] Placing additional elements for SW68
13:36:21: [INFO] Placing additional elements for SW67
13:36:21: [INFO] Placing additional elements for SW66
13:36:21: [INFO] Placing additional elements for SW65
13:36:21: [INFO] Placing additional elements for SW64
13:36:21: [INFO] Placing additional elements for SW63
13:36:21: [INFO] Placing additional elements for SW62
13:36:21: [INFO] Placing additional elements for SW61
13:36:21: [INFO] Placing additional elements for SW60
13:36:21: [INFO] Placing additional elements for SW59
13:36:21: [INFO] Placing additional elements for SW58
13:36:21: [INFO] Placing additional elements for SW57
13:36:21: [INFO] Placing additional elements for SW56
13:36:21: [INFO] Placing additional elements for SW55
13:36:21: [INFO] Placing additional elements for SW54
